ABE|BRU,|BRU|ORD|ABE|
ABE|OUA,|OUA|BRU|ORD|ABE|
ABE|JED,|JED|FRA|ORD|ABE|
ABE|CPH,|CPH|YYZ|ORD|ABE|
ABE|YYZ,|YYZ|ORD|ABE|
ABE|DEN,|DEN|ORD|ABE|
ABE|YUL,|YUL|ORD|ABE|
ABE|NBO,|NBO|ZRH|ORD|ABE|
ABE|ICN,|ICN|YVR|ORD|ABE|
ABE|NRT,|NRT|ORD|ABE|
ABE|YHZ,|YHZ|ORD|ABE|
ABE|YOW,|YOW|ORD|ABE|
ABE|BJM,|BJM|BRU|ORD|ABE|
ABE|COO,|COO|BRU|ORD|ABE|
ABE|DKR,|DKR|IAD|ORD|ABE|
ABE|DLA,|DLA|BRU|ORD|ABE|
ABE|KGL,|KGL|BRU|ORD|ABE|
ABE|LAD,|LAD|BRU|ORD|ABE|
ABE|ABJ,|ABJ|BRU|ORD|ABE|
ABE|AMS,|AMS|ORD|ABE|
ABE|OSL,|OSL|EWR|ORD|ABE|
ABE|VNO,|VNO|CPH|YYZ|ORD|ABE|
ABE|WAW,|WAW|YYZ|ORD|ABE|
ABE|YYC,|YYC|ORD|ABE|
ABE|ATL,|ATL|ORD|ABE|
ABE|MSY,|MSY|ORD|ABE|
ABE|YEG,|YEG|ORD|ABE|
ABE|YMM,|YMM|YEG|ORD|ABE|
ABE|YQR,|YQR|ORD|ABE|
ABE|YVR,|YVR|ORD|ABE|
ABE|YWG,|YWG|ORD|ABE|
ABE|YXE,|YXE|ORD|ABE|
ABE|CKY,|CKY|DKR|IAD|ORD|ABE|
ABE|FIH,|FIH|DLA|BRU|ORD|ABE|
ABE|SCL,|SCL|YYZ|ORD|ABE|
ABE|LCA,|LCA|FRA|ORD|ABE|
ABE|NAP,|NAP|FRA|ORD|ABE|
ABE|VLC,|VLC|FRA|ORD|ABE|
ABE|BKK,|BKK|CGO|PEK|ORD|ABE|
ABE|ADD,|ADD|IST|ORD|ABE|
ABE|FRA,|FRA|ORD|ABE|
ABE|IST,|IST|ORD|ABE|
ABE|EBB,|EBB|KGL|BRU|ORD|ABE|
ABE|YLW,|YLW|YYC|ORD|ABE|
ABE|YYT,|YYT|YOW|ORD|ABE|
ABE|GUA,|GUA|IAH|ORD|ABE|
ABE|EWR,|EWR|ORD|ABE|
ABE|IAD,|IAD|ORD|ABE|
ABE|IAH,|IAH|ORD|ABE|
ABE|ORD,|ORD|ABE|
ABE|SOF,|SOF|MUC|ORD|ABE|
ABE|YQB,|YQB|ORD|ABE|
ABE|YXU,|YXU|ORD|ABE|
ABE|EZE,|EZE|IAH|ORD|ABE|
ABE|YYJ,|YYJ|YVR|ORD|ABE|
ABE|YYY,|YYY|YUL|ORD|ABE|
ABE|YQQ,|YQQ|YYC|ORD|ABE|
ABE|YYR,|YYR|YWK|YZV|YQB|ORD|ABE|
ABE|LHR,|LHR|ORD|ABE|
ABE|SFO,|SFO|ORD|ABE|
ABE|YQU,|YQU|YEG|ORD|ABE|
ABE|YZF,|YZF|YEG|ORD|ABE|
ABE|YGR,|YGR|YGP|YQB|ORD|ABE|
ABE|YGP,|YGP|YQB|ORD|ABE|
ABE|BOS,|BOS|ORD|ABE|
ABE|YDF,|YDF|YYZ|ORD|ABE|
ABE|YFC,|YFC|YYZ|ORD|ABE|
ABE|YQM,|YQM|YUL|ORD|ABE|
ABE|YQX,|YQX|YHZ|ORD|ABE|
ABE|YQY,|YQY|YYZ|ORD|ABE|
ABE|YSJ,|YSJ|YYZ|ORD|ABE|
ABE|YYG,|YYG|YUL|ORD|ABE|
ABE|LAX,|LAX|ORD|ABE|
ABE|DCA,|DCA|ORD|ABE|
ABE|LGA,|LGA|ORD|ABE|
ABE|YZV,|YZV|YQB|ORD|ABE|
ABE|YWL,|YWL|YVR|ORD|ABE|
ABE|AZS,|AZS|YYZ|ORD|ABE|
ABE|BDL,|BDL|ORD|ABE|
ABE|CCC,|CCC|YYZ|ORD|ABE|
ABE|CDG,|CDG|ORD|ABE|
