ABJ|BRU,|BRU|ABJ|
ABJ|OUA,|OUA|ABJ|
ABJ|JED,|JED|IST|ABJ|
ABJ|CPH,|CPH|IST|ABJ|
ABJ|YYZ,|YYZ|BRU|ABJ|
ABJ|DEN,|DEN|ORD|BRU|ABJ|
ABJ|YUL,|YUL|BRU|ABJ|
ABJ|NBO,|NBO|IST|ABJ|
ABJ|ICN,|ICN|IST|ABJ|
ABJ|NRT,|NRT|IST|ABJ|
ABJ|YHZ,|YHZ|YUL|BRU|ABJ|
ABJ|YOW,|YOW|YUL|BRU|ABJ|
ABJ|BJM,|BJM|BRU|ABJ|
ABJ|COO,|COO|BRU|ABJ|
ABJ|DKR,|DKR|BRU|ABJ|
ABJ|DLA,|DLA|IST|ABJ|
ABJ|KGL,|KGL|IST|ABJ|
ABJ|LAD,|LAD|BRU|ABJ|
ABJ|AMS,|AMS|IST|ABJ|
ABJ|OSL,|OSL|IST|ABJ|
ABJ|VNO,|VNO|IST|ABJ|
ABJ|WAW,|WAW|IST|ABJ|
ABJ|YYC,|YYC|YUL|BRU|ABJ|
ABJ|ATL,|ATL|IAD|BRU|ABJ|
ABJ|MSY,|MSY|IAD|BRU|ABJ|
ABJ|YEG,|YEG|YUL|BRU|ABJ|
ABJ|YMM,|YMM|YYZ|BRU|ABJ|
ABJ|YQR,|YQR|YWG|YUL|BRU|ABJ|
ABJ|YVR,|YVR|YUL|BRU|ABJ|
ABJ|YWG,|YWG|YUL|BRU|ABJ|
ABJ|YXE,|YXE|YWG|YUL|BRU|ABJ|
ABJ|CKY,|CKY|DKR|BRU|ABJ|
ABJ|FIH,|FIH|IST|ABJ|
ABJ|SCL,|SCL|EZE|GRU|IST|ABJ|
ABJ|LCA,|LCA|FRA|IST|ABJ|
ABJ|NAP,|NAP|IST|ABJ|
ABJ|VLC,|VLC|IST|ABJ|
ABJ|BKK,|BKK|IST|ABJ|
ABJ|ADD,|ADD|IST|ABJ|
ABJ|FRA,|FRA|IST|ABJ|
ABJ|IST,|IST|ABJ|
ABJ|EBB,|EBB|KGL|IST|ABJ|
ABJ|YLW,|YLW|YYC|YUL|BRU|ABJ|
ABJ|YYT,|YYT|LHR|IST|ABJ|
ABJ|GUA,|GUA|EWR|BRU|ABJ|
ABJ|EWR,|EWR|BRU|ABJ|
ABJ|IAD,|IAD|BRU|ABJ|
ABJ|IAH,|IAH|YUL|BRU|ABJ|
ABJ|ORD,|ORD|BRU|ABJ|
ABJ|SOF,|SOF|IST|ABJ|
ABJ|YQB,|YQB|YUL|BRU|ABJ|
ABJ|YXU,|YXU|YYZ|BRU|ABJ|
ABJ|EZE,|EZE|GRU|IST|ABJ|
ABJ|YYJ,|YYJ|YYC|YUL|BRU|ABJ|
ABJ|YYY,|YYY|YUL|BRU|ABJ|
ABJ|YQQ,|YQQ|YYC|YUL|BRU|ABJ|
ABJ|YYR,|YYR|YWK|YZV|YUL|BRU|ABJ|
ABJ|LHR,|LHR|IST|ABJ|
ABJ|SFO,|SFO|YUL|BRU|ABJ|
ABJ|YQU,|YQU|YEG|YUL|BRU|ABJ|
ABJ|YZF,|YZF|YEG|YUL|BRU|ABJ|
ABJ|YGR,|YGR|YGP|YQB|YUL|BRU|ABJ|
ABJ|YGP,|YGP|YQB|YUL|BRU|ABJ|
ABJ|BOS,|BOS|YUL|BRU|ABJ|
ABJ|YDF,|YDF|YYT|LHR|IST|ABJ|
ABJ|YFC,|YFC|YUL|BRU|ABJ|
ABJ|YQM,|YQM|YUL|BRU|ABJ|
ABJ|YQX,|YQX|YYT|LHR|IST|ABJ|
ABJ|YQY,|YQY|YHZ|YUL|BRU|ABJ|
ABJ|YSJ,|YSJ|YUL|BRU|ABJ|
ABJ|YYG,|YYG|YUL|BRU|ABJ|
ABJ|LAX,|LAX|ORD|BRU|ABJ|
ABJ|DCA,|DCA|EWR|BRU|ABJ|
ABJ|LGA,|LGA|YUL|BRU|ABJ|
ABJ|YZV,|YZV|YUL|BRU|ABJ|
ABJ|YWL,|YWL|YVR|YUL|BRU|ABJ|
ABJ|AZS,|AZS|YUL|BRU|ABJ|
ABJ|BDL,|BDL|YUL|BRU|ABJ|
ABJ|CCC,|CCC|YUL|BRU|ABJ|
ABJ|CDG,|CDG|IST|ABJ|
ABJ|CUN,|CUN|EWR|BRU|ABJ|
ABJ|CZM,|CZM|YUL|BRU|ABJ|
ABJ|FDF,|FDF|YUL|BRU|ABJ|
ABJ|FLL,|FLL|EWR|BRU|ABJ|
ABJ|GVA,|GVA|IST|ABJ|
ABJ|HOG,|HOG|YUL|BRU|ABJ|
ABJ|LAS,|LAS|ORD|BRU|ABJ|
ABJ|MBJ,|MBJ|EWR|BRU|ABJ|
ABJ|MCO,|MCO|EWR|BRU|ABJ|
ABJ|MUC,|MUC|IST|ABJ|
ABJ|PAP,|PAP|YUL|BRU|ABJ|
ABJ|PTP,|PTP|YUL|BRU|ABJ|
ABJ|PUJ,|PUJ|EWR|BRU|ABJ|
ABJ|SNU,|SNU|YUL|BRU|ABJ|
ABJ|VRA,|VRA|YUL|BRU|ABJ|
ABJ|YBC,|YBC|YUL|BRU|ABJ|
ABJ|YBG,|YBG|YUL|BRU|ABJ|
ABJ|YTZ,|YTZ|YUL|BRU|ABJ|
ABJ|YUY,|YUY|YUL|BRU|ABJ|
ABJ|YVO,|YVO|YUL|BRU|ABJ|
ABJ|ZBF,|ZBF|YUL|BRU|ABJ|
ABJ|ZRH,|ZRH|IST|ABJ|
ABJ|ZSA,|ZSA|YUL|BRU|ABJ|
ABJ|AKL,|AKL|BKK|IST|ABJ|
ABJ|HKG,|HKG|IST|ABJ|
ABJ|HND,|HND|YVR|YUL|BRU|ABJ|
ABJ|HNL,|HNL|SFO|YUL|BRU|ABJ|
ABJ|MEX,|MEX|IAD|BRU|ABJ|
ABJ|OGG,|OGG|SFO|YUL|BRU|ABJ|
ABJ|PDX,|PDX|YYC|YUL|BRU|ABJ|
ABJ|PEK,|PEK|IST|ABJ|
ABJ|PVG,|PVG|IST|ABJ|
ABJ|PVR,|PVR|IAH|YUL|BRU|ABJ|
ABJ|SEA,|SEA|YYZ|BRU|ABJ|
ABJ|SYD,|SYD|BKK|IST|ABJ|
ABJ|YBL,|YBL|YVR|YUL|BRU|ABJ|
ABJ|YCD,|YCD|YVR|YUL|BRU|ABJ|
ABJ|YCG,|YCG|YYC|YUL|BRU|ABJ|
ABJ|YKA,|YKA|YYC|YUL|BRU|ABJ|
ABJ|YPR,|YPR|YVR|YUL|BRU|ABJ|
ABJ|YQZ,|YQZ|YVR|YUL|BRU|ABJ|
ABJ|YXC,|YXC|YYC|YUL|BRU|ABJ|
ABJ|YXJ,|YXJ|YYC|YUL|BRU|ABJ|
ABJ|YXS,|YXS|YYC|YUL|BRU|ABJ|
ABJ|YXT,|YXT|YVR|YUL|BRU|ABJ|
ABJ|YXY,|YXY|YVR|YUL|BRU|ABJ|
ABJ|YYD,|YYD|YVR|YUL|BRU|ABJ|
ABJ|YYF,|YYF|YVR|YUL|BRU|ABJ|
ABJ|YZP,|YZP|YVR|YUL|BRU|ABJ|
ABJ|YQT,|YQT|YYZ|BRU|ABJ|
ABJ|SJD,|SJD|ORD|BRU|ABJ|
ABJ|YQF,|YQF|YYC|YUL|BRU|ABJ|
ABJ|YQL,|YQL|YYC|YUL|BRU|ABJ|
ABJ|YXH,|YXH|YYC|YUL|BRU|ABJ|
ABJ|YWK,|YWK|YZV|YUL|BRU|ABJ|
ABJ|ANU,|ANU|EWR|BRU|ABJ|
ABJ|AUA,|AUA|EWR|BRU|ABJ|
ABJ|AUH,|AUH|IST|ABJ|
ABJ|BCN,|BCN|IST|ABJ|
ABJ|BDA,|BDA|EWR|BRU|ABJ|
ABJ|BGI,|BGI|YYZ|BRU|ABJ|
ABJ|BNA,|BNA|YYZ|BRU|ABJ|
ABJ|BOG,|BOG|JFK|BRU|ABJ|
ABJ|BWI,|BWI|EWR|BRU|ABJ|
ABJ|CLE,|CLE|YYZ|BRU|ABJ|
ABJ|CLT,|CLT|EWR|BRU|ABJ|
ABJ|CMH,|CMH|YYZ|BRU|ABJ|
ABJ|CVG,|CVG|YYZ|BRU|ABJ|
ABJ|DFW,|DFW|ORD|BRU|ABJ|
ABJ|DTW,|DTW|YYZ|BRU|ABJ|
ABJ|DUB,|DUB|IST|ABJ|
ABJ|FCO,|FCO|IST|ABJ|
ABJ|GCM,|GCM|EWR|BRU|ABJ|
ABJ|GGT,|GGT|FLL|EWR|BRU|ABJ|
ABJ|GND,|GND|YYZ|BRU|ABJ|
ABJ|GRU,|GRU|IST|ABJ|
ABJ|HAV,|HAV|YYZ|BRU|ABJ|
ABJ|IND,|IND|YYZ|BRU|ABJ|
ABJ|JFK,|JFK|BRU|ABJ|
ABJ|KIN,|KIN|YYZ|BRU|ABJ|
ABJ|LIM,|LIM|EWR|BRU|ABJ|
ABJ|LIR,|LIR|EWR|BRU|ABJ|
ABJ|MCI,|MCI|ORD|BRU|ABJ|
ABJ|MDT,|MDT|IAD|BRU|ABJ|
ABJ|MIA,|MIA|EWR|BRU|ABJ|
ABJ|MKE,|MKE|YYZ|BRU|ABJ|
ABJ|MSP,|MSP|YUL|BRU|ABJ|
ABJ|NAS,|NAS|EWR|BRU|ABJ|
ABJ|PHL,|PHL|IAD|BRU|ABJ|
ABJ|PHX,|PHX|ORD|BRU|ABJ|
ABJ|PIT,|PIT|YYZ|BRU|ABJ|
ABJ|PLS,|PLS|EWR|BRU|ABJ|
ABJ|POP,|POP|EWR|BRU|ABJ|
ABJ|RDU,|RDU|EWR|BRU|ABJ|
ABJ|ROC,|ROC|YYZ|BRU|ABJ|
ABJ|RSW,|RSW|EWR|BRU|ABJ|
ABJ|SAN,|SAN|ORD|BRU|ABJ|
ABJ|SJO,|SJO|EWR|BRU|ABJ|
ABJ|STL,|STL|ORD|BRU|ABJ|
