ACV|BRU,|BRU|ORD|SMF|ACV|
ACV|OUA,|OUA|BRU|ORD|SMF|ACV|
ACV|JED,|JED|FRA|SEA|SMF|ACV|
ACV|CPH,|CPH|YYZ|ORD|SMF|ACV|
ACV|YYZ,|YYZ|ORD|SMF|ACV|
ACV|DEN,|DEN|SMF|ACV|
ACV|YUL,|YUL|DEN|SMF|ACV|
ACV|NBO,|NBO|ZRH|SFO|ACV|
ACV|ICN,|ICN|SFO|ACV|
ACV|NRT,|NRT|SFO|ACV|
ACV|YHZ,|YHZ|ORD|SMF|ACV|
ACV|YOW,|YOW|ORD|SMF|ACV|
ACV|BJM,|BJM|BRU|ORD|SMF|ACV|
ACV|COO,|COO|BRU|ORD|SMF|ACV|
ACV|DKR,|DKR|IAD|SMF|ACV|
ACV|DLA,|DLA|BRU|ORD|SMF|ACV|
ACV|KGL,|KGL|IST|FRA|SEA|SMF|ACV|
ACV|LAD,|LAD|BRU|ORD|SMF|ACV|
ACV|ABJ,|ABJ|BRU|ORD|SMF|ACV|
ACV|AMS,|AMS|ORD|SMF|ACV|
ACV|OSL,|OSL|EWR|ORD|SMF|ACV|
ACV|VNO,|VNO|FRA|SEA|SMF|ACV|
ACV|WAW,|WAW|YYZ|ORD|SMF|ACV|
ACV|YYC,|YYC|PDX|SMF|ACV|
ACV|ATL,|ATL|DEN|SMF|ACV|
ACV|MSY,|MSY|LAS|SMF|ACV|
ACV|YEG,|YEG|YYC|PDX|SMF|ACV|
ACV|YMM,|YMM|YYC|PDX|SMF|ACV|
ACV|YQR,|YQR|YYC|PDX|SMF|ACV|
ACV|YVR,|YVR|PDX|SMF|ACV|
ACV|YWG,|YWG|DEN|SMF|ACV|
ACV|YXE,|YXE|YYC|PDX|SMF|ACV|
ACV|CKY,|CKY|DKR|IAD|SMF|ACV|
ACV|FIH,|FIH|DLA|BRU|ORD|SMF|ACV|
ACV|SCL,|SCL|EZE|IAH|SMF|ACV|
ACV|LCA,|LCA|FRA|SEA|SMF|ACV|
ACV|NAP,|NAP|FRA|SEA|SMF|ACV|
ACV|VLC,|VLC|FRA|SEA|SMF|ACV|
ACV|BKK,|BKK|ICN|SFO|ACV|
ACV|ADD,|ADD|JED|FRA|SEA|SMF|ACV|
ACV|FRA,|FRA|SEA|SMF|ACV|
ACV|IST,|IST|FRA|SEA|SMF|ACV|
ACV|EBB,|EBB|KGL|IST|FRA|SEA|SMF|ACV|
ACV|YLW,|YLW|YVR|PDX|SMF|ACV|
ACV|YYT,|YYT|YUL|DEN|SMF|ACV|
ACV|GUA,|GUA|IAH|SMF|ACV|
ACV|EWR,|EWR|ORD|SMF|ACV|
ACV|IAD,|IAD|SMF|ACV|
ACV|IAH,|IAH|SMF|ACV|
ACV|ORD,|ORD|SMF|ACV|
ACV|SOF,|SOF|MUC|SFO|ACV|
ACV|YQB,|YQB|ORD|SMF|ACV|
ACV|YXU,|YXU|ORD|SMF|ACV|
ACV|EZE,|EZE|IAH|SMF|ACV|
ACV|YYJ,|YYJ|YVR|PDX|SMF|ACV|
ACV|YYY,|YYY|YUL|DEN|SMF|ACV|
ACV|YQQ,|YQQ|YBL|YVR|PDX|SMF|ACV|
ACV|YYR,|YYR|YWK|YZV|YQB|ORD|SMF|ACV|
ACV|LHR,|LHR|YYC|PDX|SMF|ACV|
ACV|SFO,|SFO|ACV|
ACV|YQU,|YQU|YYC|PDX|SMF|ACV|
ACV|YZF,|YZF|YYC|PDX|SMF|ACV|
ACV|YGR,|YGR|YGP|YQB|ORD|SMF|ACV|
ACV|YGP,|YGP|YQB|ORD|SMF|ACV|
ACV|BOS,|BOS|ORD|SMF|ACV|
ACV|YDF,|YDF|YYZ|ORD|SMF|ACV|
ACV|YFC,|YFC|YUL|DEN|SMF|ACV|
ACV|YQM,|YQM|YUL|DEN|SMF|ACV|
ACV|YQX,|YQX|YHZ|ORD|SMF|ACV|
ACV|YQY,|YQY|YYZ|ORD|SMF|ACV|
ACV|YSJ,|YSJ|YUL|DEN|SMF|ACV|
ACV|YYG,|YYG|YUL|DEN|SMF|ACV|
ACV|LAX,|LAX|SMF|ACV|
ACV|DCA,|DCA|DEN|SMF|ACV|
ACV|LGA,|LGA|ORD|SMF|ACV|
ACV|YZV,|YZV|YQB|ORD|SMF|ACV|
ACV|YWL,|YWL|YVR|PDX|SMF|ACV|
ACV|AZS,|AZS|YYZ|ORD|SMF|ACV|
ACV|BDL,|BDL|ORD|SMF|ACV|
ACV|CCC,|CCC|YYZ|ORD|SMF|ACV|
ACV|CDG,|CDG|SFO|ACV|
ACV|CUN,|CUN|AUS|LAS|SMF|ACV|
ACV|CZM,|CZM|IAH|SMF|ACV|
ACV|FDF,|FDF|YUL|DEN|SMF|ACV|
ACV|FLL,|FLL|LAS|SMF|ACV|
ACV|GVA,|GVA|YUL|DEN|SMF|ACV|
ACV|HOG,|HOG|YYZ|ORD|SMF|ACV|
ACV|LAS,|LAS|SMF|ACV|
ACV|MBJ,|MBJ|IAH|SMF|ACV|
ACV|MCO,|MCO|LAS|SMF|ACV|
ACV|MUC,|MUC|SFO|ACV|
ACV|PAP,|PAP|YUL|DEN|SMF|ACV|
ACV|PTP,|PTP|YUL|DEN|SMF|ACV|
ACV|PUJ,|PUJ|ATL|DEN|SMF|ACV|
ACV|SNU,|SNU|YYZ|ORD|SMF|ACV|
