ACY|BRU,|BRU|ORD|ACY|
ACY|OUA,|OUA|BRU|ORD|ACY|
ACY|JED,|JED|FRA|ORD|ACY|
ACY|CPH,|CPH|YYZ|ORD|ACY|
ACY|YYZ,|YYZ|ORD|ACY|
ACY|DEN,|DEN|ORD|ACY|
ACY|YUL,|YUL|ORD|ACY|
ACY|NBO,|NBO|ZRH|ORD|ACY|
ACY|ICN,|ICN|YVR|ORD|ACY|
ACY|NRT,|NRT|ORD|ACY|
ACY|YHZ,|YHZ|ORD|ACY|
ACY|YOW,|YOW|ORD|ACY|
ACY|BJM,|BJM|BRU|ORD|ACY|
ACY|COO,|COO|BRU|ORD|ACY|
ACY|DKR,|DKR|IAD|ORD|ACY|
ACY|DLA,|DLA|BRU|ORD|ACY|
ACY|KGL,|KGL|BRU|ORD|ACY|
ACY|LAD,|LAD|BRU|ORD|ACY|
ACY|ABJ,|ABJ|BRU|ORD|ACY|
ACY|AMS,|AMS|ORD|ACY|
ACY|OSL,|OSL|EWR|ORD|ACY|
ACY|VNO,|VNO|CPH|YYZ|ORD|ACY|
ACY|WAW,|WAW|YYZ|ORD|ACY|
ACY|YYC,|YYC|ORD|ACY|
ACY|ATL,|ATL|ORD|ACY|
ACY|MSY,|MSY|ORD|ACY|
ACY|YEG,|YEG|ORD|ACY|
ACY|YMM,|YMM|YEG|ORD|ACY|
ACY|YQR,|YQR|ORD|ACY|
ACY|YVR,|YVR|ORD|ACY|
ACY|YWG,|YWG|ORD|ACY|
ACY|YXE,|YXE|ORD|ACY|
ACY|CKY,|CKY|DKR|IAD|ORD|ACY|
ACY|FIH,|FIH|DLA|BRU|ORD|ACY|
ACY|SCL,|SCL|YYZ|ORD|ACY|
ACY|LCA,|LCA|FRA|ORD|ACY|
ACY|NAP,|NAP|FRA|ORD|ACY|
ACY|VLC,|VLC|FRA|ORD|ACY|
ACY|BKK,|BKK|CGO|PEK|ORD|ACY|
ACY|ADD,|ADD|IST|ORD|ACY|
ACY|FRA,|FRA|ORD|ACY|
ACY|IST,|IST|ORD|ACY|
ACY|EBB,|EBB|KGL|BRU|ORD|ACY|
ACY|YLW,|YLW|YYC|ORD|ACY|
ACY|YYT,|YYT|YOW|ORD|ACY|
ACY|GUA,|GUA|IAH|ACY|
ACY|EWR,|EWR|ORD|ACY|
ACY|IAD,|IAD|ORD|ACY|
ACY|IAH,|IAH|ACY|
ACY|ORD,|ORD|ACY|
ACY|SOF,|SOF|MUC|ORD|ACY|
ACY|YQB,|YQB|ORD|ACY|
ACY|YXU,|YXU|ORD|ACY|
ACY|EZE,|EZE|IAH|ACY|
ACY|YYJ,|YYJ|YVR|ORD|ACY|
ACY|YYY,|YYY|YUL|ORD|ACY|
ACY|YQQ,|YQQ|YYC|ORD|ACY|
ACY|YYR,|YYR|YWK|YZV|YQB|ORD|ACY|
ACY|LHR,|LHR|ORD|ACY|
ACY|SFO,|SFO|ORD|ACY|
ACY|YQU,|YQU|YEG|ORD|ACY|
ACY|YZF,|YZF|YEG|ORD|ACY|
ACY|YGR,|YGR|YGP|YQB|ORD|ACY|
ACY|YGP,|YGP|YQB|ORD|ACY|
ACY|BOS,|BOS|ORD|ACY|
ACY|YDF,|YDF|YYZ|ORD|ACY|
ACY|YFC,|YFC|YYZ|ORD|ACY|
ACY|YQM,|YQM|YUL|ORD|ACY|
ACY|YQX,|YQX|YHZ|ORD|ACY|
ACY|YQY,|YQY|YYZ|ORD|ACY|
ACY|YSJ,|YSJ|YYZ|ORD|ACY|
ACY|YYG,|YYG|YUL|ORD|ACY|
ACY|LAX,|LAX|ORD|ACY|
ACY|DCA,|DCA|ORD|ACY|
ACY|LGA,|LGA|ORD|ACY|
ACY|YZV,|YZV|YQB|ORD|ACY|
ACY|YWL,|YWL|YVR|ORD|ACY|
ACY|AZS,|AZS|YYZ|ORD|ACY|
ACY|BDL,|BDL|ORD|ACY|
ACY|CCC,|CCC|YYZ|ORD|ACY|
ACY|CDG,|CDG|ORD|ACY|
ACY|CUN,|CUN|IAH|ACY|
ACY|CZM,|CZM|IAH|ACY|
ACY|FDF,|FDF|YUL|ORD|ACY|
ACY|FLL,|FLL|ORD|ACY|
ACY|GVA,|GVA|YUL|ORD|ACY|
ACY|HOG,|HOG|YYZ|ORD|ACY|
ACY|LAS,|LAS|ORD|ACY|
ACY|MBJ,|MBJ|ATL|ORD|ACY|
ACY|MCO,|MCO|ORD|ACY|
ACY|MUC,|MUC|ORD|ACY|
ACY|PAP,|PAP|YUL|ORD|ACY|
ACY|PTP,|PTP|YUL|ORD|ACY|
ACY|PUJ,|PUJ|ORD|ACY|
ACY|SNU,|SNU|YYZ|ORD|ACY|
ACY|VRA,|VRA|YYZ|ORD|ACY|
ACY|YBC,|YBC|YUL|ORD|ACY|
ACY|YBG,|YBG|YUL|ORD|ACY|
ACY|YTZ,|YTZ|YUL|ORD|ACY|
ACY|YUY,|YUY|YUL|ORD|ACY|
ACY|YVO,|YVO|YUL|ORD|ACY|
ACY|ZBF,|ZBF|YUL|ORD|ACY|
ACY|ZRH,|ZRH|ORD|ACY|
ACY|ZSA,|ZSA|YUL|ORD|ACY|
ACY|AKL,|AKL|LAX|ORD|ACY|
ACY|HKG,|HKG|ORD|ACY|
ACY|HND,|HND|YVR|ORD|ACY|
ACY|HNL,|HNL|ORD|ACY|
ACY|MEX,|MEX|IAH|ACY|
ACY|OGG,|OGG|ORD|ACY|
ACY|PDX,|PDX|ORD|ACY|
ACY|PEK,|PEK|ORD|ACY|
ACY|PVG,|PVG|ORD|ACY|
ACY|PVR,|PVR|IAH|ACY|
ACY|SEA,|SEA|ORD|ACY|
ACY|SYD,|SYD|LAX|ORD|ACY|
ACY|YBL,|YBL|YVR|ORD|ACY|
ACY|YCD,|YCD|YVR|ORD|ACY|
ACY|YCG,|YCG|YYC|ORD|ACY|
ACY|YKA,|YKA|YYC|ORD|ACY|
ACY|YPR,|YPR|YVR|ORD|ACY|
ACY|YQZ,|YQZ|YVR|ORD|ACY|
ACY|YXC,|YXC|YYC|ORD|ACY|
ACY|YXJ,|YXJ|YYC|ORD|ACY|
ACY|YXS,|YXS|YYC|ORD|ACY|
ACY|YXT,|YXT|YVR|ORD|ACY|
ACY|YXY,|YXY|YVR|ORD|ACY|
ACY|YYD,|YYD|YVR|ORD|ACY|
ACY|YYF,|YYF|YVR|ORD|ACY|
