ADD|BRU,|BRU|IST|ADD|
ADD|OUA,|OUA|NIM|IST|ADD|
ADD|JED,|JED|ADD|
ADD|CPH,|CPH|IST|ADD|
ADD|YYZ,|YYZ|FRA|JED|ADD|
ADD|DEN,|DEN|FRA|JED|ADD|
ADD|YUL,|YUL|FRA|JED|ADD|
ADD|NBO,|NBO|LUN|HRE|ADD|
ADD|ICN,|ICN|IST|ADD|
ADD|NRT,|NRT|IST|ADD|
ADD|YHZ,|YHZ|LHR|IST|ADD|
ADD|YOW,|YOW|FRA|JED|ADD|
ADD|BJM,|BJM|BRU|IST|ADD|
ADD|COO,|COO|BRU|IST|ADD|
ADD|DKR,|DKR|BRU|IST|ADD|
ADD|DLA,|DLA|ADD|
ADD|KGL,|KGL|IST|ADD|
ADD|LAD,|LAD|BRU|IST|ADD|
ADD|ABJ,|ABJ|OUA|NIM|IST|ADD|
ADD|AMS,|AMS|IST|ADD|
ADD|OSL,|OSL|IST|ADD|
ADD|VNO,|VNO|IST|ADD|
ADD|WAW,|WAW|IST|ADD|
ADD|YYC,|YYC|FRA|JED|ADD|
ADD|ATL,|ATL|FRA|JED|ADD|
ADD|MSY,|MSY|IAD|FRA|JED|ADD|
ADD|YEG,|YEG|LHR|IST|ADD|
ADD|YMM,|YMM|YEG|LHR|IST|ADD|
ADD|YQR,|YQR|YEG|LHR|IST|ADD|
ADD|YVR,|YVR|MUC|IST|ADD|
ADD|YWG,|YWG|YUL|FRA|JED|ADD|
ADD|YXE,|YXE|YEG|LHR|IST|ADD|
ADD|CKY,|CKY|DKR|BRU|IST|ADD|
ADD|FIH,|FIH|DLA|ADD|
ADD|SCL,|SCL|EZE|GRU|IST|ADD|
ADD|LCA,|LCA|FRA|JED|ADD|
ADD|NAP,|NAP|IST|ADD|
ADD|VLC,|VLC|IST|ADD|
ADD|BKK,|BKK|IST|ADD|
ADD|FRA,|FRA|JED|ADD|
ADD|IST,|IST|ADD|
ADD|EBB,|EBB|KGL|IST|ADD|
ADD|YLW,|YLW|YYC|FRA|JED|ADD|
ADD|YYT,|YYT|LHR|IST|ADD|
ADD|GUA,|GUA|MIA|ZRH|IST|ADD|
ADD|EWR,|EWR|FRA|JED|ADD|
ADD|IAD,|IAD|FRA|JED|ADD|
ADD|IAH,|IAH|FRA|JED|ADD|
ADD|ORD,|ORD|IST|ADD|
ADD|SOF,|SOF|IST|ADD|
ADD|YQB,|YQB|YUL|FRA|JED|ADD|
ADD|YXU,|YXU|YYZ|FRA|JED|ADD|
ADD|EZE,|EZE|GRU|IST|ADD|
ADD|YYJ,|YYJ|YVR|MUC|IST|ADD|
ADD|YYY,|YYY|YUL|FRA|JED|ADD|
ADD|YQQ,|YQQ|YBL|YVR|MUC|IST|ADD|
ADD|YYR,|YYR|YYT|LHR|IST|ADD|
ADD|LHR,|LHR|IST|ADD|
ADD|SFO,|SFO|FRA|JED|ADD|
ADD|YQU,|YQU|YEG|LHR|IST|ADD|
ADD|YZF,|YZF|YEG|LHR|IST|ADD|
ADD|YGR,|YGR|YGP|YQB|YUL|FRA|JED|ADD|
ADD|YGP,|YGP|YQB|YUL|FRA|JED|ADD|
ADD|BOS,|BOS|FRA|JED|ADD|
ADD|YDF,|YDF|YYT|LHR|IST|ADD|
ADD|YFC,|YFC|YHZ|LHR|IST|ADD|
ADD|YQM,|YQM|YHZ|LHR|IST|ADD|
ADD|YQX,|YQX|YYT|LHR|IST|ADD|
ADD|YQY,|YQY|YHZ|LHR|IST|ADD|
ADD|YSJ,|YSJ|YHZ|LHR|IST|ADD|
ADD|YYG,|YYG|YHZ|LHR|IST|ADD|
ADD|LAX,|LAX|IST|ADD|
ADD|DCA,|DCA|EWR|FRA|JED|ADD|
ADD|LGA,|LGA|YHZ|LHR|IST|ADD|
ADD|YZV,|YZV|YWK|YYR|YYT|LHR|IST|ADD|
ADD|YWL,|YWL|YVR|MUC|IST|ADD|
ADD|AZS,|AZS|YUL|FRA|JED|ADD|
ADD|BDL,|BDL|YUL|FRA|JED|ADD|
ADD|CCC,|CCC|YUL|FRA|JED|ADD|
ADD|CDG,|CDG|IST|ADD|
ADD|CUN,|CUN|YHZ|LHR|IST|ADD|
ADD|CZM,|CZM|YUL|FRA|JED|ADD|
ADD|FDF,|FDF|YUL|FRA|JED|ADD|
ADD|FLL,|FLL|MCO|FRA|JED|ADD|
ADD|GVA,|GVA|IST|ADD|
ADD|HOG,|HOG|YUL|FRA|JED|ADD|
ADD|LAS,|LAS|DEN|FRA|JED|ADD|
ADD|MBJ,|MBJ|YHZ|LHR|IST|ADD|
ADD|MCO,|MCO|FRA|JED|ADD|
ADD|MUC,|MUC|IST|ADD|
ADD|PAP,|PAP|YUL|FRA|JED|ADD|
ADD|PTP,|PTP|YUL|FRA|JED|ADD|
ADD|PUJ,|PUJ|YHZ|LHR|IST|ADD|
ADD|SNU,|SNU|YUL|FRA|JED|ADD|
ADD|VRA,|VRA|YUL|FRA|JED|ADD|
ADD|YBC,|YBC|YUL|FRA|JED|ADD|
ADD|YBG,|YBG|YUL|FRA|JED|ADD|
ADD|YTZ,|YTZ|YUL|FRA|JED|ADD|
ADD|YUY,|YUY|YUL|FRA|JED|ADD|
ADD|YVO,|YVO|YUL|FRA|JED|ADD|
ADD|ZBF,|ZBF|YUL|FRA|JED|ADD|
ADD|ZRH,|ZRH|IST|ADD|
ADD|ZSA,|ZSA|YUL|FRA|JED|ADD|
ADD|AKL,|AKL|BKK|IST|ADD|
ADD|HKG,|HKG|IST|ADD|
ADD|HND,|HND|YVR|MUC|IST|ADD|
ADD|HNL,|HNL|YVR|MUC|IST|ADD|
ADD|MEX,|MEX|IAD|FRA|JED|ADD|
ADD|OGG,|OGG|YVR|MUC|IST|ADD|
ADD|PDX,|PDX|SEA|FRA|JED|ADD|
ADD|PEK,|PEK|IST|ADD|
ADD|PVG,|PVG|IST|ADD|
ADD|PVR,|PVR|ORD|IST|ADD|
ADD|SEA,|SEA|FRA|JED|ADD|
ADD|SYD,|SYD|BKK|IST|ADD|
ADD|YBL,|YBL|YVR|MUC|IST|ADD|
ADD|YCD,|YCD|YVR|MUC|IST|ADD|
ADD|YCG,|YCG|YYC|FRA|JED|ADD|
ADD|YKA,|YKA|YYC|FRA|JED|ADD|
ADD|YPR,|YPR|YVR|MUC|IST|ADD|
ADD|YQZ,|YQZ|YVR|MUC|IST|ADD|
ADD|YXC,|YXC|YYC|FRA|JED|ADD|
ADD|YXJ,|YXJ|YYC|FRA|JED|ADD|
ADD|YXS,|YXS|YYC|FRA|JED|ADD|
ADD|YXT,|YXT|YVR|MUC|IST|ADD|
ADD|YXY,|YXY|YVR|MUC|IST|ADD|
ADD|YYD,|YYD|YVR|MUC|IST|ADD|
ADD|YYF,|YYF|YVR|MUC|IST|ADD|
ADD|YZP,|YZP|YVR|MUC|IST|ADD|
ADD|YQT,|YQT|YYZ|FRA|JED|ADD|
ADD|SJD,|SJD|ORD|IST|ADD|
ADD|YQF,|YQF|YYC|FRA|JED|ADD|
ADD|YQL,|YQL|YYC|FRA|JED|ADD|
ADD|YXH,|YXH|YYC|FRA|JED|ADD|
ADD|YWK,|YWK|YYR|YYT|LHR|IST|ADD|
ADD|ANU,|ANU|EWR|FRA|JED|ADD|
ADD|AUA,|AUA|EWR|FRA|JED|ADD|
ADD|AUH,|AUH|IST|ADD|
ADD|BCN,|BCN|IST|ADD|
ADD|BDA,|BDA|EWR|FRA|JED|ADD|
ADD|BGI,|BGI|YYZ|FRA|JED|ADD|
ADD|BNA,|BNA|YYZ|FRA|JED|ADD|
ADD|BOG,|BOG|JFK|FRA|JED|ADD|
ADD|BWI,|BWI|EWR|FRA|JED|ADD|
ADD|CLE,|CLE|YYZ|FRA|JED|ADD|
ADD|CLT,|CLT|EWR|FRA|JED|ADD|
ADD|CMH,|CMH|YYZ|FRA|JED|ADD|
ADD|CVG,|CVG|YYZ|FRA|JED|ADD|
ADD|DFW,|DFW|ORD|IST|ADD|
ADD|DTW,|DTW|FRA|JED|ADD|
ADD|DUB,|DUB|IST|ADD|
ADD|FCO,|FCO|IST|ADD|
ADD|GCM,|GCM|EWR|FRA|JED|ADD|
ADD|GGT,|GGT|FLL|MCO|FRA|JED|ADD|
ADD|GND,|GND|YYZ|FRA|JED|ADD|
ADD|GRU,|GRU|IST|ADD|
ADD|HAV,|HAV|YYZ|FRA|JED|ADD|
ADD|IND,|IND|YYZ|FRA|JED|ADD|
ADD|JFK,|JFK|FRA|JED|ADD|
ADD|KIN,|KIN|YYZ|FRA|JED|ADD|
ADD|LIM,|LIM|MIA|ZRH|IST|ADD|
ADD|LIR,|LIR|EWR|FRA|JED|ADD|
ADD|MCI,|MCI|ORD|IST|ADD|
ADD|MDT,|MDT|IAD|FRA|JED|ADD|
ADD|MIA,|MIA|ZRH|IST|ADD|
ADD|MKE,|MKE|YYZ|FRA|JED|ADD|
ADD|MSP,|MSP|YUL|FRA|JED|ADD|
ADD|NAS,|NAS|EWR|FRA|JED|ADD|
ADD|PHL,|PHL|IAD|FRA|JED|ADD|
ADD|PHX,|PHX|DEN|FRA|JED|ADD|
ADD|PIT,|PIT|YYZ|FRA|JED|ADD|
ADD|PLS,|PLS|EWR|FRA|JED|ADD|
ADD|POP,|POP|EWR|FRA|JED|ADD|
ADD|RDU,|RDU|EWR|FRA|JED|ADD|
ADD|ROC,|ROC|YYZ|FRA|JED|ADD|
ADD|RSW,|RSW|MCO|FRA|JED|ADD|
ADD|SAN,|SAN|LAX|IST|ADD|
