AJI|BRU,|BRU|IST|AJI|
AJI|OUA,|OUA|NIM|IST|AJI|
AJI|JED,|JED|IST|AJI|
AJI|CPH,|CPH|IST|AJI|
AJI|YYZ,|YYZ|VIE|ESB|AJI|
AJI|DEN,|DEN|FRA|ESB|AJI|
AJI|YUL,|YUL|FRA|ESB|AJI|
AJI|NBO,|NBO|IST|AJI|
AJI|ICN,|ICN|IST|AJI|
AJI|NRT,|NRT|IST|AJI|
AJI|YHZ,|YHZ|LHR|IST|AJI|
AJI|YOW,|YOW|FRA|ESB|AJI|
AJI|BJM,|BJM|BRU|IST|AJI|
AJI|COO,|COO|BRU|IST|AJI|
AJI|DKR,|DKR|BRU|IST|AJI|
AJI|DLA,|DLA|IST|AJI|
AJI|KGL,|KGL|IST|AJI|
AJI|LAD,|LAD|BRU|IST|AJI|
AJI|ABJ,|ABJ|OUA|NIM|IST|AJI|
AJI|AMS,|AMS|IST|AJI|
AJI|OSL,|OSL|IST|AJI|
AJI|VNO,|VNO|IST|AJI|
AJI|WAW,|WAW|IST|AJI|
AJI|YYC,|YYC|FRA|ESB|AJI|
AJI|ATL,|ATL|IAD|VIE|ESB|AJI|
AJI|MSY,|MSY|IAD|VIE|ESB|AJI|
AJI|YEG,|YEG|LHR|IST|AJI|
AJI|YMM,|YMM|YEG|LHR|IST|AJI|
AJI|YQR,|YQR|YEG|LHR|IST|AJI|
AJI|YVR,|YVR|FRA|ESB|AJI|
AJI|YWG,|YWG|YUL|FRA|ESB|AJI|
AJI|YXE,|YXE|YEG|LHR|IST|AJI|
AJI|CKY,|CKY|DKR|BRU|IST|AJI|
AJI|FIH,|FIH|IST|AJI|
AJI|SCL,|SCL|EZE|GRU|IST|AJI|
AJI|LCA,|LCA|FRA|ESB|AJI|
AJI|NAP,|NAP|IST|AJI|
AJI|VLC,|VLC|IST|AJI|
AJI|BKK,|BKK|IST|AJI|
AJI|ADD,|ADD|IST|AJI|
AJI|FRA,|FRA|ESB|AJI|
AJI|IST,|IST|AJI|
AJI|EBB,|EBB|KGL|IST|AJI|
AJI|YLW,|YLW|YYC|FRA|ESB|AJI|
AJI|YYT,|YYT|LHR|IST|AJI|
AJI|GUA,|GUA|MIA|FRA|ESB|AJI|
AJI|EWR,|EWR|FRA|ESB|AJI|
AJI|IAD,|IAD|VIE|ESB|AJI|
AJI|IAH,|IAH|YYZ|VIE|ESB|AJI|
AJI|ORD,|ORD|VIE|ESB|AJI|
AJI|SOF,|SOF|IST|AJI|
AJI|YQB,|YQB|YUL|FRA|ESB|AJI|
AJI|YXU,|YXU|YYZ|VIE|ESB|AJI|
AJI|EZE,|EZE|GRU|IST|AJI|
AJI|YYJ,|YYJ|YVR|FRA|ESB|AJI|
AJI|YYY,|YYY|YUL|FRA|ESB|AJI|
AJI|YQQ,|YQQ|YBL|YVR|FRA|ESB|AJI|
AJI|YYR,|YYR|YYT|LHR|IST|AJI|
AJI|LHR,|LHR|IST|AJI|
