AKU|BRU,|BRU|IST|URC|AKU|
AKU|OUA,|OUA|NIM|IST|URC|AKU|
AKU|JED,|JED|IST|URC|AKU|
AKU|CPH,|CPH|IST|URC|AKU|
AKU|YYZ,|YYZ|FRA|TSE|URC|AKU|
AKU|DEN,|DEN|YVR|PEK|URC|AKU|
AKU|YUL,|YUL|FRA|TSE|URC|AKU|
AKU|NBO,|NBO|IST|URC|AKU|
AKU|ICN,|ICN|PEK|URC|AKU|
AKU|NRT,|NRT|PEK|URC|AKU|
AKU|YHZ,|YHZ|LHR|IST|URC|AKU|
AKU|YOW,|YOW|FRA|TSE|URC|AKU|
AKU|BJM,|BJM|BRU|IST|URC|AKU|
AKU|COO,|COO|BRU|IST|URC|AKU|
AKU|DKR,|DKR|BRU|IST|URC|AKU|
AKU|DLA,|DLA|IST|URC|AKU|
AKU|KGL,|KGL|IST|URC|AKU|
AKU|LAD,|LAD|BRU|IST|URC|AKU|
AKU|ABJ,|ABJ|OUA|NIM|IST|URC|AKU|
AKU|AMS,|AMS|IST|URC|AKU|
AKU|OSL,|OSL|IST|URC|AKU|
AKU|VNO,|VNO|IST|URC|AKU|
AKU|WAW,|WAW|IST|URC|AKU|
AKU|YYC,|YYC|YVR|PEK|URC|AKU|
AKU|ATL,|ATL|FRA|TSE|URC|AKU|
AKU|MSY,|MSY|IAD|FRA|TSE|URC|AKU|
AKU|YEG,|YEG|YVR|PEK|URC|AKU|
AKU|YMM,|YMM|YVR|PEK|URC|AKU|
AKU|YQR,|YQR|YVR|PEK|URC|AKU|
AKU|YVR,|YVR|PEK|URC|AKU|
AKU|YWG,|YWG|YVR|PEK|URC|AKU|
AKU|YXE,|YXE|YVR|PEK|URC|AKU|
AKU|CKY,|CKY|DKR|BRU|IST|URC|AKU|
AKU|FIH,|FIH|IST|URC|AKU|
AKU|SCL,|SCL|EZE|GRU|IST|URC|AKU|
AKU|LCA,|LCA|FRA|TSE|URC|AKU|
AKU|NAP,|NAP|IST|URC|AKU|
AKU|VLC,|VLC|FRA|TSE|URC|AKU|
AKU|BKK,|BKK|NNG|KWE|URC|AKU|
AKU|ADD,|ADD|IST|URC|AKU|
AKU|FRA,|FRA|TSE|URC|AKU|
AKU|IST,|IST|URC|AKU|
AKU|EBB,|EBB|KGL|IST|URC|AKU|
AKU|YLW,|YLW|YVR|PEK|URC|AKU|
AKU|YYT,|YYT|LHR|IST|URC|AKU|
AKU|GUA,|GUA|MIA|FRA|TSE|URC|AKU|
AKU|EWR,|EWR|FRA|TSE|URC|AKU|
AKU|IAD,|IAD|FRA|TSE|URC|AKU|
AKU|IAH,|IAH|PEK|URC|AKU|
AKU|ORD,|ORD|FRA|TSE|URC|AKU|
AKU|SOF,|SOF|IST|URC|AKU|
AKU|YQB,|YQB|YUL|FRA|TSE|URC|AKU|
AKU|YXU,|YXU|YYZ|FRA|TSE|URC|AKU|
AKU|EZE,|EZE|GRU|IST|URC|AKU|
AKU|YYJ,|YYJ|YVR|PEK|URC|AKU|
AKU|YYY,|YYY|YUL|FRA|TSE|URC|AKU|
AKU|YQQ,|YQQ|YBL|YVR|PEK|URC|AKU|
AKU|YYR,|YYR|YYT|LHR|IST|URC|AKU|
AKU|LHR,|LHR|IST|URC|AKU|
AKU|SFO,|SFO|PEK|URC|AKU|
AKU|YQU,|YQU|YEG|YVR|PEK|URC|AKU|
AKU|YZF,|YZF|YEG|YVR|PEK|URC|AKU|
AKU|YGR,|YGR|YGP|YQB|YUL|FRA|TSE|URC|AKU|
AKU|YGP,|YGP|YQB|YUL|FRA|TSE|URC|AKU|
AKU|BOS,|BOS|FRA|TSE|URC|AKU|
AKU|YDF,|YDF|YYT|LHR|IST|URC|AKU|
AKU|YFC,|YFC|YHZ|LHR|IST|URC|AKU|
AKU|YQM,|YQM|YHZ|LHR|IST|URC|AKU|
AKU|YQX,|YQX|YYT|LHR|IST|URC|AKU|
AKU|YQY,|YQY|YHZ|LHR|IST|URC|AKU|
AKU|YSJ,|YSJ|YHZ|LHR|IST|URC|AKU|
AKU|YYG,|YYG|YHZ|LHR|IST|URC|AKU|
AKU|LAX,|LAX|PEK|URC|AKU|
AKU|DCA,|DCA|EWR|FRA|TSE|URC|AKU|
