AMS|BRU,|BRU|IST|AMS|
AMS|OUA,|OUA|NIM|IST|AMS|
AMS|JED,|JED|IST|AMS|
AMS|CPH,|CPH|AMS|
AMS|YYZ,|YYZ|EWR|AMS|
AMS|DEN,|DEN|ORD|AMS|
AMS|YUL,|YUL|EWR|AMS|
AMS|NBO,|NBO|IST|AMS|
AMS|ICN,|ICN|PEK|AMS|
AMS|NRT,|NRT|PEK|AMS|
AMS|YHZ,|YHZ|EWR|AMS|
AMS|YOW,|YOW|EWR|AMS|
AMS|BJM,|BJM|BRU|IST|AMS|
AMS|COO,|COO|BRU|IST|AMS|
AMS|DKR,|DKR|BRU|IST|AMS|
AMS|DLA,|DLA|IST|AMS|
AMS|KGL,|KGL|IST|AMS|
AMS|LAD,|LAD|BRU|IST|AMS|
AMS|ABJ,|ABJ|OUA|NIM|IST|AMS|
AMS|OSL,|OSL|CPH|AMS|
AMS|VNO,|VNO|CPH|AMS|
AMS|WAW,|WAW|CPH|AMS|
AMS|YYC,|YYC|ORD|AMS|
AMS|ATL,|ATL|IAD|AMS|
AMS|MSY,|MSY|IAD|AMS|
AMS|YEG,|YEG|ORD|AMS|
AMS|YMM,|YMM|YYZ|EWR|AMS|
AMS|YQR,|YQR|ORD|AMS|
AMS|YVR,|YVR|ORD|AMS|
AMS|YWG,|YWG|ORD|AMS|
AMS|YXE,|YXE|ORD|AMS|
AMS|CKY,|CKY|DKR|BRU|IST|AMS|
AMS|FIH,|FIH|IST|AMS|
AMS|SCL,|SCL|YYZ|EWR|AMS|
AMS|LCA,|LCA|FRA|VNO|CPH|AMS|
AMS|NAP,|NAP|IST|AMS|
AMS|VLC,|VLC|FRA|VNO|CPH|AMS|
AMS|BKK,|BKK|IST|AMS|
AMS|ADD,|ADD|IST|AMS|
AMS|FRA,|FRA|VNO|CPH|AMS|
AMS|IST,|IST|AMS|
AMS|EBB,|EBB|KGL|IST|AMS|
AMS|YLW,|YLW|YYC|ORD|AMS|
AMS|YYT,|YYT|EWR|AMS|
AMS|GUA,|GUA|EWR|AMS|
AMS|EWR,|EWR|AMS|
AMS|IAD,|IAD|AMS|
AMS|IAH,|IAH|AMS|
AMS|ORD,|ORD|AMS|
AMS|SOF,|SOF|IST|AMS|
AMS|YQB,|YQB|EWR|AMS|
AMS|YXU,|YXU|YYZ|EWR|AMS|
AMS|EZE,|EZE|GRU|IST|AMS|
AMS|YYJ,|YYJ|YVR|ORD|AMS|
AMS|YYY,|YYY|YUL|EWR|AMS|
AMS|YQQ,|YQQ|YYC|ORD|AMS|
AMS|YYR,|YYR|YHZ|EWR|AMS|
AMS|LHR,|LHR|IST|AMS|
AMS|SFO,|SFO|ORD|AMS|
AMS|YQU,|YQU|YEG|ORD|AMS|
AMS|YZF,|YZF|YEG|ORD|AMS|
AMS|YGR,|YGR|YGP|YQB|EWR|AMS|
AMS|YGP,|YGP|YQB|EWR|AMS|
AMS|BOS,|BOS|EWR|AMS|
AMS|YDF,|YDF|YHZ|EWR|AMS|
AMS|YFC,|YFC|YUL|EWR|AMS|
AMS|YQM,|YQM|EWR|AMS|
AMS|YQX,|YQX|YHZ|EWR|AMS|
AMS|YQY,|YQY|YHZ|EWR|AMS|
AMS|YSJ,|YSJ|YUL|EWR|AMS|
AMS|YYG,|YYG|YHZ|EWR|AMS|
AMS|LAX,|LAX|ORD|AMS|
AMS|DCA,|DCA|EWR|AMS|
AMS|LGA,|LGA|IAD|AMS|
AMS|YZV,|YZV|YQB|EWR|AMS|
AMS|YWL,|YWL|YVR|ORD|AMS|
AMS|AZS,|AZS|YYZ|EWR|AMS|
AMS|BDL,|BDL|BWI|EWR|AMS|
AMS|CCC,|CCC|YYZ|EWR|AMS|
AMS|CDG,|CDG|IST|AMS|
AMS|CUN,|CUN|EWR|AMS|
AMS|CZM,|CZM|IAH|AMS|
AMS|FDF,|FDF|YUL|EWR|AMS|
AMS|FLL,|FLL|EWR|AMS|
AMS|GVA,|GVA|IST|AMS|
AMS|HOG,|HOG|YYZ|EWR|AMS|
AMS|LAS,|LAS|ORD|AMS|
AMS|MBJ,|MBJ|EWR|AMS|
AMS|MCO,|MCO|EWR|AMS|
AMS|MUC,|MUC|IST|AMS|
AMS|PAP,|PAP|YUL|EWR|AMS|
AMS|PTP,|PTP|YUL|EWR|AMS|
AMS|PUJ,|PUJ|EWR|AMS|
AMS|SNU,|SNU|YYZ|EWR|AMS|
AMS|VRA,|VRA|YYZ|EWR|AMS|
AMS|YBC,|YBC|YUL|EWR|AMS|
AMS|YBG,|YBG|YUL|EWR|AMS|
AMS|YTZ,|YTZ|YUL|EWR|AMS|
AMS|YUY,|YUY|YUL|EWR|AMS|
