ANC|BRU,|BRU|ORD|ANC|
ANC|OUA,|OUA|BRU|ORD|ANC|
ANC|JED,|JED|FRA|SEA|ANC|
ANC|CPH,|CPH|YYZ|ORD|ANC|
ANC|YYZ,|YYZ|ORD|ANC|
ANC|DEN,|DEN|ANC|
ANC|YUL,|YUL|ORD|ANC|
ANC|NBO,|NBO|IST|FRA|SEA|ANC|
ANC|ICN,|ICN|SEA|ANC|
ANC|NRT,|NRT|SEA|ANC|
ANC|YHZ,|YHZ|ORD|ANC|
ANC|YOW,|YOW|ORD|ANC|
ANC|BJM,|BJM|BRU|ORD|ANC|
ANC|COO,|COO|BRU|ORD|ANC|
ANC|DKR,|DKR|IAD|ORD|ANC|
ANC|DLA,|DLA|BRU|ORD|ANC|
ANC|KGL,|KGL|IST|FRA|SEA|ANC|
ANC|LAD,|LAD|BRU|ORD|ANC|
ANC|ABJ,|ABJ|BRU|ORD|ANC|
ANC|AMS,|AMS|ORD|ANC|
ANC|OSL,|OSL|EWR|ORD|ANC|
ANC|VNO,|VNO|FRA|SEA|ANC|
ANC|WAW,|WAW|YYZ|ORD|ANC|
ANC|YYC,|YYC|YVR|SEA|ANC|
ANC|ATL,|ATL|ORD|ANC|
ANC|MSY,|MSY|DEN|ANC|
ANC|YEG,|YEG|YVR|SEA|ANC|
ANC|YMM,|YMM|YVR|SEA|ANC|
ANC|YQR,|YQR|YVR|SEA|ANC|
ANC|YVR,|YVR|SEA|ANC|
ANC|YWG,|YWG|YVR|SEA|ANC|
ANC|YXE,|YXE|YVR|SEA|ANC|
ANC|CKY,|CKY|DKR|IAD|ORD|ANC|
ANC|FIH,|FIH|IST|FRA|SEA|ANC|
ANC|SCL,|SCL|YYZ|ORD|ANC|
ANC|LCA,|LCA|FRA|SEA|ANC|
ANC|NAP,|NAP|FRA|SEA|ANC|
ANC|VLC,|VLC|FRA|SEA|ANC|
ANC|BKK,|BKK|CGO|PEK|SEA|ANC|
ANC|ADD,|ADD|JED|FRA|SEA|ANC|
ANC|FRA,|FRA|SEA|ANC|
ANC|IST,|IST|FRA|SEA|ANC|
ANC|EBB,|EBB|KGL|IST|FRA|SEA|ANC|
ANC|YLW,|YLW|YVR|SEA|ANC|
ANC|YYT,|YYT|YOW|ORD|ANC|
ANC|GUA,|GUA|IAH|DEN|ANC|
ANC|EWR,|EWR|ORD|ANC|
ANC|IAD,|IAD|ORD|ANC|
ANC|IAH,|IAH|DEN|ANC|
ANC|ORD,|ORD|ANC|
ANC|SOF,|SOF|MUC|YVR|SEA|ANC|
ANC|YQB,|YQB|ORD|ANC|
ANC|YXU,|YXU|ORD|ANC|
ANC|EZE,|EZE|IAH|DEN|ANC|
ANC|YYJ,|YYJ|YVR|SEA|ANC|
ANC|YYY,|YYY|YUL|ORD|ANC|
ANC|YQQ,|YQQ|YBL|YVR|SEA|ANC|
ANC|YYR,|YYR|YWK|YZV|YQB|ORD|ANC|
ANC|LHR,|LHR|YVR|SEA|ANC|
ANC|SFO,|SFO|SEA|ANC|
ANC|YQU,|YQU|YEG|YVR|SEA|ANC|
ANC|YZF,|YZF|YEG|YVR|SEA|ANC|
ANC|YGR,|YGR|YGP|YQB|ORD|ANC|
ANC|YGP,|YGP|YQB|ORD|ANC|
ANC|BOS,|BOS|ORD|ANC|
ANC|YDF,|YDF|YYZ|ORD|ANC|
ANC|YFC,|YFC|YYZ|ORD|ANC|
ANC|YQM,|YQM|YUL|ORD|ANC|
ANC|YQX,|YQX|YHZ|ORD|ANC|
ANC|YQY,|YQY|YYZ|ORD|ANC|
ANC|YSJ,|YSJ|YYZ|ORD|ANC|
ANC|YYG,|YYG|YUL|ORD|ANC|
ANC|LAX,|LAX|SEA|ANC|
ANC|DCA,|DCA|ORD|ANC|
ANC|LGA,|LGA|ORD|ANC|
ANC|YZV,|YZV|YQB|ORD|ANC|
ANC|YWL,|YWL|YVR|SEA|ANC|
ANC|AZS,|AZS|YYZ|ORD|ANC|
ANC|BDL,|BDL|ORD|ANC|
ANC|CCC,|CCC|YYZ|ORD|ANC|
ANC|CDG,|CDG|ORD|ANC|
ANC|CUN,|CUN|DEN|ANC|
ANC|CZM,|CZM|IAH|DEN|ANC|
ANC|FDF,|FDF|YUL|ORD|ANC|
ANC|FLL,|FLL|ORD|ANC|
ANC|GVA,|GVA|YUL|ORD|ANC|
ANC|HOG,|HOG|YYZ|ORD|ANC|
ANC|LAS,|LAS|SEA|ANC|
ANC|MBJ,|MBJ|ATL|ORD|ANC|
ANC|MCO,|MCO|ORD|ANC|
ANC|MUC,|MUC|YVR|SEA|ANC|
ANC|PAP,|PAP|YUL|ORD|ANC|
ANC|PTP,|PTP|YUL|ORD|ANC|
ANC|PUJ,|PUJ|ORD|ANC|
ANC|SNU,|SNU|YYZ|ORD|ANC|
ANC|VRA,|VRA|YYC|YVR|SEA|ANC|
ANC|YBC,|YBC|YUL|ORD|ANC|
ANC|YBG,|YBG|YUL|ORD|ANC|
ANC|YTZ,|YTZ|YUL|ORD|ANC|
ANC|YUY,|YUY|YUL|ORD|ANC|
ANC|YVO,|YVO|YUL|ORD|ANC|
ANC|ZBF,|ZBF|YUL|ORD|ANC|
ANC|ZRH,|ZRH|ORD|ANC|
ANC|ZSA,|ZSA|YUL|ORD|ANC|
ANC|AKL,|AKL|YVR|SEA|ANC|
ANC|HKG,|HKG|YVR|SEA|ANC|
ANC|HND,|HND|YVR|SEA|ANC|
ANC|HNL,|HNL|YVR|SEA|ANC|
ANC|MEX,|MEX|DEN|ANC|
ANC|OGG,|OGG|YVR|SEA|ANC|
ANC|PDX,|PDX|SEA|ANC|
ANC|PEK,|PEK|SEA|ANC|
ANC|PVG,|PVG|ICN|SEA|ANC|
ANC|PVR,|PVR|LAX|SEA|ANC|
ANC|SEA,|SEA|ANC|
ANC|SYD,|SYD|YVR|SEA|ANC|
ANC|YBL,|YBL|YVR|SEA|ANC|
ANC|YCD,|YCD|YVR|SEA|ANC|
ANC|YCG,|YCG|YVR|SEA|ANC|
ANC|YKA,|YKA|YVR|SEA|ANC|
ANC|YPR,|YPR|YVR|SEA|ANC|
ANC|YQZ,|YQZ|YVR|SEA|ANC|
ANC|YXC,|YXC|YVR|SEA|ANC|
ANC|YXJ,|YXJ|YVR|SEA|ANC|
ANC|YXS,|YXS|YVR|SEA|ANC|
ANC|YXT,|YXT|YVR|SEA|ANC|
ANC|YXY,|YXY|YVR|SEA|ANC|
ANC|YYD,|YYD|YVR|SEA|ANC|
ANC|YYF,|YYF|YVR|SEA|ANC|
ANC|YZP,|YZP|YVR|SEA|ANC|
ANC|YQT,|YQT|YWG|YVR|SEA|ANC|
ANC|SJD,|SJD|LAX|SEA|ANC|
ANC|YQF,|YQF|YYC|YVR|SEA|ANC|
ANC|YQL,|YQL|YYC|YVR|SEA|ANC|
ANC|YXH,|YXH|YYC|YVR|SEA|ANC|
ANC|YWK,|YWK|YZV|YQB|ORD|ANC|
ANC|ANU,|ANU|EWR|ORD|ANC|
ANC|AUA,|AUA|ATL|ORD|ANC|
ANC|AUH,|AUH|FRA|SEA|ANC|
ANC|BCN,|BCN|YYZ|ORD|ANC|
ANC|BDA,|BDA|EWR|ORD|ANC|
ANC|BGI,|BGI|YYZ|ORD|ANC|
ANC|BNA,|BNA|ORD|ANC|
ANC|BOG,|BOG|IAH|DEN|ANC|
ANC|BWI,|BWI|ORD|ANC|
ANC|CLE,|CLE|ORD|ANC|
ANC|CLT,|CLT|ORD|ANC|
ANC|CMH,|CMH|ORD|ANC|
ANC|CVG,|CVG|ORD|ANC|
ANC|DFW,|DFW|DEN|ANC|
ANC|DTW,|DTW|ORD|ANC|
ANC|DUB,|DUB|ORD|ANC|
ANC|FCO,|FCO|YYZ|ORD|ANC|
ANC|GCM,|GCM|IAH|DEN|ANC|
ANC|GGT,|GGT|FLL|ORD|ANC|
ANC|GND,|GND|YYZ|ORD|ANC|
ANC|GRU,|GRU|ORD|ANC|
ANC|HAV,|HAV|YYZ|ORD|ANC|
ANC|IND,|IND|ORD|ANC|
ANC|JFK,|JFK|YYZ|ORD|ANC|
ANC|KIN,|KIN|YYZ|ORD|ANC|
ANC|LIM,|LIM|IAH|DEN|ANC|
ANC|LIR,|LIR|IAH|DEN|ANC|
ANC|MCI,|MCI|DEN|ANC|
ANC|MDT,|MDT|ORD|ANC|
ANC|MIA,|MIA|ORD|ANC|
ANC|MKE,|MKE|ORD|ANC|
ANC|MSP,|MSP|DEN|ANC|
ANC|NAS,|NAS|ORD|ANC|
ANC|PHL,|PHL|ORD|ANC|
ANC|PHX,|PHX|SEA|ANC|
ANC|PIT,|PIT|ORD|ANC|
ANC|PLS,|PLS|YYZ|ORD|ANC|
ANC|POP,|POP|YYZ|ORD|ANC|
ANC|RDU,|RDU|ORD|ANC|
ANC|ROC,|ROC|ORD|ANC|
ANC|RSW,|RSW|ORD|ANC|
ANC|SAN,|SAN|RNO|SEA|ANC|
ANC|SJO,|SJO|IAH|DEN|ANC|
ANC|STL,|STL|ORD|ANC|
ANC|SYR,|SYR|ORD|ANC|
