AOG|BRU,|BRU|IST|PEK|AOG|
AOG|OUA,|OUA|NIM|IST|PEK|AOG|
AOG|JED,|JED|IST|PEK|AOG|
AOG|CPH,|CPH|AMS|PEK|AOG|
AOG|YYZ,|YYZ|PEK|AOG|
AOG|DEN,|DEN|YVR|PEK|AOG|
AOG|YUL,|YUL|YYZ|PEK|AOG|
AOG|NBO,|NBO|BKK|CGO|PEK|AOG|
AOG|ICN,|ICN|PEK|AOG|
AOG|NRT,|NRT|PEK|AOG|
AOG|YHZ,|YHZ|YYZ|PEK|AOG|
AOG|YOW,|YOW|YYZ|PEK|AOG|
AOG|BJM,|BJM|BRU|IST|PEK|AOG|
AOG|COO,|COO|BRU|IST|PEK|AOG|
AOG|DKR,|DKR|BRU|IST|PEK|AOG|
AOG|DLA,|DLA|IST|PEK|AOG|
AOG|KGL,|KGL|IST|PEK|AOG|
AOG|LAD,|LAD|BRU|IST|PEK|AOG|
AOG|ABJ,|ABJ|OUA|NIM|IST|PEK|AOG|
AOG|AMS,|AMS|PEK|AOG|
AOG|OSL,|OSL|CPH|AMS|PEK|AOG|
AOG|VNO,|VNO|IST|PEK|AOG|
AOG|WAW,|WAW|IST|PEK|AOG|
AOG|YYC,|YYC|YVR|PEK|AOG|
AOG|ATL,|ATL|ORD|PEK|AOG|
AOG|MSY,|MSY|ORD|PEK|AOG|
AOG|YEG,|YEG|YVR|PEK|AOG|
AOG|YMM,|YMM|YVR|PEK|AOG|
AOG|YQR,|YQR|YVR|PEK|AOG|
AOG|YVR,|YVR|PEK|AOG|
AOG|YWG,|YWG|YVR|PEK|AOG|
AOG|YXE,|YXE|YVR|PEK|AOG|
AOG|CKY,|CKY|DKR|BRU|IST|PEK|AOG|
AOG|FIH,|FIH|IST|PEK|AOG|
AOG|SCL,|SCL|YYZ|PEK|AOG|
AOG|LCA,|LCA|FRA|TSE|URC|PEK|AOG|
AOG|NAP,|NAP|IST|PEK|AOG|
AOG|VLC,|VLC|FRA|TSE|URC|PEK|AOG|
AOG|BKK,|BKK|CGO|PEK|AOG|
AOG|ADD,|ADD|IST|PEK|AOG|
AOG|FRA,|FRA|TSE|URC|PEK|AOG|
AOG|IST,|IST|PEK|AOG|
AOG|EBB,|EBB|KGL|IST|PEK|AOG|
AOG|YLW,|YLW|YVR|PEK|AOG|
AOG|YYT,|YYT|YYZ|PEK|AOG|
AOG|GUA,|GUA|IAH|PEK|AOG|
AOG|EWR,|EWR|PEK|AOG|
AOG|IAD,|IAD|PEK|AOG|
AOG|IAH,|IAH|PEK|AOG|
AOG|ORD,|ORD|PEK|AOG|
AOG|SOF,|SOF|IST|PEK|AOG|
AOG|YQB,|YQB|YYZ|PEK|AOG|
AOG|YXU,|YXU|YYZ|PEK|AOG|
AOG|EZE,|EZE|GRU|IST|PEK|AOG|
AOG|YYJ,|YYJ|YVR|PEK|AOG|
AOG|YYY,|YYY|YUL|YYZ|PEK|AOG|
AOG|YQQ,|YQQ|YBL|YVR|PEK|AOG|
AOG|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|AOG|
AOG|LHR,|LHR|IST|PEK|AOG|
AOG|SFO,|SFO|PEK|AOG|
AOG|YQU,|YQU|YEG|YVR|PEK|AOG|
AOG|YZF,|YZF|YEG|YVR|PEK|AOG|
AOG|YGR,|YGR|YGP|YQB|YYZ|PEK|AOG|
AOG|YGP,|YGP|YQB|YYZ|PEK|AOG|
AOG|BOS,|BOS|YYZ|PEK|AOG|
AOG|YDF,|YDF|YYZ|PEK|AOG|
AOG|YFC,|YFC|YYZ|PEK|AOG|
AOG|YQM,|YQM|YYZ|PEK|AOG|
AOG|YQX,|YQX|YHZ|YYZ|PEK|AOG|
AOG|YQY,|YQY|YYZ|PEK|AOG|
AOG|YSJ,|YSJ|YYZ|PEK|AOG|
AOG|YYG,|YYG|YYZ|PEK|AOG|
AOG|LAX,|LAX|PEK|AOG|
AOG|DCA,|DCA|YYZ|PEK|AOG|
AOG|LGA,|LGA|YYZ|PEK|AOG|
AOG|YZV,|YZV|YQB|YYZ|PEK|AOG|
AOG|YWL,|YWL|YVR|PEK|AOG|
AOG|AZS,|AZS|YYZ|PEK|AOG|
AOG|BDL,|BDL|YYZ|PEK|AOG|
AOG|CCC,|CCC|YYZ|PEK|AOG|
AOG|CDG,|CDG|IST|PEK|AOG|
AOG|CUN,|CUN|IAH|PEK|AOG|
AOG|CZM,|CZM|IAH|PEK|AOG|
AOG|FDF,|FDF|YUL|YYZ|PEK|AOG|
AOG|FLL,|FLL|ORD|PEK|AOG|
AOG|GVA,|GVA|IST|PEK|AOG|
AOG|HOG,|HOG|YYZ|PEK|AOG|
AOG|LAS,|LAS|SEA|PEK|AOG|
AOG|MBJ,|MBJ|ATL|ORD|PEK|AOG|
AOG|MCO,|MCO|ORD|PEK|AOG|
AOG|MUC,|MUC|IST|PEK|AOG|
AOG|PAP,|PAP|YUL|YYZ|PEK|AOG|
AOG|PTP,|PTP|YUL|YYZ|PEK|AOG|
AOG|PUJ,|PUJ|EWR|PEK|AOG|
AOG|SNU,|SNU|YYZ|PEK|AOG|
AOG|VRA,|VRA|YYZ|PEK|AOG|
AOG|YBC,|YBC|YUL|YYZ|PEK|AOG|
AOG|YBG,|YBG|YUL|YYZ|PEK|AOG|
AOG|YTZ,|YTZ|YUL|YYZ|PEK|AOG|
AOG|YUY,|YUY|YUL|YYZ|PEK|AOG|
AOG|YVO,|YVO|YUL|YYZ|PEK|AOG|
AOG|ZBF,|ZBF|YUL|YYZ|PEK|AOG|
AOG|ZRH,|ZRH|IST|PEK|AOG|
AOG|ZSA,|ZSA|YUL|YYZ|PEK|AOG|
AOG|AKL,|AKL|CAN|PEK|AOG|
AOG|HKG,|HKG|PEK|AOG|
AOG|HND,|HND|HNL|PEK|AOG|
AOG|HNL,|HNL|PEK|AOG|
AOG|MEX,|MEX|YVR|PEK|AOG|
AOG|OGG,|OGG|HNL|PEK|AOG|
AOG|PDX,|PDX|SEA|PEK|AOG|
AOG|PEK,|PEK|AOG|
AOG|PVG,|PVG|PEK|AOG|
AOG|PVR,|PVR|SFO|PEK|AOG|
AOG|SEA,|SEA|PEK|AOG|
AOG|SYD,|SYD|ICN|PEK|AOG|
AOG|YBL,|YBL|YVR|PEK|AOG|
AOG|YCD,|YCD|YVR|PEK|AOG|
AOG|YCG,|YCG|YVR|PEK|AOG|
AOG|YKA,|YKA|YVR|PEK|AOG|
AOG|YPR,|YPR|YVR|PEK|AOG|
AOG|YQZ,|YQZ|YVR|PEK|AOG|
AOG|YXC,|YXC|YVR|PEK|AOG|
AOG|YXJ,|YXJ|YVR|PEK|AOG|
AOG|YXS,|YXS|YVR|PEK|AOG|
AOG|YXT,|YXT|YVR|PEK|AOG|
AOG|YXY,|YXY|YVR|PEK|AOG|
AOG|YYD,|YYD|YVR|PEK|AOG|
AOG|YYF,|YYF|YVR|PEK|AOG|
AOG|YZP,|YZP|YVR|PEK|AOG|
AOG|YQT,|YQT|YWG|YVR|PEK|AOG|
AOG|SJD,|SJD|SFO|PEK|AOG|
AOG|YQF,|YQF|YYC|YVR|PEK|AOG|
AOG|YQL,|YQL|YYC|YVR|PEK|AOG|
AOG|YXH,|YXH|YYC|YVR|PEK|AOG|
AOG|YWK,|YWK|YZV|YQB|YYZ|PEK|AOG|
AOG|ANU,|ANU|EWR|PEK|AOG|
AOG|AUA,|AUA|EWR|PEK|AOG|
AOG|AUH,|AUH|IST|PEK|AOG|
AOG|BCN,|BCN|IST|PEK|AOG|
AOG|BDA,|BDA|EWR|PEK|AOG|
AOG|BGI,|BGI|YYZ|PEK|AOG|
AOG|BNA,|BNA|ORD|PEK|AOG|
AOG|BOG,|BOG|MIA|ORD|PEK|AOG|
AOG|BWI,|BWI|YYZ|PEK|AOG|
AOG|CLE,|CLE|YYZ|PEK|AOG|
AOG|CLT,|CLT|YYZ|PEK|AOG|
AOG|CMH,|CMH|ORD|PEK|AOG|
AOG|CVG,|CVG|ORD|PEK|AOG|
AOG|DFW,|DFW|YVR|PEK|AOG|
AOG|DTW,|DTW|PEK|AOG|
AOG|DUB,|DUB|IST|PEK|AOG|
AOG|FCO,|FCO|IST|PEK|AOG|
