AQJ|BRU,|BRU|IST|AQJ|
AQJ|OUA,|OUA|NIM|IST|AQJ|
AQJ|JED,|JED|IST|AQJ|
AQJ|CPH,|CPH|IST|AQJ|
AQJ|YYZ,|YYZ|IST|AQJ|
AQJ|DEN,|DEN|FRA|IST|AQJ|
AQJ|YUL,|YUL|FRA|IST|AQJ|
AQJ|NBO,|NBO|IST|AQJ|
AQJ|ICN,|ICN|IST|AQJ|
AQJ|NRT,|NRT|IST|AQJ|
AQJ|YHZ,|YHZ|LHR|IST|AQJ|
AQJ|YOW,|YOW|FRA|IST|AQJ|
AQJ|BJM,|BJM|BRU|IST|AQJ|
AQJ|COO,|COO|BRU|IST|AQJ|
AQJ|DKR,|DKR|BRU|IST|AQJ|
AQJ|DLA,|DLA|IST|AQJ|
AQJ|KGL,|KGL|IST|AQJ|
AQJ|LAD,|LAD|BRU|IST|AQJ|
AQJ|ABJ,|ABJ|OUA|NIM|IST|AQJ|
AQJ|AMS,|AMS|IST|AQJ|
AQJ|OSL,|OSL|IST|AQJ|
AQJ|VNO,|VNO|IST|AQJ|
AQJ|WAW,|WAW|IST|AQJ|
AQJ|YYC,|YYC|FRA|IST|AQJ|
AQJ|ATL,|ATL|FRA|IST|AQJ|
AQJ|MSY,|MSY|IAD|IST|AQJ|
AQJ|YEG,|YEG|LHR|IST|AQJ|
AQJ|YMM,|YMM|YEG|LHR|IST|AQJ|
AQJ|YQR,|YQR|YEG|LHR|IST|AQJ|
AQJ|YVR,|YVR|MUC|IST|AQJ|
AQJ|YWG,|YWG|YUL|FRA|IST|AQJ|
AQJ|YXE,|YXE|YEG|LHR|IST|AQJ|
AQJ|CKY,|CKY|DKR|BRU|IST|AQJ|
AQJ|FIH,|FIH|IST|AQJ|
AQJ|SCL,|SCL|EZE|GRU|IST|AQJ|
AQJ|LCA,|LCA|FRA|IST|AQJ|
AQJ|NAP,|NAP|IST|AQJ|
AQJ|VLC,|VLC|IST|AQJ|
AQJ|BKK,|BKK|IST|AQJ|
AQJ|ADD,|ADD|IST|AQJ|
AQJ|FRA,|FRA|IST|AQJ|
AQJ|IST,|IST|AQJ|
AQJ|EBB,|EBB|KGL|IST|AQJ|
AQJ|YLW,|YLW|YYC|FRA|IST|AQJ|
AQJ|YYT,|YYT|LHR|IST|AQJ|
AQJ|GUA,|GUA|MIA|ZRH|IST|AQJ|
AQJ|EWR,|EWR|BHX|IST|AQJ|
AQJ|IAD,|IAD|IST|AQJ|
AQJ|IAH,|IAH|IST|AQJ|
AQJ|ORD,|ORD|IST|AQJ|
AQJ|SOF,|SOF|IST|AQJ|
AQJ|YQB,|YQB|YUL|FRA|IST|AQJ|
AQJ|YXU,|YXU|YYZ|IST|AQJ|
AQJ|EZE,|EZE|GRU|IST|AQJ|
AQJ|YYJ,|YYJ|YVR|MUC|IST|AQJ|
AQJ|YYY,|YYY|YUL|FRA|IST|AQJ|
AQJ|YQQ,|YQQ|YBL|YVR|MUC|IST|AQJ|
AQJ|YYR,|YYR|YYT|LHR|IST|AQJ|
AQJ|LHR,|LHR|IST|AQJ|
AQJ|SFO,|SFO|MUC|IST|AQJ|
AQJ|YQU,|YQU|YEG|LHR|IST|AQJ|
AQJ|YZF,|YZF|YEG|LHR|IST|AQJ|
AQJ|YGR,|YGR|YGP|YQB|YUL|FRA|IST|AQJ|
AQJ|YGP,|YGP|YQB|YUL|FRA|IST|AQJ|
AQJ|BOS,|BOS|FRA|IST|AQJ|
AQJ|YDF,|YDF|YYT|LHR|IST|AQJ|
AQJ|YFC,|YFC|YHZ|LHR|IST|AQJ|
AQJ|YQM,|YQM|YHZ|LHR|IST|AQJ|
AQJ|YQX,|YQX|YYT|LHR|IST|AQJ|
AQJ|YQY,|YQY|YHZ|LHR|IST|AQJ|
AQJ|YSJ,|YSJ|YHZ|LHR|IST|AQJ|
AQJ|YYG,|YYG|YHZ|LHR|IST|AQJ|
AQJ|LAX,|LAX|IST|AQJ|
AQJ|DCA,|DCA|EWR|BHX|IST|AQJ|
AQJ|LGA,|LGA|YHZ|LHR|IST|AQJ|
AQJ|YZV,|YZV|YWK|YYR|YYT|LHR|IST|AQJ|
AQJ|YWL,|YWL|YVR|MUC|IST|AQJ|
AQJ|AZS,|AZS|YUL|FRA|IST|AQJ|
AQJ|BDL,|BDL|YUL|FRA|IST|AQJ|
AQJ|CCC,|CCC|YUL|FRA|IST|AQJ|
AQJ|CDG,|CDG|IST|AQJ|
AQJ|CUN,|CUN|YHZ|LHR|IST|AQJ|
AQJ|CZM,|CZM|YUL|FRA|IST|AQJ|
AQJ|FDF,|FDF|YUL|FRA|IST|AQJ|
AQJ|FLL,|FLL|MCO|FRA|IST|AQJ|
AQJ|GVA,|GVA|IST|AQJ|
AQJ|HOG,|HOG|YUL|FRA|IST|AQJ|
AQJ|LAS,|LAS|DEN|FRA|IST|AQJ|
AQJ|MBJ,|MBJ|YHZ|LHR|IST|AQJ|
AQJ|MCO,|MCO|FRA|IST|AQJ|
AQJ|MUC,|MUC|IST|AQJ|
AQJ|PAP,|PAP|YUL|FRA|IST|AQJ|
AQJ|PTP,|PTP|YUL|FRA|IST|AQJ|
AQJ|PUJ,|PUJ|YHZ|LHR|IST|AQJ|
AQJ|SNU,|SNU|YUL|FRA|IST|AQJ|
AQJ|VRA,|VRA|YUL|FRA|IST|AQJ|
AQJ|YBC,|YBC|YUL|FRA|IST|AQJ|
AQJ|YBG,|YBG|YUL|FRA|IST|AQJ|
AQJ|YTZ,|YTZ|YUL|FRA|IST|AQJ|
AQJ|YUY,|YUY|YUL|FRA|IST|AQJ|
AQJ|YVO,|YVO|YUL|FRA|IST|AQJ|
AQJ|ZBF,|ZBF|YUL|FRA|IST|AQJ|
AQJ|ZRH,|ZRH|IST|AQJ|
AQJ|ZSA,|ZSA|YUL|FRA|IST|AQJ|
AQJ|AKL,|AKL|BKK|IST|AQJ|
AQJ|HKG,|HKG|IST|AQJ|
AQJ|HND,|HND|YVR|MUC|IST|AQJ|
