ASF|BRU,|BRU|SAW|ASF|
ASF|OUA,|OUA|NIM|IST|ADB|SAW|ASF|
ASF|JED,|JED|IST|ADB|SAW|ASF|
ASF|CPH,|CPH|IST|ADB|SAW|ASF|
ASF|YYZ,|YYZ|VIE|SAW|ASF|
ASF|DEN,|DEN|FRA|SAW|ASF|
ASF|YUL,|YUL|FRA|SAW|ASF|
ASF|NBO,|NBO|IST|ADB|SAW|ASF|
ASF|ICN,|ICN|PEK|URC|TBS|SAW|ASF|
ASF|NRT,|NRT|PEK|URC|TBS|SAW|ASF|
ASF|YHZ,|YHZ|LHR|IST|ADB|SAW|ASF|
ASF|YOW,|YOW|FRA|SAW|ASF|
ASF|BJM,|BJM|BRU|SAW|ASF|
ASF|COO,|COO|BRU|SAW|ASF|
ASF|DKR,|DKR|BRU|SAW|ASF|
ASF|DLA,|DLA|IST|ADB|SAW|ASF|
ASF|KGL,|KGL|IST|ADB|SAW|ASF|
ASF|LAD,|LAD|BRU|SAW|ASF|
ASF|ABJ,|ABJ|OUA|NIM|IST|ADB|SAW|ASF|
ASF|AMS,|AMS|SAW|ASF|
ASF|OSL,|OSL|IST|ADB|SAW|ASF|
ASF|VNO,|VNO|IST|ADB|SAW|ASF|
ASF|WAW,|WAW|IST|ADB|SAW|ASF|
ASF|YYC,|YYC|FRA|SAW|ASF|
ASF|ATL,|ATL|FRA|SAW|ASF|
ASF|MSY,|MSY|IAD|FRA|SAW|ASF|
ASF|YEG,|YEG|YYC|FRA|SAW|ASF|
ASF|YMM,|YMM|YYC|FRA|SAW|ASF|
ASF|YQR,|YQR|YYC|FRA|SAW|ASF|
ASF|YVR,|YVR|MUC|SAW|ASF|
ASF|YWG,|YWG|YUL|FRA|SAW|ASF|
ASF|YXE,|YXE|YYC|FRA|SAW|ASF|
ASF|CKY,|CKY|DKR|BRU|SAW|ASF|
ASF|FIH,|FIH|IST|ADB|SAW|ASF|
ASF|SCL,|SCL|EZE|GRU|IST|ADB|SAW|ASF|
ASF|LCA,|LCA|FRA|SAW|ASF|
ASF|NAP,|NAP|IST|ADB|SAW|ASF|
ASF|VLC,|VLC|IST|ADB|SAW|ASF|
ASF|BKK,|BKK|IST|ADB|SAW|ASF|
ASF|ADD,|ADD|IST|ADB|SAW|ASF|
ASF|FRA,|FRA|SAW|ASF|
ASF|IST,|IST|ADB|SAW|ASF|
ASF|EBB,|EBB|KGL|IST|ADB|SAW|ASF|
ASF|YLW,|YLW|YYC|FRA|SAW|ASF|
ASF|YYT,|YYT|LHR|IST|ADB|SAW|ASF|
ASF|GUA,|GUA|MIA|FRA|SAW|ASF|
ASF|EWR,|EWR|FRA|SAW|ASF|
ASF|IAD,|IAD|FRA|SAW|ASF|
ASF|IAH,|IAH|YYZ|VIE|SAW|ASF|
ASF|ORD,|ORD|VIE|SAW|ASF|
ASF|SOF,|SOF|IST|ADB|SAW|ASF|
ASF|YQB,|YQB|YUL|FRA|SAW|ASF|
ASF|YXU,|YXU|YYZ|VIE|SAW|ASF|
ASF|EZE,|EZE|GRU|IST|ADB|SAW|ASF|
ASF|YYJ,|YYJ|YVR|MUC|SAW|ASF|
ASF|YYY,|YYY|YUL|FRA|SAW|ASF|
ASF|YQQ,|YQQ|YBL|YVR|MUC|SAW|ASF|
ASF|YYR,|YYR|YYT|LHR|IST|ADB|SAW|ASF|
ASF|LHR,|LHR|IST|ADB|SAW|ASF|
ASF|SFO,|SFO|MUC|SAW|ASF|
ASF|YQU,|YQU|YYC|FRA|SAW|ASF|
ASF|YZF,|YZF|YYC|FRA|SAW|ASF|
ASF|YGR,|YGR|YGP|YQB|YUL|FRA|SAW|ASF|
ASF|YGP,|YGP|YQB|YUL|FRA|SAW|ASF|
ASF|BOS,|BOS|FRA|SAW|ASF|
ASF|YDF,|YDF|YYT|LHR|IST|ADB|SAW|ASF|
ASF|YFC,|YFC|YHZ|LHR|IST|ADB|SAW|ASF|
ASF|YQM,|YQM|YHZ|LHR|IST|ADB|SAW|ASF|
ASF|YQX,|YQX|YYT|LHR|IST|ADB|SAW|ASF|
ASF|YQY,|YQY|YHZ|LHR|IST|ADB|SAW|ASF|
ASF|YSJ,|YSJ|YHZ|LHR|IST|ADB|SAW|ASF|
ASF|YYG,|YYG|YHZ|LHR|IST|ADB|SAW|ASF|
ASF|LAX,|LAX|FRA|SAW|ASF|
ASF|DCA,|DCA|EWR|FRA|SAW|ASF|
ASF|LGA,|LGA|YUL|FRA|SAW|ASF|
ASF|YZV,|YZV|YWK|YYR|YYT|LHR|IST|ADB|SAW|ASF|
ASF|YWL,|YWL|YVR|MUC|SAW|ASF|
ASF|AZS,|AZS|YUL|FRA|SAW|ASF|
ASF|BDL,|BDL|YUL|FRA|SAW|ASF|
ASF|CCC,|CCC|YUL|FRA|SAW|ASF|
ASF|CDG,|CDG|SAW|ASF|
ASF|CUN,|CUN|EWR|FRA|SAW|ASF|
ASF|CZM,|CZM|YUL|FRA|SAW|ASF|
ASF|FDF,|FDF|YUL|FRA|SAW|ASF|
ASF|FLL,|FLL|MCO|FRA|SAW|ASF|
ASF|GVA,|GVA|IST|ADB|SAW|ASF|
ASF|HOG,|HOG|YUL|FRA|SAW|ASF|
ASF|LAS,|LAS|DEN|FRA|SAW|ASF|
ASF|MBJ,|MBJ|EWR|FRA|SAW|ASF|
ASF|MCO,|MCO|FRA|SAW|ASF|
ASF|MUC,|MUC|SAW|ASF|
ASF|PAP,|PAP|YUL|FRA|SAW|ASF|
ASF|PTP,|PTP|YUL|FRA|SAW|ASF|
ASF|PUJ,|PUJ|EWR|FRA|SAW|ASF|
ASF|SNU,|SNU|YUL|FRA|SAW|ASF|
ASF|VRA,|VRA|YUL|FRA|SAW|ASF|
ASF|YBC,|YBC|YUL|FRA|SAW|ASF|
ASF|YBG,|YBG|YUL|FRA|SAW|ASF|
ASF|YTZ,|YTZ|YUL|FRA|SAW|ASF|
ASF|YUY,|YUY|YUL|FRA|SAW|ASF|
ASF|YVO,|YVO|YUL|FRA|SAW|ASF|
