ASR|BRU,|BRU|SAW|ASR|
ASR|OUA,|OUA|NIM|IST|ASR|
ASR|JED,|JED|IST|ASR|
ASR|CPH,|CPH|IST|ASR|
ASR|YYZ,|YYZ|VIE|SAW|ASR|
ASR|DEN,|DEN|FRA|SAW|ASR|
ASR|YUL,|YUL|FRA|SAW|ASR|
ASR|NBO,|NBO|IST|ASR|
ASR|ICN,|ICN|IST|ASR|
ASR|NRT,|NRT|IST|ASR|
ASR|YHZ,|YHZ|LHR|IST|ASR|
ASR|YOW,|YOW|FRA|SAW|ASR|
ASR|BJM,|BJM|BRU|SAW|ASR|
ASR|COO,|COO|BRU|SAW|ASR|
ASR|DKR,|DKR|BRU|SAW|ASR|
ASR|DLA,|DLA|IST|ASR|
ASR|KGL,|KGL|IST|ASR|
ASR|LAD,|LAD|BRU|SAW|ASR|
ASR|ABJ,|ABJ|OUA|NIM|IST|ASR|
ASR|AMS,|AMS|SAW|ASR|
ASR|OSL,|OSL|IST|ASR|
ASR|VNO,|VNO|IST|ASR|
ASR|WAW,|WAW|IST|ASR|
ASR|YYC,|YYC|FRA|SAW|ASR|
ASR|ATL,|ATL|FRA|SAW|ASR|
ASR|MSY,|MSY|IAD|FRA|SAW|ASR|
ASR|YEG,|YEG|LHR|IST|ASR|
ASR|YMM,|YMM|YEG|LHR|IST|ASR|
ASR|YQR,|YQR|YEG|LHR|IST|ASR|
ASR|YVR,|YVR|MUC|SAW|ASR|
ASR|YWG,|YWG|YUL|FRA|SAW|ASR|
ASR|YXE,|YXE|YEG|LHR|IST|ASR|
ASR|CKY,|CKY|DKR|BRU|SAW|ASR|
ASR|FIH,|FIH|IST|ASR|
ASR|SCL,|SCL|EZE|GRU|IST|ASR|
ASR|LCA,|LCA|FRA|SAW|ASR|
ASR|NAP,|NAP|IST|ASR|
ASR|VLC,|VLC|IST|ASR|
ASR|BKK,|BKK|IST|ASR|
ASR|ADD,|ADD|IST|ASR|
ASR|FRA,|FRA|SAW|ASR|
ASR|IST,|IST|ASR|
ASR|EBB,|EBB|KGL|IST|ASR|
ASR|YLW,|YLW|YYC|FRA|SAW|ASR|
ASR|YYT,|YYT|LHR|IST|ASR|
ASR|GUA,|GUA|MIA|ZRH|IST|ASR|
ASR|EWR,|EWR|FRA|SAW|ASR|
ASR|IAD,|IAD|FRA|SAW|ASR|
ASR|IAH,|IAH|YYZ|VIE|SAW|ASR|
ASR|ORD,|ORD|VIE|SAW|ASR|
ASR|SOF,|SOF|IST|ASR|
ASR|YQB,|YQB|YUL|FRA|SAW|ASR|
ASR|YXU,|YXU|YYZ|VIE|SAW|ASR|
ASR|EZE,|EZE|GRU|IST|ASR|
ASR|YYJ,|YYJ|YVR|MUC|SAW|ASR|
ASR|YYY,|YYY|YUL|FRA|SAW|ASR|
ASR|YQQ,|YQQ|YBL|YVR|MUC|SAW|ASR|
ASR|YYR,|YYR|YYT|LHR|IST|ASR|
ASR|LHR,|LHR|IST|ASR|
ASR|SFO,|SFO|MUC|SAW|ASR|
ASR|YQU,|YQU|YEG|LHR|IST|ASR|
ASR|YZF,|YZF|YEG|LHR|IST|ASR|
ASR|YGR,|YGR|YGP|YQB|YUL|FRA|SAW|ASR|
ASR|YGP,|YGP|YQB|YUL|FRA|SAW|ASR|
ASR|BOS,|BOS|FRA|SAW|ASR|
ASR|YDF,|YDF|YYT|LHR|IST|ASR|
ASR|YFC,|YFC|YHZ|LHR|IST|ASR|
ASR|YQM,|YQM|YHZ|LHR|IST|ASR|
ASR|YQX,|YQX|YYT|LHR|IST|ASR|
ASR|YQY,|YQY|YHZ|LHR|IST|ASR|
ASR|YSJ,|YSJ|YHZ|LHR|IST|ASR|
ASR|YYG,|YYG|YHZ|LHR|IST|ASR|
ASR|LAX,|LAX|IST|ASR|
ASR|DCA,|DCA|EWR|FRA|SAW|ASR|
ASR|LGA,|LGA|YHZ|LHR|IST|ASR|
ASR|YZV,|YZV|YWK|YYR|YYT|LHR|IST|ASR|
ASR|YWL,|YWL|YVR|MUC|SAW|ASR|
ASR|AZS,|AZS|YUL|FRA|SAW|ASR|
ASR|BDL,|BDL|YUL|FRA|SAW|ASR|
ASR|CCC,|CCC|YUL|FRA|SAW|ASR|
ASR|CDG,|CDG|SAW|ASR|
ASR|CUN,|CUN|YHZ|LHR|IST|ASR|
ASR|CZM,|CZM|YUL|FRA|SAW|ASR|
ASR|FDF,|FDF|YUL|FRA|SAW|ASR|
ASR|FLL,|FLL|MCO|FRA|SAW|ASR|
ASR|GVA,|GVA|IST|ASR|
ASR|HOG,|HOG|YUL|FRA|SAW|ASR|
ASR|LAS,|LAS|DEN|FRA|SAW|ASR|
ASR|MBJ,|MBJ|YHZ|LHR|IST|ASR|
ASR|MCO,|MCO|FRA|SAW|ASR|
ASR|MUC,|MUC|SAW|ASR|
ASR|PAP,|PAP|YUL|FRA|SAW|ASR|
ASR|PTP,|PTP|YUL|FRA|SAW|ASR|
ASR|PUJ,|PUJ|YHZ|LHR|IST|ASR|
ASR|SNU,|SNU|YUL|FRA|SAW|ASR|
ASR|VRA,|VRA|YUL|FRA|SAW|ASR|
ASR|YBC,|YBC|YUL|FRA|SAW|ASR|
ASR|YBG,|YBG|YUL|FRA|SAW|ASR|
ASR|YTZ,|YTZ|YUL|FRA|SAW|ASR|
ASR|YUY,|YUY|YUL|FRA|SAW|ASR|
ASR|YVO,|YVO|YUL|FRA|SAW|ASR|
ASR|ZBF,|ZBF|YUL|FRA|SAW|ASR|
ASR|ZRH,|ZRH|IST|ASR|
ASR|ZSA,|ZSA|YUL|FRA|SAW|ASR|
ASR|AKL,|AKL|BKK|IST|ASR|
ASR|HKG,|HKG|IST|ASR|
ASR|HND,|HND|YVR|MUC|SAW|ASR|
ASR|HNL,|HNL|YVR|MUC|SAW|ASR|
ASR|MEX,|MEX|IAD|FRA|SAW|ASR|
ASR|OGG,|OGG|YVR|MUC|SAW|ASR|
ASR|PDX,|PDX|SEA|FRA|SAW|ASR|
ASR|PEK,|PEK|IST|ASR|
ASR|PVG,|PVG|URC|TBS|SAW|ASR|
ASR|PVR,|PVR|ORD|VIE|SAW|ASR|
ASR|SEA,|SEA|FRA|SAW|ASR|
ASR|SYD,|SYD|BKK|IST|ASR|
ASR|YBL,|YBL|YVR|MUC|SAW|ASR|
ASR|YCD,|YCD|YVR|MUC|SAW|ASR|
ASR|YCG,|YCG|YYC|FRA|SAW|ASR|
ASR|YKA,|YKA|YYC|FRA|SAW|ASR|
ASR|YPR,|YPR|YVR|MUC|SAW|ASR|
ASR|YQZ,|YQZ|YVR|MUC|SAW|ASR|
ASR|YXC,|YXC|YYC|FRA|SAW|ASR|
ASR|YXJ,|YXJ|YYC|FRA|SAW|ASR|
ASR|YXS,|YXS|YYC|FRA|SAW|ASR|
ASR|YXT,|YXT|YVR|MUC|SAW|ASR|
ASR|YXY,|YXY|YVR|MUC|SAW|ASR|
ASR|YYD,|YYD|YVR|MUC|SAW|ASR|
ASR|YYF,|YYF|YVR|MUC|SAW|ASR|
ASR|YZP,|YZP|YVR|MUC|SAW|ASR|
ASR|YQT,|YQT|YYZ|VIE|SAW|ASR|
ASR|SJD,|SJD|ORD|VIE|SAW|ASR|
ASR|YQF,|YQF|YYC|FRA|SAW|ASR|
ASR|YQL,|YQL|YYC|FRA|SAW|ASR|
ASR|YXH,|YXH|YYC|FRA|SAW|ASR|
ASR|YWK,|YWK|YYR|YYT|LHR|IST|ASR|
ASR|ANU,|ANU|EWR|FRA|SAW|ASR|
ASR|AUA,|AUA|EWR|FRA|SAW|ASR|
ASR|AUH,|AUH|IST|ASR|
ASR|BCN,|BCN|IST|ASR|
ASR|BDA,|BDA|EWR|FRA|SAW|ASR|
ASR|BGI,|BGI|YYZ|VIE|SAW|ASR|
ASR|BNA,|BNA|YYZ|VIE|SAW|ASR|
ASR|BOG,|BOG|MIA|ZRH|IST|ASR|
ASR|BWI,|BWI|EWR|FRA|SAW|ASR|
ASR|CLE,|CLE|YYZ|VIE|SAW|ASR|
ASR|CLT,|CLT|EWR|FRA|SAW|ASR|
ASR|CMH,|CMH|YYZ|VIE|SAW|ASR|
ASR|CVG,|CVG|YYZ|VIE|SAW|ASR|
ASR|DFW,|DFW|ORD|VIE|SAW|ASR|
ASR|DTW,|DTW|YYZ|VIE|SAW|ASR|
ASR|DUB,|DUB|IST|ASR|
ASR|FCO,|FCO|IST|ASR|
ASR|GCM,|GCM|EWR|FRA|SAW|ASR|
ASR|GGT,|GGT|FLL|MCO|FRA|SAW|ASR|
ASR|GND,|GND|YYZ|VIE|SAW|ASR|
ASR|GRU,|GRU|IST|ASR|
ASR|HAV,|HAV|YYZ|VIE|SAW|ASR|
ASR|IND,|IND|YYZ|VIE|SAW|ASR|
ASR|JFK,|JFK|FRA|SAW|ASR|
ASR|KIN,|KIN|YYZ|VIE|SAW|ASR|
ASR|LIM,|LIM|MIA|ZRH|IST|ASR|
ASR|LIR,|LIR|EWR|FRA|SAW|ASR|
ASR|MCI,|MCI|ORD|VIE|SAW|ASR|
ASR|MDT,|MDT|IAD|FRA|SAW|ASR|
ASR|MIA,|MIA|ZRH|IST|ASR|
ASR|MKE,|MKE|YYZ|VIE|SAW|ASR|
ASR|MSP,|MSP|YUL|FRA|SAW|ASR|
