ATH|BRU,|BRU|IST|ATH|
ATH|OUA,|OUA|NIM|IST|ATH|
ATH|JED,|JED|IST|ATH|
ATH|CPH,|CPH|IST|ATH|
ATH|YYZ,|YYZ|IST|ATH|
ATH|DEN,|DEN|FRA|IST|ATH|
ATH|YUL,|YUL|FRA|IST|ATH|
ATH|NBO,|NBO|IST|ATH|
ATH|ICN,|ICN|IST|ATH|
ATH|NRT,|NRT|IST|ATH|
ATH|YHZ,|YHZ|LHR|IST|ATH|
ATH|YOW,|YOW|FRA|IST|ATH|
ATH|BJM,|BJM|BRU|IST|ATH|
ATH|COO,|COO|BRU|IST|ATH|
ATH|DKR,|DKR|BRU|IST|ATH|
ATH|DLA,|DLA|IST|ATH|
ATH|KGL,|KGL|IST|ATH|
ATH|LAD,|LAD|BRU|IST|ATH|
ATH|ABJ,|ABJ|OUA|NIM|IST|ATH|
ATH|AMS,|AMS|IST|ATH|
ATH|OSL,|OSL|IST|ATH|
ATH|VNO,|VNO|IST|ATH|
ATH|WAW,|WAW|IST|ATH|
ATH|YYC,|YYC|FRA|IST|ATH|
ATH|ATL,|ATL|FRA|IST|ATH|
ATH|MSY,|MSY|IAD|IST|ATH|
ATH|YEG,|YEG|LHR|IST|ATH|
ATH|YMM,|YMM|YEG|LHR|IST|ATH|
ATH|YQR,|YQR|YEG|LHR|IST|ATH|
ATH|YVR,|YVR|MUC|IST|ATH|
ATH|YWG,|YWG|YUL|FRA|IST|ATH|
ATH|YXE,|YXE|YEG|LHR|IST|ATH|
ATH|CKY,|CKY|DKR|BRU|IST|ATH|
ATH|FIH,|FIH|IST|ATH|
ATH|SCL,|SCL|EZE|GRU|IST|ATH|
ATH|LCA,|LCA|FRA|IST|ATH|
ATH|NAP,|NAP|IST|ATH|
ATH|VLC,|VLC|IST|ATH|
ATH|BKK,|BKK|IST|ATH|
ATH|ADD,|ADD|IST|ATH|
ATH|FRA,|FRA|IST|ATH|
ATH|IST,|IST|ATH|
ATH|EBB,|EBB|KGL|IST|ATH|
ATH|YLW,|YLW|YYC|FRA|IST|ATH|
ATH|YYT,|YYT|LHR|IST|ATH|
ATH|GUA,|GUA|MIA|ZRH|IST|ATH|
ATH|EWR,|EWR|BHX|IST|ATH|
ATH|IAD,|IAD|IST|ATH|
ATH|IAH,|IAH|IST|ATH|
ATH|ORD,|ORD|IST|ATH|
ATH|SOF,|SOF|IST|ATH|
ATH|YQB,|YQB|YUL|FRA|IST|ATH|
ATH|YXU,|YXU|YYZ|IST|ATH|
ATH|EZE,|EZE|GRU|IST|ATH|
ATH|YYJ,|YYJ|YVR|MUC|IST|ATH|
ATH|YYY,|YYY|YUL|FRA|IST|ATH|
ATH|YQQ,|YQQ|YBL|YVR|MUC|IST|ATH|
ATH|YYR,|YYR|YYT|LHR|IST|ATH|
ATH|LHR,|LHR|IST|ATH|
ATH|SFO,|SFO|MUC|IST|ATH|
ATH|YQU,|YQU|YEG|LHR|IST|ATH|
ATH|YZF,|YZF|YEG|LHR|IST|ATH|
ATH|YGR,|YGR|YGP|YQB|YUL|FRA|IST|ATH|
ATH|YGP,|YGP|YQB|YUL|FRA|IST|ATH|
ATH|BOS,|BOS|FRA|IST|ATH|
ATH|YDF,|YDF|YYT|LHR|IST|ATH|
ATH|YFC,|YFC|YHZ|LHR|IST|ATH|
ATH|YQM,|YQM|YHZ|LHR|IST|ATH|
ATH|YQX,|YQX|YYT|LHR|IST|ATH|
ATH|YQY,|YQY|YHZ|LHR|IST|ATH|
ATH|YSJ,|YSJ|YHZ|LHR|IST|ATH|
ATH|YYG,|YYG|YHZ|LHR|IST|ATH|
ATH|LAX,|LAX|IST|ATH|
ATH|DCA,|DCA|EWR|BHX|IST|ATH|
ATH|LGA,|LGA|YHZ|LHR|IST|ATH|
ATH|YZV,|YZV|YWK|YYR|YYT|LHR|IST|ATH|
ATH|YWL,|YWL|YVR|MUC|IST|ATH|
ATH|AZS,|AZS|YUL|FRA|IST|ATH|
ATH|BDL,|BDL|YUL|FRA|IST|ATH|
ATH|CCC,|CCC|YUL|FRA|IST|ATH|
ATH|CDG,|CDG|IST|ATH|
ATH|CUN,|CUN|YHZ|LHR|IST|ATH|
ATH|CZM,|CZM|YUL|FRA|IST|ATH|
ATH|FDF,|FDF|YUL|FRA|IST|ATH|
ATH|FLL,|FLL|MCO|FRA|IST|ATH|
ATH|GVA,|GVA|IST|ATH|
ATH|HOG,|HOG|YUL|FRA|IST|ATH|
ATH|LAS,|LAS|DEN|FRA|IST|ATH|
ATH|MBJ,|MBJ|YHZ|LHR|IST|ATH|
ATH|MCO,|MCO|FRA|IST|ATH|
ATH|MUC,|MUC|IST|ATH|
ATH|PAP,|PAP|YUL|FRA|IST|ATH|
ATH|PTP,|PTP|YUL|FRA|IST|ATH|
ATH|PUJ,|PUJ|YHZ|LHR|IST|ATH|
ATH|SNU,|SNU|YUL|FRA|IST|ATH|
ATH|VRA,|VRA|YUL|FRA|IST|ATH|
ATH|YBC,|YBC|YUL|FRA|IST|ATH|
ATH|YBG,|YBG|YUL|FRA|IST|ATH|
ATH|YTZ,|YTZ|YUL|FRA|IST|ATH|
ATH|YUY,|YUY|YUL|FRA|IST|ATH|
ATH|YVO,|YVO|YUL|FRA|IST|ATH|
ATH|ZBF,|ZBF|YUL|FRA|IST|ATH|
ATH|ZRH,|ZRH|IST|ATH|
ATH|ZSA,|ZSA|YUL|FRA|IST|ATH|
ATH|AKL,|AKL|BKK|IST|ATH|
ATH|HKG,|HKG|IST|ATH|
ATH|HND,|HND|YVR|MUC|IST|ATH|
ATH|HNL,|HNL|YVR|MUC|IST|ATH|
ATH|MEX,|MEX|IAD|IST|ATH|
ATH|OGG,|OGG|YVR|MUC|IST|ATH|
ATH|PDX,|PDX|SEA|FRA|IST|ATH|
ATH|PEK,|PEK|IST|ATH|
ATH|PVG,|PVG|IST|ATH|
ATH|PVR,|PVR|ORD|IST|ATH|
ATH|SEA,|SEA|FRA|IST|ATH|
ATH|SYD,|SYD|BKK|IST|ATH|
ATH|YBL,|YBL|YVR|MUC|IST|ATH|
ATH|YCD,|YCD|YVR|MUC|IST|ATH|
ATH|YCG,|YCG|YYC|FRA|IST|ATH|
ATH|YKA,|YKA|YYC|FRA|IST|ATH|
ATH|YPR,|YPR|YVR|MUC|IST|ATH|
ATH|YQZ,|YQZ|YVR|MUC|IST|ATH|
ATH|YXC,|YXC|YYC|FRA|IST|ATH|
ATH|YXJ,|YXJ|YYC|FRA|IST|ATH|
ATH|YXS,|YXS|YYC|FRA|IST|ATH|
