ATL|BRU,|BRU|IAD|ATL|
ATL|OUA,|OUA|BRU|IAD|ATL|
ATL|JED,|JED|FRA|ATL|
ATL|CPH,|CPH|YYZ|ATL|
ATL|YYZ,|YYZ|ATL|
ATL|DEN,|DEN|ATL|
ATL|YUL,|YUL|IAD|ATL|
ATL|NBO,|NBO|ZRH|BOS|ATL|
ATL|ICN,|ICN|YVR|DEN|ATL|
ATL|NRT,|NRT|ORD|ATL|
ATL|YHZ,|YHZ|LGA|ATL|
ATL|YOW,|YOW|YYZ|ATL|
ATL|BJM,|BJM|BRU|IAD|ATL|
ATL|COO,|COO|BRU|IAD|ATL|
ATL|DKR,|DKR|IAD|ATL|
ATL|DLA,|DLA|BRU|IAD|ATL|
ATL|KGL,|KGL|BRU|IAD|ATL|
ATL|LAD,|LAD|BRU|IAD|ATL|
ATL|ABJ,|ABJ|BRU|IAD|ATL|
ATL|AMS,|AMS|IAD|ATL|
ATL|OSL,|OSL|EWR|ATL|
ATL|VNO,|VNO|CPH|YYZ|ATL|
ATL|WAW,|WAW|YYZ|ATL|
ATL|YYC,|YYC|ORD|ATL|
ATL|MSY,|MSY|ATL|
ATL|YEG,|YEG|ORD|ATL|
ATL|YMM,|YMM|YEG|ORD|ATL|
ATL|YQR,|YQR|ORD|ATL|
ATL|YVR,|YVR|DEN|ATL|
ATL|YWG,|YWG|ORD|ATL|
ATL|YXE,|YXE|ORD|ATL|
ATL|CKY,|CKY|DKR|IAD|ATL|
ATL|FIH,|FIH|DLA|BRU|IAD|ATL|
ATL|SCL,|SCL|YYZ|ATL|
ATL|LCA,|LCA|FRA|ATL|
ATL|NAP,|NAP|FRA|ATL|
ATL|VLC,|VLC|FRA|ATL|
ATL|BKK,|BKK|CGO|PEK|ORD|ATL|
ATL|ADD,|ADD|JED|FRA|ATL|
ATL|FRA,|FRA|ATL|
ATL|IST,|IST|FRA|ATL|
ATL|EBB,|EBB|KGL|BRU|IAD|ATL|
ATL|YLW,|YLW|YYC|ORD|ATL|
ATL|YYT,|YYT|YHZ|LGA|ATL|
