AUA|BRU,|BRU|EWR|AUA|
AUA|OUA,|OUA|BRU|EWR|AUA|
AUA|JED,|JED|FRA|EWR|AUA|
AUA|CPH,|CPH|AMS|EWR|AUA|
AUA|YYZ,|YYZ|AUA|
AUA|DEN,|DEN|ATL|AUA|
AUA|YUL,|YUL|EWR|AUA|
AUA|NBO,|NBO|ZRH|EWR|AUA|
AUA|ICN,|ICN|JFK|IAD|AUA|
AUA|NRT,|NRT|ORD|ATL|AUA|
AUA|YHZ,|YHZ|EWR|AUA|
AUA|YOW,|YOW|EWR|AUA|
AUA|BJM,|BJM|BRU|EWR|AUA|
AUA|COO,|COO|BRU|EWR|AUA|
AUA|DKR,|DKR|IAD|AUA|
AUA|DLA,|DLA|BRU|EWR|AUA|
AUA|KGL,|KGL|BRU|EWR|AUA|
AUA|LAD,|LAD|BRU|EWR|AUA|
AUA|ABJ,|ABJ|BRU|EWR|AUA|
AUA|AMS,|AMS|EWR|AUA|
AUA|OSL,|OSL|EWR|AUA|
AUA|VNO,|VNO|CPH|AMS|EWR|AUA|
AUA|WAW,|WAW|CPH|AMS|EWR|AUA|
AUA|YYC,|YYC|ORD|ATL|AUA|
AUA|ATL,|ATL|AUA|
AUA|MSY,|MSY|ATL|AUA|
AUA|YEG,|YEG|ORD|ATL|AUA|
AUA|YMM,|YMM|YYZ|AUA|
AUA|YQR,|YQR|ORD|ATL|AUA|
AUA|YVR,|YVR|DEN|ATL|AUA|
AUA|YWG,|YWG|ORD|ATL|AUA|
AUA|YXE,|YXE|ORD|ATL|AUA|
AUA|CKY,|CKY|DKR|IAD|AUA|
AUA|FIH,|FIH|DLA|BRU|EWR|AUA|
AUA|SCL,|SCL|YYZ|AUA|
AUA|LCA,|LCA|FRA|EWR|AUA|
AUA|NAP,|NAP|FRA|EWR|AUA|
AUA|VLC,|VLC|FRA|EWR|AUA|
AUA|BKK,|BKK|CGO|PEK|EWR|AUA|
AUA|ADD,|ADD|JED|FRA|EWR|AUA|
AUA|FRA,|FRA|EWR|AUA|
AUA|IST,|IST|BHX|EWR|AUA|
AUA|EBB,|EBB|KGL|BRU|EWR|AUA|
AUA|YLW,|YLW|YYC|ORD|ATL|AUA|
