AUH|BRU,|BRU|IST|AUH|
AUH|OUA,|OUA|NIM|IST|AUH|
AUH|JED,|JED|IST|AUH|
AUH|CPH,|CPH|IST|AUH|
AUH|YYZ,|YYZ|AUH|
AUH|DEN,|DEN|FRA|AUH|
AUH|YUL,|YUL|FRA|AUH|
AUH|NBO,|NBO|IST|AUH|
AUH|ICN,|ICN|IST|AUH|
AUH|NRT,|NRT|IST|AUH|
AUH|YHZ,|YHZ|LHR|IST|AUH|
AUH|YOW,|YOW|FRA|AUH|
AUH|BJM,|BJM|BRU|IST|AUH|
AUH|COO,|COO|BRU|IST|AUH|
AUH|DKR,|DKR|BRU|IST|AUH|
AUH|DLA,|DLA|IST|AUH|
AUH|KGL,|KGL|IST|AUH|
AUH|LAD,|LAD|BRU|IST|AUH|
AUH|ABJ,|ABJ|OUA|NIM|IST|AUH|
AUH|AMS,|AMS|IST|AUH|
AUH|OSL,|OSL|IST|AUH|
AUH|VNO,|VNO|IST|AUH|
AUH|WAW,|WAW|IST|AUH|
AUH|YYC,|YYC|FRA|AUH|
AUH|ATL,|ATL|FRA|AUH|
AUH|MSY,|MSY|YYZ|AUH|
AUH|YEG,|YEG|LHR|IST|AUH|
AUH|YMM,|YMM|YEG|LHR|IST|AUH|
AUH|YQR,|YQR|YEG|LHR|IST|AUH|
AUH|YVR,|YVR|FRA|AUH|
AUH|YWG,|YWG|YUL|FRA|AUH|
AUH|YXE,|YXE|YEG|LHR|IST|AUH|
AUH|CKY,|CKY|DKR|BRU|IST|AUH|
AUH|FIH,|FIH|IST|AUH|
AUH|SCL,|SCL|EZE|GRU|IST|AUH|
AUH|LCA,|LCA|FRA|AUH|
AUH|NAP,|NAP|IST|AUH|
AUH|VLC,|VLC|IST|AUH|
AUH|BKK,|BKK|IST|AUH|
AUH|ADD,|ADD|IST|AUH|
AUH|FRA,|FRA|AUH|
AUH|IST,|IST|AUH|
AUH|EBB,|EBB|KGL|IST|AUH|
AUH|YLW,|YLW|YYC|FRA|AUH|
AUH|YYT,|YYT|LHR|IST|AUH|
AUH|GUA,|GUA|MIA|ZRH|IST|AUH|
AUH|EWR,|EWR|FRA|AUH|
AUH|IAD,|IAD|FRA|AUH|
AUH|IAH,|IAH|YYZ|AUH|
AUH|ORD,|ORD|YYZ|AUH|
AUH|SOF,|SOF|IST|AUH|
AUH|YQB,|YQB|YUL|FRA|AUH|
AUH|YXU,|YXU|YYZ|AUH|
AUH|EZE,|EZE|GRU|IST|AUH|
AUH|YYJ,|YYJ|YVR|FRA|AUH|
AUH|YYY,|YYY|YUL|FRA|AUH|
AUH|YQQ,|YQQ|YBL|YVR|FRA|AUH|
AUH|YYR,|YYR|YYT|LHR|IST|AUH|
AUH|LHR,|LHR|IST|AUH|
AUH|SFO,|SFO|FRA|AUH|
AUH|YQU,|YQU|YEG|LHR|IST|AUH|
AUH|YZF,|YZF|YEG|LHR|IST|AUH|
AUH|YGR,|YGR|YGP|YQB|YUL|FRA|AUH|
AUH|YGP,|YGP|YQB|YUL|FRA|AUH|
AUH|BOS,|BOS|FRA|AUH|
AUH|YDF,|YDF|YYT|LHR|IST|AUH|
AUH|YFC,|YFC|YHZ|LHR|IST|AUH|
AUH|YQM,|YQM|YHZ|LHR|IST|AUH|
AUH|YQX,|YQX|YYT|LHR|IST|AUH|
AUH|YQY,|YQY|YHZ|LHR|IST|AUH|
AUH|YSJ,|YSJ|YHZ|LHR|IST|AUH|
AUH|YYG,|YYG|YHZ|LHR|IST|AUH|
AUH|LAX,|LAX|IST|AUH|
AUH|DCA,|DCA|EWR|FRA|AUH|
AUH|LGA,|LGA|YHZ|LHR|IST|AUH|
AUH|YZV,|YZV|YWK|YYR|YYT|LHR|IST|AUH|
AUH|YWL,|YWL|YVR|FRA|AUH|
AUH|AZS,|AZS|YUL|FRA|AUH|
AUH|BDL,|BDL|YUL|FRA|AUH|
AUH|CCC,|CCC|YUL|FRA|AUH|
AUH|CDG,|CDG|IST|AUH|
AUH|CUN,|CUN|YHZ|LHR|IST|AUH|
AUH|CZM,|CZM|YUL|FRA|AUH|
AUH|FDF,|FDF|YUL|FRA|AUH|
AUH|FLL,|FLL|MCO|FRA|AUH|
AUH|GVA,|GVA|IST|AUH|
AUH|HOG,|HOG|YUL|FRA|AUH|
AUH|LAS,|LAS|DEN|FRA|AUH|
AUH|MBJ,|MBJ|YHZ|LHR|IST|AUH|
AUH|MCO,|MCO|FRA|AUH|
AUH|MUC,|MUC|IST|AUH|
AUH|PAP,|PAP|YUL|FRA|AUH|
AUH|PTP,|PTP|YUL|FRA|AUH|
AUH|PUJ,|PUJ|YHZ|LHR|IST|AUH|
AUH|SNU,|SNU|YUL|FRA|AUH|
AUH|VRA,|VRA|YUL|FRA|AUH|
AUH|YBC,|YBC|YUL|FRA|AUH|
AUH|YBG,|YBG|YUL|FRA|AUH|
AUH|YTZ,|YTZ|YUL|FRA|AUH|
AUH|YUY,|YUY|YUL|FRA|AUH|
AUH|YVO,|YVO|YUL|FRA|AUH|
