BAH|BRU,|BRU|IST|BAH|
BAH|OUA,|OUA|NIM|IST|BAH|
BAH|JED,|JED|IST|BAH|
BAH|CPH,|CPH|IST|BAH|
BAH|YYZ,|YYZ|IST|BAH|
BAH|DEN,|DEN|FRA|IST|BAH|
BAH|YUL,|YUL|FRA|IST|BAH|
BAH|NBO,|NBO|IST|BAH|
BAH|ICN,|ICN|IST|BAH|
BAH|NRT,|NRT|IST|BAH|
BAH|YHZ,|YHZ|LHR|IST|BAH|
BAH|YOW,|YOW|FRA|IST|BAH|
BAH|BJM,|BJM|BRU|IST|BAH|
BAH|COO,|COO|BRU|IST|BAH|
BAH|DKR,|DKR|BRU|IST|BAH|
BAH|DLA,|DLA|IST|BAH|
BAH|KGL,|KGL|IST|BAH|
BAH|LAD,|LAD|BRU|IST|BAH|
BAH|ABJ,|ABJ|OUA|NIM|IST|BAH|
BAH|AMS,|AMS|IST|BAH|
BAH|OSL,|OSL|IST|BAH|
BAH|VNO,|VNO|IST|BAH|
BAH|WAW,|WAW|IST|BAH|
BAH|YYC,|YYC|FRA|IST|BAH|
BAH|ATL,|ATL|IAD|KWI|BAH|
BAH|MSY,|MSY|IAD|KWI|BAH|
BAH|YEG,|YEG|LHR|IST|BAH|
BAH|YMM,|YMM|YEG|LHR|IST|BAH|
BAH|YQR,|YQR|YEG|LHR|IST|BAH|
BAH|YVR,|YVR|MUC|IST|BAH|
BAH|YWG,|YWG|YUL|FRA|IST|BAH|
BAH|YXE,|YXE|YEG|LHR|IST|BAH|
BAH|CKY,|CKY|DKR|BRU|IST|BAH|
BAH|FIH,|FIH|IST|BAH|
BAH|SCL,|SCL|EZE|GRU|IST|BAH|
BAH|LCA,|LCA|FRA|IST|BAH|
BAH|NAP,|NAP|IST|BAH|
BAH|VLC,|VLC|IST|BAH|
BAH|BKK,|BKK|IST|BAH|
BAH|ADD,|ADD|IST|BAH|
BAH|FRA,|FRA|IST|BAH|
BAH|IST,|IST|BAH|
BAH|EBB,|EBB|KGL|IST|BAH|
BAH|YLW,|YLW|YYC|FRA|IST|BAH|
BAH|YYT,|YYT|LHR|IST|BAH|
BAH|GUA,|GUA|MIA|ZRH|IST|BAH|
BAH|EWR,|EWR|BHX|IST|BAH|
BAH|IAD,|IAD|KWI|BAH|
BAH|IAH,|IAH|IST|BAH|
BAH|ORD,|ORD|IST|BAH|
BAH|SOF,|SOF|IST|BAH|
BAH|YQB,|YQB|YUL|FRA|IST|BAH|
BAH|YXU,|YXU|YYZ|IST|BAH|
BAH|EZE,|EZE|GRU|IST|BAH|
BAH|YYJ,|YYJ|YVR|MUC|IST|BAH|
BAH|YYY,|YYY|YUL|FRA|IST|BAH|
BAH|YQQ,|YQQ|YBL|YVR|MUC|IST|BAH|
BAH|YYR,|YYR|YYT|LHR|IST|BAH|
BAH|LHR,|LHR|IST|BAH|
BAH|SFO,|SFO|MUC|IST|BAH|
BAH|YQU,|YQU|YEG|LHR|IST|BAH|
BAH|YZF,|YZF|YEG|LHR|IST|BAH|
BAH|YGR,|YGR|YGP|YQB|YUL|FRA|IST|BAH|
BAH|YGP,|YGP|YQB|YUL|FRA|IST|BAH|
BAH|BOS,|BOS|FRA|IST|BAH|
BAH|YDF,|YDF|YYT|LHR|IST|BAH|
BAH|YFC,|YFC|YHZ|LHR|IST|BAH|
BAH|YQM,|YQM|YHZ|LHR|IST|BAH|
BAH|YQX,|YQX|YYT|LHR|IST|BAH|
BAH|YQY,|YQY|YHZ|LHR|IST|BAH|
