BEY|BRU,|BRU|IST|BEY|
BEY|OUA,|OUA|NIM|IST|BEY|
BEY|JED,|JED|IST|BEY|
BEY|CPH,|CPH|IST|BEY|
BEY|YYZ,|YYZ|IST|BEY|
BEY|DEN,|DEN|FRA|IST|BEY|
BEY|YUL,|YUL|FRA|IST|BEY|
BEY|NBO,|NBO|IST|BEY|
BEY|ICN,|ICN|IST|BEY|
BEY|NRT,|NRT|IST|BEY|
BEY|YHZ,|YHZ|LHR|IST|BEY|
BEY|YOW,|YOW|FRA|IST|BEY|
BEY|BJM,|BJM|BRU|IST|BEY|
BEY|COO,|COO|BRU|IST|BEY|
BEY|DKR,|DKR|BRU|IST|BEY|
BEY|DLA,|DLA|IST|BEY|
BEY|KGL,|KGL|IST|BEY|
BEY|LAD,|LAD|BRU|IST|BEY|
BEY|ABJ,|ABJ|OUA|NIM|IST|BEY|
BEY|AMS,|AMS|IST|BEY|
BEY|OSL,|OSL|IST|BEY|
BEY|VNO,|VNO|IST|BEY|
BEY|WAW,|WAW|IST|BEY|
BEY|YYC,|YYC|FRA|IST|BEY|
BEY|ATL,|ATL|FRA|IST|BEY|
BEY|MSY,|MSY|IAD|IST|BEY|
BEY|YEG,|YEG|LHR|IST|BEY|
BEY|YMM,|YMM|YEG|LHR|IST|BEY|
BEY|YQR,|YQR|YEG|LHR|IST|BEY|
BEY|YVR,|YVR|MUC|IST|BEY|
BEY|YWG,|YWG|YUL|FRA|IST|BEY|
BEY|YXE,|YXE|YEG|LHR|IST|BEY|
BEY|CKY,|CKY|DKR|BRU|IST|BEY|
BEY|FIH,|FIH|IST|BEY|
BEY|SCL,|SCL|EZE|GRU|IST|BEY|
BEY|LCA,|LCA|FRA|IST|BEY|
BEY|NAP,|NAP|IST|BEY|
BEY|VLC,|VLC|IST|BEY|
BEY|BKK,|BKK|IST|BEY|
BEY|ADD,|ADD|IST|BEY|
BEY|FRA,|FRA|IST|BEY|
BEY|IST,|IST|BEY|
BEY|EBB,|EBB|KGL|IST|BEY|
BEY|YLW,|YLW|YYC|FRA|IST|BEY|
BEY|YYT,|YYT|LHR|IST|BEY|
BEY|GUA,|GUA|MIA|ZRH|IST|BEY|
BEY|EWR,|EWR|BHX|IST|BEY|
BEY|IAD,|IAD|IST|BEY|
BEY|IAH,|IAH|IST|BEY|
BEY|ORD,|ORD|IST|BEY|
BEY|SOF,|SOF|IST|BEY|
BEY|YQB,|YQB|YUL|FRA|IST|BEY|
BEY|YXU,|YXU|YYZ|IST|BEY|
BEY|EZE,|EZE|GRU|IST|BEY|
BEY|YYJ,|YYJ|YVR|MUC|IST|BEY|
BEY|YYY,|YYY|YUL|FRA|IST|BEY|
BEY|YQQ,|YQQ|YBL|YVR|MUC|IST|BEY|
BEY|YYR,|YYR|YYT|LHR|IST|BEY|
BEY|LHR,|LHR|IST|BEY|
BEY|SFO,|SFO|MUC|IST|BEY|
BEY|YQU,|YQU|YEG|LHR|IST|BEY|
BEY|YZF,|YZF|YEG|LHR|IST|BEY|
BEY|YGR,|YGR|YGP|YQB|YUL|FRA|IST|BEY|
BEY|YGP,|YGP|YQB|YUL|FRA|IST|BEY|
BEY|BOS,|BOS|FRA|IST|BEY|
BEY|YDF,|YDF|YYT|LHR|IST|BEY|
BEY|YFC,|YFC|YHZ|LHR|IST|BEY|
BEY|YQM,|YQM|YHZ|LHR|IST|BEY|
BEY|YQX,|YQX|YYT|LHR|IST|BEY|
BEY|YQY,|YQY|YHZ|LHR|IST|BEY|
BEY|YSJ,|YSJ|YHZ|LHR|IST|BEY|
BEY|YYG,|YYG|YHZ|LHR|IST|BEY|
BEY|LAX,|LAX|IST|BEY|
BEY|DCA,|DCA|EWR|BHX|IST|BEY|
BEY|LGA,|LGA|YHZ|LHR|IST|BEY|
BEY|YZV,|YZV|YWK|YYR|YYT|LHR|IST|BEY|
BEY|YWL,|YWL|YVR|MUC|IST|BEY|
BEY|AZS,|AZS|YUL|FRA|IST|BEY|
BEY|BDL,|BDL|YUL|FRA|IST|BEY|
BEY|CCC,|CCC|YUL|FRA|IST|BEY|
BEY|CDG,|CDG|IST|BEY|
BEY|CUN,|CUN|YHZ|LHR|IST|BEY|
BEY|CZM,|CZM|YUL|FRA|IST|BEY|
BEY|FDF,|FDF|YUL|FRA|IST|BEY|
BEY|FLL,|FLL|MCO|FRA|IST|BEY|
BEY|GVA,|GVA|IST|BEY|
BEY|HOG,|HOG|YUL|FRA|IST|BEY|
BEY|LAS,|LAS|DEN|FRA|IST|BEY|
BEY|MBJ,|MBJ|YHZ|LHR|IST|BEY|
BEY|MCO,|MCO|FRA|IST|BEY|
BEY|MUC,|MUC|IST|BEY|
BEY|PAP,|PAP|YUL|FRA|IST|BEY|
BEY|PTP,|PTP|YUL|FRA|IST|BEY|
BEY|PUJ,|PUJ|YHZ|LHR|IST|BEY|
BEY|SNU,|SNU|YUL|FRA|IST|BEY|
BEY|VRA,|VRA|YUL|FRA|IST|BEY|
BEY|YBC,|YBC|YUL|FRA|IST|BEY|
BEY|YBG,|YBG|YUL|FRA|IST|BEY|
BEY|YTZ,|YTZ|YUL|FRA|IST|BEY|
BEY|YUY,|YUY|YUL|FRA|IST|BEY|
BEY|YVO,|YVO|YUL|FRA|IST|BEY|
BEY|ZBF,|ZBF|YUL|FRA|IST|BEY|
BEY|ZRH,|ZRH|IST|BEY|
BEY|ZSA,|ZSA|YUL|FRA|IST|BEY|
BEY|AKL,|AKL|BKK|IST|BEY|
BEY|HKG,|HKG|IST|BEY|
BEY|HND,|HND|YVR|MUC|IST|BEY|
BEY|HNL,|HNL|YVR|MUC|IST|BEY|
BEY|MEX,|MEX|IAD|IST|BEY|
BEY|OGG,|OGG|YVR|MUC|IST|BEY|
BEY|PDX,|PDX|SEA|FRA|IST|BEY|
BEY|PEK,|PEK|IST|BEY|
BEY|PVG,|PVG|IST|BEY|
BEY|PVR,|PVR|ORD|IST|BEY|
BEY|SEA,|SEA|FRA|IST|BEY|
BEY|SYD,|SYD|BKK|IST|BEY|
BEY|YBL,|YBL|YVR|MUC|IST|BEY|
BEY|YCD,|YCD|YVR|MUC|IST|BEY|
BEY|YCG,|YCG|YYC|FRA|IST|BEY|
BEY|YKA,|YKA|YYC|FRA|IST|BEY|
BEY|YPR,|YPR|YVR|MUC|IST|BEY|
BEY|YQZ,|YQZ|YVR|MUC|IST|BEY|
BEY|YXC,|YXC|YYC|FRA|IST|BEY|
BEY|YXJ,|YXJ|YYC|FRA|IST|BEY|
BEY|YXS,|YXS|YYC|FRA|IST|BEY|
BEY|YXT,|YXT|YVR|MUC|IST|BEY|
BEY|YXY,|YXY|YVR|MUC|IST|BEY|
BEY|YYD,|YYD|YVR|MUC|IST|BEY|
BEY|YYF,|YYF|YVR|MUC|IST|BEY|
BEY|YZP,|YZP|YVR|MUC|IST|BEY|
BEY|YQT,|YQT|YYZ|IST|BEY|
BEY|SJD,|SJD|ORD|IST|BEY|
BEY|YQF,|YQF|YYC|FRA|IST|BEY|
BEY|YQL,|YQL|YYC|FRA|IST|BEY|
BEY|YXH,|YXH|YYC|FRA|IST|BEY|
BEY|YWK,|YWK|YYR|YYT|LHR|IST|BEY|
BEY|ANU,|ANU|EWR|BHX|IST|BEY|
BEY|AUA,|AUA|EWR|BHX|IST|BEY|
BEY|AUH,|AUH|IST|BEY|
BEY|BCN,|BCN|IST|BEY|
BEY|BDA,|BDA|EWR|BHX|IST|BEY|
BEY|BGI,|BGI|YYZ|IST|BEY|
BEY|BNA,|BNA|YYZ|IST|BEY|
BEY|BOG,|BOG|MIA|ZRH|IST|BEY|
BEY|BWI,|BWI|EWR|BHX|IST|BEY|
BEY|CLE,|CLE|YYZ|IST|BEY|
BEY|CLT,|CLT|EWR|BHX|IST|BEY|
BEY|CMH,|CMH|YYZ|IST|BEY|
BEY|CVG,|CVG|YYZ|IST|BEY|
BEY|DFW,|DFW|ORD|IST|BEY|
BEY|DTW,|DTW|FRA|IST|BEY|
BEY|DUB,|DUB|IST|BEY|
BEY|FCO,|FCO|IST|BEY|
BEY|GCM,|GCM|EWR|BHX|IST|BEY|
BEY|GGT,|GGT|FLL|MCO|FRA|IST|BEY|
BEY|GND,|GND|YYZ|IST|BEY|
BEY|GRU,|GRU|IST|BEY|
BEY|HAV,|HAV|YYZ|IST|BEY|
BEY|IND,|IND|YYZ|IST|BEY|
BEY|JFK,|JFK|IST|BEY|
BEY|KIN,|KIN|YYZ|IST|BEY|
BEY|LIM,|LIM|MIA|ZRH|IST|BEY|
BEY|LIR,|LIR|EWR|BHX|IST|BEY|
BEY|MCI,|MCI|ORD|IST|BEY|
BEY|MDT,|MDT|IAD|IST|BEY|
BEY|MIA,|MIA|ZRH|IST|BEY|
BEY|MKE,|MKE|YYZ|IST|BEY|
BEY|MSP,|MSP|YUL|FRA|IST|BEY|
BEY|NAS,|NAS|EWR|BHX|IST|BEY|
BEY|PHL,|PHL|IAD|IST|BEY|
BEY|PHX,|PHX|DEN|FRA|IST|BEY|
BEY|PIT,|PIT|YYZ|IST|BEY|
BEY|PLS,|PLS|EWR|BHX|IST|BEY|
BEY|POP,|POP|EWR|BHX|IST|BEY|
BEY|RDU,|RDU|EWR|BHX|IST|BEY|
BEY|ROC,|ROC|YYZ|IST|BEY|
BEY|RSW,|RSW|MCO|FRA|IST|BEY|
BEY|SAN,|SAN|LAX|IST|BEY|
BEY|SJO,|SJO|EWR|BHX|IST|BEY|
BEY|STL,|STL|ORD|IST|BEY|
BEY|SYR,|SYR|EWR|BHX|IST|BEY|
BEY|TLV,|TLV|IST|BEY|
BEY|TPA,|TPA|EWR|BHX|IST|BEY|
BEY|UVF,|UVF|EWR|BHX|IST|BEY|
BEY|VIE,|VIE|IST|BEY|
BEY|YAM,|YAM|YYZ|IST|BEY|
BEY|YGK,|YGK|YYZ|IST|BEY|
BEY|YQG,|YQG|YYZ|IST|BEY|
BEY|YSB,|YSB|YYZ|IST|BEY|
BEY|YTS,|YTS|YYZ|IST|BEY|
BEY|YYB,|YYB|YYZ|IST|BEY|
BEY|YZR,|YZR|YYZ|IST|BEY|
BEY|CAN,|CAN|IST|BEY|
BEY|URC,|URC|IST|BEY|
BEY|CTU,|CTU|URC|IST|BEY|
BEY|HGH,|HGH|URC|IST|BEY|
BEY|XMN,|XMN|CSX|URC|IST|BEY|
BEY|CGO,|CGO|URC|IST|BEY|
BEY|CSX,|CSX|URC|IST|BEY|
BEY|SHE,|SHE|PEK|IST|BEY|
BEY|SJW,|SJW|URC|IST|BEY|
BEY|WUH,|WUH|URC|IST|BEY|
BEY|SZX,|SZX|CKG|URC|IST|BEY|
BEY|CKG,|CKG|URC|IST|BEY|
BEY|KMG,|KMG|CTU|URC|IST|BEY|
BEY|FOC,|FOC|XIY|URC|IST|BEY|
BEY|NNG,|NNG|KWE|URC|IST|BEY|
BEY|SWA,|SWA|CAN|IST|BEY|
BEY|ACX,|ACX|CAN|IST|BEY|
BEY|AQG,|AQG|CAN|IST|BEY|
BEY|AVA,|AVA|CAN|IST|BEY|
BEY|BFJ,|BFJ|CAN|IST|BEY|
BEY|BHY,|BHY|CKG|URC|IST|BEY|
BEY|BNE,|BNE|BKK|IST|BEY|
BEY|CGD,|CGD|PEK|IST|BEY|
BEY|CGK,|CGK|SIN|IST|BEY|
BEY|CGQ,|CGQ|HET|URC|IST|BEY|
BEY|CIH,|CIH|PEK|IST|BEY|
BEY|CNX,|CNX|CAN|IST|BEY|
BEY|CZX,|CZX|TYN|URC|IST|BEY|
BEY|DAC,|DAC|IST|BEY|
BEY|DAD,|DAD|CAN|IST|BEY|
BEY|DEL,|DEL|IST|BEY|
BEY|DIG,|DIG|KMG|CTU|URC|IST|BEY|
