BGM|BRU,|BRU|IAD|BGM|
BGM|OUA,|OUA|BRU|IAD|BGM|
BGM|JED,|JED|FRA|IAD|BGM|
BGM|CPH,|CPH|YYZ|IAD|BGM|
BGM|YYZ,|YYZ|IAD|BGM|
BGM|DEN,|DEN|IAD|BGM|
BGM|YUL,|YUL|IAD|BGM|
BGM|NBO,|NBO|ZRH|IAD|BGM|
BGM|ICN,|ICN|JFK|IAD|BGM|
BGM|NRT,|NRT|IAD|BGM|
BGM|YHZ,|YHZ|LGA|IAD|BGM|
BGM|YOW,|YOW|IAD|BGM|
BGM|BJM,|BJM|BRU|IAD|BGM|
BGM|COO,|COO|BRU|IAD|BGM|
BGM|DKR,|DKR|IAD|BGM|
BGM|DLA,|DLA|BRU|IAD|BGM|
BGM|KGL,|KGL|BRU|IAD|BGM|
BGM|LAD,|LAD|BRU|IAD|BGM|
BGM|ABJ,|ABJ|BRU|IAD|BGM|
BGM|AMS,|AMS|IAD|BGM|
BGM|OSL,|OSL|EWR|IAD|BGM|
BGM|VNO,|VNO|CPH|YYZ|IAD|BGM|
BGM|WAW,|WAW|YYZ|IAD|BGM|
BGM|YYC,|YYC|ORD|IAD|BGM|
BGM|ATL,|ATL|IAD|BGM|
BGM|MSY,|MSY|IAD|BGM|
BGM|YEG,|YEG|ORD|IAD|BGM|
BGM|YMM,|YMM|YYZ|IAD|BGM|
BGM|YQR,|YQR|ORD|IAD|BGM|
BGM|YVR,|YVR|ORD|IAD|BGM|
BGM|YWG,|YWG|YYZ|IAD|BGM|
BGM|YXE,|YXE|ORD|IAD|BGM|
BGM|CKY,|CKY|DKR|IAD|BGM|
BGM|FIH,|FIH|DLA|BRU|IAD|BGM|
BGM|SCL,|SCL|YYZ|IAD|BGM|
BGM|LCA,|LCA|FRA|IAD|BGM|
BGM|NAP,|NAP|FRA|IAD|BGM|
BGM|VLC,|VLC|FRA|IAD|BGM|
BGM|BKK,|BKK|CGO|PEK|IAD|BGM|
BGM|ADD,|ADD|JED|FRA|IAD|BGM|
BGM|FRA,|FRA|IAD|BGM|
BGM|IST,|IST|IAD|BGM|
BGM|EBB,|EBB|KGL|BRU|IAD|BGM|
BGM|YLW,|YLW|YYC|ORD|IAD|BGM|
BGM|YYT,|YYT|YHZ|LGA|IAD|BGM|
BGM|GUA,|GUA|IAD|BGM|
BGM|EWR,|EWR|IAD|BGM|
BGM|IAD,|IAD|BGM|
BGM|IAH,|IAH|IAD|BGM|
BGM|ORD,|ORD|IAD|BGM|
