BGW|BRU,|BRU|IST|BGW|
BGW|OUA,|OUA|NIM|IST|BGW|
BGW|JED,|JED|IST|BGW|
BGW|CPH,|CPH|IST|BGW|
BGW|YYZ,|YYZ|VIE|ESB|BGW|
BGW|DEN,|DEN|FRA|ESB|BGW|
BGW|YUL,|YUL|FRA|ESB|BGW|
BGW|NBO,|NBO|IST|BGW|
BGW|ICN,|ICN|IST|BGW|
BGW|NRT,|NRT|IST|BGW|
BGW|YHZ,|YHZ|LHR|IST|BGW|
BGW|YOW,|YOW|FRA|ESB|BGW|
BGW|BJM,|BJM|BRU|IST|BGW|
BGW|COO,|COO|BRU|IST|BGW|
BGW|DKR,|DKR|BRU|IST|BGW|
BGW|DLA,|DLA|IST|BGW|
BGW|KGL,|KGL|IST|BGW|
BGW|LAD,|LAD|BRU|IST|BGW|
BGW|ABJ,|ABJ|OUA|NIM|IST|BGW|
BGW|AMS,|AMS|IST|BGW|
BGW|OSL,|OSL|IST|BGW|
BGW|VNO,|VNO|IST|BGW|
BGW|WAW,|WAW|IST|BGW|
BGW|YYC,|YYC|FRA|ESB|BGW|
BGW|ATL,|ATL|IAD|VIE|ESB|BGW|
BGW|MSY,|MSY|IAD|VIE|ESB|BGW|
BGW|YEG,|YEG|LHR|IST|BGW|
BGW|YMM,|YMM|YEG|LHR|IST|BGW|
BGW|YQR,|YQR|YEG|LHR|IST|BGW|
BGW|YVR,|YVR|FRA|ESB|BGW|
BGW|YWG,|YWG|YUL|FRA|ESB|BGW|
BGW|YXE,|YXE|YEG|LHR|IST|BGW|
BGW|CKY,|CKY|DKR|BRU|IST|BGW|
BGW|FIH,|FIH|IST|BGW|
BGW|SCL,|SCL|EZE|GRU|IST|BGW|
BGW|LCA,|LCA|FRA|ESB|BGW|
BGW|NAP,|NAP|IST|BGW|
BGW|VLC,|VLC|IST|BGW|
BGW|BKK,|BKK|IST|BGW|
BGW|ADD,|ADD|IST|BGW|
BGW|FRA,|FRA|ESB|BGW|
BGW|IST,|IST|BGW|
BGW|EBB,|EBB|KGL|IST|BGW|
BGW|YLW,|YLW|YYC|FRA|ESB|BGW|
BGW|YYT,|YYT|LHR|IST|BGW|
BGW|GUA,|GUA|MIA|ZRH|IST|BGW|
BGW|EWR,|EWR|FRA|ESB|BGW|
BGW|IAD,|IAD|VIE|ESB|BGW|
BGW|IAH,|IAH|YYZ|VIE|ESB|BGW|
BGW|ORD,|ORD|VIE|ESB|BGW|
BGW|SOF,|SOF|IST|BGW|
BGW|YQB,|YQB|YUL|FRA|ESB|BGW|
BGW|YXU,|YXU|YYZ|VIE|ESB|BGW|
BGW|EZE,|EZE|GRU|IST|BGW|
BGW|YYJ,|YYJ|YVR|FRA|ESB|BGW|
BGW|YYY,|YYY|YUL|FRA|ESB|BGW|
BGW|YQQ,|YQQ|YBL|YVR|FRA|ESB|BGW|
BGW|YYR,|YYR|YYT|LHR|IST|BGW|
BGW|LHR,|LHR|IST|BGW|
BGW|SFO,|SFO|FRA|ESB|BGW|
BGW|YQU,|YQU|YEG|LHR|IST|BGW|
BGW|YZF,|YZF|YEG|LHR|IST|BGW|
BGW|YGR,|YGR|YGP|YQB|YUL|FRA|ESB|BGW|
BGW|YGP,|YGP|YQB|YUL|FRA|ESB|BGW|
BGW|BOS,|BOS|FRA|ESB|BGW|
BGW|YDF,|YDF|YYT|LHR|IST|BGW|
BGW|YFC,|YFC|YHZ|LHR|IST|BGW|
BGW|YQM,|YQM|YHZ|LHR|IST|BGW|
BGW|YQX,|YQX|YYT|LHR|IST|BGW|
BGW|YQY,|YQY|YHZ|LHR|IST|BGW|
BGW|YSJ,|YSJ|YHZ|LHR|IST|BGW|
BGW|YYG,|YYG|YHZ|LHR|IST|BGW|
