BHX|BRU,|BRU|BHX|
BHX|OUA,|OUA|BRU|BHX|
BHX|JED,|JED|IST|BHX|
BHX|CPH,|CPH|IST|BHX|
BHX|YYZ,|YYZ|EWR|BHX|
BHX|DEN,|DEN|EWR|BHX|
BHX|YUL,|YUL|EWR|BHX|
BHX|NBO,|NBO|IST|BHX|
BHX|ICN,|ICN|IST|BHX|
BHX|NRT,|NRT|IST|BHX|
BHX|YHZ,|YHZ|EWR|BHX|
BHX|YOW,|YOW|EWR|BHX|
BHX|BJM,|BJM|BRU|BHX|
BHX|COO,|COO|BRU|BHX|
BHX|DKR,|DKR|BRU|BHX|
BHX|DLA,|DLA|BRU|BHX|
BHX|KGL,|KGL|BRU|BHX|
BHX|LAD,|LAD|BRU|BHX|
BHX|ABJ,|ABJ|BRU|BHX|
BHX|AMS,|AMS|IST|BHX|
BHX|OSL,|OSL|IST|BHX|
BHX|VNO,|VNO|IST|BHX|
BHX|WAW,|WAW|IST|BHX|
BHX|YYC,|YYC|EWR|BHX|
BHX|ATL,|ATL|EWR|BHX|
BHX|MSY,|MSY|EWR|BHX|
BHX|YEG,|YEG|EWR|BHX|
BHX|YMM,|YMM|YYZ|EWR|BHX|
BHX|YQR,|YQR|YYZ|EWR|BHX|
BHX|YVR,|YVR|EWR|BHX|
BHX|YWG,|YWG|YYZ|EWR|BHX|
BHX|YXE,|YXE|YYZ|EWR|BHX|
BHX|CKY,|CKY|DKR|BRU|BHX|
BHX|FIH,|FIH|DLA|BRU|BHX|
BHX|SCL,|SCL|YYZ|EWR|BHX|
BHX|LCA,|LCA|FRA|IST|BHX|
BHX|NAP,|NAP|IST|BHX|
BHX|VLC,|VLC|IST|BHX|
BHX|BKK,|BKK|IST|BHX|
BHX|ADD,|ADD|IST|BHX|
BHX|FRA,|FRA|IST|BHX|
BHX|IST,|IST|BHX|
BHX|EBB,|EBB|KGL|BRU|BHX|
BHX|YLW,|YLW|YYZ|EWR|BHX|
BHX|YYT,|YYT|EWR|BHX|
BHX|GUA,|GUA|EWR|BHX|
BHX|EWR,|EWR|BHX|
BHX|IAD,|IAD|EWR|BHX|
BHX|IAH,|IAH|EWR|BHX|
BHX|ORD,|ORD|EWR|BHX|
BHX|SOF,|SOF|IST|BHX|
BHX|YQB,|YQB|EWR|BHX|
BHX|YXU,|YXU|YYZ|EWR|BHX|
BHX|EZE,|EZE|GRU|EWR|BHX|
BHX|YYJ,|YYJ|YYZ|EWR|BHX|
BHX|YYY,|YYY|YUL|EWR|BHX|
BHX|YQQ,|YQQ|YYC|EWR|BHX|
BHX|YYR,|YYR|YHZ|EWR|BHX|
BHX|LHR,|LHR|IST|BHX|
BHX|SFO,|SFO|EWR|BHX|
BHX|YQU,|YQU|YEG|EWR|BHX|
BHX|YZF,|YZF|YEG|EWR|BHX|
BHX|YGR,|YGR|YGP|YQB|EWR|BHX|
BHX|YGP,|YGP|YQB|EWR|BHX|
BHX|BOS,|BOS|EWR|BHX|
BHX|YDF,|YDF|YHZ|EWR|BHX|
BHX|YFC,|YFC|YUL|EWR|BHX|
BHX|YQM,|YQM|EWR|BHX|
BHX|YQX,|YQX|YHZ|EWR|BHX|
BHX|YQY,|YQY|YHZ|EWR|BHX|
BHX|YSJ,|YSJ|YUL|EWR|BHX|
BHX|YYG,|YYG|YHZ|EWR|BHX|
BHX|LAX,|LAX|EWR|BHX|
