BKI|BRU,|BRU|IST|URC|CKG|SZX|BKI|
BKI|OUA,|OUA|NIM|IST|URC|CKG|SZX|BKI|
BKI|JED,|JED|IST|URC|CKG|SZX|BKI|
BKI|CPH,|CPH|AMS|CTU|SZX|BKI|
BKI|YYZ,|YYZ|PEK|SZX|BKI|
BKI|DEN,|DEN|YVR|PVG|SZX|BKI|
BKI|YUL,|YUL|YYZ|PEK|SZX|BKI|
BKI|NBO,|NBO|BKK|NNG|SZX|BKI|
BKI|ICN,|ICN|PVG|SZX|BKI|
BKI|NRT,|NRT|ICN|PVG|SZX|BKI|
BKI|YHZ,|YHZ|YYZ|PEK|SZX|BKI|
BKI|YOW,|YOW|YYZ|PEK|SZX|BKI|
BKI|BJM,|BJM|BRU|IST|URC|CKG|SZX|BKI|
BKI|COO,|COO|BRU|IST|URC|CKG|SZX|BKI|
BKI|DKR,|DKR|BRU|IST|URC|CKG|SZX|BKI|
BKI|DLA,|DLA|IST|URC|CKG|SZX|BKI|
BKI|KGL,|KGL|IST|URC|CKG|SZX|BKI|
BKI|LAD,|LAD|BRU|IST|URC|CKG|SZX|BKI|
BKI|ABJ,|ABJ|OUA|NIM|IST|URC|CKG|SZX|BKI|
BKI|AMS,|AMS|CTU|SZX|BKI|
BKI|OSL,|OSL|CPH|AMS|CTU|SZX|BKI|
BKI|VNO,|VNO|IST|URC|CKG|SZX|BKI|
BKI|WAW,|WAW|IST|URC|CKG|SZX|BKI|
BKI|YYC,|YYC|YVR|PVG|SZX|BKI|
BKI|ATL,|ATL|ORD|PEK|SZX|BKI|
BKI|MSY,|MSY|DEN|YVR|PVG|SZX|BKI|
BKI|YEG,|YEG|YVR|PVG|SZX|BKI|
BKI|YMM,|YMM|YVR|PVG|SZX|BKI|
BKI|YQR,|YQR|YVR|PVG|SZX|BKI|
BKI|YVR,|YVR|PVG|SZX|BKI|
BKI|YWG,|YWG|YVR|PVG|SZX|BKI|
BKI|YXE,|YXE|YVR|PVG|SZX|BKI|
BKI|CKY,|CKY|DKR|BRU|IST|URC|CKG|SZX|BKI|
BKI|FIH,|FIH|IST|URC|CKG|SZX|BKI|
BKI|SCL,|SCL|YYZ|PEK|SZX|BKI|
BKI|LCA,|LCA|FRA|TSE|URC|CKG|SZX|BKI|
BKI|NAP,|NAP|IST|URC|CKG|SZX|BKI|
BKI|VLC,|VLC|FRA|TSE|URC|CKG|SZX|BKI|
BKI|BKK,|BKK|NNG|SZX|BKI|
BKI|ADD,|ADD|IST|URC|CKG|SZX|BKI|
BKI|FRA,|FRA|TSE|URC|CKG|SZX|BKI|
BKI|IST,|IST|URC|CKG|SZX|BKI|
BKI|EBB,|EBB|KGL|IST|URC|CKG|SZX|BKI|
BKI|YLW,|YLW|YVR|PVG|SZX|BKI|
BKI|YYT,|YYT|LHR|CAN|MXZ|SZX|BKI|
BKI|GUA,|GUA|IAH|YVR|PVG|SZX|BKI|
BKI|EWR,|EWR|PEK|SZX|BKI|
BKI|IAD,|IAD|PEK|SZX|BKI|
BKI|IAH,|IAH|YVR|PVG|SZX|BKI|
BKI|ORD,|ORD|PEK|SZX|BKI|
BKI|SOF,|SOF|IST|URC|CKG|SZX|BKI|
BKI|YQB,|YQB|YYZ|PEK|SZX|BKI|
BKI|YXU,|YXU|YYZ|PEK|SZX|BKI|
BKI|EZE,|EZE|GRU|IST|URC|CKG|SZX|BKI|
BKI|YYJ,|YYJ|YVR|PVG|SZX|BKI|
BKI|YYY,|YYY|YUL|YYZ|PEK|SZX|BKI|
BKI|YQQ,|YQQ|YBL|YVR|PVG|SZX|BKI|
BKI|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|SZX|BKI|
BKI|LHR,|LHR|CAN|MXZ|SZX|BKI|
BKI|SFO,|SFO|PVG|SZX|BKI|
BKI|YQU,|YQU|YEG|YVR|PVG|SZX|BKI|
BKI|YZF,|YZF|YEG|YVR|PVG|SZX|BKI|
BKI|YGR,|YGR|YGP|YQB|YYZ|PEK|SZX|BKI|
BKI|YGP,|YGP|YQB|YYZ|PEK|SZX|BKI|
BKI|BOS,|BOS|YYZ|PEK|SZX|BKI|
BKI|YDF,|YDF|YYT|LHR|CAN|MXZ|SZX|BKI|
BKI|YFC,|YFC|YYZ|PEK|SZX|BKI|
BKI|YQM,|YQM|YYZ|PEK|SZX|BKI|
BKI|YQX,|YQX|YYT|LHR|CAN|MXZ|SZX|BKI|
BKI|YQY,|YQY|YYZ|PEK|SZX|BKI|
BKI|YSJ,|YSJ|YYZ|PEK|SZX|BKI|
BKI|YYG,|YYG|YYZ|PEK|SZX|BKI|
BKI|LAX,|LAX|PVG|SZX|BKI|
BKI|DCA,|DCA|YYZ|PEK|SZX|BKI|
BKI|LGA,|LGA|YYZ|PEK|SZX|BKI|
BKI|YZV,|YZV|YQB|YYZ|PEK|SZX|BKI|
BKI|YWL,|YWL|YVR|PVG|SZX|BKI|
BKI|AZS,|AZS|YYZ|PEK|SZX|BKI|
BKI|BDL,|BDL|YYZ|PEK|SZX|BKI|
BKI|CCC,|CCC|YYZ|PEK|SZX|BKI|
BKI|CDG,|CDG|CAN|MXZ|SZX|BKI|
BKI|CUN,|CUN|YVR|PVG|SZX|BKI|
BKI|CZM,|CZM|IAH|YVR|PVG|SZX|BKI|
BKI|FDF,|FDF|YUL|YYZ|PEK|SZX|BKI|
BKI|FLL,|FLL|ORD|PEK|SZX|BKI|
BKI|GVA,|GVA|IST|URC|CKG|SZX|BKI|
BKI|HOG,|HOG|YYZ|PEK|SZX|BKI|
BKI|LAS,|LAS|SFO|PVG|SZX|BKI|
BKI|MBJ,|MBJ|ATL|ORD|PEK|SZX|BKI|
BKI|MCO,|MCO|ORD|PEK|SZX|BKI|
BKI|MUC,|MUC|IST|URC|CKG|SZX|BKI|
BKI|PAP,|PAP|YUL|YYZ|PEK|SZX|BKI|
BKI|PTP,|PTP|YUL|YYZ|PEK|SZX|BKI|
BKI|PUJ,|PUJ|EWR|PEK|SZX|BKI|
BKI|SNU,|SNU|YYZ|PEK|SZX|BKI|
BKI|VRA,|VRA|YYZ|PEK|SZX|BKI|
BKI|YBC,|YBC|YUL|YYZ|PEK|SZX|BKI|
BKI|YBG,|YBG|YUL|YYZ|PEK|SZX|BKI|
BKI|YTZ,|YTZ|YUL|YYZ|PEK|SZX|BKI|
BKI|YUY,|YUY|YUL|YYZ|PEK|SZX|BKI|
BKI|YVO,|YVO|YUL|YYZ|PEK|SZX|BKI|
BKI|ZBF,|ZBF|YUL|YYZ|PEK|SZX|BKI|
BKI|ZRH,|ZRH|IST|URC|CKG|SZX|BKI|
BKI|ZSA,|ZSA|YUL|YYZ|PEK|SZX|BKI|
BKI|AKL,|AKL|CAN|MXZ|SZX|BKI|
BKI|HKG,|HKG|MXZ|SZX|BKI|
BKI|HND,|HND|HNL|NRT|ICN|PVG|SZX|BKI|
BKI|HNL,|HNL|NRT|ICN|PVG|SZX|BKI|
BKI|MEX,|MEX|SFO|PVG|SZX|BKI|
BKI|OGG,|OGG|HNL|NRT|ICN|PVG|SZX|BKI|
BKI|PDX,|PDX|SEA|ICN|PVG|SZX|BKI|
BKI|PEK,|PEK|SZX|BKI|
BKI|PVG,|PVG|SZX|BKI|
BKI|PVR,|PVR|LAX|PVG|SZX|BKI|
BKI|SEA,|SEA|ICN|PVG|SZX|BKI|
BKI|SYD,|SYD|CAN|MXZ|SZX|BKI|
BKI|YBL,|YBL|YVR|PVG|SZX|BKI|
BKI|YCD,|YCD|YVR|PVG|SZX|BKI|
BKI|YCG,|YCG|YVR|PVG|SZX|BKI|
BKI|YKA,|YKA|YVR|PVG|SZX|BKI|
BKI|YPR,|YPR|YVR|PVG|SZX|BKI|
BKI|YQZ,|YQZ|YVR|PVG|SZX|BKI|
BKI|YXC,|YXC|YVR|PVG|SZX|BKI|
BKI|YXJ,|YXJ|YVR|PVG|SZX|BKI|
BKI|YXS,|YXS|YVR|PVG|SZX|BKI|
BKI|YXT,|YXT|YVR|PVG|SZX|BKI|
