BKK|BRU,|BRU|IST|BKK|
BKK|OUA,|OUA|NIM|IST|BKK|
BKK|JED,|JED|IST|BKK|
BKK|CPH,|CPH|IST|BKK|
BKK|YYZ,|YYZ|PEK|CGO|BKK|
BKK|DEN,|DEN|YVR|PEK|CGO|BKK|
BKK|YUL,|YUL|YYZ|PEK|CGO|BKK|
BKK|NBO,|NBO|BKK|
BKK|ICN,|ICN|BKK|
BKK|NRT,|NRT|BKK|
BKK|YHZ,|YHZ|LHR|IST|BKK|
BKK|YOW,|YOW|YYZ|PEK|CGO|BKK|
BKK|BJM,|BJM|BRU|IST|BKK|
BKK|COO,|COO|BRU|IST|BKK|
BKK|DKR,|DKR|BRU|IST|BKK|
BKK|DLA,|DLA|IST|BKK|
BKK|KGL,|KGL|IST|BKK|
BKK|LAD,|LAD|BRU|IST|BKK|
BKK|ABJ,|ABJ|OUA|NIM|IST|BKK|
BKK|AMS,|AMS|IST|BKK|
BKK|OSL,|OSL|IST|BKK|
BKK|VNO,|VNO|IST|BKK|
BKK|WAW,|WAW|IST|BKK|
BKK|YYC,|YYC|YVR|PEK|CGO|BKK|
BKK|ATL,|ATL|ORD|PEK|CGO|BKK|
BKK|MSY,|MSY|ORD|PEK|CGO|BKK|
BKK|YEG,|YEG|YVR|PEK|CGO|BKK|
BKK|YMM,|YMM|YVR|PEK|CGO|BKK|
BKK|YQR,|YQR|YVR|PEK|CGO|BKK|
BKK|YVR,|YVR|PEK|CGO|BKK|
BKK|YWG,|YWG|YVR|PEK|CGO|BKK|
BKK|YXE,|YXE|YVR|PEK|CGO|BKK|
BKK|CKY,|CKY|DKR|BRU|IST|BKK|
BKK|FIH,|FIH|IST|BKK|
BKK|SCL,|SCL|EZE|GRU|IST|BKK|
BKK|LCA,|LCA|FRA|IST|BKK|
BKK|NAP,|NAP|IST|BKK|
BKK|VLC,|VLC|IST|BKK|
BKK|ADD,|ADD|IST|BKK|
BKK|FRA,|FRA|IST|BKK|
BKK|IST,|IST|BKK|
BKK|EBB,|EBB|KGL|IST|BKK|
BKK|YLW,|YLW|YVR|PEK|CGO|BKK|
BKK|YYT,|YYT|LHR|IST|BKK|
BKK|GUA,|GUA|IAH|PEK|CGO|BKK|
BKK|EWR,|EWR|PEK|CGO|BKK|
BKK|IAD,|IAD|PEK|CGO|BKK|
BKK|IAH,|IAH|PEK|CGO|BKK|
BKK|ORD,|ORD|PEK|CGO|BKK|
BKK|SOF,|SOF|IST|BKK|
BKK|YQB,|YQB|YYZ|PEK|CGO|BKK|
BKK|YXU,|YXU|YYZ|PEK|CGO|BKK|
BKK|EZE,|EZE|GRU|IST|BKK|
BKK|YYJ,|YYJ|YVR|PEK|CGO|BKK|
BKK|YYY,|YYY|YUL|YYZ|PEK|CGO|BKK|
BKK|YQQ,|YQQ|YBL|YVR|PEK|CGO|BKK|
BKK|YYR,|YYR|YYT|LHR|IST|BKK|
BKK|LHR,|LHR|IST|BKK|
BKK|SFO,|SFO|ICN|BKK|
BKK|YQU,|YQU|YEG|YVR|PEK|CGO|BKK|
BKK|YZF,|YZF|YEG|YVR|PEK|CGO|BKK|
BKK|YGR,|YGR|YGP|YQB|YYZ|PEK|CGO|BKK|
BKK|YGP,|YGP|YQB|YYZ|PEK|CGO|BKK|
BKK|BOS,|BOS|YYZ|PEK|CGO|BKK|
BKK|YDF,|YDF|YYT|LHR|IST|BKK|
BKK|YFC,|YFC|YHZ|LHR|IST|BKK|
BKK|YQM,|YQM|YHZ|LHR|IST|BKK|
BKK|YQX,|YQX|YYT|LHR|IST|BKK|
BKK|YQY,|YQY|YHZ|LHR|IST|BKK|
BKK|YSJ,|YSJ|YHZ|LHR|IST|BKK|
BKK|YYG,|YYG|YHZ|LHR|IST|BKK|
BKK|LAX,|LAX|ICN|BKK|
BKK|DCA,|DCA|YYZ|PEK|CGO|BKK|
BKK|LGA,|LGA|YYZ|PEK|CGO|BKK|
BKK|YZV,|YZV|YQB|YYZ|PEK|CGO|BKK|
BKK|YWL,|YWL|YVR|PEK|CGO|BKK|
BKK|AZS,|AZS|YYZ|PEK|CGO|BKK|
BKK|BDL,|BDL|YYZ|PEK|CGO|BKK|
BKK|CCC,|CCC|YYZ|PEK|CGO|BKK|
BKK|CDG,|CDG|IST|BKK|
BKK|CUN,|CUN|IAH|PEK|CGO|BKK|
BKK|CZM,|CZM|IAH|PEK|CGO|BKK|
BKK|FDF,|FDF|YUL|YYZ|PEK|CGO|BKK|
BKK|FLL,|FLL|ORD|PEK|CGO|BKK|
BKK|GVA,|GVA|IST|BKK|
BKK|HOG,|HOG|YYZ|PEK|CGO|BKK|
BKK|LAS,|LAS|SEA|PEK|CGO|BKK|
BKK|MBJ,|MBJ|ATL|ORD|PEK|CGO|BKK|
