BLL|BRU,|BRU|IST|BLL|
BLL|OUA,|OUA|NIM|IST|BLL|
BLL|JED,|JED|IST|BLL|
BLL|CPH,|CPH|IST|BLL|
BLL|YYZ,|YYZ|IST|BLL|
BLL|DEN,|DEN|FRA|IST|BLL|
BLL|YUL,|YUL|FRA|IST|BLL|
BLL|NBO,|NBO|IST|BLL|
BLL|ICN,|ICN|IST|BLL|
BLL|NRT,|NRT|IST|BLL|
BLL|YHZ,|YHZ|LHR|IST|BLL|
BLL|YOW,|YOW|FRA|IST|BLL|
BLL|BJM,|BJM|BRU|IST|BLL|
BLL|COO,|COO|BRU|IST|BLL|
BLL|DKR,|DKR|BRU|IST|BLL|
BLL|DLA,|DLA|IST|BLL|
BLL|KGL,|KGL|IST|BLL|
BLL|LAD,|LAD|BRU|IST|BLL|
BLL|ABJ,|ABJ|OUA|NIM|IST|BLL|
BLL|AMS,|AMS|IST|BLL|
BLL|OSL,|OSL|IST|BLL|
BLL|VNO,|VNO|IST|BLL|
BLL|WAW,|WAW|IST|BLL|
BLL|YYC,|YYC|FRA|IST|BLL|
BLL|ATL,|ATL|FRA|IST|BLL|
BLL|MSY,|MSY|IAD|IST|BLL|
BLL|YEG,|YEG|LHR|IST|BLL|
BLL|YMM,|YMM|YEG|LHR|IST|BLL|
BLL|YQR,|YQR|YEG|LHR|IST|BLL|
BLL|YVR,|YVR|MUC|IST|BLL|
BLL|YWG,|YWG|YUL|FRA|IST|BLL|
BLL|YXE,|YXE|YEG|LHR|IST|BLL|
BLL|CKY,|CKY|DKR|BRU|IST|BLL|
BLL|FIH,|FIH|IST|BLL|
BLL|SCL,|SCL|EZE|GRU|IST|BLL|
BLL|LCA,|LCA|FRA|IST|BLL|
BLL|NAP,|NAP|IST|BLL|
BLL|VLC,|VLC|IST|BLL|
BLL|BKK,|BKK|IST|BLL|
BLL|ADD,|ADD|IST|BLL|
BLL|FRA,|FRA|IST|BLL|
BLL|IST,|IST|BLL|
BLL|EBB,|EBB|KGL|IST|BLL|
BLL|YLW,|YLW|YYC|FRA|IST|BLL|
BLL|YYT,|YYT|LHR|IST|BLL|
BLL|GUA,|GUA|MIA|ZRH|IST|BLL|
BLL|EWR,|EWR|BHX|IST|BLL|
BLL|IAD,|IAD|IST|BLL|
BLL|IAH,|IAH|IST|BLL|
BLL|ORD,|ORD|IST|BLL|
BLL|SOF,|SOF|IST|BLL|
BLL|YQB,|YQB|YUL|FRA|IST|BLL|
BLL|YXU,|YXU|YYZ|IST|BLL|
BLL|EZE,|EZE|GRU|IST|BLL|
BLL|YYJ,|YYJ|YVR|MUC|IST|BLL|
BLL|YYY,|YYY|YUL|FRA|IST|BLL|
BLL|YQQ,|YQQ|YBL|YVR|MUC|IST|BLL|
BLL|YYR,|YYR|YYT|LHR|IST|BLL|
BLL|LHR,|LHR|IST|BLL|
BLL|SFO,|SFO|MUC|IST|BLL|
BLL|YQU,|YQU|YEG|LHR|IST|BLL|
BLL|YZF,|YZF|YEG|LHR|IST|BLL|
BLL|YGR,|YGR|YGP|YQB|YUL|FRA|IST|BLL|
BLL|YGP,|YGP|YQB|YUL|FRA|IST|BLL|
BLL|BOS,|BOS|FRA|IST|BLL|
BLL|YDF,|YDF|YYT|LHR|IST|BLL|
BLL|YFC,|YFC|YHZ|LHR|IST|BLL|
BLL|YQM,|YQM|YHZ|LHR|IST|BLL|
BLL|YQX,|YQX|YYT|LHR|IST|BLL|
BLL|YQY,|YQY|YHZ|LHR|IST|BLL|
BLL|YSJ,|YSJ|YHZ|LHR|IST|BLL|
BLL|YYG,|YYG|YHZ|LHR|IST|BLL|
BLL|LAX,|LAX|IST|BLL|
BLL|DCA,|DCA|EWR|BHX|IST|BLL|
BLL|LGA,|LGA|YHZ|LHR|IST|BLL|
BLL|YZV,|YZV|YWK|YYR|YYT|LHR|IST|BLL|
BLL|YWL,|YWL|YVR|MUC|IST|BLL|
BLL|AZS,|AZS|YUL|FRA|IST|BLL|
BLL|BDL,|BDL|YUL|FRA|IST|BLL|
BLL|CCC,|CCC|YUL|FRA|IST|BLL|
BLL|CDG,|CDG|IST|BLL|
BLL|CUN,|CUN|YHZ|LHR|IST|BLL|
BLL|CZM,|CZM|YUL|FRA|IST|BLL|
BLL|FDF,|FDF|YUL|FRA|IST|BLL|
BLL|FLL,|FLL|MCO|FRA|IST|BLL|
BLL|GVA,|GVA|IST|BLL|
BLL|HOG,|HOG|YUL|FRA|IST|BLL|
BLL|LAS,|LAS|DEN|FRA|IST|BLL|
BLL|MBJ,|MBJ|YHZ|LHR|IST|BLL|
BLL|MCO,|MCO|FRA|IST|BLL|
BLL|MUC,|MUC|IST|BLL|
BLL|PAP,|PAP|YUL|FRA|IST|BLL|
BLL|PTP,|PTP|YUL|FRA|IST|BLL|
BLL|PUJ,|PUJ|YHZ|LHR|IST|BLL|
BLL|SNU,|SNU|YUL|FRA|IST|BLL|
BLL|VRA,|VRA|YUL|FRA|IST|BLL|
BLL|YBC,|YBC|YUL|FRA|IST|BLL|
BLL|YBG,|YBG|YUL|FRA|IST|BLL|
BLL|YTZ,|YTZ|YUL|FRA|IST|BLL|
BLL|YUY,|YUY|YUL|FRA|IST|BLL|
BLL|YVO,|YVO|YUL|FRA|IST|BLL|
BLL|ZBF,|ZBF|YUL|FRA|IST|BLL|
BLL|ZRH,|ZRH|IST|BLL|
BLL|ZSA,|ZSA|YUL|FRA|IST|BLL|
BLL|AKL,|AKL|BKK|IST|BLL|
BLL|HKG,|HKG|IST|BLL|
BLL|HND,|HND|YVR|MUC|IST|BLL|
BLL|HNL,|HNL|YVR|MUC|IST|BLL|
BLL|MEX,|MEX|IAD|IST|BLL|
BLL|OGG,|OGG|YVR|MUC|IST|BLL|
BLL|PDX,|PDX|SEA|FRA|IST|BLL|
BLL|PEK,|PEK|IST|BLL|
BLL|PVG,|PVG|IST|BLL|
BLL|PVR,|PVR|ORD|IST|BLL|
BLL|SEA,|SEA|FRA|IST|BLL|
BLL|SYD,|SYD|BKK|IST|BLL|
BLL|YBL,|YBL|YVR|MUC|IST|BLL|
BLL|YCD,|YCD|YVR|MUC|IST|BLL|
BLL|YCG,|YCG|YYC|FRA|IST|BLL|
BLL|YKA,|YKA|YYC|FRA|IST|BLL|
BLL|YPR,|YPR|YVR|MUC|IST|BLL|
BLL|YQZ,|YQZ|YVR|MUC|IST|BLL|
BLL|YXC,|YXC|YYC|FRA|IST|BLL|
BLL|YXJ,|YXJ|YYC|FRA|IST|BLL|
BLL|YXS,|YXS|YYC|FRA|IST|BLL|
BLL|YXT,|YXT|YVR|MUC|IST|BLL|
BLL|YXY,|YXY|YVR|MUC|IST|BLL|
BLL|YYD,|YYD|YVR|MUC|IST|BLL|
BLL|YYF,|YYF|YVR|MUC|IST|BLL|
BLL|YZP,|YZP|YVR|MUC|IST|BLL|
BLL|YQT,|YQT|YYZ|IST|BLL|
BLL|SJD,|SJD|ORD|IST|BLL|
BLL|YQF,|YQF|YYC|FRA|IST|BLL|
BLL|YQL,|YQL|YYC|FRA|IST|BLL|
BLL|YXH,|YXH|YYC|FRA|IST|BLL|
BLL|YWK,|YWK|YYR|YYT|LHR|IST|BLL|
BLL|ANU,|ANU|EWR|BHX|IST|BLL|
BLL|AUA,|AUA|EWR|BHX|IST|BLL|
BLL|AUH,|AUH|IST|BLL|
BLL|BCN,|BCN|IST|BLL|
BLL|BDA,|BDA|EWR|BHX|IST|BLL|
BLL|BGI,|BGI|YYZ|IST|BLL|
BLL|BNA,|BNA|YYZ|IST|BLL|
BLL|BOG,|BOG|MIA|ZRH|IST|BLL|
BLL|BWI,|BWI|EWR|BHX|IST|BLL|
BLL|CLE,|CLE|YYZ|IST|BLL|
BLL|CLT,|CLT|EWR|BHX|IST|BLL|
BLL|CMH,|CMH|YYZ|IST|BLL|
BLL|CVG,|CVG|YYZ|IST|BLL|
BLL|DFW,|DFW|ORD|IST|BLL|
BLL|DTW,|DTW|FRA|IST|BLL|
BLL|DUB,|DUB|IST|BLL|
BLL|FCO,|FCO|IST|BLL|
BLL|GCM,|GCM|EWR|BHX|IST|BLL|
BLL|GGT,|GGT|FLL|MCO|FRA|IST|BLL|
BLL|GND,|GND|YYZ|IST|BLL|
BLL|GRU,|GRU|IST|BLL|
BLL|HAV,|HAV|YYZ|IST|BLL|
BLL|IND,|IND|YYZ|IST|BLL|
BLL|JFK,|JFK|IST|BLL|
BLL|KIN,|KIN|YYZ|IST|BLL|
BLL|LIM,|LIM|MIA|ZRH|IST|BLL|
BLL|LIR,|LIR|EWR|BHX|IST|BLL|
BLL|MCI,|MCI|ORD|IST|BLL|
BLL|MDT,|MDT|IAD|IST|BLL|
BLL|MIA,|MIA|ZRH|IST|BLL|
BLL|MKE,|MKE|YYZ|IST|BLL|
BLL|MSP,|MSP|YUL|FRA|IST|BLL|
BLL|NAS,|NAS|EWR|BHX|IST|BLL|
BLL|PHL,|PHL|IAD|IST|BLL|
BLL|PHX,|PHX|DEN|FRA|IST|BLL|
BLL|PIT,|PIT|YYZ|IST|BLL|
BLL|PLS,|PLS|EWR|BHX|IST|BLL|
BLL|POP,|POP|EWR|BHX|IST|BLL|
BLL|RDU,|RDU|EWR|BHX|IST|BLL|
BLL|ROC,|ROC|YYZ|IST|BLL|
BLL|RSW,|RSW|MCO|FRA|IST|BLL|
BLL|SAN,|SAN|LAX|IST|BLL|
BLL|SJO,|SJO|EWR|BHX|IST|BLL|
BLL|STL,|STL|ORD|IST|BLL|
BLL|SYR,|SYR|EWR|BHX|IST|BLL|
BLL|TLV,|TLV|IST|BLL|
BLL|TPA,|TPA|EWR|BHX|IST|BLL|
BLL|UVF,|UVF|EWR|BHX|IST|BLL|
BLL|VIE,|VIE|IST|BLL|
BLL|YAM,|YAM|YYZ|IST|BLL|
BLL|YGK,|YGK|YYZ|IST|BLL|
BLL|YQG,|YQG|YYZ|IST|BLL|
BLL|YSB,|YSB|YYZ|IST|BLL|
BLL|YTS,|YTS|YYZ|IST|BLL|
BLL|YYB,|YYB|YYZ|IST|BLL|
BLL|YZR,|YZR|YYZ|IST|BLL|
BLL|CAN,|CAN|IST|BLL|
BLL|URC,|URC|IST|BLL|
BLL|CTU,|CTU|URC|IST|BLL|
BLL|HGH,|HGH|URC|IST|BLL|
BLL|XMN,|XMN|CSX|URC|IST|BLL|
BLL|CGO,|CGO|URC|IST|BLL|
BLL|CSX,|CSX|URC|IST|BLL|
BLL|SHE,|SHE|PEK|IST|BLL|
BLL|SJW,|SJW|URC|IST|BLL|
BLL|WUH,|WUH|URC|IST|BLL|
BLL|SZX,|SZX|CKG|URC|IST|BLL|
BLL|CKG,|CKG|URC|IST|BLL|
BLL|KMG,|KMG|CTU|URC|IST|BLL|
BLL|FOC,|FOC|XIY|URC|IST|BLL|
BLL|NNG,|NNG|KWE|URC|IST|BLL|
BLL|SWA,|SWA|CAN|IST|BLL|
BLL|ACX,|ACX|CAN|IST|BLL|
BLL|AQG,|AQG|CAN|IST|BLL|
BLL|AVA,|AVA|CAN|IST|BLL|
BLL|BFJ,|BFJ|CAN|IST|BLL|
BLL|BHY,|BHY|CKG|URC|IST|BLL|
BLL|BNE,|BNE|BKK|IST|BLL|
BLL|CGD,|CGD|PEK|IST|BLL|
BLL|CGK,|CGK|SIN|IST|BLL|
BLL|CGQ,|CGQ|HET|URC|IST|BLL|
BLL|CIH,|CIH|PEK|IST|BLL|
BLL|CNX,|CNX|CAN|IST|BLL|
BLL|CZX,|CZX|TYN|URC|IST|BLL|
BLL|DAC,|DAC|IST|BLL|
BLL|DAD,|DAD|CAN|IST|BLL|
BLL|DEL,|DEL|IST|BLL|
BLL|DIG,|DIG|KMG|CTU|URC|IST|BLL|
BLL|DLC,|DLC|PEK|IST|BLL|
BLL|DPS,|DPS|CAN|IST|BLL|
BLL|DXB,|DXB|IST|BLL|
BLL|DYG,|DYG|CSX|URC|IST|BLL|
BLL|FUG,|FUG|CAN|IST|BLL|
BLL|FUK,|FUK|ICN|IST|BLL|
BLL|HAK,|HAK|CTU|URC|IST|BLL|
BLL|HAN,|HAN|CAN|IST|BLL|
BLL|HDG,|HDG|CAN|IST|BLL|
BLL|HET,|HET|URC|IST|BLL|
BLL|HFE,|HFE|XIY|URC|IST|BLL|
BLL|HJJ,|HJJ|CSX|URC|IST|BLL|
BLL|HKT,|HKT|KWE|URC|IST|BLL|
BLL|HRB,|HRB|PEK|IST|BLL|
BLL|HZH,|HZH|CAN|IST|BLL|
BLL|JIU,|JIU|CAN|IST|BLL|
BLL|JJN,|JJN|CSX|URC|IST|BLL|
BLL|JNG,|JNG|CAN|IST|BLL|
BLL|KHN,|KHN|XIY|URC|IST|BLL|
BLL|KIX,|KIX|IST|BLL|
BLL|KOW,|KOW|CAN|IST|BLL|
BLL|KTM,|KTM|IST|BLL|
BLL|KUL,|KUL|IST|BLL|
BLL|KWE,|KWE|URC|IST|BLL|
BLL|KWL,|KWL|CKG|URC|IST|BLL|
BLL|LHW,|LHW|URC|IST|BLL|
BLL|LYA,|LYA|KHN|XIY|URC|IST|BLL|
BLL|LYG,|LYG|XUZ|INC|URC|IST|BLL|
