BOG|BRU,|BRU|JFK|BOG|
BOG|OUA,|OUA|BRU|JFK|BOG|
BOG|JED,|JED|FRA|JFK|BOG|
BOG|CPH,|CPH|AMS|EWR|BOG|
BOG|YYZ,|YYZ|BOG|
BOG|DEN,|DEN|IAH|BOG|
BOG|YUL,|YUL|JFK|BOG|
BOG|NBO,|NBO|ZRH|MIA|BOG|
BOG|ICN,|ICN|YVR|IAH|BOG|
BOG|NRT,|NRT|IAH|BOG|
BOG|YHZ,|YHZ|EWR|BOG|
BOG|YOW,|YOW|EWR|BOG|
BOG|BJM,|BJM|BRU|JFK|BOG|
BOG|COO,|COO|BRU|JFK|BOG|
BOG|DKR,|DKR|IAD|BOG|
BOG|DLA,|DLA|BRU|JFK|BOG|
BOG|KGL,|KGL|BRU|JFK|BOG|
BOG|LAD,|LAD|BRU|JFK|BOG|
BOG|ABJ,|ABJ|BRU|JFK|BOG|
BOG|AMS,|AMS|EWR|BOG|
BOG|OSL,|OSL|EWR|BOG|
BOG|VNO,|VNO|CPH|AMS|EWR|BOG|
BOG|WAW,|WAW|CPH|AMS|EWR|BOG|
BOG|YYC,|YYC|IAH|BOG|
BOG|ATL,|ATL|MSY|MIA|BOG|
BOG|MSY,|MSY|MIA|BOG|
BOG|YEG,|YEG|IAH|BOG|
BOG|YMM,|YMM|DEN|IAH|BOG|
BOG|YQR,|YQR|ORD|MIA|BOG|
BOG|YVR,|YVR|IAH|BOG|
BOG|YWG,|YWG|ORD|MIA|BOG|
BOG|YXE,|YXE|ORD|MIA|BOG|
BOG|CKY,|CKY|DKR|IAD|BOG|
BOG|FIH,|FIH|DLA|BRU|JFK|BOG|
BOG|SCL,|SCL|EZE|IAH|BOG|
BOG|LCA,|LCA|FRA|JFK|BOG|
BOG|NAP,|NAP|FRA|JFK|BOG|
BOG|VLC,|VLC|FRA|JFK|BOG|
BOG|BKK,|BKK|CGO|PEK|ORD|MIA|BOG|
BOG|ADD,|ADD|JED|FRA|JFK|BOG|
BOG|FRA,|FRA|JFK|BOG|
BOG|IST,|IST|ZRH|MIA|BOG|
BOG|EBB,|EBB|KGL|BRU|JFK|BOG|
BOG|YLW,|YLW|YYC|IAH|BOG|
BOG|YYT,|YYT|EWR|BOG|
BOG|GUA,|GUA|MIA|BOG|
BOG|EWR,|EWR|BOG|
BOG|IAD,|IAD|BOG|
BOG|IAH,|IAH|BOG|
BOG|ORD,|ORD|MIA|BOG|
BOG|SOF,|SOF|MUC|JFK|BOG|
BOG|YQB,|YQB|EWR|BOG|
BOG|YXU,|YXU|YYZ|BOG|
BOG|EZE,|EZE|IAH|BOG|
BOG|YYJ,|YYJ|YVR|IAH|BOG|
BOG|YYY,|YYY|YUL|JFK|BOG|
BOG|YQQ,|YQQ|YBL|YVR|IAH|BOG|
BOG|YYR,|YYR|YHZ|EWR|BOG|
BOG|LHR,|LHR|EWR|BOG|
BOG|SFO,|SFO|IAH|BOG|
BOG|YQU,|YQU|YYC|IAH|BOG|
BOG|YZF,|YZF|YEG|IAH|BOG|
BOG|YGR,|YGR|YGP|YQB|EWR|BOG|
BOG|YGP,|YGP|YQB|EWR|BOG|
BOG|BOS,|BOS|EWR|BOG|
BOG|YDF,|YDF|YHZ|EWR|BOG|
BOG|YFC,|YFC|YUL|JFK|BOG|
BOG|YQM,|YQM|EWR|BOG|
BOG|YQX,|YQX|YHZ|EWR|BOG|
BOG|YQY,|YQY|YHZ|EWR|BOG|
BOG|YSJ,|YSJ|YUL|JFK|BOG|
BOG|YYG,|YYG|YHZ|EWR|BOG|
BOG|LAX,|LAX|IAH|BOG|
BOG|DCA,|DCA|EWR|BOG|
BOG|LGA,|LGA|IAD|BOG|
BOG|YZV,|YZV|YQB|EWR|BOG|
BOG|YWL,|YWL|YVR|IAH|BOG|
BOG|AZS,|AZS|YYZ|BOG|
BOG|BDL,|BDL|IAD|BOG|
BOG|CCC,|CCC|YYZ|BOG|
BOG|CDG,|CDG|EWR|BOG|
BOG|CUN,|CUN|IAH|BOG|
BOG|CZM,|CZM|IAH|BOG|
BOG|FDF,|FDF|YUL|JFK|BOG|
BOG|FLL,|FLL|MSY|MIA|BOG|
BOG|GVA,|GVA|JFK|BOG|
BOG|HOG,|HOG|YYZ|BOG|
BOG|LAS,|LAS|IAH|BOG|
