BOI|BRU,|BRU|ORD|BOI|
BOI|OUA,|OUA|BRU|ORD|BOI|
BOI|JED,|JED|FRA|DEN|BOI|
BOI|CPH,|CPH|YYZ|ORD|BOI|
BOI|YYZ,|YYZ|ORD|BOI|
BOI|DEN,|DEN|BOI|
BOI|YUL,|YUL|ORD|BOI|
BOI|NBO,|NBO|ZRH|ORD|BOI|
BOI|ICN,|ICN|SFO|BOI|
BOI|NRT,|NRT|SFO|BOI|
BOI|YHZ,|YHZ|ORD|BOI|
BOI|YOW,|YOW|ORD|BOI|
BOI|BJM,|BJM|BRU|ORD|BOI|
BOI|COO,|COO|BRU|ORD|BOI|
BOI|DKR,|DKR|IAD|ORD|BOI|
BOI|DLA,|DLA|BRU|ORD|BOI|
BOI|KGL,|KGL|BRU|ORD|BOI|
BOI|LAD,|LAD|BRU|ORD|BOI|
BOI|ABJ,|ABJ|BRU|ORD|BOI|
BOI|AMS,|AMS|ORD|BOI|
BOI|OSL,|OSL|EWR|ORD|BOI|
BOI|VNO,|VNO|CPH|YYZ|ORD|BOI|
BOI|WAW,|WAW|YYZ|ORD|BOI|
BOI|YYC,|YYC|SFO|BOI|
BOI|ATL,|ATL|DEN|BOI|
BOI|MSY,|MSY|DEN|BOI|
BOI|YEG,|YEG|DEN|BOI|
BOI|YMM,|YMM|DEN|BOI|
BOI|YQR,|YQR|DEN|BOI|
BOI|YVR,|YVR|PDX|OAK|BOI|
BOI|YWG,|YWG|DEN|BOI|
BOI|YXE,|YXE|DEN|BOI|
BOI|CKY,|CKY|DKR|IAD|ORD|BOI|
BOI|FIH,|FIH|DLA|BRU|ORD|BOI|
BOI|SCL,|SCL|YYZ|ORD|BOI|
BOI|LCA,|LCA|FRA|DEN|BOI|
BOI|NAP,|NAP|FRA|DEN|BOI|
BOI|VLC,|VLC|FRA|DEN|BOI|
BOI|BKK,|BKK|ICN|SFO|BOI|
BOI|ADD,|ADD|JED|FRA|DEN|BOI|
BOI|FRA,|FRA|DEN|BOI|
BOI|IST,|IST|FRA|DEN|BOI|
BOI|EBB,|EBB|KGL|BRU|ORD|BOI|
BOI|YLW,|YLW|YVR|PDX|OAK|BOI|
BOI|YYT,|YYT|YOW|ORD|BOI|
BOI|GUA,|GUA|IAH|DEN|BOI|
BOI|EWR,|EWR|ORD|BOI|
BOI|IAD,|IAD|ORD|BOI|
BOI|IAH,|IAH|DEN|BOI|
BOI|ORD,|ORD|BOI|
BOI|SOF,|SOF|MUC|ORD|BOI|
BOI|YQB,|YQB|ORD|BOI|
BOI|YXU,|YXU|ORD|BOI|
BOI|EZE,|EZE|IAH|DEN|BOI|
BOI|YYJ,|YYJ|SFO|BOI|
BOI|YYY,|YYY|YUL|ORD|BOI|
BOI|YQQ,|YQQ|YBL|YVR|PDX|OAK|BOI|
BOI|YYR,|YYR|YWK|YZV|YQB|ORD|BOI|
BOI|LHR,|LHR|ORD|BOI|
BOI|SFO,|SFO|BOI|
BOI|YQU,|YQU|YYC|SFO|BOI|
BOI|YZF,|YZF|YEG|DEN|BOI|
BOI|YGR,|YGR|YGP|YQB|ORD|BOI|
BOI|YGP,|YGP|YQB|ORD|BOI|
BOI|BOS,|BOS|ORD|BOI|
BOI|YDF,|YDF|YYZ|ORD|BOI|
BOI|YFC,|YFC|YYZ|ORD|BOI|
BOI|YQM,|YQM|YUL|ORD|BOI|
BOI|YQX,|YQX|YHZ|ORD|BOI|
BOI|YQY,|YQY|YYZ|ORD|BOI|
BOI|YSJ,|YSJ|YYZ|ORD|BOI|
BOI|YYG,|YYG|YUL|ORD|BOI|
BOI|LAX,|LAX|BOI|
BOI|DCA,|DCA|ORD|BOI|
BOI|LGA,|LGA|ORD|BOI|
BOI|YZV,|YZV|YQB|ORD|BOI|
BOI|YWL,|YWL|YVR|PDX|OAK|BOI|
BOI|AZS,|AZS|YYZ|ORD|BOI|
BOI|BDL,|BDL|ORD|BOI|
BOI|CCC,|CCC|YYZ|ORD|BOI|
BOI|CDG,|CDG|ORD|BOI|
BOI|CUN,|CUN|DEN|BOI|
BOI|CZM,|CZM|IAH|DEN|BOI|
BOI|FDF,|FDF|YUL|ORD|BOI|
BOI|FLL,|FLL|DEN|BOI|
BOI|GVA,|GVA|YUL|ORD|BOI|
