BOM|BRU,|BRU|IST|BOM|
BOM|OUA,|OUA|NIM|IST|BOM|
BOM|JED,|JED|IST|BOM|
BOM|CPH,|CPH|IST|BOM|
BOM|YYZ,|YYZ|IST|BOM|
BOM|DEN,|DEN|FRA|IST|BOM|
BOM|YUL,|YUL|FRA|IST|BOM|
BOM|NBO,|NBO|IST|BOM|
BOM|ICN,|ICN|IST|BOM|
BOM|NRT,|NRT|IST|BOM|
BOM|YHZ,|YHZ|LHR|IST|BOM|
BOM|YOW,|YOW|FRA|IST|BOM|
BOM|BJM,|BJM|BRU|IST|BOM|
BOM|COO,|COO|BRU|IST|BOM|
BOM|DKR,|DKR|BRU|IST|BOM|
BOM|DLA,|DLA|IST|BOM|
BOM|KGL,|KGL|IST|BOM|
BOM|LAD,|LAD|BRU|IST|BOM|
BOM|ABJ,|ABJ|OUA|NIM|IST|BOM|
BOM|AMS,|AMS|IST|BOM|
BOM|OSL,|OSL|IST|BOM|
BOM|VNO,|VNO|IST|BOM|
BOM|WAW,|WAW|IST|BOM|
BOM|YYC,|YYC|FRA|IST|BOM|
BOM|ATL,|ATL|EWR|BOM|
BOM|MSY,|MSY|EWR|BOM|
BOM|YEG,|YEG|LHR|IST|BOM|
BOM|YMM,|YMM|YEG|LHR|IST|BOM|
BOM|YQR,|YQR|YEG|LHR|IST|BOM|
BOM|YVR,|YVR|MUC|IST|BOM|
BOM|YWG,|YWG|YUL|FRA|IST|BOM|
BOM|YXE,|YXE|YEG|LHR|IST|BOM|
BOM|CKY,|CKY|DKR|BRU|IST|BOM|
BOM|FIH,|FIH|IST|BOM|
BOM|SCL,|SCL|EZE|GRU|IST|BOM|
BOM|LCA,|LCA|FRA|IST|BOM|
BOM|NAP,|NAP|IST|BOM|
BOM|VLC,|VLC|IST|BOM|
BOM|BKK,|BKK|IST|BOM|
BOM|ADD,|ADD|IST|BOM|
BOM|FRA,|FRA|IST|BOM|
BOM|IST,|IST|BOM|
BOM|EBB,|EBB|KGL|IST|BOM|
BOM|YLW,|YLW|YYC|FRA|IST|BOM|
BOM|YYT,|YYT|LHR|IST|BOM|
BOM|GUA,|GUA|EWR|BOM|
BOM|EWR,|EWR|BOM|
BOM|IAD,|IAD|EWR|BOM|
BOM|IAH,|IAH|EWR|BOM|
BOM|ORD,|ORD|IST|BOM|
BOM|SOF,|SOF|IST|BOM|
BOM|YQB,|YQB|YUL|FRA|IST|BOM|
BOM|YXU,|YXU|YYZ|IST|BOM|
BOM|EZE,|EZE|GRU|IST|BOM|
BOM|YYJ,|YYJ|YVR|MUC|IST|BOM|
BOM|YYY,|YYY|YUL|FRA|IST|BOM|
BOM|YQQ,|YQQ|YBL|YVR|MUC|IST|BOM|
BOM|YYR,|YYR|YYT|LHR|IST|BOM|
BOM|LHR,|LHR|IST|BOM|
BOM|SFO,|SFO|MUC|IST|BOM|
BOM|YQU,|YQU|YEG|LHR|IST|BOM|
BOM|YZF,|YZF|YEG|LHR|IST|BOM|
BOM|YGR,|YGR|YGP|YQB|YUL|FRA|IST|BOM|
BOM|YGP,|YGP|YQB|YUL|FRA|IST|BOM|
BOM|BOS,|BOS|FRA|IST|BOM|
BOM|YDF,|YDF|YYT|LHR|IST|BOM|
BOM|YFC,|YFC|YHZ|LHR|IST|BOM|
BOM|YQM,|YQM|YHZ|LHR|IST|BOM|
BOM|YQX,|YQX|YYT|LHR|IST|BOM|
BOM|YQY,|YQY|YHZ|LHR|IST|BOM|
BOM|YSJ,|YSJ|YHZ|LHR|IST|BOM|
BOM|YYG,|YYG|YHZ|LHR|IST|BOM|
BOM|LAX,|LAX|IST|BOM|
BOM|DCA,|DCA|EWR|BOM|
BOM|LGA,|LGA|YHZ|LHR|IST|BOM|
BOM|YZV,|YZV|YWK|YYR|YYT|LHR|IST|BOM|
BOM|YWL,|YWL|YVR|MUC|IST|BOM|
BOM|AZS,|AZS|YUL|FRA|IST|BOM|
BOM|BDL,|BDL|YUL|FRA|IST|BOM|
BOM|CCC,|CCC|YUL|FRA|IST|BOM|
BOM|CDG,|CDG|IST|BOM|
BOM|CUN,|CUN|EWR|BOM|
BOM|CZM,|CZM|YUL|FRA|IST|BOM|
BOM|FDF,|FDF|YUL|FRA|IST|BOM|
BOM|FLL,|FLL|EWR|BOM|
BOM|GVA,|GVA|IST|BOM|
BOM|HOG,|HOG|YUL|FRA|IST|BOM|
BOM|LAS,|LAS|DEN|FRA|IST|BOM|
BOM|MBJ,|MBJ|EWR|BOM|
BOM|MCO,|MCO|EWR|BOM|
BOM|MUC,|MUC|IST|BOM|
BOM|PAP,|PAP|YUL|FRA|IST|BOM|
BOM|PTP,|PTP|YUL|FRA|IST|BOM|
BOM|PUJ,|PUJ|YHZ|LHR|IST|BOM|
BOM|SNU,|SNU|YUL|FRA|IST|BOM|
BOM|VRA,|VRA|YUL|FRA|IST|BOM|
BOM|YBC,|YBC|YUL|FRA|IST|BOM|
BOM|YBG,|YBG|YUL|FRA|IST|BOM|
BOM|YTZ,|YTZ|YUL|FRA|IST|BOM|
BOM|YUY,|YUY|YUL|FRA|IST|BOM|
BOM|YVO,|YVO|YUL|FRA|IST|BOM|
BOM|ZBF,|ZBF|YUL|FRA|IST|BOM|
BOM|ZRH,|ZRH|IST|BOM|
BOM|ZSA,|ZSA|YUL|FRA|IST|BOM|
BOM|AKL,|AKL|BKK|IST|BOM|
BOM|HKG,|HKG|IST|BOM|
BOM|HND,|HND|YVR|MUC|IST|BOM|
BOM|HNL,|HNL|YVR|MUC|IST|BOM|
BOM|MEX,|MEX|EWR|BOM|
BOM|OGG,|OGG|YVR|MUC|IST|BOM|
BOM|PDX,|PDX|SEA|FRA|IST|BOM|
BOM|PEK,|PEK|IST|BOM|
BOM|PVG,|PVG|IST|BOM|
BOM|PVR,|PVR|EWR|BOM|
BOM|SEA,|SEA|FRA|IST|BOM|
BOM|SYD,|SYD|BKK|IST|BOM|
BOM|YBL,|YBL|YVR|MUC|IST|BOM|
BOM|YCD,|YCD|YVR|MUC|IST|BOM|
BOM|YCG,|YCG|YYC|FRA|IST|BOM|
BOM|YKA,|YKA|YYC|FRA|IST|BOM|
BOM|YPR,|YPR|YVR|MUC|IST|BOM|
BOM|YQZ,|YQZ|YVR|MUC|IST|BOM|
BOM|YXC,|YXC|YYC|FRA|IST|BOM|
BOM|YXJ,|YXJ|YYC|FRA|IST|BOM|
BOM|YXS,|YXS|YYC|FRA|IST|BOM|
BOM|YXT,|YXT|YVR|MUC|IST|BOM|
BOM|YXY,|YXY|YVR|MUC|IST|BOM|
BOM|YYD,|YYD|YVR|MUC|IST|BOM|
BOM|YYF,|YYF|YVR|MUC|IST|BOM|
BOM|YZP,|YZP|YVR|MUC|IST|BOM|
BOM|YQT,|YQT|YYZ|IST|BOM|
BOM|SJD,|SJD|EWR|BOM|
BOM|YQF,|YQF|YYC|FRA|IST|BOM|
BOM|YQL,|YQL|YYC|FRA|IST|BOM|
BOM|YXH,|YXH|YYC|FRA|IST|BOM|
BOM|YWK,|YWK|YYR|YYT|LHR|IST|BOM|
BOM|ANU,|ANU|EWR|BOM|
BOM|AUA,|AUA|EWR|BOM|
BOM|AUH,|AUH|IST|BOM|
BOM|BCN,|BCN|IST|BOM|
BOM|BDA,|BDA|EWR|BOM|
BOM|BGI,|BGI|YYZ|IST|BOM|
BOM|BNA,|BNA|EWR|BOM|
BOM|BOG,|BOG|EWR|BOM|
BOM|BWI,|BWI|EWR|BOM|
BOM|CLE,|CLE|EWR|BOM|
BOM|CLT,|CLT|EWR|BOM|
BOM|CMH,|CMH|EWR|BOM|
BOM|CVG,|CVG|EWR|BOM|
BOM|DFW,|DFW|EWR|BOM|
BOM|DTW,|DTW|EWR|BOM|
BOM|DUB,|DUB|IST|BOM|
BOM|FCO,|FCO|IST|BOM|
BOM|GCM,|GCM|EWR|BOM|
BOM|GGT,|GGT|FLL|EWR|BOM|
