BRE|BRU,|BRU|IST|BRE|
BRE|OUA,|OUA|NIM|IST|BRE|
BRE|JED,|JED|IST|BRE|
BRE|CPH,|CPH|IST|BRE|
BRE|YYZ,|YYZ|IST|BRE|
BRE|DEN,|DEN|FRA|IST|BRE|
BRE|YUL,|YUL|FRA|IST|BRE|
BRE|NBO,|NBO|IST|BRE|
BRE|ICN,|ICN|IST|BRE|
BRE|NRT,|NRT|IST|BRE|
BRE|YHZ,|YHZ|LHR|IST|BRE|
BRE|YOW,|YOW|FRA|IST|BRE|
BRE|BJM,|BJM|BRU|IST|BRE|
BRE|COO,|COO|BRU|IST|BRE|
BRE|DKR,|DKR|BRU|IST|BRE|
BRE|DLA,|DLA|IST|BRE|
BRE|KGL,|KGL|IST|BRE|
BRE|LAD,|LAD|BRU|IST|BRE|
BRE|ABJ,|ABJ|OUA|NIM|IST|BRE|
BRE|AMS,|AMS|IST|BRE|
BRE|OSL,|OSL|IST|BRE|
BRE|VNO,|VNO|IST|BRE|
BRE|WAW,|WAW|IST|BRE|
BRE|YYC,|YYC|FRA|IST|BRE|
BRE|ATL,|ATL|FRA|IST|BRE|
BRE|MSY,|MSY|IAD|IST|BRE|
BRE|YEG,|YEG|LHR|IST|BRE|
BRE|YMM,|YMM|YEG|LHR|IST|BRE|
BRE|YQR,|YQR|YEG|LHR|IST|BRE|
BRE|YVR,|YVR|MUC|IST|BRE|
BRE|YWG,|YWG|YUL|FRA|IST|BRE|
BRE|YXE,|YXE|YEG|LHR|IST|BRE|
BRE|CKY,|CKY|DKR|BRU|IST|BRE|
BRE|FIH,|FIH|IST|BRE|
BRE|SCL,|SCL|EZE|GRU|IST|BRE|
BRE|LCA,|LCA|FRA|IST|BRE|
BRE|NAP,|NAP|IST|BRE|
BRE|VLC,|VLC|IST|BRE|
BRE|BKK,|BKK|IST|BRE|
BRE|ADD,|ADD|IST|BRE|
BRE|FRA,|FRA|IST|BRE|
BRE|IST,|IST|BRE|
BRE|EBB,|EBB|KGL|IST|BRE|
BRE|YLW,|YLW|YYC|FRA|IST|BRE|
BRE|YYT,|YYT|LHR|IST|BRE|
BRE|GUA,|GUA|MIA|ZRH|IST|BRE|
BRE|EWR,|EWR|BHX|IST|BRE|
BRE|IAD,|IAD|IST|BRE|
BRE|IAH,|IAH|IST|BRE|
BRE|ORD,|ORD|IST|BRE|
BRE|SOF,|SOF|IST|BRE|
BRE|YQB,|YQB|YUL|FRA|IST|BRE|
BRE|YXU,|YXU|YYZ|IST|BRE|
BRE|EZE,|EZE|GRU|IST|BRE|
BRE|YYJ,|YYJ|YVR|MUC|IST|BRE|
BRE|YYY,|YYY|YUL|FRA|IST|BRE|
BRE|YQQ,|YQQ|YBL|YVR|MUC|IST|BRE|
BRE|YYR,|YYR|YYT|LHR|IST|BRE|
BRE|LHR,|LHR|IST|BRE|
BRE|SFO,|SFO|MUC|IST|BRE|
BRE|YQU,|YQU|YEG|LHR|IST|BRE|
BRE|YZF,|YZF|YEG|LHR|IST|BRE|
BRE|YGR,|YGR|YGP|YQB|YUL|FRA|IST|BRE|
BRE|YGP,|YGP|YQB|YUL|FRA|IST|BRE|
BRE|BOS,|BOS|FRA|IST|BRE|
BRE|YDF,|YDF|YYT|LHR|IST|BRE|
BRE|YFC,|YFC|YHZ|LHR|IST|BRE|
BRE|YQM,|YQM|YHZ|LHR|IST|BRE|
BRE|YQX,|YQX|YYT|LHR|IST|BRE|
BRE|YQY,|YQY|YHZ|LHR|IST|BRE|
BRE|YSJ,|YSJ|YHZ|LHR|IST|BRE|
BRE|YYG,|YYG|YHZ|LHR|IST|BRE|
BRE|LAX,|LAX|IST|BRE|
BRE|DCA,|DCA|EWR|BHX|IST|BRE|
BRE|LGA,|LGA|YHZ|LHR|IST|BRE|
BRE|YZV,|YZV|YWK|YYR|YYT|LHR|IST|BRE|
