BUD|BRU,|BRU|IST|BUD|
BUD|OUA,|OUA|NIM|IST|BUD|
BUD|JED,|JED|IST|BUD|
BUD|CPH,|CPH|IST|BUD|
BUD|YYZ,|YYZ|IST|BUD|
BUD|DEN,|DEN|FRA|IST|BUD|
BUD|YUL,|YUL|FRA|IST|BUD|
BUD|NBO,|NBO|IST|BUD|
BUD|ICN,|ICN|IST|BUD|
BUD|NRT,|NRT|IST|BUD|
BUD|YHZ,|YHZ|LHR|IST|BUD|
BUD|YOW,|YOW|FRA|IST|BUD|
BUD|BJM,|BJM|BRU|IST|BUD|
BUD|COO,|COO|BRU|IST|BUD|
BUD|DKR,|DKR|BRU|IST|BUD|
BUD|DLA,|DLA|IST|BUD|
BUD|KGL,|KGL|IST|BUD|
BUD|LAD,|LAD|BRU|IST|BUD|
BUD|ABJ,|ABJ|OUA|NIM|IST|BUD|
BUD|AMS,|AMS|IST|BUD|
BUD|OSL,|OSL|IST|BUD|
BUD|VNO,|VNO|IST|BUD|
BUD|WAW,|WAW|IST|BUD|
BUD|YYC,|YYC|FRA|IST|BUD|
BUD|ATL,|ATL|FRA|IST|BUD|
BUD|MSY,|MSY|IAD|IST|BUD|
BUD|YEG,|YEG|LHR|IST|BUD|
BUD|YMM,|YMM|YEG|LHR|IST|BUD|
BUD|YQR,|YQR|YEG|LHR|IST|BUD|
BUD|YVR,|YVR|MUC|IST|BUD|
BUD|YWG,|YWG|YUL|FRA|IST|BUD|
BUD|YXE,|YXE|YEG|LHR|IST|BUD|
BUD|CKY,|CKY|DKR|BRU|IST|BUD|
BUD|FIH,|FIH|IST|BUD|
BUD|SCL,|SCL|EZE|GRU|IST|BUD|
BUD|LCA,|LCA|FRA|IST|BUD|
BUD|NAP,|NAP|IST|BUD|
BUD|VLC,|VLC|IST|BUD|
BUD|BKK,|BKK|IST|BUD|
BUD|ADD,|ADD|IST|BUD|
BUD|FRA,|FRA|IST|BUD|
BUD|IST,|IST|BUD|
BUD|EBB,|EBB|KGL|IST|BUD|
