BUS|BRU,|BRU|IST|BUS|
BUS|OUA,|OUA|NIM|IST|BUS|
BUS|JED,|JED|IST|BUS|
BUS|CPH,|CPH|IST|BUS|
BUS|YYZ,|YYZ|IST|BUS|
BUS|DEN,|DEN|FRA|IST|BUS|
BUS|YUL,|YUL|FRA|IST|BUS|
BUS|NBO,|NBO|IST|BUS|
BUS|ICN,|ICN|IST|BUS|
BUS|NRT,|NRT|IST|BUS|
BUS|YHZ,|YHZ|LHR|IST|BUS|
BUS|YOW,|YOW|FRA|IST|BUS|
BUS|BJM,|BJM|BRU|IST|BUS|
BUS|COO,|COO|BRU|IST|BUS|
BUS|DKR,|DKR|BRU|IST|BUS|
BUS|DLA,|DLA|IST|BUS|
BUS|KGL,|KGL|IST|BUS|
BUS|LAD,|LAD|BRU|IST|BUS|
BUS|ABJ,|ABJ|OUA|NIM|IST|BUS|
BUS|AMS,|AMS|IST|BUS|
BUS|OSL,|OSL|IST|BUS|
BUS|VNO,|VNO|IST|BUS|
BUS|WAW,|WAW|IST|BUS|
BUS|YYC,|YYC|FRA|IST|BUS|
BUS|ATL,|ATL|FRA|IST|BUS|
BUS|MSY,|MSY|IAD|IST|BUS|
BUS|YEG,|YEG|LHR|IST|BUS|
BUS|YMM,|YMM|YEG|LHR|IST|BUS|
BUS|YQR,|YQR|YEG|LHR|IST|BUS|
BUS|YVR,|YVR|MUC|IST|BUS|
BUS|YWG,|YWG|YUL|FRA|IST|BUS|
BUS|YXE,|YXE|YEG|LHR|IST|BUS|
BUS|CKY,|CKY|DKR|BRU|IST|BUS|
BUS|FIH,|FIH|IST|BUS|
BUS|SCL,|SCL|EZE|GRU|IST|BUS|
BUS|LCA,|LCA|FRA|IST|BUS|
BUS|NAP,|NAP|IST|BUS|
BUS|VLC,|VLC|IST|BUS|
BUS|BKK,|BKK|IST|BUS|
BUS|ADD,|ADD|IST|BUS|
BUS|FRA,|FRA|IST|BUS|
BUS|IST,|IST|BUS|
BUS|EBB,|EBB|KGL|IST|BUS|
BUS|YLW,|YLW|YYC|FRA|IST|BUS|
BUS|YYT,|YYT|LHR|IST|BUS|
BUS|GUA,|GUA|MIA|ZRH|IST|BUS|
BUS|EWR,|EWR|BHX|IST|BUS|
BUS|IAD,|IAD|IST|BUS|
BUS|IAH,|IAH|IST|BUS|
BUS|ORD,|ORD|IST|BUS|
BUS|SOF,|SOF|IST|BUS|
