CAK|BRU,|BRU|YUL|LGA|CAK|
CAK|OUA,|OUA|BRU|YUL|LGA|CAK|
CAK|JED,|JED|FRA|BOS|CAK|
CAK|CPH,|CPH|YYZ|LGA|CAK|
CAK|YYZ,|YYZ|LGA|CAK|
CAK|DEN,|DEN|CAK|
CAK|YUL,|YUL|LGA|CAK|
CAK|NBO,|NBO|ZRH|BOS|CAK|
CAK|ICN,|ICN|YVR|ORD|CAK|
CAK|NRT,|NRT|ORD|CAK|
CAK|YHZ,|YHZ|BOS|CAK|
CAK|YOW,|YOW|LGA|CAK|
CAK|BJM,|BJM|BRU|YUL|LGA|CAK|
CAK|COO,|COO|BRU|YUL|LGA|CAK|
CAK|DKR,|DKR|IAD|LGA|CAK|
CAK|DLA,|DLA|BRU|YUL|LGA|CAK|
CAK|KGL,|KGL|BRU|YUL|LGA|CAK|
CAK|LAD,|LAD|BRU|YUL|LGA|CAK|
CAK|ABJ,|ABJ|BRU|YUL|LGA|CAK|
CAK|AMS,|AMS|EWR|BOS|CAK|
CAK|OSL,|OSL|EWR|BOS|CAK|
CAK|VNO,|VNO|FRA|BOS|CAK|
CAK|WAW,|WAW|YYZ|LGA|CAK|
CAK|YYC,|YYC|ORD|CAK|
CAK|ATL,|ATL|CAK|
CAK|MSY,|MSY|ATL|CAK|
CAK|YEG,|YEG|ORD|CAK|
CAK|YMM,|YMM|YEG|ORD|CAK|
CAK|YQR,|YQR|ORD|CAK|
CAK|YVR,|YVR|ORD|CAK|
CAK|YWG,|YWG|ORD|CAK|
CAK|YXE,|YXE|ORD|CAK|
CAK|CKY,|CKY|DKR|IAD|LGA|CAK|
CAK|FIH,|FIH|DLA|BRU|YUL|LGA|CAK|
CAK|SCL,|SCL|YYZ|LGA|CAK|
CAK|LCA,|LCA|FRA|BOS|CAK|
CAK|NAP,|NAP|FRA|BOS|CAK|
CAK|VLC,|VLC|FRA|BOS|CAK|
CAK|BKK,|BKK|CGO|PEK|ORD|CAK|
CAK|ADD,|ADD|JED|FRA|BOS|CAK|
CAK|FRA,|FRA|BOS|CAK|
CAK|IST,|IST|FRA|BOS|CAK|
CAK|EBB,|EBB|KGL|BRU|YUL|LGA|CAK|
CAK|YLW,|YLW|YYC|ORD|CAK|
CAK|YYT,|YYT|YHZ|BOS|CAK|
CAK|GUA,|GUA|IAH|ATL|CAK|
CAK|EWR,|EWR|BOS|CAK|
CAK|IAD,|IAD|LGA|CAK|
CAK|IAH,|IAH|ATL|CAK|
CAK|ORD,|ORD|CAK|
CAK|SOF,|SOF|MUC|BOS|CAK|
CAK|YQB,|YQB|YUL|LGA|CAK|
CAK|YXU,|YXU|ORD|CAK|
CAK|EZE,|EZE|IAH|ATL|CAK|
CAK|YYJ,|YYJ|YVR|ORD|CAK|
CAK|YYY,|YYY|YUL|LGA|CAK|
CAK|YQQ,|YQQ|YYC|ORD|CAK|
CAK|YYR,|YYR|YHZ|BOS|CAK|
CAK|LHR,|LHR|YHZ|BOS|CAK|
CAK|SFO,|SFO|ORD|CAK|
CAK|YQU,|YQU|YEG|ORD|CAK|
CAK|YZF,|YZF|YEG|ORD|CAK|
CAK|YGR,|YGR|YGP|YQB|YUL|LGA|CAK|
CAK|YGP,|YGP|YQB|YUL|LGA|CAK|
CAK|BOS,|BOS|CAK|
CAK|YDF,|YDF|YHZ|BOS|CAK|
CAK|YFC,|YFC|YUL|LGA|CAK|
CAK|YQM,|YQM|YHZ|BOS|CAK|
CAK|YQX,|YQX|YHZ|BOS|CAK|
CAK|YQY,|YQY|YHZ|BOS|CAK|
CAK|YSJ,|YSJ|YHZ|BOS|CAK|
CAK|YYG,|YYG|YHZ|BOS|CAK|
CAK|LAX,|LAX|DEN|CAK|
CAK|DCA,|DCA|EWR|BOS|CAK|
CAK|LGA,|LGA|CAK|
CAK|YZV,|YZV|YUL|LGA|CAK|
CAK|YWL,|YWL|YVR|ORD|CAK|
CAK|AZS,|AZS|YYZ|LGA|CAK|
CAK|BDL,|BDL|IAD|LGA|CAK|
CAK|CCC,|CCC|YYZ|LGA|CAK|
CAK|CDG,|CDG|YUL|LGA|CAK|
CAK|CUN,|CUN|ATL|CAK|
CAK|CZM,|CZM|IAH|ATL|CAK|
CAK|FDF,|FDF|YUL|LGA|CAK|
CAK|FLL,|FLL|MCO|CAK|
CAK|GVA,|GVA|YUL|LGA|CAK|
CAK|HOG,|HOG|YYZ|LGA|CAK|
CAK|LAS,|LAS|DEN|CAK|
CAK|MBJ,|MBJ|ATL|CAK|
CAK|MCO,|MCO|CAK|
CAK|MUC,|MUC|BOS|CAK|
CAK|PAP,|PAP|YUL|LGA|CAK|
CAK|PTP,|PTP|YUL|LGA|CAK|
CAK|PUJ,|PUJ|ATL|CAK|
CAK|SNU,|SNU|YYZ|LGA|CAK|
CAK|VRA,|VRA|YYZ|LGA|CAK|
CAK|YBC,|YBC|YUL|LGA|CAK|
CAK|YBG,|YBG|YUL|LGA|CAK|
CAK|YTZ,|YTZ|YUL|LGA|CAK|
CAK|YUY,|YUY|YUL|LGA|CAK|
CAK|YVO,|YVO|YUL|LGA|CAK|
CAK|ZBF,|ZBF|YUL|LGA|CAK|
CAK|ZRH,|ZRH|BOS|CAK|
CAK|ZSA,|ZSA|YUL|LGA|CAK|
CAK|AKL,|AKL|LAX|DEN|CAK|
CAK|HKG,|HKG|ORD|CAK|
CAK|HND,|HND|YVR|ORD|CAK|
CAK|HNL,|HNL|ORD|CAK|
CAK|MEX,|MEX|IAH|ATL|CAK|
CAK|OGG,|OGG|DEN|CAK|
CAK|PDX,|PDX|ORD|CAK|
CAK|PEK,|PEK|ORD|CAK|
CAK|PVG,|PVG|ORD|CAK|
CAK|PVR,|PVR|IAH|ATL|CAK|
CAK|SEA,|SEA|ORD|CAK|
CAK|SYD,|SYD|LAX|DEN|CAK|
CAK|YBL,|YBL|YVR|ORD|CAK|
CAK|YCD,|YCD|YVR|ORD|CAK|
CAK|YCG,|YCG|YYC|ORD|CAK|
CAK|YKA,|YKA|YYC|ORD|CAK|
CAK|YPR,|YPR|YVR|ORD|CAK|
CAK|YQZ,|YQZ|YVR|ORD|CAK|
CAK|YXC,|YXC|YYC|ORD|CAK|
CAK|YXJ,|YXJ|YYC|ORD|CAK|
CAK|YXS,|YXS|YYC|ORD|CAK|
CAK|YXT,|YXT|YVR|ORD|CAK|
CAK|YXY,|YXY|YVR|ORD|CAK|
CAK|YYD,|YYD|YVR|ORD|CAK|
CAK|YYF,|YYF|YVR|ORD|CAK|
CAK|YZP,|YZP|YVR|ORD|CAK|
CAK|YQT,|YQT|YYZ|LGA|CAK|
CAK|SJD,|SJD|ORD|CAK|
CAK|YQF,|YQF|YYC|ORD|CAK|
CAK|YQL,|YQL|YYC|ORD|CAK|
CAK|YXH,|YXH|YYC|ORD|CAK|
CAK|YWK,|YWK|YZV|YUL|LGA|CAK|
CAK|ANU,|ANU|EWR|BOS|CAK|
CAK|AUA,|AUA|ATL|CAK|
CAK|AUH,|AUH|FRA|BOS|CAK|
CAK|BCN,|BCN|EWR|BOS|CAK|
CAK|BDA,|BDA|EWR|BOS|CAK|
CAK|BGI,|BGI|YYZ|LGA|CAK|
CAK|BNA,|BNA|ORD|CAK|
CAK|BOG,|BOG|IAD|LGA|CAK|
CAK|BWI,|BWI|BOS|CAK|
CAK|CLE,|CLE|ORD|CAK|
CAK|CLT,|CLT|ORD|CAK|
CAK|CMH,|CMH|ORD|CAK|
CAK|CVG,|CVG|ORD|CAK|
CAK|DFW,|DFW|ORD|CAK|
CAK|DTW,|DTW|ORD|CAK|
CAK|DUB,|DUB|BOS|CAK|
CAK|FCO,|FCO|EWR|BOS|CAK|
CAK|GCM,|GCM|IAD|LGA|CAK|
CAK|GGT,|GGT|FLL|MCO|CAK|
CAK|GND,|GND|YYZ|LGA|CAK|
CAK|GRU,|GRU|IAD|LGA|CAK|
CAK|HAV,|HAV|YYZ|LGA|CAK|
CAK|IND,|IND|ORD|CAK|
CAK|JFK,|JFK|IAD|LGA|CAK|
CAK|KIN,|KIN|YYZ|LGA|CAK|
CAK|LIM,|LIM|MIA|ORD|CAK|
CAK|LIR,|LIR|IAH|ATL|CAK|
CAK|MCI,|MCI|ORD|CAK|
CAK|MDT,|MDT|IAD|LGA|CAK|
CAK|MIA,|MIA|ORD|CAK|
CAK|MKE,|MKE|ORD|CAK|
CAK|MSP,|MSP|ORD|CAK|
CAK|NAS,|NAS|ATL|CAK|
CAK|PHL,|PHL|IAD|LGA|CAK|
CAK|PHX,|PHX|ORD|CAK|
CAK|PIT,|PIT|ORD|CAK|
CAK|PLS,|PLS|EWR|BOS|CAK|
CAK|POP,|POP|EWR|BOS|CAK|
CAK|RDU,|RDU|IAD|LGA|CAK|
CAK|ROC,|ROC|YYZ|LGA|CAK|
CAK|RSW,|RSW|MCO|CAK|
CAK|SAN,|SAN|ORD|CAK|
CAK|SJO,|SJO|ORD|CAK|
CAK|STL,|STL|ORD|CAK|
CAK|SYR,|SYR|IAD|LGA|CAK|
CAK|TLV,|TLV|IST|FRA|BOS|CAK|
CAK|TPA,|TPA|CAK|
CAK|UVF,|UVF|EWR|BOS|CAK|
CAK|VIE,|VIE|ORD|CAK|
CAK|YAM,|YAM|YYZ|LGA|CAK|
CAK|YGK,|YGK|YYZ|LGA|CAK|
CAK|YQG,|YQG|YYZ|LGA|CAK|
CAK|YSB,|YSB|YYZ|LGA|CAK|
CAK|YTS,|YTS|YYZ|LGA|CAK|
CAK|YYB,|YYB|YYZ|LGA|CAK|
CAK|YZR,|YZR|YYZ|LGA|CAK|
CAK|CAN,|CAN|PEK|ORD|CAK|
CAK|URC,|URC|TSE|FRA|BOS|CAK|
CAK|CTU,|CTU|PEK|ORD|CAK|
CAK|HGH,|HGH|PEK|ORD|CAK|
CAK|XMN,|XMN|PEK|ORD|CAK|
CAK|CGO,|CGO|PEK|ORD|CAK|
CAK|CSX,|CSX|PEK|ORD|CAK|
CAK|SHE,|SHE|PEK|ORD|CAK|
CAK|SJW,|SJW|DLC|PEK|ORD|CAK|
CAK|WUH,|WUH|PEK|ORD|CAK|
CAK|SZX,|SZX|PEK|ORD|CAK|
CAK|CKG,|CKG|PEK|ORD|CAK|
CAK|KMG,|KMG|PEK|ORD|CAK|
CAK|FOC,|FOC|PEK|ORD|CAK|
CAK|NNG,|NNG|PEK|ORD|CAK|
CAK|SWA,|SWA|PEK|ORD|CAK|
CAK|ACX,|ACX|CAN|PEK|ORD|CAK|
CAK|AQG,|AQG|CAN|PEK|ORD|CAK|
CAK|AVA,|AVA|CAN|PEK|ORD|CAK|
CAK|BFJ,|BFJ|CAN|PEK|ORD|CAK|
CAK|BHY,|BHY|CGO|PEK|ORD|CAK|
CAK|BNE,|BNE|CAN|PEK|ORD|CAK|
CAK|CGD,|CGD|PEK|ORD|CAK|
CAK|CGK,|CGK|CAN|PEK|ORD|CAK|
CAK|CGQ,|CGQ|PEK|ORD|CAK|
CAK|CIH,|CIH|PEK|ORD|CAK|
CAK|CNX,|CNX|CAN|PEK|ORD|CAK|
CAK|CZX,|CZX|SHE|PEK|ORD|CAK|
CAK|DAC,|DAC|IST|FRA|BOS|CAK|
CAK|DAD,|DAD|CAN|PEK|ORD|CAK|
CAK|DEL,|DEL|EWR|BOS|CAK|
