CCC|BRU,|BRU|YUL|YYZ|CCC|
CCC|OUA,|OUA|BRU|YUL|YYZ|CCC|
CCC|JED,|JED|FRA|YYZ|CCC|
CCC|CPH,|CPH|YYZ|CCC|
CCC|YYZ,|YYZ|CCC|
CCC|DEN,|DEN|YYZ|CCC|
CCC|YUL,|YUL|YYZ|CCC|
CCC|NBO,|NBO|ZRH|YYZ|CCC|
CCC|ICN,|ICN|PEK|YYZ|CCC|
CCC|NRT,|NRT|YYZ|CCC|
CCC|YHZ,|YHZ|YYZ|CCC|
CCC|YOW,|YOW|YYZ|CCC|
CCC|BJM,|BJM|BRU|YUL|YYZ|CCC|
CCC|COO,|COO|BRU|YUL|YYZ|CCC|
CCC|DKR,|DKR|IAD|YYZ|CCC|
CCC|DLA,|DLA|BRU|YUL|YYZ|CCC|
CCC|KGL,|KGL|BRU|YUL|YYZ|CCC|
CCC|LAD,|LAD|BRU|YUL|YYZ|CCC|
CCC|ABJ,|ABJ|BRU|YUL|YYZ|CCC|
CCC|AMS,|AMS|EWR|YYZ|CCC|
CCC|OSL,|OSL|EWR|YYZ|CCC|
CCC|VNO,|VNO|CPH|YYZ|CCC|
CCC|WAW,|WAW|YYZ|CCC|
CCC|YYC,|YYC|YYZ|CCC|
CCC|ATL,|ATL|YYZ|CCC|
CCC|MSY,|MSY|YYZ|CCC|
CCC|YEG,|YEG|YYZ|CCC|
CCC|YMM,|YMM|YYZ|CCC|
CCC|YQR,|YQR|YYZ|CCC|
CCC|YVR,|YVR|YYZ|CCC|
CCC|YWG,|YWG|YYZ|CCC|
CCC|YXE,|YXE|YYZ|CCC|
CCC|CKY,|CKY|DKR|IAD|YYZ|CCC|
CCC|FIH,|FIH|DLA|BRU|YUL|YYZ|CCC|
CCC|SCL,|SCL|YYZ|CCC|
CCC|LCA,|LCA|FRA|YYZ|CCC|
CCC|NAP,|NAP|FRA|YYZ|CCC|
CCC|VLC,|VLC|FRA|YYZ|CCC|
CCC|BKK,|BKK|CGO|PEK|YYZ|CCC|
CCC|ADD,|ADD|JED|FRA|YYZ|CCC|
CCC|FRA,|FRA|YYZ|CCC|
CCC|IST,|IST|YYZ|CCC|
CCC|EBB,|EBB|KGL|BRU|YUL|YYZ|CCC|
CCC|YLW,|YLW|YYZ|CCC|
CCC|YYT,|YYT|YYZ|CCC|
CCC|GUA,|GUA|IAD|YYZ|CCC|
CCC|EWR,|EWR|YYZ|CCC|
CCC|IAD,|IAD|YYZ|CCC|
CCC|IAH,|IAH|YYZ|CCC|
CCC|ORD,|ORD|YYZ|CCC|
CCC|SOF,|SOF|MUC|YYZ|CCC|
CCC|YQB,|YQB|YYZ|CCC|
CCC|YXU,|YXU|YYZ|CCC|
CCC|EZE,|EZE|SCL|YYZ|CCC|
CCC|YYJ,|YYJ|YYZ|CCC|
CCC|YYY,|YYY|YUL|YYZ|CCC|
CCC|YQQ,|YQQ|YYC|YYZ|CCC|
CCC|YYR,|YYR|YWK|YZV|YQB|YYZ|CCC|
CCC|LHR,|LHR|YYZ|CCC|
CCC|SFO,|SFO|YYZ|CCC|
CCC|YQU,|YQU|YEG|YYZ|CCC|
CCC|YZF,|YZF|YEG|YYZ|CCC|
CCC|YGR,|YGR|YGP|YQB|YYZ|CCC|
CCC|YGP,|YGP|YQB|YYZ|CCC|
CCC|BOS,|BOS|YYZ|CCC|
CCC|YDF,|YDF|YYZ|CCC|
CCC|YFC,|YFC|YYZ|CCC|
CCC|YQM,|YQM|YYZ|CCC|
CCC|YQX,|YQX|YHZ|YYZ|CCC|
CCC|YQY,|YQY|YYZ|CCC|
CCC|YSJ,|YSJ|YYZ|CCC|
CCC|YYG,|YYG|YYZ|CCC|
CCC|LAX,|LAX|YYZ|CCC|
CCC|DCA,|DCA|YYZ|CCC|
CCC|LGA,|LGA|YYZ|CCC|
CCC|YZV,|YZV|YQB|YYZ|CCC|
CCC|YWL,|YWL|YVR|YYZ|CCC|
CCC|AZS,|AZS|YYZ|CCC|
CCC|BDL,|BDL|YYZ|CCC|
CCC|CDG,|CDG|YYZ|CCC|
CCC|CUN,|CUN|YYZ|CCC|
CCC|CZM,|CZM|IAH|YYZ|CCC|
CCC|FDF,|FDF|YUL|YYZ|CCC|
CCC|FLL,|FLL|YYZ|CCC|
CCC|GVA,|GVA|YUL|YYZ|CCC|
CCC|HOG,|HOG|YYZ|CCC|
CCC|LAS,|LAS|YYZ|CCC|
CCC|MBJ,|MBJ|YYZ|CCC|
CCC|MCO,|MCO|YYZ|CCC|
CCC|MUC,|MUC|YYZ|CCC|
CCC|PAP,|PAP|YUL|YYZ|CCC|
CCC|PTP,|PTP|YUL|YYZ|CCC|
CCC|PUJ,|PUJ|YYZ|CCC|
CCC|SNU,|SNU|YYZ|CCC|
CCC|VRA,|VRA|YYZ|CCC|
