CCS|BRU,|BRU|YUL|IAH|CCS|
CCS|OUA,|OUA|BRU|YUL|IAH|CCS|
CCS|JED,|JED|FRA|IAH|CCS|
CCS|CPH,|CPH|YYZ|IAH|CCS|
CCS|YYZ,|YYZ|IAH|CCS|
CCS|DEN,|DEN|IAH|CCS|
CCS|YUL,|YUL|IAH|CCS|
CCS|NBO,|NBO|ZRH|YUL|IAH|CCS|
CCS|ICN,|ICN|YVR|IAH|CCS|
CCS|NRT,|NRT|IAH|CCS|
CCS|YHZ,|YHZ|BOS|IAH|CCS|
CCS|YOW,|YOW|YYZ|IAH|CCS|
CCS|BJM,|BJM|BRU|YUL|IAH|CCS|
CCS|COO,|COO|BRU|YUL|IAH|CCS|
CCS|DKR,|DKR|IAD|IAH|CCS|
CCS|DLA,|DLA|BRU|YUL|IAH|CCS|
CCS|KGL,|KGL|BRU|YUL|IAH|CCS|
CCS|LAD,|LAD|BRU|YUL|IAH|CCS|
CCS|ABJ,|ABJ|BRU|YUL|IAH|CCS|
CCS|AMS,|AMS|IAH|CCS|
CCS|OSL,|OSL|EWR|IAH|CCS|
CCS|VNO,|VNO|CPH|YYZ|IAH|CCS|
CCS|WAW,|WAW|YYZ|IAH|CCS|
CCS|YYC,|YYC|IAH|CCS|
CCS|ATL,|ATL|IAH|CCS|
CCS|MSY,|MSY|IAH|CCS|
CCS|YEG,|YEG|IAH|CCS|
CCS|YMM,|YMM|DEN|IAH|CCS|
CCS|YQR,|YQR|DEN|IAH|CCS|
CCS|YVR,|YVR|IAH|CCS|
CCS|YWG,|YWG|ORD|IAH|CCS|
CCS|YXE,|YXE|DEN|IAH|CCS|
CCS|CKY,|CKY|DKR|IAD|IAH|CCS|
CCS|FIH,|FIH|DLA|BRU|YUL|IAH|CCS|
CCS|SCL,|SCL|EZE|IAH|CCS|
CCS|LCA,|LCA|FRA|IAH|CCS|
CCS|NAP,|NAP|FRA|IAH|CCS|
CCS|VLC,|VLC|FRA|IAH|CCS|
CCS|BKK,|BKK|CGO|PEK|IAH|CCS|
CCS|ADD,|ADD|JED|FRA|IAH|CCS|
CCS|FRA,|FRA|IAH|CCS|
CCS|IST,|IST|IAH|CCS|
CCS|EBB,|EBB|KGL|BRU|YUL|IAH|CCS|
CCS|YLW,|YLW|YYC|IAH|CCS|
CCS|YYT,|YYT|YHZ|BOS|IAH|CCS|
CCS|GUA,|GUA|IAH|CCS|
CCS|EWR,|EWR|IAH|CCS|
CCS|IAD,|IAD|IAH|CCS|
CCS|IAH,|IAH|CCS|
CCS|ORD,|ORD|IAH|CCS|
CCS|SOF,|SOF|MUC|IAH|CCS|
CCS|YQB,|YQB|YUL|IAH|CCS|
CCS|YXU,|YXU|ORD|IAH|CCS|
CCS|EZE,|EZE|IAH|CCS|
CCS|YYJ,|YYJ|YVR|IAH|CCS|
CCS|YYY,|YYY|YUL|IAH|CCS|
CCS|YQQ,|YQQ|YBL|YVR|IAH|CCS|
CCS|YYR,|YYR|YWK|YZV|YUL|IAH|CCS|
CCS|LHR,|LHR|IAH|CCS|
CCS|SFO,|SFO|IAH|CCS|
CCS|YQU,|YQU|YYC|IAH|CCS|
CCS|YZF,|YZF|YEG|IAH|CCS|
CCS|YGR,|YGR|YGP|YQB|YUL|IAH|CCS|
CCS|YGP,|YGP|YQB|YUL|IAH|CCS|
CCS|BOS,|BOS|IAH|CCS|
CCS|YDF,|YDF|YYZ|IAH|CCS|
CCS|YFC,|YFC|YUL|IAH|CCS|
CCS|YQM,|YQM|EWR|IAH|CCS|
CCS|YQX,|YQX|YHZ|BOS|IAH|CCS|
CCS|YQY,|YQY|YHZ|BOS|IAH|CCS|
CCS|YSJ,|YSJ|YUL|IAH|CCS|
CCS|YYG,|YYG|YUL|IAH|CCS|
CCS|LAX,|LAX|IAH|CCS|
CCS|DCA,|DCA|IAH|CCS|
CCS|LGA,|LGA|IAH|CCS|
CCS|YZV,|YZV|YUL|IAH|CCS|
CCS|YWL,|YWL|YVR|IAH|CCS|
CCS|AZS,|AZS|YYZ|IAH|CCS|
CCS|BDL,|BDL|IAD|IAH|CCS|
CCS|CCC,|CCC|YYZ|IAH|CCS|
CCS|CDG,|CDG|YUL|IAH|CCS|
CCS|CUN,|CUN|IAH|CCS|
CCS|CZM,|CZM|IAH|CCS|
CCS|FDF,|FDF|YUL|IAH|CCS|
CCS|FLL,|FLL|IAH|CCS|
