CGD|BRU,|BRU|IST|PEK|CGD|
CGD|OUA,|OUA|NIM|IST|PEK|CGD|
CGD|JED,|JED|IST|PEK|CGD|
CGD|CPH,|CPH|AMS|PEK|CGD|
CGD|YYZ,|YYZ|PEK|CGD|
CGD|DEN,|DEN|YVR|PEK|CGD|
CGD|YUL,|YUL|YYZ|PEK|CGD|
CGD|NBO,|NBO|CAN|CGD|
CGD|ICN,|ICN|PEK|CGD|
CGD|NRT,|NRT|PEK|CGD|
CGD|YHZ,|YHZ|YYZ|PEK|CGD|
CGD|YOW,|YOW|YYZ|PEK|CGD|
CGD|BJM,|BJM|BRU|IST|PEK|CGD|
CGD|COO,|COO|BRU|IST|PEK|CGD|
CGD|DKR,|DKR|BRU|IST|PEK|CGD|
CGD|DLA,|DLA|IST|PEK|CGD|
CGD|KGL,|KGL|IST|PEK|CGD|
CGD|LAD,|LAD|BRU|IST|PEK|CGD|
CGD|ABJ,|ABJ|OUA|NIM|IST|PEK|CGD|
CGD|AMS,|AMS|PEK|CGD|
CGD|OSL,|OSL|CPH|AMS|PEK|CGD|
CGD|VNO,|VNO|IST|PEK|CGD|
CGD|WAW,|WAW|IST|PEK|CGD|
CGD|YYC,|YYC|YVR|PEK|CGD|
CGD|ATL,|ATL|ORD|PEK|CGD|
CGD|MSY,|MSY|ORD|PEK|CGD|
CGD|YEG,|YEG|YVR|PEK|CGD|
CGD|YMM,|YMM|YVR|PEK|CGD|
CGD|YQR,|YQR|YVR|PEK|CGD|
CGD|YVR,|YVR|PEK|CGD|
CGD|YWG,|YWG|YVR|PEK|CGD|
CGD|YXE,|YXE|YVR|PEK|CGD|
CGD|CKY,|CKY|DKR|BRU|IST|PEK|CGD|
CGD|FIH,|FIH|IST|PEK|CGD|
CGD|SCL,|SCL|YYZ|PEK|CGD|
CGD|LCA,|LCA|FRA|TSE|URC|PEK|CGD|
CGD|NAP,|NAP|IST|PEK|CGD|
CGD|VLC,|VLC|FRA|TSE|URC|PEK|CGD|
CGD|BKK,|BKK|CAN|CGD|
CGD|ADD,|ADD|IST|PEK|CGD|
CGD|FRA,|FRA|TSE|URC|PEK|CGD|
CGD|IST,|IST|PEK|CGD|
CGD|EBB,|EBB|KGL|IST|PEK|CGD|
CGD|YLW,|YLW|YVR|PEK|CGD|
CGD|YYT,|YYT|LHR|CAN|CGD|
CGD|GUA,|GUA|IAH|PEK|CGD|
CGD|EWR,|EWR|PEK|CGD|
CGD|IAD,|IAD|PEK|CGD|
CGD|IAH,|IAH|PEK|CGD|
CGD|ORD,|ORD|PEK|CGD|
CGD|SOF,|SOF|IST|PEK|CGD|
CGD|YQB,|YQB|YYZ|PEK|CGD|
CGD|YXU,|YXU|YYZ|PEK|CGD|
CGD|EZE,|EZE|GRU|IST|PEK|CGD|
CGD|YYJ,|YYJ|YVR|PEK|CGD|
CGD|YYY,|YYY|YUL|YYZ|PEK|CGD|
CGD|YQQ,|YQQ|YBL|YVR|PEK|CGD|
CGD|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|CGD|
CGD|LHR,|LHR|CAN|CGD|
CGD|SFO,|SFO|PEK|CGD|
CGD|YQU,|YQU|YEG|YVR|PEK|CGD|
CGD|YZF,|YZF|YEG|YVR|PEK|CGD|
CGD|YGR,|YGR|YGP|YQB|YYZ|PEK|CGD|
CGD|YGP,|YGP|YQB|YYZ|PEK|CGD|
CGD|BOS,|BOS|YYZ|PEK|CGD|
CGD|YDF,|YDF|YYZ|PEK|CGD|
CGD|YFC,|YFC|YYZ|PEK|CGD|
CGD|YQM,|YQM|YYZ|PEK|CGD|
CGD|YQX,|YQX|YHZ|YYZ|PEK|CGD|
CGD|YQY,|YQY|YYZ|PEK|CGD|
CGD|YSJ,|YSJ|YYZ|PEK|CGD|
CGD|YYG,|YYG|YYZ|PEK|CGD|
CGD|LAX,|LAX|PEK|CGD|
CGD|DCA,|DCA|YYZ|PEK|CGD|
CGD|LGA,|LGA|YYZ|PEK|CGD|
CGD|YZV,|YZV|YQB|YYZ|PEK|CGD|
CGD|YWL,|YWL|YVR|PEK|CGD|
CGD|AZS,|AZS|YYZ|PEK|CGD|
CGD|BDL,|BDL|YYZ|PEK|CGD|
CGD|CCC,|CCC|YYZ|PEK|CGD|
CGD|CDG,|CDG|CAN|CGD|
CGD|CUN,|CUN|IAH|PEK|CGD|
CGD|CZM,|CZM|IAH|PEK|CGD|
CGD|FDF,|FDF|YUL|YYZ|PEK|CGD|
CGD|FLL,|FLL|ORD|PEK|CGD|
CGD|GVA,|GVA|IST|PEK|CGD|
CGD|HOG,|HOG|YYZ|PEK|CGD|
CGD|LAS,|LAS|SEA|PEK|CGD|
CGD|MBJ,|MBJ|ATL|ORD|PEK|CGD|
CGD|MCO,|MCO|ORD|PEK|CGD|
CGD|MUC,|MUC|IST|PEK|CGD|
CGD|PAP,|PAP|YUL|YYZ|PEK|CGD|
CGD|PTP,|PTP|YUL|YYZ|PEK|CGD|
CGD|PUJ,|PUJ|EWR|PEK|CGD|
CGD|SNU,|SNU|YYZ|PEK|CGD|
CGD|VRA,|VRA|YYZ|PEK|CGD|
CGD|YBC,|YBC|YUL|YYZ|PEK|CGD|
CGD|YBG,|YBG|YUL|YYZ|PEK|CGD|
CGD|YTZ,|YTZ|YUL|YYZ|PEK|CGD|
CGD|YUY,|YUY|YUL|YYZ|PEK|CGD|
CGD|YVO,|YVO|YUL|YYZ|PEK|CGD|
CGD|ZBF,|ZBF|YUL|YYZ|PEK|CGD|
CGD|ZRH,|ZRH|IST|PEK|CGD|
CGD|ZSA,|ZSA|YUL|YYZ|PEK|CGD|
CGD|AKL,|AKL|CAN|CGD|
CGD|HKG,|HKG|CAN|CGD|
CGD|HND,|HND|HNL|PEK|CGD|
CGD|HNL,|HNL|PEK|CGD|
CGD|MEX,|MEX|YVR|PEK|CGD|
CGD|OGG,|OGG|HNL|PEK|CGD|
CGD|PDX,|PDX|SEA|PEK|CGD|
CGD|PEK,|PEK|CGD|
CGD|PVG,|PVG|CAN|CGD|
CGD|PVR,|PVR|SFO|PEK|CGD|
CGD|SEA,|SEA|PEK|CGD|
CGD|SYD,|SYD|CAN|CGD|
CGD|YBL,|YBL|YVR|PEK|CGD|
CGD|YCD,|YCD|YVR|PEK|CGD|
CGD|YCG,|YCG|YVR|PEK|CGD|
CGD|YKA,|YKA|YVR|PEK|CGD|
CGD|YPR,|YPR|YVR|PEK|CGD|
CGD|YQZ,|YQZ|YVR|PEK|CGD|
CGD|YXC,|YXC|YVR|PEK|CGD|
CGD|YXJ,|YXJ|YVR|PEK|CGD|
CGD|YXS,|YXS|YVR|PEK|CGD|
CGD|YXT,|YXT|YVR|PEK|CGD|
CGD|YXY,|YXY|YVR|PEK|CGD|
CGD|YYD,|YYD|YVR|PEK|CGD|
CGD|YYF,|YYF|YVR|PEK|CGD|
CGD|YZP,|YZP|YVR|PEK|CGD|
CGD|YQT,|YQT|YWG|YVR|PEK|CGD|
CGD|SJD,|SJD|SFO|PEK|CGD|
CGD|YQF,|YQF|YYC|YVR|PEK|CGD|
CGD|YQL,|YQL|YYC|YVR|PEK|CGD|
CGD|YXH,|YXH|YYC|YVR|PEK|CGD|
CGD|YWK,|YWK|YZV|YQB|YYZ|PEK|CGD|
CGD|ANU,|ANU|EWR|PEK|CGD|
CGD|AUA,|AUA|EWR|PEK|CGD|
CGD|AUH,|AUH|IST|PEK|CGD|
CGD|BCN,|BCN|IST|PEK|CGD|
CGD|BDA,|BDA|EWR|PEK|CGD|
CGD|BGI,|BGI|YYZ|PEK|CGD|
CGD|BNA,|BNA|ORD|PEK|CGD|
CGD|BOG,|BOG|MIA|ORD|PEK|CGD|
CGD|BWI,|BWI|YYZ|PEK|CGD|
CGD|CLE,|CLE|YYZ|PEK|CGD|
CGD|CLT,|CLT|YYZ|PEK|CGD|
CGD|CMH,|CMH|ORD|PEK|CGD|
CGD|CVG,|CVG|ORD|PEK|CGD|
CGD|DFW,|DFW|YVR|PEK|CGD|
CGD|DTW,|DTW|PEK|CGD|
CGD|DUB,|DUB|IST|PEK|CGD|
CGD|FCO,|FCO|IST|PEK|CGD|
CGD|GCM,|GCM|YYZ|PEK|CGD|
CGD|GGT,|GGT|YYZ|PEK|CGD|
CGD|GND,|GND|YYZ|PEK|CGD|
CGD|GRU,|GRU|IST|PEK|CGD|
CGD|HAV,|HAV|YYZ|PEK|CGD|
CGD|IND,|IND|ORD|PEK|CGD|
CGD|JFK,|JFK|PEK|CGD|
CGD|KIN,|KIN|YYZ|PEK|CGD|
CGD|LIM,|LIM|IAH|PEK|CGD|
CGD|LIR,|LIR|IAH|PEK|CGD|
CGD|MCI,|MCI|DEN|YVR|PEK|CGD|
CGD|MDT,|MDT|YYZ|PEK|CGD|
CGD|MIA,|MIA|ORD|PEK|CGD|
CGD|MKE,|MKE|ORD|PEK|CGD|
CGD|MSP,|MSP|ORD|PEK|CGD|
CGD|NAS,|NAS|YYZ|PEK|CGD|
CGD|PHL,|PHL|YYZ|PEK|CGD|
CGD|PHX,|PHX|SEA|PEK|CGD|
CGD|PIT,|PIT|YYZ|PEK|CGD|
CGD|PLS,|PLS|EWR|PEK|CGD|
CGD|POP,|POP|EWR|PEK|CGD|
CGD|RDU,|RDU|YYZ|PEK|CGD|
CGD|ROC,|ROC|YYZ|PEK|CGD|
CGD|RSW,|RSW|ORD|PEK|CGD|
CGD|SAN,|SAN|LAX|PEK|CGD|
CGD|SJO,|SJO|IAH|PEK|CGD|
CGD|STL,|STL|ORD|PEK|CGD|
CGD|SYR,|SYR|YYZ|PEK|CGD|
CGD|TLV,|TLV|IST|PEK|CGD|
CGD|TPA,|TPA|ORD|PEK|CGD|
CGD|UVF,|UVF|EWR|PEK|CGD|
CGD|VIE,|VIE|IST|PEK|CGD|
CGD|YAM,|YAM|YYZ|PEK|CGD|
CGD|YGK,|YGK|YYZ|PEK|CGD|
CGD|YQG,|YQG|YYZ|PEK|CGD|
CGD|YSB,|YSB|YYZ|PEK|CGD|
CGD|YTS,|YTS|YYZ|PEK|CGD|
CGD|YYB,|YYB|YYZ|PEK|CGD|
CGD|YZR,|YZR|YYZ|PEK|CGD|
CGD|CAN,|CAN|CGD|
CGD|URC,|URC|PEK|CGD|
CGD|CTU,|CTU|CAN|CGD|
CGD|HGH,|HGH|CAN|CGD|
CGD|XMN,|XMN|CAN|CGD|
CGD|CGO,|CGO|CAN|CGD|
CGD|CSX,|CSX|CAN|CGD|
CGD|SHE,|SHE|PEK|CGD|
CGD|SJW,|SJW|CAN|CGD|
CGD|WUH,|WUH|CAN|CGD|
CGD|SZX,|SZX|CGD|
CGD|CKG,|CKG|CAN|CGD|
CGD|KMG,|KMG|CAN|CGD|
CGD|FOC,|FOC|CAN|CGD|
CGD|NNG,|NNG|CAN|CGD|
CGD|SWA,|SWA|CAN|CGD|
CGD|ACX,|ACX|CAN|CGD|
CGD|AQG,|AQG|CAN|CGD|
CGD|AVA,|AVA|CAN|CGD|
CGD|BFJ,|BFJ|CAN|CGD|
CGD|BHY,|BHY|CAN|CGD|
CGD|BNE,|BNE|CAN|CGD|
CGD|CGK,|CGK|CAN|CGD|
CGD|CGQ,|CGQ|PEK|CGD|
CGD|CIH,|CIH|PEK|CGD|
CGD|CNX,|CNX|CAN|CGD|
CGD|CZX,|CZX|CAN|CGD|
CGD|DAC,|DAC|CAN|CGD|
CGD|DAD,|DAD|CAN|CGD|
CGD|DEL,|DEL|CAN|CGD|
CGD|DIG,|DIG|CAN|CGD|
CGD|DLC,|DLC|PEK|CGD|
CGD|DPS,|DPS|CAN|CGD|
CGD|DXB,|DXB|CAN|CGD|
