CID|BRU,|BRU|ORD|CID|
CID|OUA,|OUA|BRU|ORD|CID|
CID|JED,|JED|FRA|ORD|CID|
CID|CPH,|CPH|YYZ|ORD|CID|
CID|YYZ,|YYZ|ORD|CID|
CID|DEN,|DEN|CID|
CID|YUL,|YUL|ORD|CID|
CID|NBO,|NBO|ZRH|ORD|CID|
CID|ICN,|ICN|YVR|DEN|CID|
CID|NRT,|NRT|ORD|CID|
CID|YHZ,|YHZ|ORD|CID|
CID|YOW,|YOW|ORD|CID|
CID|BJM,|BJM|BRU|ORD|CID|
CID|COO,|COO|BRU|ORD|CID|
CID|DKR,|DKR|IAD|ORD|CID|
CID|DLA,|DLA|BRU|ORD|CID|
CID|KGL,|KGL|BRU|ORD|CID|
CID|LAD,|LAD|BRU|ORD|CID|
CID|ABJ,|ABJ|BRU|ORD|CID|
CID|AMS,|AMS|ORD|CID|
CID|OSL,|OSL|EWR|ORD|CID|
CID|VNO,|VNO|CPH|YYZ|ORD|CID|
CID|WAW,|WAW|YYZ|ORD|CID|
CID|YYC,|YYC|ORD|CID|
CID|ATL,|ATL|ORD|CID|
CID|MSY,|MSY|ORD|CID|
CID|YEG,|YEG|ORD|CID|
CID|YMM,|YMM|YEG|ORD|CID|
CID|YQR,|YQR|ORD|CID|
CID|YVR,|YVR|DEN|CID|
CID|YWG,|YWG|ORD|CID|
CID|YXE,|YXE|ORD|CID|
CID|CKY,|CKY|DKR|IAD|ORD|CID|
CID|FIH,|FIH|DLA|BRU|ORD|CID|
CID|SCL,|SCL|YYZ|ORD|CID|
CID|LCA,|LCA|FRA|ORD|CID|
CID|NAP,|NAP|FRA|ORD|CID|
CID|VLC,|VLC|FRA|ORD|CID|
CID|BKK,|BKK|CGO|PEK|ORD|CID|
CID|ADD,|ADD|IST|ORD|CID|
CID|FRA,|FRA|ORD|CID|
CID|IST,|IST|ORD|CID|
CID|EBB,|EBB|KGL|BRU|ORD|CID|
CID|YLW,|YLW|YYC|ORD|CID|
CID|YYT,|YYT|YOW|ORD|CID|
CID|GUA,|GUA|IAH|ORD|CID|
CID|EWR,|EWR|ORD|CID|
CID|IAD,|IAD|ORD|CID|
CID|IAH,|IAH|ORD|CID|
CID|ORD,|ORD|CID|
CID|SOF,|SOF|MUC|ORD|CID|
CID|YQB,|YQB|ORD|CID|
CID|YXU,|YXU|ORD|CID|
CID|EZE,|EZE|IAH|ORD|CID|
CID|YYJ,|YYJ|YVR|DEN|CID|
CID|YYY,|YYY|YUL|ORD|CID|
CID|YQQ,|YQQ|YBL|YVR|DEN|CID|
CID|YYR,|YYR|YWK|YZV|YQB|ORD|CID|
CID|LHR,|LHR|ORD|CID|
CID|SFO,|SFO|DEN|CID|
CID|YQU,|YQU|YEG|ORD|CID|
CID|YZF,|YZF|YEG|ORD|CID|
CID|YGR,|YGR|YGP|YQB|ORD|CID|
CID|YGP,|YGP|YQB|ORD|CID|
CID|BOS,|BOS|ORD|CID|
CID|YDF,|YDF|YYZ|ORD|CID|
CID|YFC,|YFC|YYZ|ORD|CID|
CID|YQM,|YQM|YUL|ORD|CID|
CID|YQX,|YQX|YHZ|ORD|CID|
CID|YQY,|YQY|YYZ|ORD|CID|
CID|YSJ,|YSJ|YYZ|ORD|CID|
CID|YYG,|YYG|YUL|ORD|CID|
CID|LAX,|LAX|DEN|CID|
CID|DCA,|DCA|ORD|CID|
CID|LGA,|LGA|ORD|CID|
CID|YZV,|YZV|YQB|ORD|CID|
CID|YWL,|YWL|YVR|DEN|CID|
CID|AZS,|AZS|YYZ|ORD|CID|
CID|BDL,|BDL|ORD|CID|
CID|CCC,|CCC|YYZ|ORD|CID|
CID|CDG,|CDG|ORD|CID|
CID|CUN,|CUN|ORD|CID|
CID|CZM,|CZM|IAH|ORD|CID|
CID|FDF,|FDF|YUL|ORD|CID|
CID|FLL,|FLL|ORD|CID|
CID|GVA,|GVA|YUL|ORD|CID|
CID|HOG,|HOG|YYZ|ORD|CID|
CID|LAS,|LAS|DEN|CID|
CID|MBJ,|MBJ|ATL|ORD|CID|
CID|MCO,|MCO|ORD|CID|
CID|MUC,|MUC|ORD|CID|
CID|PAP,|PAP|YUL|ORD|CID|
CID|PTP,|PTP|YUL|ORD|CID|
CID|PUJ,|PUJ|ORD|CID|
CID|SNU,|SNU|YYZ|ORD|CID|
CID|VRA,|VRA|YYZ|ORD|CID|
CID|YBC,|YBC|YUL|ORD|CID|
CID|YBG,|YBG|YUL|ORD|CID|
CID|YTZ,|YTZ|YUL|ORD|CID|
CID|YUY,|YUY|YUL|ORD|CID|
CID|YVO,|YVO|YUL|ORD|CID|
CID|ZBF,|ZBF|YUL|ORD|CID|
CID|ZRH,|ZRH|ORD|CID|
CID|ZSA,|ZSA|YUL|ORD|CID|
CID|AKL,|AKL|LAX|DEN|CID|
CID|HKG,|HKG|ORD|CID|
CID|HND,|HND|YVR|DEN|CID|
CID|HNL,|HNL|DEN|CID|
CID|MEX,|MEX|ORD|CID|
CID|OGG,|OGG|DEN|CID|
CID|PDX,|PDX|DEN|CID|
CID|PEK,|PEK|ORD|CID|
CID|PVG,|PVG|ORD|CID|
CID|PVR,|PVR|ORD|CID|
CID|SEA,|SEA|DEN|CID|
CID|SYD,|SYD|LAX|DEN|CID|
CID|YBL,|YBL|YVR|DEN|CID|
CID|YCD,|YCD|YVR|DEN|CID|
CID|YCG,|YCG|YYC|ORD|CID|
CID|YKA,|YKA|YYC|ORD|CID|
CID|YPR,|YPR|YVR|DEN|CID|
CID|YQZ,|YQZ|YVR|DEN|CID|
CID|YXC,|YXC|YYC|ORD|CID|
CID|YXJ,|YXJ|YYC|ORD|CID|
CID|YXS,|YXS|YYC|ORD|CID|
CID|YXT,|YXT|YVR|DEN|CID|
CID|YXY,|YXY|YVR|DEN|CID|
CID|YYD,|YYD|YVR|DEN|CID|
CID|YYF,|YYF|YVR|DEN|CID|
CID|YZP,|YZP|YVR|DEN|CID|
CID|YQT,|YQT|YYZ|ORD|CID|
CID|SJD,|SJD|DEN|CID|
CID|YQF,|YQF|YYC|ORD|CID|
CID|YQL,|YQL|YYC|ORD|CID|
CID|YXH,|YXH|YYC|ORD|CID|
CID|YWK,|YWK|YZV|YQB|ORD|CID|
CID|ANU,|ANU|EWR|ORD|CID|
CID|AUA,|AUA|ATL|ORD|CID|
CID|AUH,|AUH|YYZ|ORD|CID|
CID|BCN,|BCN|YYZ|ORD|CID|
CID|BDA,|BDA|EWR|ORD|CID|
CID|BGI,|BGI|YYZ|ORD|CID|
CID|BNA,|BNA|ORD|CID|
CID|BOG,|BOG|MIA|ORD|CID|
CID|BWI,|BWI|ORD|CID|
CID|CLE,|CLE|ORD|CID|
CID|CLT,|CLT|ORD|CID|
CID|CMH,|CMH|ORD|CID|
CID|CVG,|CVG|ORD|CID|
CID|DFW,|DFW|ORD|CID|
CID|DTW,|DTW|ORD|CID|
CID|DUB,|DUB|ORD|CID|
CID|FCO,|FCO|YYZ|ORD|CID|
CID|GCM,|GCM|IAD|ORD|CID|
