CKG|BRU,|BRU|IST|URC|CKG|
CKG|OUA,|OUA|NIM|IST|URC|CKG|
CKG|JED,|JED|IST|URC|CKG|
CKG|CPH,|CPH|IST|URC|CKG|
CKG|YYZ,|YYZ|PEK|CKG|
CKG|DEN,|DEN|YVR|PEK|CKG|
CKG|YUL,|YUL|YYZ|PEK|CKG|
CKG|NBO,|NBO|BKK|NNG|CKG|
CKG|ICN,|ICN|CGO|CKG|
CKG|NRT,|NRT|ICN|CGO|CKG|
CKG|YHZ,|YHZ|YYZ|PEK|CKG|
CKG|YOW,|YOW|YYZ|PEK|CKG|
CKG|BJM,|BJM|BRU|IST|URC|CKG|
CKG|COO,|COO|BRU|IST|URC|CKG|
CKG|DKR,|DKR|BRU|IST|URC|CKG|
CKG|DLA,|DLA|IST|URC|CKG|
CKG|KGL,|KGL|IST|URC|CKG|
CKG|LAD,|LAD|BRU|IST|URC|CKG|
CKG|ABJ,|ABJ|OUA|NIM|IST|URC|CKG|
CKG|AMS,|AMS|CTU|KWE|CKG|
CKG|OSL,|OSL|IST|URC|CKG|
CKG|VNO,|VNO|IST|URC|CKG|
CKG|WAW,|WAW|IST|URC|CKG|
CKG|YYC,|YYC|YVR|PEK|CKG|
CKG|ATL,|ATL|ORD|PEK|CKG|
CKG|MSY,|MSY|ORD|PEK|CKG|
CKG|YEG,|YEG|YVR|PEK|CKG|
CKG|YMM,|YMM|YVR|PEK|CKG|
CKG|YQR,|YQR|YVR|PEK|CKG|
CKG|YVR,|YVR|PEK|CKG|
CKG|YWG,|YWG|YVR|PEK|CKG|
CKG|YXE,|YXE|YVR|PEK|CKG|
CKG|CKY,|CKY|DKR|BRU|IST|URC|CKG|
CKG|FIH,|FIH|IST|URC|CKG|
CKG|SCL,|SCL|EZE|GRU|IST|URC|CKG|
CKG|LCA,|LCA|FRA|TSE|URC|CKG|
CKG|NAP,|NAP|IST|URC|CKG|
CKG|VLC,|VLC|FRA|TSE|URC|CKG|
CKG|BKK,|BKK|NNG|CKG|
CKG|ADD,|ADD|IST|URC|CKG|
CKG|FRA,|FRA|TSE|URC|CKG|
CKG|IST,|IST|URC|CKG|
CKG|EBB,|EBB|KGL|IST|URC|CKG|
CKG|YLW,|YLW|YVR|PEK|CKG|
CKG|YYT,|YYT|LHR|IST|URC|CKG|
CKG|GUA,|GUA|IAH|PEK|CKG|
CKG|EWR,|EWR|PEK|CKG|
CKG|IAD,|IAD|PEK|CKG|
CKG|IAH,|IAH|PEK|CKG|
CKG|ORD,|ORD|PEK|CKG|
CKG|SOF,|SOF|IST|URC|CKG|
CKG|YQB,|YQB|YYZ|PEK|CKG|
CKG|YXU,|YXU|YYZ|PEK|CKG|
CKG|EZE,|EZE|GRU|IST|URC|CKG|
CKG|YYJ,|YYJ|YVR|PEK|CKG|
CKG|YYY,|YYY|YUL|YYZ|PEK|CKG|
CKG|YQQ,|YQQ|YBL|YVR|PEK|CKG|
CKG|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|CKG|
CKG|LHR,|LHR|IST|URC|CKG|
CKG|SFO,|SFO|PEK|CKG|
CKG|YQU,|YQU|YEG|YVR|PEK|CKG|
CKG|YZF,|YZF|YEG|YVR|PEK|CKG|
CKG|YGR,|YGR|YGP|YQB|YYZ|PEK|CKG|
CKG|YGP,|YGP|YQB|YYZ|PEK|CKG|
CKG|BOS,|BOS|YYZ|PEK|CKG|
CKG|YDF,|YDF|YYT|LHR|IST|URC|CKG|
CKG|YFC,|YFC|YYZ|PEK|CKG|
CKG|YQM,|YQM|YYZ|PEK|CKG|
CKG|YQX,|YQX|YYT|LHR|IST|URC|CKG|
CKG|YQY,|YQY|YYZ|PEK|CKG|
CKG|YSJ,|YSJ|YYZ|PEK|CKG|
