CLD|BRU,|BRU|ORD|LAX|CLD|
CLD|OUA,|OUA|BRU|ORD|LAX|CLD|
CLD|JED,|JED|IST|LAX|CLD|
CLD|CPH,|CPH|YYZ|LAX|CLD|
CLD|YYZ,|YYZ|LAX|CLD|
CLD|DEN,|DEN|LAX|CLD|
CLD|YUL,|YUL|LAX|CLD|
CLD|NBO,|NBO|ZRH|LAX|CLD|
CLD|ICN,|ICN|LAX|CLD|
CLD|NRT,|NRT|LAX|CLD|
CLD|YHZ,|YHZ|YUL|LAX|CLD|
CLD|YOW,|YOW|ORD|LAX|CLD|
CLD|BJM,|BJM|BRU|ORD|LAX|CLD|
CLD|COO,|COO|BRU|ORD|LAX|CLD|
CLD|DKR,|DKR|IAD|LAX|CLD|
CLD|DLA,|DLA|BRU|ORD|LAX|CLD|
CLD|KGL,|KGL|IST|LAX|CLD|
CLD|LAD,|LAD|BRU|ORD|LAX|CLD|
CLD|ABJ,|ABJ|BRU|ORD|LAX|CLD|
CLD|AMS,|AMS|ORD|LAX|CLD|
CLD|OSL,|OSL|EWR|LAX|CLD|
CLD|VNO,|VNO|FRA|LAX|CLD|
CLD|WAW,|WAW|YYZ|LAX|CLD|
CLD|YYC,|YYC|LAX|CLD|
CLD|ATL,|ATL|LAX|CLD|
CLD|MSY,|MSY|LAX|CLD|
CLD|YEG,|YEG|LAX|CLD|
CLD|YMM,|YMM|YYC|LAX|CLD|
CLD|YQR,|YQR|LAS|LAX|CLD|
CLD|YVR,|YVR|LAX|CLD|
CLD|YWG,|YWG|LAS|LAX|CLD|
CLD|YXE,|YXE|LAS|LAX|CLD|
CLD|CKY,|CKY|DKR|IAD|LAX|CLD|
CLD|FIH,|FIH|DLA|BRU|ORD|LAX|CLD|
CLD|SCL,|SCL|EZE|IAH|LAX|CLD|
CLD|LCA,|LCA|FRA|LAX|CLD|
CLD|NAP,|NAP|FRA|LAX|CLD|
CLD|VLC,|VLC|FRA|LAX|CLD|
CLD|BKK,|BKK|ICN|LAX|CLD|
CLD|ADD,|ADD|IST|LAX|CLD|
CLD|FRA,|FRA|LAX|CLD|
CLD|IST,|IST|LAX|CLD|
CLD|EBB,|EBB|KGL|IST|LAX|CLD|
CLD|YLW,|YLW|LAX|CLD|
CLD|YYT,|YYT|YUL|LAX|CLD|
CLD|GUA,|GUA|IAH|LAX|CLD|
CLD|EWR,|EWR|LAX|CLD|
CLD|IAD,|IAD|LAX|CLD|
CLD|IAH,|IAH|LAX|CLD|
CLD|ORD,|ORD|LAX|CLD|
CLD|SOF,|SOF|MUC|LAX|CLD|
CLD|YQB,|YQB|YUL|LAX|CLD|
CLD|YXU,|YXU|ORD|LAX|CLD|
CLD|EZE,|EZE|IAH|LAX|CLD|
CLD|YYJ,|YYJ|SFO|LAX|CLD|
CLD|YYY,|YYY|YUL|LAX|CLD|
CLD|YQQ,|YQQ|YBL|YVR|LAX|CLD|
CLD|YYR,|YYR|YWK|YZV|YUL|LAX|CLD|
CLD|LHR,|LHR|LAX|CLD|
CLD|SFO,|SFO|LAX|CLD|
CLD|YQU,|YQU|YYC|LAX|CLD|
CLD|YZF,|YZF|YYC|LAX|CLD|
CLD|YGR,|YGR|YGP|YQB|YUL|LAX|CLD|
CLD|YGP,|YGP|YQB|YUL|LAX|CLD|
CLD|BOS,|BOS|LAX|CLD|
CLD|YDF,|YDF|YYZ|LAX|CLD|
CLD|YFC,|YFC|YUL|LAX|CLD|
CLD|YQM,|YQM|YUL|LAX|CLD|
CLD|YQX,|YQX|YHZ|YUL|LAX|CLD|
CLD|YQY,|YQY|YYZ|LAX|CLD|
CLD|YSJ,|YSJ|YUL|LAX|CLD|
CLD|YYG,|YYG|YUL|LAX|CLD|
CLD|LAX,|LAX|CLD|
CLD|DCA,|DCA|STL|LAX|CLD|
CLD|LGA,|LGA|CLE|LAX|CLD|
CLD|YZV,|YZV|YUL|LAX|CLD|
CLD|YWL,|YWL|YVR|LAX|CLD|
CLD|AZS,|AZS|YYZ|LAX|CLD|
CLD|BDL,|BDL|MDW|LAX|CLD|
CLD|CCC,|CCC|YYZ|LAX|CLD|
CLD|CDG,|CDG|ORD|LAX|CLD|
CLD|CUN,|CUN|LAX|CLD|
CLD|CZM,|CZM|IAH|LAX|CLD|
