CLE|BRU,|BRU|YUL|YYZ|CLE|
CLE|OUA,|OUA|BRU|YUL|YYZ|CLE|
CLE|JED,|JED|FRA|YYZ|CLE|
CLE|CPH,|CPH|YYZ|CLE|
CLE|YYZ,|YYZ|CLE|
CLE|DEN,|DEN|CLE|
CLE|YUL,|YUL|YYZ|CLE|
CLE|NBO,|NBO|ZRH|YYZ|CLE|
CLE|ICN,|ICN|YVR|ORD|CLE|
CLE|NRT,|NRT|ORD|CLE|
CLE|YHZ,|YHZ|BOS|CLE|
CLE|YOW,|YOW|YYZ|CLE|
CLE|BJM,|BJM|BRU|YUL|YYZ|CLE|
CLE|COO,|COO|BRU|YUL|YYZ|CLE|
CLE|DKR,|DKR|IAD|CLE|
CLE|DLA,|DLA|BRU|YUL|YYZ|CLE|
CLE|KGL,|KGL|BRU|YUL|YYZ|CLE|
CLE|LAD,|LAD|BRU|YUL|YYZ|CLE|
CLE|ABJ,|ABJ|BRU|YUL|YYZ|CLE|
CLE|AMS,|AMS|EWR|CLE|
CLE|OSL,|OSL|EWR|CLE|
CLE|VNO,|VNO|CPH|YYZ|CLE|
CLE|WAW,|WAW|YYZ|CLE|
CLE|YYC,|YYC|ORD|CLE|
CLE|ATL,|ATL|CLE|
CLE|MSY,|MSY|CLE|
CLE|YEG,|YEG|ORD|CLE|
CLE|YMM,|YMM|YYZ|CLE|
CLE|YQR,|YQR|ORD|CLE|
CLE|YVR,|YVR|ORD|CLE|
CLE|YWG,|YWG|ORD|CLE|
CLE|YXE,|YXE|ORD|CLE|
CLE|CKY,|CKY|DKR|IAD|CLE|
CLE|FIH,|FIH|DLA|BRU|YUL|YYZ|CLE|
CLE|SCL,|SCL|YYZ|CLE|
CLE|LCA,|LCA|FRA|YYZ|CLE|
CLE|NAP,|NAP|FRA|YYZ|CLE|
CLE|VLC,|VLC|FRA|YYZ|CLE|
CLE|BKK,|BKK|CGO|PEK|YYZ|CLE|
CLE|ADD,|ADD|JED|FRA|YYZ|CLE|
CLE|FRA,|FRA|YYZ|CLE|
CLE|IST,|IST|YYZ|CLE|
CLE|EBB,|EBB|KGL|BRU|YUL|YYZ|CLE|
CLE|YLW,|YLW|YYC|ORD|CLE|
CLE|YYT,|YYT|YYZ|CLE|
CLE|GUA,|GUA|IAD|CLE|
CLE|EWR,|EWR|CLE|
CLE|IAD,|IAD|CLE|
CLE|IAH,|IAH|CLE|
CLE|ORD,|ORD|CLE|
CLE|SOF,|SOF|MUC|YYZ|CLE|
CLE|YQB,|YQB|YYZ|CLE|
CLE|YXU,|YXU|YYZ|CLE|
CLE|EZE,|EZE|GRU|IAD|CLE|
CLE|YYJ,|YYJ|YVR|ORD|CLE|
CLE|YYY,|YYY|YUL|YYZ|CLE|
CLE|YQQ,|YQQ|YYC|ORD|CLE|
CLE|YYR,|YYR|YWK|YZV|YQB|YYZ|CLE|
CLE|LHR,|LHR|YYZ|CLE|
CLE|SFO,|SFO|CLE|
CLE|YQU,|YQU|YEG|ORD|CLE|
CLE|YZF,|YZF|YEG|ORD|CLE|
CLE|YGR,|YGR|YGP|YQB|YYZ|CLE|
CLE|YGP,|YGP|YQB|YYZ|CLE|
CLE|BOS,|BOS|CLE|
CLE|YDF,|YDF|YYZ|CLE|
CLE|YFC,|YFC|YYZ|CLE|
CLE|YQM,|YQM|YYZ|CLE|
CLE|YQX,|YQX|YHZ|BOS|CLE|
CLE|YQY,|YQY|YYZ|CLE|
CLE|YSJ,|YSJ|YYZ|CLE|
CLE|YYG,|YYG|YYZ|CLE|
CLE|LAX,|LAX|CLE|
CLE|DCA,|DCA|CLE|
CLE|LGA,|LGA|CLE|
CLE|YZV,|YZV|YQB|YYZ|CLE|
CLE|YWL,|YWL|YVR|ORD|CLE|
CLE|AZS,|AZS|YYZ|CLE|
CLE|BDL,|BDL|YYZ|CLE|
CLE|CCC,|CCC|YYZ|CLE|
CLE|CDG,|CDG|YYZ|CLE|
CLE|CUN,|CUN|CLE|
CLE|CZM,|CZM|IAH|CLE|
CLE|FDF,|FDF|YUL|YYZ|CLE|
CLE|FLL,|FLL|CLE|
CLE|GVA,|GVA|YUL|YYZ|CLE|
CLE|HOG,|HOG|YYZ|CLE|
CLE|LAS,|LAS|CLE|
CLE|MBJ,|MBJ|ATL|CLE|
CLE|MCO,|MCO|CLE|
CLE|MUC,|MUC|YYZ|CLE|
CLE|PAP,|PAP|YUL|YYZ|CLE|
CLE|PTP,|PTP|YUL|YYZ|CLE|
CLE|PUJ,|PUJ|IAD|CLE|
CLE|SNU,|SNU|YYZ|CLE|
CLE|VRA,|VRA|YYZ|CLE|
CLE|YBC,|YBC|YUL|YYZ|CLE|
CLE|YBG,|YBG|YUL|YYZ|CLE|
CLE|YTZ,|YTZ|YUL|YYZ|CLE|
CLE|YUY,|YUY|YUL|YYZ|CLE|
CLE|YVO,|YVO|YUL|YYZ|CLE|
CLE|ZBF,|ZBF|YUL|YYZ|CLE|
CLE|ZRH,|ZRH|YYZ|CLE|
CLE|ZSA,|ZSA|YUL|YYZ|CLE|
CLE|AKL,|AKL|LAX|CLE|
CLE|HKG,|HKG|YYZ|CLE|
CLE|HND,|HND|YVR|ORD|CLE|
CLE|HNL,|HNL|ORD|CLE|
CLE|MEX,|MEX|IAH|CLE|
CLE|OGG,|OGG|SFO|CLE|
CLE|PDX,|PDX|ORD|CLE|
CLE|PEK,|PEK|YYZ|CLE|
CLE|PVG,|PVG|YYZ|CLE|
CLE|PVR,|PVR|IAH|CLE|
CLE|SEA,|SEA|MKE|CLE|
CLE|SYD,|SYD|LAX|CLE|
CLE|YBL,|YBL|YVR|ORD|CLE|
CLE|YCD,|YCD|YVR|ORD|CLE|
CLE|YCG,|YCG|YYC|ORD|CLE|
CLE|YKA,|YKA|YYC|ORD|CLE|
CLE|YPR,|YPR|YVR|ORD|CLE|
CLE|YQZ,|YQZ|YVR|ORD|CLE|
CLE|YXC,|YXC|YYC|ORD|CLE|
CLE|YXJ,|YXJ|YYC|ORD|CLE|
CLE|YXS,|YXS|YYC|ORD|CLE|
CLE|YXT,|YXT|YVR|ORD|CLE|
CLE|YXY,|YXY|YVR|ORD|CLE|
CLE|YYD,|YYD|YVR|ORD|CLE|
CLE|YYF,|YYF|YVR|ORD|CLE|
CLE|YZP,|YZP|YVR|ORD|CLE|
CLE|YQT,|YQT|YYZ|CLE|
CLE|SJD,|SJD|IAH|CLE|
CLE|YQF,|YQF|YYC|ORD|CLE|
CLE|YQL,|YQL|YYC|ORD|CLE|
CLE|YXH,|YXH|YYC|ORD|CLE|
CLE|YWK,|YWK|YZV|YQB|YYZ|CLE|
CLE|ANU,|ANU|EWR|CLE|
CLE|AUA,|AUA|IAD|CLE|
CLE|AUH,|AUH|YYZ|CLE|
CLE|BCN,|BCN|YYZ|CLE|
CLE|BDA,|BDA|EWR|CLE|
