CLT|BRU,|BRU|EWR|CLT|
CLT|OUA,|OUA|BRU|EWR|CLT|
CLT|JED,|JED|FRA|EWR|CLT|
CLT|CPH,|CPH|YYZ|CLT|
CLT|YYZ,|YYZ|CLT|
CLT|DEN,|DEN|MDW|CLT|
CLT|YUL,|YUL|IAD|CLT|
CLT|NBO,|NBO|ZRH|EWR|CLT|
CLT|ICN,|ICN|JFK|IAD|CLT|
CLT|NRT,|NRT|ORD|CLT|
CLT|YHZ,|YHZ|EWR|CLT|
CLT|YOW,|YOW|IAD|CLT|
CLT|BJM,|BJM|BRU|EWR|CLT|
CLT|COO,|COO|BRU|EWR|CLT|
CLT|DKR,|DKR|IAD|CLT|
CLT|DLA,|DLA|BRU|EWR|CLT|
CLT|KGL,|KGL|BRU|EWR|CLT|
CLT|LAD,|LAD|BRU|EWR|CLT|
CLT|ABJ,|ABJ|BRU|EWR|CLT|
CLT|AMS,|AMS|EWR|CLT|
CLT|OSL,|OSL|EWR|CLT|
CLT|VNO,|VNO|CPH|YYZ|CLT|
CLT|WAW,|WAW|YYZ|CLT|
CLT|YYC,|YYC|ORD|CLT|
CLT|ATL,|ATL|IAD|CLT|
CLT|MSY,|MSY|MCO|CLT|
CLT|YEG,|YEG|ORD|CLT|
CLT|YMM,|YMM|YYZ|CLT|
CLT|YQR,|YQR|ORD|CLT|
CLT|YVR,|YVR|ORD|CLT|
CLT|YWG,|YWG|ORD|CLT|
CLT|YXE,|YXE|ORD|CLT|
CLT|CKY,|CKY|DKR|IAD|CLT|
CLT|FIH,|FIH|DLA|BRU|EWR|CLT|
CLT|SCL,|SCL|YYZ|CLT|
CLT|LCA,|LCA|FRA|EWR|CLT|
CLT|NAP,|NAP|FRA|EWR|CLT|
CLT|VLC,|VLC|FRA|EWR|CLT|
CLT|BKK,|BKK|CGO|PEK|YYZ|CLT|
CLT|ADD,|ADD|JED|FRA|EWR|CLT|
CLT|FRA,|FRA|EWR|CLT|
CLT|IST,|IST|BHX|EWR|CLT|
CLT|EBB,|EBB|KGL|BRU|EWR|CLT|
CLT|YLW,|YLW|YYC|ORD|CLT|
CLT|YYT,|YYT|EWR|CLT|
CLT|GUA,|GUA|IAH|CLT|
CLT|EWR,|EWR|CLT|
CLT|IAD,|IAD|CLT|
CLT|IAH,|IAH|CLT|
CLT|ORD,|ORD|CLT|
CLT|SOF,|SOF|MUC|EWR|CLT|
CLT|YQB,|YQB|YUL|IAD|CLT|
CLT|YXU,|YXU|YYZ|CLT|
CLT|EZE,|EZE|IAH|CLT|
CLT|YYJ,|YYJ|YVR|ORD|CLT|
CLT|YYY,|YYY|YUL|IAD|CLT|
CLT|YQQ,|YQQ|YYC|ORD|CLT|
CLT|YYR,|YYR|YHZ|EWR|CLT|
CLT|LHR,|LHR|EWR|CLT|
CLT|SFO,|SFO|MDW|CLT|
CLT|YQU,|YQU|YEG|ORD|CLT|
CLT|YZF,|YZF|YEG|ORD|CLT|
CLT|YGR,|YGR|YGP|YQB|YUL|IAD|CLT|
CLT|YGP,|YGP|YQB|YUL|IAD|CLT|
CLT|BOS,|BOS|EWR|CLT|
CLT|YDF,|YDF|YHZ|EWR|CLT|
CLT|YFC,|YFC|YUL|IAD|CLT|
CLT|YQM,|YQM|EWR|CLT|
CLT|YQX,|YQX|YHZ|EWR|CLT|
CLT|YQY,|YQY|YHZ|EWR|CLT|
CLT|YSJ,|YSJ|YUL|IAD|CLT|
CLT|YYG,|YYG|YHZ|EWR|CLT|
CLT|LAX,|LAX|IAH|CLT|
CLT|DCA,|DCA|EWR|CLT|
CLT|LGA,|LGA|IAD|CLT|
CLT|YZV,|YZV|YUL|IAD|CLT|
CLT|YWL,|YWL|YVR|ORD|CLT|
CLT|AZS,|AZS|YYZ|CLT|
CLT|BDL,|BDL|BWI|CLT|
CLT|CCC,|CCC|YYZ|CLT|
CLT|CDG,|CDG|EWR|CLT|
CLT|CUN,|CUN|IAD|CLT|
CLT|CZM,|CZM|IAH|CLT|
CLT|FDF,|FDF|YUL|IAD|CLT|
CLT|FLL,|FLL|MCO|CLT|
CLT|GVA,|GVA|EWR|CLT|
CLT|HOG,|HOG|YYZ|CLT|
CLT|LAS,|LAS|MDW|CLT|
CLT|MBJ,|MBJ|IAD|CLT|
CLT|MCO,|MCO|CLT|
CLT|MUC,|MUC|EWR|CLT|
CLT|PAP,|PAP|YUL|IAD|CLT|
CLT|PTP,|PTP|YUL|IAD|CLT|
CLT|PUJ,|PUJ|IAD|CLT|
CLT|SNU,|SNU|YYZ|CLT|
CLT|VRA,|VRA|YYZ|CLT|
CLT|YBC,|YBC|YUL|IAD|CLT|
CLT|YBG,|YBG|YUL|IAD|CLT|
CLT|YTZ,|YTZ|YUL|IAD|CLT|
CLT|YUY,|YUY|YUL|IAD|CLT|
CLT|YVO,|YVO|YUL|IAD|CLT|
CLT|ZBF,|ZBF|YUL|IAD|CLT|
CLT|ZRH,|ZRH|EWR|CLT|
CLT|ZSA,|ZSA|YUL|IAD|CLT|
CLT|AKL,|AKL|LAX|IAH|CLT|
CLT|HKG,|HKG|ORD|CLT|
CLT|HND,|HND|YVR|ORD|CLT|
CLT|HNL,|HNL|IAH|CLT|
CLT|MEX,|MEX|IAH|CLT|
CLT|OGG,|OGG|LAX|IAH|CLT|
CLT|PDX,|PDX|MDW|CLT|
CLT|PEK,|PEK|YYZ|CLT|
CLT|PVG,|PVG|ORD|CLT|
CLT|PVR,|PVR|IAH|CLT|
CLT|SEA,|SEA|MDW|CLT|
CLT|SYD,|SYD|LAX|IAH|CLT|
CLT|YBL,|YBL|YVR|ORD|CLT|
CLT|YCD,|YCD|YVR|ORD|CLT|
CLT|YCG,|YCG|YYC|ORD|CLT|
CLT|YKA,|YKA|YYC|ORD|CLT|
CLT|YPR,|YPR|YVR|ORD|CLT|
CLT|YQZ,|YQZ|YVR|ORD|CLT|
CLT|YXC,|YXC|YYC|ORD|CLT|
CLT|YXJ,|YXJ|YYC|ORD|CLT|
CLT|YXS,|YXS|YYC|ORD|CLT|
CLT|YXT,|YXT|YVR|ORD|CLT|
