CMH|BRU,|BRU|YUL|YYZ|CMH|
CMH|OUA,|OUA|BRU|YUL|YYZ|CMH|
CMH|JED,|JED|FRA|YYZ|CMH|
CMH|CPH,|CPH|YYZ|CMH|
CMH|YYZ,|YYZ|CMH|
CMH|DEN,|DEN|CMH|
CMH|YUL,|YUL|YYZ|CMH|
CMH|NBO,|NBO|ZRH|YYZ|CMH|
CMH|ICN,|ICN|YVR|ORD|CMH|
CMH|NRT,|NRT|ORD|CMH|
CMH|YHZ,|YHZ|EWR|CMH|
CMH|YOW,|YOW|YYZ|CMH|
CMH|BJM,|BJM|BRU|YUL|YYZ|CMH|
CMH|COO,|COO|BRU|YUL|YYZ|CMH|
CMH|DKR,|DKR|IAD|CMH|
CMH|DLA,|DLA|BRU|YUL|YYZ|CMH|
CMH|KGL,|KGL|BRU|YUL|YYZ|CMH|
CMH|LAD,|LAD|BRU|YUL|YYZ|CMH|
CMH|ABJ,|ABJ|BRU|YUL|YYZ|CMH|
CMH|AMS,|AMS|EWR|CMH|
CMH|OSL,|OSL|EWR|CMH|
CMH|VNO,|VNO|CPH|YYZ|CMH|
CMH|WAW,|WAW|YYZ|CMH|
CMH|YYC,|YYC|ORD|CMH|
CMH|ATL,|ATL|CMH|
CMH|MSY,|MSY|BNA|CMH|
CMH|YEG,|YEG|ORD|CMH|
CMH|YMM,|YMM|YYZ|CMH|
CMH|YQR,|YQR|ORD|CMH|
CMH|YVR,|YVR|ORD|CMH|
CMH|YWG,|YWG|ORD|CMH|
CMH|YXE,|YXE|ORD|CMH|
CMH|CKY,|CKY|DKR|IAD|CMH|
CMH|FIH,|FIH|DLA|BRU|YUL|YYZ|CMH|
CMH|SCL,|SCL|YYZ|CMH|
CMH|LCA,|LCA|FRA|YYZ|CMH|
CMH|NAP,|NAP|FRA|YYZ|CMH|
CMH|VLC,|VLC|FRA|YYZ|CMH|
CMH|BKK,|BKK|CGO|PEK|ORD|CMH|
CMH|ADD,|ADD|JED|FRA|YYZ|CMH|
CMH|FRA,|FRA|YYZ|CMH|
CMH|IST,|IST|YYZ|CMH|
CMH|EBB,|EBB|KGL|BRU|YUL|YYZ|CMH|
CMH|YLW,|YLW|YYC|ORD|CMH|
CMH|YYT,|YYT|EWR|CMH|
CMH|GUA,|GUA|IAH|CMH|
CMH|EWR,|EWR|CMH|
CMH|IAD,|IAD|CMH|
CMH|IAH,|IAH|CMH|
CMH|ORD,|ORD|CMH|
CMH|SOF,|SOF|MUC|YYZ|CMH|
CMH|YQB,|YQB|YYZ|CMH|
CMH|YXU,|YXU|YYZ|CMH|
CMH|EZE,|EZE|IAH|CMH|
CMH|YYJ,|YYJ|YVR|ORD|CMH|
CMH|YYY,|YYY|YUL|YYZ|CMH|
CMH|YQQ,|YQQ|YYC|ORD|CMH|
CMH|YYR,|YYR|YWK|YZV|YQB|YYZ|CMH|
CMH|LHR,|LHR|YYZ|CMH|
CMH|SFO,|SFO|DEN|CMH|
CMH|YQU,|YQU|YEG|ORD|CMH|
CMH|YZF,|YZF|YEG|ORD|CMH|
CMH|YGR,|YGR|YGP|YQB|YYZ|CMH|
CMH|YGP,|YGP|YQB|YYZ|CMH|
CMH|BOS,|BOS|EWR|CMH|
CMH|YDF,|YDF|YYZ|CMH|
CMH|YFC,|YFC|YYZ|CMH|
CMH|YQM,|YQM|YYZ|CMH|
CMH|YQX,|YQX|YHZ|EWR|CMH|
CMH|YQY,|YQY|YHZ|EWR|CMH|
CMH|YSJ,|YSJ|YYZ|CMH|
CMH|YYG,|YYG|YYZ|CMH|
CMH|LAX,|LAX|STL|CMH|
CMH|DCA,|DCA|CLE|CMH|
CMH|LGA,|LGA|IAD|CMH|
CMH|YZV,|YZV|YQB|YYZ|CMH|
CMH|YWL,|YWL|YVR|ORD|CMH|
CMH|AZS,|AZS|YYZ|CMH|
CMH|BDL,|BDL|BWI|CMH|
CMH|CCC,|CCC|YYZ|CMH|
CMH|CDG,|CDG|YYZ|CMH|
CMH|CUN,|CUN|ATL|CMH|
CMH|CZM,|CZM|IAH|CMH|
CMH|FDF,|FDF|YUL|YYZ|CMH|
CMH|FLL,|FLL|CMH|
CMH|GVA,|GVA|YUL|YYZ|CMH|
CMH|HOG,|HOG|YYZ|CMH|
CMH|LAS,|LAS|CMH|
CMH|MBJ,|MBJ|ATL|CMH|
CMH|MCO,|MCO|CMH|
CMH|MUC,|MUC|YYZ|CMH|
CMH|PAP,|PAP|YUL|YYZ|CMH|
CMH|PTP,|PTP|YUL|YYZ|CMH|
CMH|PUJ,|PUJ|IAD|CMH|
CMH|SNU,|SNU|YYZ|CMH|
CMH|VRA,|VRA|YYZ|CMH|
CMH|YBC,|YBC|YUL|YYZ|CMH|
CMH|YBG,|YBG|YUL|YYZ|CMH|
CMH|YTZ,|YTZ|YUL|YYZ|CMH|
CMH|YUY,|YUY|YUL|YYZ|CMH|
CMH|YVO,|YVO|YUL|YYZ|CMH|
CMH|ZBF,|ZBF|YUL|YYZ|CMH|
