CMX|BRU,|BRU|ORD|CMX|
CMX|OUA,|OUA|BRU|ORD|CMX|
CMX|JED,|JED|FRA|ORD|CMX|
CMX|CPH,|CPH|YYZ|ORD|CMX|
CMX|YYZ,|YYZ|ORD|CMX|
CMX|DEN,|DEN|ORD|CMX|
CMX|YUL,|YUL|ORD|CMX|
CMX|NBO,|NBO|ZRH|ORD|CMX|
CMX|ICN,|ICN|YVR|ORD|CMX|
CMX|NRT,|NRT|ORD|CMX|
CMX|YHZ,|YHZ|ORD|CMX|
CMX|YOW,|YOW|ORD|CMX|
CMX|BJM,|BJM|BRU|ORD|CMX|
CMX|COO,|COO|BRU|ORD|CMX|
CMX|DKR,|DKR|IAD|ORD|CMX|
CMX|DLA,|DLA|BRU|ORD|CMX|
CMX|KGL,|KGL|BRU|ORD|CMX|
CMX|LAD,|LAD|BRU|ORD|CMX|
CMX|ABJ,|ABJ|BRU|ORD|CMX|
CMX|AMS,|AMS|ORD|CMX|
CMX|OSL,|OSL|EWR|ORD|CMX|
CMX|VNO,|VNO|CPH|YYZ|ORD|CMX|
CMX|WAW,|WAW|YYZ|ORD|CMX|
CMX|YYC,|YYC|ORD|CMX|
CMX|ATL,|ATL|ORD|CMX|
CMX|MSY,|MSY|ORD|CMX|
CMX|YEG,|YEG|ORD|CMX|
CMX|YMM,|YMM|YEG|ORD|CMX|
CMX|YQR,|YQR|ORD|CMX|
CMX|YVR,|YVR|ORD|CMX|
CMX|YWG,|YWG|ORD|CMX|
CMX|YXE,|YXE|ORD|CMX|
CMX|CKY,|CKY|DKR|IAD|ORD|CMX|
CMX|FIH,|FIH|DLA|BRU|ORD|CMX|
CMX|SCL,|SCL|YYZ|ORD|CMX|
CMX|LCA,|LCA|FRA|ORD|CMX|
CMX|NAP,|NAP|FRA|ORD|CMX|
CMX|VLC,|VLC|FRA|ORD|CMX|
CMX|BKK,|BKK|CGO|PEK|ORD|CMX|
CMX|ADD,|ADD|IST|ORD|CMX|
CMX|FRA,|FRA|ORD|CMX|
CMX|IST,|IST|ORD|CMX|
CMX|EBB,|EBB|KGL|BRU|ORD|CMX|
CMX|YLW,|YLW|YYC|ORD|CMX|
CMX|YYT,|YYT|YOW|ORD|CMX|
CMX|GUA,|GUA|IAH|ORD|CMX|
CMX|EWR,|EWR|ORD|CMX|
CMX|IAD,|IAD|ORD|CMX|
CMX|IAH,|IAH|ORD|CMX|
CMX|ORD,|ORD|CMX|
CMX|SOF,|SOF|MUC|ORD|CMX|
CMX|YQB,|YQB|ORD|CMX|
CMX|YXU,|YXU|ORD|CMX|
CMX|EZE,|EZE|IAH|ORD|CMX|
CMX|YYJ,|YYJ|YVR|ORD|CMX|
CMX|YYY,|YYY|YUL|ORD|CMX|
CMX|YQQ,|YQQ|YYC|ORD|CMX|
CMX|YYR,|YYR|YWK|YZV|YQB|ORD|CMX|
CMX|LHR,|LHR|ORD|CMX|
CMX|SFO,|SFO|ORD|CMX|
CMX|YQU,|YQU|YEG|ORD|CMX|
CMX|YZF,|YZF|YEG|ORD|CMX|
CMX|YGR,|YGR|YGP|YQB|ORD|CMX|
CMX|YGP,|YGP|YQB|ORD|CMX|
CMX|BOS,|BOS|ORD|CMX|
CMX|YDF,|YDF|YYZ|ORD|CMX|
CMX|YFC,|YFC|YYZ|ORD|CMX|
CMX|YQM,|YQM|YUL|ORD|CMX|
CMX|YQX,|YQX|YHZ|ORD|CMX|
CMX|YQY,|YQY|YYZ|ORD|CMX|
CMX|YSJ,|YSJ|YYZ|ORD|CMX|
CMX|YYG,|YYG|YUL|ORD|CMX|
CMX|LAX,|LAX|ORD|CMX|
CMX|DCA,|DCA|ORD|CMX|
CMX|LGA,|LGA|ORD|CMX|
CMX|YZV,|YZV|YQB|ORD|CMX|
CMX|YWL,|YWL|YVR|ORD|CMX|
CMX|AZS,|AZS|YYZ|ORD|CMX|
CMX|BDL,|BDL|ORD|CMX|
CMX|CCC,|CCC|YYZ|ORD|CMX|
CMX|CDG,|CDG|ORD|CMX|
CMX|CUN,|CUN|ORD|CMX|
CMX|CZM,|CZM|IAH|ORD|CMX|
CMX|FDF,|FDF|YUL|ORD|CMX|
CMX|FLL,|FLL|ORD|CMX|
CMX|GVA,|GVA|YUL|ORD|CMX|
CMX|HOG,|HOG|YYZ|ORD|CMX|
CMX|LAS,|LAS|ORD|CMX|
CMX|MBJ,|MBJ|ATL|ORD|CMX|
CMX|MCO,|MCO|ORD|CMX|
CMX|MUC,|MUC|ORD|CMX|
CMX|PAP,|PAP|YUL|ORD|CMX|
CMX|PTP,|PTP|YUL|ORD|CMX|
CMX|PUJ,|PUJ|ORD|CMX|
CMX|SNU,|SNU|YYZ|ORD|CMX|
CMX|VRA,|VRA|YYZ|ORD|CMX|
CMX|YBC,|YBC|YUL|ORD|CMX|
CMX|YBG,|YBG|YUL|ORD|CMX|
CMX|YTZ,|YTZ|YUL|ORD|CMX|
CMX|YUY,|YUY|YUL|ORD|CMX|
CMX|YVO,|YVO|YUL|ORD|CMX|
CMX|ZBF,|ZBF|YUL|ORD|CMX|
CMX|ZRH,|ZRH|ORD|CMX|
CMX|ZSA,|ZSA|YUL|ORD|CMX|
CMX|AKL,|AKL|LAX|ORD|CMX|
CMX|HKG,|HKG|ORD|CMX|
CMX|HND,|HND|YVR|ORD|CMX|
CMX|HNL,|HNL|ORD|CMX|
CMX|MEX,|MEX|ORD|CMX|
CMX|OGG,|OGG|ORD|CMX|
CMX|PDX,|PDX|ORD|CMX|
CMX|PEK,|PEK|ORD|CMX|
CMX|PVG,|PVG|ORD|CMX|
CMX|PVR,|PVR|ORD|CMX|
CMX|SEA,|SEA|ORD|CMX|
CMX|SYD,|SYD|LAX|ORD|CMX|
CMX|YBL,|YBL|YVR|ORD|CMX|
CMX|YCD,|YCD|YVR|ORD|CMX|
CMX|YCG,|YCG|YYC|ORD|CMX|
CMX|YKA,|YKA|YYC|ORD|CMX|
