CNS|BRU,|BRU|IST|ICN|FUK|GUM|CNS|
CNS|OUA,|OUA|NIM|IST|ICN|FUK|GUM|CNS|
CNS|JED,|JED|IST|ICN|FUK|GUM|CNS|
CNS|CPH,|CPH|AMS|PEK|ICN|FUK|GUM|CNS|
CNS|YYZ,|YYZ|NRT|GUM|CNS|
CNS|DEN,|DEN|HNL|GUM|CNS|
CNS|YUL,|YUL|YYZ|NRT|GUM|CNS|
CNS|NBO,|NBO|CAN|HKG|GUM|CNS|
CNS|ICN,|ICN|FUK|GUM|CNS|
CNS|NRT,|NRT|GUM|CNS|
CNS|YHZ,|YHZ|YYZ|NRT|GUM|CNS|
CNS|YOW,|YOW|YYZ|NRT|GUM|CNS|
CNS|BJM,|BJM|BRU|IST|ICN|FUK|GUM|CNS|
CNS|COO,|COO|BRU|IST|ICN|FUK|GUM|CNS|
CNS|DKR,|DKR|BRU|IST|ICN|FUK|GUM|CNS|
CNS|DLA,|DLA|IST|ICN|FUK|GUM|CNS|
CNS|KGL,|KGL|IST|ICN|FUK|GUM|CNS|
CNS|LAD,|LAD|BRU|IST|ICN|FUK|GUM|CNS|
CNS|ABJ,|ABJ|OUA|NIM|IST|ICN|FUK|GUM|CNS|
CNS|AMS,|AMS|PEK|ICN|FUK|GUM|CNS|
CNS|OSL,|OSL|CPH|AMS|PEK|ICN|FUK|GUM|CNS|
CNS|VNO,|VNO|IST|ICN|FUK|GUM|CNS|
CNS|WAW,|WAW|IST|ICN|FUK|GUM|CNS|
CNS|YYC,|YYC|NRT|GUM|CNS|
CNS|ATL,|ATL|LAX|HNL|GUM|CNS|
CNS|MSY,|MSY|IAH|HNL|GUM|CNS|
CNS|YEG,|YEG|YYC|NRT|GUM|CNS|
CNS|YMM,|YMM|YYC|NRT|GUM|CNS|
CNS|YQR,|YQR|YYC|NRT|GUM|CNS|
CNS|YVR,|YVR|NRT|GUM|CNS|
CNS|YWG,|YWG|YYC|NRT|GUM|CNS|
CNS|YXE,|YXE|YYC|NRT|GUM|CNS|
CNS|CKY,|CKY|DKR|BRU|IST|ICN|FUK|GUM|CNS|
