CNX|BRU,|BRU|DEL|CAN|CNX|
CNX|OUA,|OUA|NIM|IST|CAN|CNX|
CNX|JED,|JED|IST|CAN|CNX|
CNX|CPH,|CPH|AMS|CAN|CNX|
CNX|YYZ,|YYZ|PEK|CAN|CNX|
CNX|DEN,|DEN|YVR|CAN|CNX|
CNX|YUL,|YUL|YYZ|PEK|CAN|CNX|
CNX|NBO,|NBO|CAN|CNX|
CNX|ICN,|ICN|CAN|CNX|
CNX|NRT,|NRT|CAN|CNX|
CNX|YHZ,|YHZ|YYZ|PEK|CAN|CNX|
CNX|YOW,|YOW|YYZ|PEK|CAN|CNX|
CNX|BJM,|BJM|BRU|DEL|CAN|CNX|
CNX|COO,|COO|BRU|DEL|CAN|CNX|
CNX|DKR,|DKR|BRU|DEL|CAN|CNX|
CNX|DLA,|DLA|IST|CAN|CNX|
CNX|KGL,|KGL|IST|CAN|CNX|
CNX|LAD,|LAD|BRU|DEL|CAN|CNX|
CNX|ABJ,|ABJ|OUA|NIM|IST|CAN|CNX|
CNX|AMS,|AMS|CAN|CNX|
CNX|OSL,|OSL|CPH|AMS|CAN|CNX|
CNX|VNO,|VNO|IST|CAN|CNX|
CNX|WAW,|WAW|IST|CAN|CNX|
CNX|YYC,|YYC|YVR|CAN|CNX|
CNX|ATL,|ATL|ORD|PEK|CAN|CNX|
CNX|MSY,|MSY|DEN|YVR|CAN|CNX|
CNX|YEG,|YEG|YVR|CAN|CNX|
CNX|YMM,|YMM|YVR|CAN|CNX|
CNX|YQR,|YQR|YVR|CAN|CNX|
CNX|YVR,|YVR|CAN|CNX|
CNX|YWG,|YWG|YVR|CAN|CNX|
CNX|YXE,|YXE|YVR|CAN|CNX|
CNX|CKY,|CKY|DKR|BRU|DEL|CAN|CNX|
CNX|FIH,|FIH|IST|CAN|CNX|
CNX|SCL,|SCL|YYZ|PEK|CAN|CNX|
CNX|LCA,|LCA|FRA|TSE|URC|CAN|CNX|
CNX|NAP,|NAP|IST|CAN|CNX|
CNX|VLC,|VLC|IST|CAN|CNX|
CNX|BKK,|BKK|CAN|CNX|
CNX|ADD,|ADD|IST|CAN|CNX|
CNX|FRA,|FRA|TSE|URC|CAN|CNX|
CNX|IST,|IST|CAN|CNX|
CNX|EBB,|EBB|KGL|IST|CAN|CNX|
CNX|YLW,|YLW|YVR|CAN|CNX|
CNX|YYT,|YYT|LHR|CAN|CNX|
CNX|GUA,|GUA|IAH|YVR|CAN|CNX|
CNX|EWR,|EWR|PEK|CAN|CNX|
CNX|IAD,|IAD|PEK|CAN|CNX|
CNX|IAH,|IAH|YVR|CAN|CNX|
CNX|ORD,|ORD|PEK|CAN|CNX|
CNX|SOF,|SOF|IST|CAN|CNX|
CNX|YQB,|YQB|YYZ|PEK|CAN|CNX|
CNX|YXU,|YXU|YYZ|PEK|CAN|CNX|
CNX|EZE,|EZE|GRU|IST|CAN|CNX|
CNX|YYJ,|YYJ|YVR|CAN|CNX|
CNX|YYY,|YYY|YUL|YYZ|PEK|CAN|CNX|
