COD|BRU,|BRU|ORD|DEN|COD|
COD|OUA,|OUA|BRU|ORD|DEN|COD|
COD|JED,|JED|FRA|DEN|COD|
COD|CPH,|CPH|YYZ|DEN|COD|
COD|YYZ,|YYZ|DEN|COD|
COD|DEN,|DEN|COD|
COD|YUL,|YUL|DEN|COD|
COD|NBO,|NBO|ZRH|ORD|DEN|COD|
COD|ICN,|ICN|YVR|DEN|COD|
COD|NRT,|NRT|DEN|COD|
COD|YHZ,|YHZ|YUL|DEN|COD|
COD|YOW,|YOW|YYZ|DEN|COD|
COD|BJM,|BJM|BRU|ORD|DEN|COD|
COD|COO,|COO|BRU|ORD|DEN|COD|
COD|DKR,|DKR|IAD|DEN|COD|
COD|DLA,|DLA|BRU|ORD|DEN|COD|
COD|KGL,|KGL|BRU|ORD|DEN|COD|
COD|LAD,|LAD|BRU|ORD|DEN|COD|
COD|ABJ,|ABJ|BRU|ORD|DEN|COD|
COD|AMS,|AMS|ORD|DEN|COD|
COD|OSL,|OSL|EWR|DEN|COD|
COD|VNO,|VNO|CPH|YYZ|DEN|COD|
COD|WAW,|WAW|YYZ|DEN|COD|
COD|YYC,|YYC|DEN|COD|
COD|ATL,|ATL|DEN|COD|
COD|MSY,|MSY|DEN|COD|
COD|YEG,|YEG|DEN|COD|
COD|YMM,|YMM|DEN|COD|
COD|YQR,|YQR|DEN|COD|
COD|YVR,|YVR|DEN|COD|
COD|YWG,|YWG|DEN|COD|
COD|YXE,|YXE|DEN|COD|
COD|CKY,|CKY|DKR|IAD|DEN|COD|
COD|FIH,|FIH|DLA|BRU|ORD|DEN|COD|
COD|SCL,|SCL|EZE|IAH|DEN|COD|
COD|LCA,|LCA|FRA|DEN|COD|
COD|NAP,|NAP|FRA|DEN|COD|
COD|VLC,|VLC|FRA|DEN|COD|
COD|BKK,|BKK|CGO|PEK|YVR|DEN|COD|
COD|ADD,|ADD|JED|FRA|DEN|COD|
COD|FRA,|FRA|DEN|COD|
COD|IST,|IST|FRA|DEN|COD|
COD|EBB,|EBB|KGL|BRU|ORD|DEN|COD|
COD|YLW,|YLW|YYC|DEN|COD|
COD|YYT,|YYT|YUL|DEN|COD|
COD|GUA,|GUA|IAH|DEN|COD|
COD|EWR,|EWR|DEN|COD|
COD|IAD,|IAD|DEN|COD|
COD|IAH,|IAH|DEN|COD|
COD|ORD,|ORD|DEN|COD|
COD|SOF,|SOF|MUC|ORD|DEN|COD|
COD|YQB,|YQB|YUL|DEN|COD|
COD|YXU,|YXU|ORD|DEN|COD|
COD|EZE,|EZE|IAH|DEN|COD|
COD|YYJ,|YYJ|YVR|DEN|COD|
COD|YYY,|YYY|YUL|DEN|COD|
COD|YQQ,|YQQ|YBL|YVR|DEN|COD|
COD|YYR,|YYR|YWK|YZV|YUL|DEN|COD|
COD|LHR,|LHR|ORD|DEN|COD|
COD|SFO,|SFO|DEN|COD|
COD|YQU,|YQU|YYC|DEN|COD|
COD|YZF,|YZF|YEG|DEN|COD|
COD|YGR,|YGR|YGP|YQB|YUL|DEN|COD|
COD|YGP,|YGP|YQB|YUL|DEN|COD|
COD|BOS,|BOS|DEN|COD|
COD|YDF,|YDF|YYZ|DEN|COD|
COD|YFC,|YFC|YUL|DEN|COD|
COD|YQM,|YQM|YUL|DEN|COD|
COD|YQX,|YQX|YHZ|YUL|DEN|COD|
