COO|BRU,|BRU|ABJ|COO|
COO|OUA,|OUA|ABJ|COO|
COO|JED,|JED|IST|ABJ|COO|
COO|CPH,|CPH|IST|ABJ|COO|
COO|YYZ,|YYZ|BRU|ABJ|COO|
COO|DEN,|DEN|ORD|BRU|ABJ|COO|
COO|YUL,|YUL|BRU|ABJ|COO|
COO|NBO,|NBO|IST|ABJ|COO|
COO|ICN,|ICN|IST|ABJ|COO|
COO|NRT,|NRT|IST|ABJ|COO|
COO|YHZ,|YHZ|YUL|BRU|ABJ|COO|
COO|YOW,|YOW|YUL|BRU|ABJ|COO|
COO|BJM,|BJM|BRU|ABJ|COO|
COO|DKR,|DKR|BRU|ABJ|COO|
COO|DLA,|DLA|IST|ABJ|COO|
COO|KGL,|KGL|IST|ABJ|COO|
COO|LAD,|LAD|BRU|ABJ|COO|
COO|ABJ,|ABJ|COO|
COO|AMS,|AMS|IST|ABJ|COO|
COO|OSL,|OSL|IST|ABJ|COO|
COO|VNO,|VNO|IST|ABJ|COO|
COO|WAW,|WAW|IST|ABJ|COO|
COO|YYC,|YYC|YUL|BRU|ABJ|COO|
COO|ATL,|ATL|IAD|BRU|ABJ|COO|
COO|MSY,|MSY|IAD|BRU|ABJ|COO|
COO|YEG,|YEG|YUL|BRU|ABJ|COO|
COO|YMM,|YMM|YYZ|BRU|ABJ|COO|
COO|YQR,|YQR|YWG|YUL|BRU|ABJ|COO|
COO|YVR,|YVR|YUL|BRU|ABJ|COO|
COO|YWG,|YWG|YUL|BRU|ABJ|COO|
COO|YXE,|YXE|YWG|YUL|BRU|ABJ|COO|
COO|CKY,|CKY|DKR|BRU|ABJ|COO|
COO|FIH,|FIH|IST|ABJ|COO|
COO|SCL,|SCL|EZE|GRU|IST|ABJ|COO|
COO|LCA,|LCA|FRA|IST|ABJ|COO|
COO|NAP,|NAP|IST|ABJ|COO|
COO|VLC,|VLC|IST|ABJ|COO|
COO|BKK,|BKK|IST|ABJ|COO|
COO|ADD,|ADD|IST|ABJ|COO|
COO|FRA,|FRA|IST|ABJ|COO|
COO|IST,|IST|ABJ|COO|
COO|EBB,|EBB|KGL|IST|ABJ|COO|
COO|YLW,|YLW|YYC|YUL|BRU|ABJ|COO|
COO|YYT,|YYT|LHR|IST|ABJ|COO|
COO|GUA,|GUA|EWR|BRU|ABJ|COO|
COO|EWR,|EWR|BRU|ABJ|COO|
COO|IAD,|IAD|BRU|ABJ|COO|
COO|IAH,|IAH|YUL|BRU|ABJ|COO|
COO|ORD,|ORD|BRU|ABJ|COO|
COO|SOF,|SOF|IST|ABJ|COO|
COO|YQB,|YQB|YUL|BRU|ABJ|COO|
COO|YXU,|YXU|YYZ|BRU|ABJ|COO|
COO|EZE,|EZE|GRU|IST|ABJ|COO|
COO|YYJ,|YYJ|YYC|YUL|BRU|ABJ|COO|
COO|YYY,|YYY|YUL|BRU|ABJ|COO|
COO|YQQ,|YQQ|YYC|YUL|BRU|ABJ|COO|
COO|YYR,|YYR|YWK|YZV|YUL|BRU|ABJ|COO|
COO|LHR,|LHR|IST|ABJ|COO|
COO|SFO,|SFO|YUL|BRU|ABJ|COO|
COO|YQU,|YQU|YEG|YUL|BRU|ABJ|COO|
COO|YZF,|YZF|YEG|YUL|BRU|ABJ|COO|
COO|YGR,|YGR|YGP|YQB|YUL|BRU|ABJ|COO|
COO|YGP,|YGP|YQB|YUL|BRU|ABJ|COO|
COO|BOS,|BOS|YUL|BRU|ABJ|COO|
COO|YDF,|YDF|YYT|LHR|IST|ABJ|COO|
COO|YFC,|YFC|YUL|BRU|ABJ|COO|
COO|YQM,|YQM|YUL|BRU|ABJ|COO|
COO|YQX,|YQX|YYT|LHR|IST|ABJ|COO|
COO|YQY,|YQY|YHZ|YUL|BRU|ABJ|COO|
COO|YSJ,|YSJ|YUL|BRU|ABJ|COO|
COO|YYG,|YYG|YUL|BRU|ABJ|COO|
