COS|BRU,|BRU|ORD|COS|
COS|OUA,|OUA|BRU|ORD|COS|
COS|JED,|JED|FRA|DEN|COS|
COS|CPH,|CPH|YYZ|ORD|COS|
COS|YYZ,|YYZ|ORD|COS|
COS|DEN,|DEN|COS|
COS|YUL,|YUL|ORD|COS|
COS|NBO,|NBO|ZRH|ORD|COS|
COS|ICN,|ICN|YVR|DEN|COS|
COS|NRT,|NRT|DEN|COS|
COS|YHZ,|YHZ|ORD|COS|
COS|YOW,|YOW|ORD|COS|
COS|BJM,|BJM|BRU|ORD|COS|
COS|COO,|COO|BRU|ORD|COS|
COS|DKR,|DKR|IAD|COS|
COS|DLA,|DLA|BRU|ORD|COS|
COS|KGL,|KGL|BRU|ORD|COS|
COS|LAD,|LAD|BRU|ORD|COS|
COS|ABJ,|ABJ|BRU|ORD|COS|
COS|AMS,|AMS|ORD|COS|
COS|OSL,|OSL|EWR|ORD|COS|
COS|VNO,|VNO|CPH|YYZ|ORD|COS|
COS|WAW,|WAW|YYZ|ORD|COS|
COS|YYC,|YYC|DEN|COS|
COS|ATL,|ATL|DEN|COS|
COS|MSY,|MSY|IAH|COS|
COS|YEG,|YEG|DEN|COS|
COS|YMM,|YMM|DEN|COS|
COS|YQR,|YQR|DEN|COS|
COS|YVR,|YVR|DEN|COS|
COS|YWG,|YWG|DEN|COS|
COS|YXE,|YXE|DEN|COS|
COS|CKY,|CKY|DKR|IAD|COS|
COS|FIH,|FIH|DLA|BRU|ORD|COS|
COS|SCL,|SCL|EZE|IAH|COS|
COS|LCA,|LCA|FRA|DEN|COS|
COS|NAP,|NAP|FRA|DEN|COS|
COS|VLC,|VLC|FRA|DEN|COS|
COS|BKK,|BKK|CGO|PEK|YVR|DEN|COS|
COS|ADD,|ADD|JED|FRA|DEN|COS|
COS|FRA,|FRA|DEN|COS|
COS|IST,|IST|FRA|DEN|COS|
COS|EBB,|EBB|KGL|BRU|ORD|COS|
COS|YLW,|YLW|YYC|DEN|COS|
COS|YYT,|YYT|YOW|ORD|COS|
COS|GUA,|GUA|IAH|COS|
COS|EWR,|EWR|ORD|COS|
COS|IAD,|IAD|COS|
COS|IAH,|IAH|COS|
COS|ORD,|ORD|COS|
COS|SOF,|SOF|MUC|ORD|COS|
COS|YQB,|YQB|ORD|COS|
COS|YXU,|YXU|ORD|COS|
COS|EZE,|EZE|IAH|COS|
COS|YYJ,|YYJ|YVR|DEN|COS|
COS|YYY,|YYY|YUL|ORD|COS|
COS|YQQ,|YQQ|YBL|YVR|DEN|COS|
COS|YYR,|YYR|YWK|YZV|YQB|ORD|COS|
COS|LHR,|LHR|ORD|COS|
COS|SFO,|SFO|COS|
COS|YQU,|YQU|YYC|DEN|COS|
COS|YZF,|YZF|YEG|DEN|COS|
COS|YGR,|YGR|YGP|YQB|ORD|COS|
COS|YGP,|YGP|YQB|ORD|COS|
COS|BOS,|BOS|ORD|COS|
COS|YDF,|YDF|YYZ|ORD|COS|
COS|YFC,|YFC|YYZ|ORD|COS|
COS|YQM,|YQM|YUL|ORD|COS|
COS|YQX,|YQX|YHZ|ORD|COS|
COS|YQY,|YQY|YYZ|ORD|COS|
COS|YSJ,|YSJ|YYZ|ORD|COS|
COS|YYG,|YYG|YUL|ORD|COS|
COS|LAX,|LAX|COS|
COS|DCA,|DCA|ORD|COS|
COS|LGA,|LGA|ORD|COS|
COS|YZV,|YZV|YQB|ORD|COS|
COS|YWL,|YWL|YVR|DEN|COS|
COS|AZS,|AZS|YYZ|ORD|COS|
COS|BDL,|BDL|ORD|COS|
COS|CCC,|CCC|YYZ|ORD|COS|
COS|CDG,|CDG|ORD|COS|
COS|CUN,|CUN|IAH|COS|
COS|CZM,|CZM|IAH|COS|
COS|FDF,|FDF|YUL|ORD|COS|
COS|FLL,|FLL|IAH|COS|
COS|GVA,|GVA|YUL|ORD|COS|
COS|HOG,|HOG|YYZ|ORD|COS|
COS|LAS,|LAS|DEN|COS|
COS|MBJ,|MBJ|IAH|COS|
COS|MCO,|MCO|DEN|COS|
COS|MUC,|MUC|ORD|COS|
COS|PAP,|PAP|YUL|ORD|COS|
COS|PTP,|PTP|YUL|ORD|COS|
COS|PUJ,|PUJ|ATL|DEN|COS|
COS|SNU,|SNU|YYZ|ORD|COS|
COS|VRA,|VRA|YYZ|ORD|COS|
COS|YBC,|YBC|YUL|ORD|COS|
COS|YBG,|YBG|YUL|ORD|COS|
COS|YTZ,|YTZ|YUL|ORD|COS|
COS|YUY,|YUY|YUL|ORD|COS|
COS|YVO,|YVO|YUL|ORD|COS|
COS|ZBF,|ZBF|YUL|ORD|COS|
COS|ZRH,|ZRH|ORD|COS|
COS|ZSA,|ZSA|YUL|ORD|COS|
COS|AKL,|AKL|LAX|COS|
COS|HKG,|HKG|YVR|DEN|COS|
COS|HND,|HND|YVR|DEN|COS|
COS|HNL,|HNL|SFO|COS|
COS|MEX,|MEX|DEN|COS|
COS|OGG,|OGG|SFO|COS|
COS|PDX,|PDX|DEN|COS|
COS|PEK,|PEK|YVR|DEN|COS|
COS|PVG,|PVG|YVR|DEN|COS|
COS|PVR,|PVR|DEN|COS|
COS|SEA,|SEA|DEN|COS|
COS|SYD,|SYD|LAX|COS|
COS|YBL,|YBL|YVR|DEN|COS|
COS|YCD,|YCD|YVR|DEN|COS|
COS|YCG,|YCG|YYC|DEN|COS|
COS|YKA,|YKA|YYC|DEN|COS|
COS|YPR,|YPR|YVR|DEN|COS|
COS|YQZ,|YQZ|YVR|DEN|COS|
COS|YXC,|YXC|YYC|DEN|COS|
COS|YXJ,|YXJ|YYC|DEN|COS|
COS|YXS,|YXS|YYC|DEN|COS|
COS|YXT,|YXT|YVR|DEN|COS|
COS|YXY,|YXY|YVR|DEN|COS|
COS|YYD,|YYD|YVR|DEN|COS|
COS|YYF,|YYF|YVR|DEN|COS|
COS|YZP,|YZP|YVR|DEN|COS|
COS|YQT,|YQT|YWG|DEN|COS|
COS|SJD,|SJD|DEN|COS|
COS|YQF,|YQF|YYC|DEN|COS|
COS|YQL,|YQL|YYC|DEN|COS|
COS|YXH,|YXH|YYC|DEN|COS|
COS|YWK,|YWK|YZV|YQB|ORD|COS|
COS|ANU,|ANU|EWR|ORD|COS|
COS|AUA,|AUA|ATL|DEN|COS|
COS|AUH,|AUH|FRA|DEN|COS|
COS|BCN,|BCN|YYZ|ORD|COS|
COS|BDA,|BDA|EWR|ORD|COS|
COS|BGI,|BGI|YYZ|ORD|COS|
COS|BNA,|BNA|DEN|COS|
COS|BOG,|BOG|IAH|COS|
COS|BWI,|BWI|ORD|COS|
COS|CLE,|CLE|ORD|COS|
COS|CLT,|CLT|ORD|COS|
COS|CMH,|CMH|ORD|COS|
COS|CVG,|CVG|DEN|COS|
COS|DFW,|DFW|DEN|COS|
COS|DTW,|DTW|ORD|COS|
COS|DUB,|DUB|ORD|COS|
COS|FCO,|FCO|YYZ|ORD|COS|
COS|GCM,|GCM|IAH|COS|
COS|GGT,|GGT|FLL|IAH|COS|
COS|GND,|GND|YYZ|ORD|COS|
COS|GRU,|GRU|IAH|COS|
COS|HAV,|HAV|YYZ|ORD|COS|
COS|IND,|IND|DEN|COS|
COS|JFK,|JFK|IAD|COS|
COS|KIN,|KIN|YYZ|ORD|COS|
COS|LIM,|LIM|IAH|COS|
COS|LIR,|LIR|IAH|COS|
COS|MCI,|MCI|DEN|COS|
COS|MDT,|MDT|ORD|COS|
COS|MIA,|MIA|IAH|COS|
COS|MKE,|MKE|DEN|COS|
COS|MSP,|MSP|DEN|COS|
COS|NAS,|NAS|IAH|COS|
COS|PHL,|PHL|ORD|COS|
COS|PHX,|PHX|DEN|COS|
COS|PIT,|PIT|ORD|COS|
COS|PLS,|PLS|YYZ|ORD|COS|
COS|POP,|POP|YYZ|ORD|COS|
COS|RDU,|RDU|DEN|COS|
COS|ROC,|ROC|ORD|COS|
COS|RSW,|RSW|IAH|COS|
COS|SAN,|SAN|DEN|COS|
COS|SJO,|SJO|IAH|COS|
COS|STL,|STL|DEN|COS|
COS|SYR,|SYR|ORD|COS|
COS|TLV,|TLV|IST|FRA|DEN|COS|
COS|TPA,|TPA|DEN|COS|
COS|UVF,|UVF|EWR|ORD|COS|
COS|VIE,|VIE|ORD|COS|
COS|YAM,|YAM|YYZ|ORD|COS|
COS|YGK,|YGK|YYZ|ORD|COS|
COS|YQG,|YQG|YYZ|ORD|COS|
COS|YSB,|YSB|YYZ|ORD|COS|
COS|YTS,|YTS|YYZ|ORD|COS|
COS|YYB,|YYB|YYZ|ORD|COS|
COS|YZR,|YZR|YYZ|ORD|COS|
COS|CAN,|CAN|YVR|DEN|COS|
COS|URC,|URC|PEK|YVR|DEN|COS|
COS|CTU,|CTU|PEK|YVR|DEN|COS|
COS|HGH,|HGH|DLC|ICN|YVR|DEN|COS|
COS|XMN,|XMN|PEK|YVR|DEN|COS|
COS|CGO,|CGO|PEK|YVR|DEN|COS|
COS|CSX,|CSX|ICN|YVR|DEN|COS|
COS|SHE,|SHE|ICN|YVR|DEN|COS|
COS|SJW,|SJW|DLC|ICN|YVR|DEN|COS|
COS|WUH,|WUH|ICN|YVR|DEN|COS|
COS|SZX,|SZX|PVG|YVR|DEN|COS|
COS|CKG,|CKG|PEK|YVR|DEN|COS|
COS|KMG,|KMG|PEK|YVR|DEN|COS|
COS|FOC,|FOC|PEK|YVR|DEN|COS|
COS|NNG,|NNG|PEK|YVR|DEN|COS|
COS|SWA,|SWA|PEK|YVR|DEN|COS|
COS|ACX,|ACX|CAN|YVR|DEN|COS|
COS|AQG,|AQG|CAN|YVR|DEN|COS|
COS|AVA,|AVA|CAN|YVR|DEN|COS|
COS|BFJ,|BFJ|CAN|YVR|DEN|COS|
COS|BHY,|BHY|CSX|ICN|YVR|DEN|COS|
COS|BNE,|BNE|CAN|YVR|DEN|COS|
COS|CGD,|CGD|PEK|YVR|DEN|COS|
COS|CGK,|CGK|CAN|YVR|DEN|COS|
COS|CGQ,|CGQ|ICN|YVR|DEN|COS|
COS|CIH,|CIH|PEK|YVR|DEN|COS|
COS|CNX,|CNX|CAN|YVR|DEN|COS|
COS|CZX,|CZX|SHE|ICN|YVR|DEN|COS|
COS|DAC,|DAC|CAN|YVR|DEN|COS|
COS|DAD,|DAD|CAN|YVR|DEN|COS|
COS|DEL,|DEL|EWR|ORD|COS|
COS|DIG,|DIG|KMG|PEK|YVR|DEN|COS|
COS|DLC,|DLC|ICN|YVR|DEN|COS|
COS|DPS,|DPS|SZX|PVG|YVR|DEN|COS|
COS|DXB,|DXB|IST|FRA|DEN|COS|
COS|DYG,|DYG|PEK|YVR|DEN|COS|
COS|FUG,|FUG|CAN|YVR|DEN|COS|
COS|FUK,|FUK|ICN|YVR|DEN|COS|
COS|HAK,|HAK|CAN|YVR|DEN|COS|
COS|HAN,|HAN|PEK|YVR|DEN|COS|
COS|HDG,|HDG|CAN|YVR|DEN|COS|
COS|HET,|HET|DLC|ICN|YVR|DEN|COS|
COS|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|COS|
COS|HJJ,|HJJ|CSX|ICN|YVR|DEN|COS|
COS|HKT,|HKT|KWE|PEK|YVR|DEN|COS|
COS|HRB,|HRB|ICN|YVR|DEN|COS|
COS|HZH,|HZH|CAN|YVR|DEN|COS|
COS|JIU,|JIU|CAN|YVR|DEN|COS|
COS|JJN,|JJN|PEK|YVR|DEN|COS|
COS|JNG,|JNG|CAN|YVR|DEN|COS|
COS|KHN,|KHN|DLC|ICN|YVR|DEN|COS|
COS|KIX,|KIX|SFO|COS|
COS|KOW,|KOW|PEK|YVR|DEN|COS|
COS|KTM,|KTM|CAN|YVR|DEN|COS|
COS|KUL,|KUL|PVG|YVR|DEN|COS|
COS|KWE,|KWE|PEK|YVR|DEN|COS|
COS|KWL,|KWL|PEK|YVR|DEN|COS|
COS|LHW,|LHW|CGO|PEK|YVR|DEN|COS|
COS|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|COS|
COS|LYG,|LYG|HSN|PEK|YVR|DEN|COS|
COS|LZH,|LZH|CAN|YVR|DEN|COS|
COS|MEL,|MEL|SYD|LAX|COS|
COS|MIG,|MIG|CSX|ICN|YVR|DEN|COS|
COS|MLE,|MLE|IST|FRA|DEN|COS|
COS|MNL,|MNL|XMN|PEK|YVR|DEN|COS|
COS|MXZ,|MXZ|CAN|YVR|DEN|COS|
COS|NAO,|NAO|PEK|YVR|DEN|COS|
