DAC|BRU,|BRU|IST|DAC|
DAC|OUA,|OUA|NIM|IST|DAC|
DAC|JED,|JED|IST|DAC|
DAC|CPH,|CPH|IST|DAC|
DAC|YYZ,|YYZ|IST|DAC|
DAC|DEN,|DEN|YVR|CAN|DAC|
DAC|YUL,|YUL|FRA|IST|DAC|
DAC|NBO,|NBO|IST|DAC|
DAC|ICN,|ICN|CAN|DAC|
DAC|NRT,|NRT|CAN|DAC|
DAC|YHZ,|YHZ|LHR|IST|DAC|
DAC|YOW,|YOW|FRA|IST|DAC|
DAC|BJM,|BJM|BRU|IST|DAC|
DAC|COO,|COO|BRU|IST|DAC|
DAC|DKR,|DKR|BRU|IST|DAC|
DAC|DLA,|DLA|IST|DAC|
DAC|KGL,|KGL|IST|DAC|
DAC|LAD,|LAD|BRU|IST|DAC|
DAC|ABJ,|ABJ|OUA|NIM|IST|DAC|
DAC|AMS,|AMS|IST|DAC|
DAC|OSL,|OSL|IST|DAC|
DAC|VNO,|VNO|IST|DAC|
DAC|WAW,|WAW|IST|DAC|
DAC|YYC,|YYC|YVR|CAN|DAC|
DAC|ATL,|ATL|FRA|IST|DAC|
DAC|MSY,|MSY|IAD|IST|DAC|
DAC|YEG,|YEG|YVR|CAN|DAC|
DAC|YMM,|YMM|YVR|CAN|DAC|
DAC|YQR,|YQR|YVR|CAN|DAC|
DAC|YVR,|YVR|CAN|DAC|
DAC|YWG,|YWG|YVR|CAN|DAC|
DAC|YXE,|YXE|YVR|CAN|DAC|
DAC|CKY,|CKY|DKR|BRU|IST|DAC|
DAC|FIH,|FIH|IST|DAC|
DAC|SCL,|SCL|EZE|GRU|IST|DAC|
DAC|LCA,|LCA|FRA|IST|DAC|
DAC|NAP,|NAP|IST|DAC|
DAC|VLC,|VLC|IST|DAC|
DAC|BKK,|BKK|CAN|DAC|
DAC|ADD,|ADD|IST|DAC|
DAC|FRA,|FRA|IST|DAC|
DAC|IST,|IST|DAC|
DAC|EBB,|EBB|KGL|IST|DAC|
DAC|YLW,|YLW|YVR|CAN|DAC|
DAC|YYT,|YYT|LHR|IST|DAC|
DAC|GUA,|GUA|MIA|ZRH|IST|DAC|
DAC|EWR,|EWR|BHX|IST|DAC|
DAC|IAD,|IAD|IST|DAC|
DAC|IAH,|IAH|YVR|CAN|DAC|
DAC|ORD,|ORD|IST|DAC|
DAC|SOF,|SOF|IST|DAC|
DAC|YQB,|YQB|YUL|FRA|IST|DAC|
DAC|YXU,|YXU|YYZ|IST|DAC|
DAC|EZE,|EZE|GRU|IST|DAC|
DAC|YYJ,|YYJ|YVR|CAN|DAC|
DAC|YYY,|YYY|YUL|FRA|IST|DAC|
DAC|YQQ,|YQQ|YBL|YVR|CAN|DAC|
DAC|YYR,|YYR|YYT|LHR|IST|DAC|
DAC|LHR,|LHR|IST|DAC|
DAC|SFO,|SFO|PVG|CAN|DAC|
DAC|YQU,|YQU|YEG|YVR|CAN|DAC|
DAC|YZF,|YZF|YEG|YVR|CAN|DAC|
DAC|YGR,|YGR|YGP|YQB|YUL|FRA|IST|DAC|
DAC|YGP,|YGP|YQB|YUL|FRA|IST|DAC|
DAC|BOS,|BOS|FRA|IST|DAC|
DAC|YDF,|YDF|YYT|LHR|IST|DAC|
DAC|YFC,|YFC|YHZ|LHR|IST|DAC|
DAC|YQM,|YQM|YHZ|LHR|IST|DAC|
DAC|YQX,|YQX|YYT|LHR|IST|DAC|
DAC|YQY,|YQY|YHZ|LHR|IST|DAC|
DAC|YSJ,|YSJ|YHZ|LHR|IST|DAC|
DAC|YYG,|YYG|YHZ|LHR|IST|DAC|
DAC|LAX,|LAX|CAN|DAC|
DAC|DCA,|DCA|EWR|BHX|IST|DAC|
DAC|LGA,|LGA|YHZ|LHR|IST|DAC|
DAC|YZV,|YZV|YWK|YYR|YYT|LHR|IST|DAC|
