DAD|BRU,|BRU|DEL|CAN|DAD|
DAD|OUA,|OUA|NIM|IST|CAN|DAD|
DAD|JED,|JED|IST|CAN|DAD|
DAD|CPH,|CPH|AMS|CAN|DAD|
DAD|YYZ,|YYZ|PEK|CAN|DAD|
DAD|DEN,|DEN|YVR|CAN|DAD|
DAD|YUL,|YUL|YYZ|PEK|CAN|DAD|
DAD|NBO,|NBO|CAN|DAD|
DAD|ICN,|ICN|CAN|DAD|
DAD|NRT,|NRT|CAN|DAD|
DAD|YHZ,|YHZ|YYZ|PEK|CAN|DAD|
DAD|YOW,|YOW|YYZ|PEK|CAN|DAD|
DAD|BJM,|BJM|BRU|DEL|CAN|DAD|
DAD|COO,|COO|BRU|DEL|CAN|DAD|
DAD|DKR,|DKR|BRU|DEL|CAN|DAD|
DAD|DLA,|DLA|IST|CAN|DAD|
DAD|KGL,|KGL|IST|CAN|DAD|
DAD|LAD,|LAD|BRU|DEL|CAN|DAD|
DAD|ABJ,|ABJ|OUA|NIM|IST|CAN|DAD|
DAD|AMS,|AMS|CAN|DAD|
DAD|OSL,|OSL|CPH|AMS|CAN|DAD|
DAD|VNO,|VNO|IST|CAN|DAD|
DAD|WAW,|WAW|IST|CAN|DAD|
DAD|YYC,|YYC|YVR|CAN|DAD|
DAD|ATL,|ATL|ORD|PEK|CAN|DAD|
DAD|MSY,|MSY|DEN|YVR|CAN|DAD|
DAD|YEG,|YEG|YVR|CAN|DAD|
DAD|YMM,|YMM|YVR|CAN|DAD|
DAD|YQR,|YQR|YVR|CAN|DAD|
DAD|YVR,|YVR|CAN|DAD|
DAD|YWG,|YWG|YVR|CAN|DAD|
DAD|YXE,|YXE|YVR|CAN|DAD|
DAD|CKY,|CKY|DKR|BRU|DEL|CAN|DAD|
DAD|FIH,|FIH|IST|CAN|DAD|
DAD|SCL,|SCL|YYZ|PEK|CAN|DAD|
DAD|LCA,|LCA|FRA|TSE|URC|CAN|DAD|
DAD|NAP,|NAP|IST|CAN|DAD|
DAD|VLC,|VLC|IST|CAN|DAD|
DAD|BKK,|BKK|CAN|DAD|
DAD|ADD,|ADD|IST|CAN|DAD|
DAD|FRA,|FRA|TSE|URC|CAN|DAD|
DAD|IST,|IST|CAN|DAD|
DAD|EBB,|EBB|KGL|IST|CAN|DAD|
DAD|YLW,|YLW|YVR|CAN|DAD|
DAD|YYT,|YYT|LHR|CAN|DAD|
DAD|GUA,|GUA|IAH|YVR|CAN|DAD|
DAD|EWR,|EWR|PEK|CAN|DAD|
DAD|IAD,|IAD|PEK|CAN|DAD|
DAD|IAH,|IAH|YVR|CAN|DAD|
DAD|ORD,|ORD|PEK|CAN|DAD|
DAD|SOF,|SOF|IST|CAN|DAD|
DAD|YQB,|YQB|YYZ|PEK|CAN|DAD|
DAD|YXU,|YXU|YYZ|PEK|CAN|DAD|
DAD|EZE,|EZE|GRU|IST|CAN|DAD|
DAD|YYJ,|YYJ|YVR|CAN|DAD|
DAD|YYY,|YYY|YUL|YYZ|PEK|CAN|DAD|
DAD|YQQ,|YQQ|YBL|YVR|CAN|DAD|
DAD|YYR,|YYR|YYT|LHR|CAN|DAD|
DAD|LHR,|LHR|CAN|DAD|
DAD|SFO,|SFO|PVG|CAN|DAD|
DAD|YQU,|YQU|YEG|YVR|CAN|DAD|
DAD|YZF,|YZF|YEG|YVR|CAN|DAD|
DAD|YGR,|YGR|YGP|YQB|YYZ|PEK|CAN|DAD|
DAD|YGP,|YGP|YQB|YYZ|PEK|CAN|DAD|
DAD|BOS,|BOS|YYZ|PEK|CAN|DAD|
DAD|YDF,|YDF|YYT|LHR|CAN|DAD|
DAD|YFC,|YFC|YYZ|PEK|CAN|DAD|
DAD|YQM,|YQM|YYZ|PEK|CAN|DAD|
DAD|YQX,|YQX|YYT|LHR|CAN|DAD|
DAD|YQY,|YQY|YYZ|PEK|CAN|DAD|
DAD|YSJ,|YSJ|YYZ|PEK|CAN|DAD|
DAD|YYG,|YYG|YYZ|PEK|CAN|DAD|
DAD|LAX,|LAX|CAN|DAD|
DAD|DCA,|DCA|YYZ|PEK|CAN|DAD|
DAD|LGA,|LGA|YYZ|PEK|CAN|DAD|
DAD|YZV,|YZV|YQB|YYZ|PEK|CAN|DAD|
DAD|YWL,|YWL|YVR|CAN|DAD|
