DAR|BRU,|BRU|NBO|DAR|
DAR|OUA,|OUA|NIM|IST|DAR|
DAR|JED,|JED|IST|DAR|
DAR|CPH,|CPH|IST|DAR|
DAR|YYZ,|YYZ|ZRH|NBO|DAR|
DAR|DEN,|DEN|ORD|ZRH|NBO|DAR|
DAR|YUL,|YUL|ZRH|NBO|DAR|
DAR|NBO,|NBO|DAR|
DAR|ICN,|ICN|CAN|NBO|DAR|
DAR|NRT,|NRT|CAN|NBO|DAR|
DAR|YHZ,|YHZ|LHR|IST|DAR|
DAR|YOW,|YOW|YUL|ZRH|NBO|DAR|
DAR|BJM,|BJM|BRU|NBO|DAR|
DAR|COO,|COO|BRU|NBO|DAR|
DAR|DKR,|DKR|BRU|NBO|DAR|
DAR|DLA,|DLA|IST|DAR|
DAR|KGL,|KGL|IST|DAR|
DAR|LAD,|LAD|BRU|NBO|DAR|
DAR|ABJ,|ABJ|OUA|NIM|IST|DAR|
DAR|AMS,|AMS|IST|DAR|
DAR|OSL,|OSL|IST|DAR|
DAR|VNO,|VNO|IST|DAR|
DAR|WAW,|WAW|IST|DAR|
DAR|YYC,|YYC|FRA|IST|DAR|
DAR|ATL,|ATL|BOS|ZRH|NBO|DAR|
DAR|MSY,|MSY|IAD|ZRH|NBO|DAR|
DAR|YEG,|YEG|LHR|IST|DAR|
DAR|YMM,|YMM|YEG|LHR|IST|DAR|
DAR|YQR,|YQR|YWG|YUL|ZRH|NBO|DAR|
DAR|YVR,|YVR|MUC|IST|DAR|
DAR|YWG,|YWG|YUL|ZRH|NBO|DAR|
DAR|YXE,|YXE|YEG|LHR|IST|DAR|
DAR|CKY,|CKY|DKR|BRU|NBO|DAR|
DAR|FIH,|FIH|IST|DAR|
DAR|SCL,|SCL|EZE|GRU|IST|DAR|
DAR|LCA,|LCA|FRA|IST|DAR|
DAR|NAP,|NAP|IST|DAR|
DAR|VLC,|VLC|IST|DAR|
DAR|BKK,|BKK|NBO|DAR|
DAR|ADD,|ADD|IST|DAR|
DAR|FRA,|FRA|IST|DAR|
DAR|IST,|IST|DAR|
DAR|EBB,|EBB|KGL|IST|DAR|
DAR|YLW,|YLW|YYC|FRA|IST|DAR|
DAR|YYT,|YYT|LHR|IST|DAR|
DAR|GUA,|GUA|MIA|ZRH|NBO|DAR|
DAR|EWR,|EWR|ZRH|NBO|DAR|
DAR|IAD,|IAD|ZRH|NBO|DAR|
