DAT|BRU,|BRU|IST|URC|TYN|DAT|
DAT|OUA,|OUA|NIM|IST|URC|TYN|DAT|
DAT|JED,|JED|IST|URC|TYN|DAT|
DAT|CPH,|CPH|IST|URC|TYN|DAT|
DAT|YYZ,|YYZ|PEK|CIH|DAT|
DAT|DEN,|DEN|YVR|PEK|CIH|DAT|
DAT|YUL,|YUL|YYZ|PEK|CIH|DAT|
DAT|NBO,|NBO|CAN|CIH|DAT|
DAT|ICN,|ICN|DLC|TYN|DAT|
DAT|NRT,|NRT|DLC|TYN|DAT|
DAT|YHZ,|YHZ|YYZ|PEK|CIH|DAT|
DAT|YOW,|YOW|YYZ|PEK|CIH|DAT|
DAT|BJM,|BJM|BRU|IST|URC|TYN|DAT|
DAT|COO,|COO|BRU|IST|URC|TYN|DAT|
DAT|DKR,|DKR|BRU|IST|URC|TYN|DAT|
DAT|DLA,|DLA|IST|URC|TYN|DAT|
DAT|KGL,|KGL|IST|URC|TYN|DAT|
DAT|LAD,|LAD|BRU|IST|URC|TYN|DAT|
DAT|ABJ,|ABJ|OUA|NIM|IST|URC|TYN|DAT|
DAT|AMS,|AMS|PEK|CIH|DAT|
DAT|OSL,|OSL|IST|URC|TYN|DAT|
DAT|VNO,|VNO|IST|URC|TYN|DAT|
DAT|WAW,|WAW|IST|URC|TYN|DAT|
DAT|YYC,|YYC|YVR|PEK|CIH|DAT|
DAT|ATL,|ATL|ORD|PEK|CIH|DAT|
DAT|MSY,|MSY|ORD|PEK|CIH|DAT|
DAT|YEG,|YEG|YVR|PEK|CIH|DAT|
DAT|YMM,|YMM|YVR|PEK|CIH|DAT|
DAT|YQR,|YQR|YVR|PEK|CIH|DAT|
DAT|YVR,|YVR|PEK|CIH|DAT|
DAT|YWG,|YWG|YVR|PEK|CIH|DAT|
DAT|YXE,|YXE|YVR|PEK|CIH|DAT|
DAT|CKY,|CKY|DKR|BRU|IST|URC|TYN|DAT|
DAT|FIH,|FIH|IST|URC|TYN|DAT|
DAT|SCL,|SCL|YYZ|PEK|CIH|DAT|
DAT|LCA,|LCA|FRA|TSE|URC|TYN|DAT|
DAT|NAP,|NAP|IST|URC|TYN|DAT|
DAT|VLC,|VLC|FRA|TSE|URC|TYN|DAT|
DAT|BKK,|BKK|NNG|KWE|XIY|TYN|DAT|
DAT|ADD,|ADD|IST|URC|TYN|DAT|
DAT|FRA,|FRA|TSE|URC|TYN|DAT|
DAT|IST,|IST|URC|TYN|DAT|
DAT|EBB,|EBB|KGL|IST|URC|TYN|DAT|
DAT|YLW,|YLW|YVR|PEK|CIH|DAT|
DAT|YYT,|YYT|LHR|IST|URC|TYN|DAT|
DAT|GUA,|GUA|IAH|PEK|CIH|DAT|
DAT|EWR,|EWR|PEK|CIH|DAT|
DAT|IAD,|IAD|PEK|CIH|DAT|
DAT|IAH,|IAH|PEK|CIH|DAT|
DAT|ORD,|ORD|PEK|CIH|DAT|
DAT|SOF,|SOF|IST|URC|TYN|DAT|
DAT|YQB,|YQB|YYZ|PEK|CIH|DAT|
DAT|YXU,|YXU|YYZ|PEK|CIH|DAT|
DAT|EZE,|EZE|GRU|IST|URC|TYN|DAT|
DAT|YYJ,|YYJ|YVR|PEK|CIH|DAT|
DAT|YYY,|YYY|YUL|YYZ|PEK|CIH|DAT|
DAT|YQQ,|YQQ|YBL|YVR|PEK|CIH|DAT|
DAT|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|CIH|DAT|
DAT|LHR,|LHR|IST|URC|TYN|DAT|
DAT|SFO,|SFO|PEK|CIH|DAT|
DAT|YQU,|YQU|YEG|YVR|PEK|CIH|DAT|
DAT|YZF,|YZF|YEG|YVR|PEK|CIH|DAT|
DAT|YGR,|YGR|YGP|YQB|YYZ|PEK|CIH|DAT|
DAT|YGP,|YGP|YQB|YYZ|PEK|CIH|DAT|
DAT|BOS,|BOS|YYZ|PEK|CIH|DAT|
DAT|YDF,|YDF|YYZ|PEK|CIH|DAT|
DAT|YFC,|YFC|YYZ|PEK|CIH|DAT|
DAT|YQM,|YQM|YYZ|PEK|CIH|DAT|
DAT|YQX,|YQX|YHZ|YYZ|PEK|CIH|DAT|
DAT|YQY,|YQY|YYZ|PEK|CIH|DAT|
DAT|YSJ,|YSJ|YYZ|PEK|CIH|DAT|
DAT|YYG,|YYG|YYZ|PEK|CIH|DAT|
DAT|LAX,|LAX|PEK|CIH|DAT|
DAT|DCA,|DCA|YYZ|PEK|CIH|DAT|
DAT|LGA,|LGA|YYZ|PEK|CIH|DAT|
DAT|YZV,|YZV|YQB|YYZ|PEK|CIH|DAT|
DAT|YWL,|YWL|YVR|PEK|CIH|DAT|
DAT|AZS,|AZS|YYZ|PEK|CIH|DAT|
DAT|BDL,|BDL|YYZ|PEK|CIH|DAT|
DAT|CCC,|CCC|YYZ|PEK|CIH|DAT|
DAT|CDG,|CDG|IST|URC|TYN|DAT|
DAT|CUN,|CUN|IAH|PEK|CIH|DAT|
DAT|CZM,|CZM|IAH|PEK|CIH|DAT|
DAT|FDF,|FDF|YUL|YYZ|PEK|CIH|DAT|
DAT|FLL,|FLL|ORD|PEK|CIH|DAT|
DAT|GVA,|GVA|IST|URC|TYN|DAT|
DAT|HOG,|HOG|YYZ|PEK|CIH|DAT|
DAT|LAS,|LAS|SEA|PEK|CIH|DAT|
DAT|MBJ,|MBJ|ATL|ORD|PEK|CIH|DAT|
DAT|MCO,|MCO|ORD|PEK|CIH|DAT|
DAT|MUC,|MUC|IST|URC|TYN|DAT|
DAT|PAP,|PAP|YUL|YYZ|PEK|CIH|DAT|
DAT|PTP,|PTP|YUL|YYZ|PEK|CIH|DAT|
DAT|PUJ,|PUJ|EWR|PEK|CIH|DAT|
DAT|SNU,|SNU|YYZ|PEK|CIH|DAT|
DAT|VRA,|VRA|YYZ|PEK|CIH|DAT|
DAT|YBC,|YBC|YUL|YYZ|PEK|CIH|DAT|
DAT|YBG,|YBG|YUL|YYZ|PEK|CIH|DAT|
DAT|YTZ,|YTZ|YUL|YYZ|PEK|CIH|DAT|
DAT|YUY,|YUY|YUL|YYZ|PEK|CIH|DAT|
DAT|YVO,|YVO|YUL|YYZ|PEK|CIH|DAT|
DAT|ZBF,|ZBF|YUL|YYZ|PEK|CIH|DAT|
DAT|ZRH,|ZRH|IST|URC|TYN|DAT|
DAT|ZSA,|ZSA|YUL|YYZ|PEK|CIH|DAT|
DAT|AKL,|AKL|CAN|CIH|DAT|
DAT|HKG,|HKG|CAN|CIH|DAT|
DAT|HND,|HND|HNL|NRT|DLC|TYN|DAT|
DAT|HNL,|HNL|NRT|DLC|TYN|DAT|
DAT|MEX,|MEX|YVR|PEK|CIH|DAT|
DAT|OGG,|OGG|HNL|NRT|DLC|TYN|DAT|
DAT|PDX,|PDX|SEA|PEK|CIH|DAT|
DAT|PEK,|PEK|CIH|DAT|
DAT|PVG,|PVG|TAO|TYN|DAT|
DAT|PVR,|PVR|SFO|PEK|CIH|DAT|
DAT|SEA,|SEA|PEK|CIH|DAT|
DAT|SYD,|SYD|CAN|CIH|DAT|
DAT|YBL,|YBL|YVR|PEK|CIH|DAT|
DAT|YCD,|YCD|YVR|PEK|CIH|DAT|
DAT|YCG,|YCG|YVR|PEK|CIH|DAT|
DAT|YKA,|YKA|YVR|PEK|CIH|DAT|
DAT|YPR,|YPR|YVR|PEK|CIH|DAT|
DAT|YQZ,|YQZ|YVR|PEK|CIH|DAT|
DAT|YXC,|YXC|YVR|PEK|CIH|DAT|
DAT|YXJ,|YXJ|YVR|PEK|CIH|DAT|
DAT|YXS,|YXS|YVR|PEK|CIH|DAT|
DAT|YXT,|YXT|YVR|PEK|CIH|DAT|
DAT|YXY,|YXY|YVR|PEK|CIH|DAT|
DAT|YYD,|YYD|YVR|PEK|CIH|DAT|
DAT|YYF,|YYF|YVR|PEK|CIH|DAT|
DAT|YZP,|YZP|YVR|PEK|CIH|DAT|
DAT|YQT,|YQT|YWG|YVR|PEK|CIH|DAT|
DAT|SJD,|SJD|SFO|PEK|CIH|DAT|
DAT|YQF,|YQF|YYC|YVR|PEK|CIH|DAT|
DAT|YQL,|YQL|YYC|YVR|PEK|CIH|DAT|
DAT|YXH,|YXH|YYC|YVR|PEK|CIH|DAT|
DAT|YWK,|YWK|YZV|YQB|YYZ|PEK|CIH|DAT|
DAT|ANU,|ANU|EWR|PEK|CIH|DAT|
DAT|AUA,|AUA|EWR|PEK|CIH|DAT|
DAT|AUH,|AUH|IST|URC|TYN|DAT|
DAT|BCN,|BCN|IST|URC|TYN|DAT|
DAT|BDA,|BDA|EWR|PEK|CIH|DAT|
DAT|BGI,|BGI|YYZ|PEK|CIH|DAT|
DAT|BNA,|BNA|ORD|PEK|CIH|DAT|
DAT|BOG,|BOG|MIA|ORD|PEK|CIH|DAT|
DAT|BWI,|BWI|YYZ|PEK|CIH|DAT|
DAT|CLE,|CLE|YYZ|PEK|CIH|DAT|
DAT|CLT,|CLT|YYZ|PEK|CIH|DAT|
DAT|CMH,|CMH|ORD|PEK|CIH|DAT|
DAT|CVG,|CVG|ORD|PEK|CIH|DAT|
DAT|DFW,|DFW|YVR|PEK|CIH|DAT|
DAT|DTW,|DTW|PEK|CIH|DAT|
DAT|DUB,|DUB|IST|URC|TYN|DAT|
DAT|FCO,|FCO|IST|URC|TYN|DAT|
DAT|GCM,|GCM|YYZ|PEK|CIH|DAT|
DAT|GGT,|GGT|YYZ|PEK|CIH|DAT|
DAT|GND,|GND|YYZ|PEK|CIH|DAT|
DAT|GRU,|GRU|IST|URC|TYN|DAT|
DAT|HAV,|HAV|YYZ|PEK|CIH|DAT|
DAT|IND,|IND|ORD|PEK|CIH|DAT|
DAT|JFK,|JFK|PEK|CIH|DAT|
DAT|KIN,|KIN|YYZ|PEK|CIH|DAT|
DAT|LIM,|LIM|IAH|PEK|CIH|DAT|
DAT|LIR,|LIR|IAH|PEK|CIH|DAT|
DAT|MCI,|MCI|DEN|YVR|PEK|CIH|DAT|
DAT|MDT,|MDT|YYZ|PEK|CIH|DAT|
DAT|MIA,|MIA|ORD|PEK|CIH|DAT|
DAT|MKE,|MKE|ORD|PEK|CIH|DAT|
DAT|MSP,|MSP|ORD|PEK|CIH|DAT|
DAT|NAS,|NAS|YYZ|PEK|CIH|DAT|
DAT|PHL,|PHL|YYZ|PEK|CIH|DAT|
DAT|PHX,|PHX|SEA|PEK|CIH|DAT|
DAT|PIT,|PIT|YYZ|PEK|CIH|DAT|
DAT|PLS,|PLS|EWR|PEK|CIH|DAT|
DAT|POP,|POP|EWR|PEK|CIH|DAT|
DAT|RDU,|RDU|YYZ|PEK|CIH|DAT|
DAT|ROC,|ROC|YYZ|PEK|CIH|DAT|
DAT|RSW,|RSW|ORD|PEK|CIH|DAT|
