DCA|BRU,|BRU|EWR|DCA|
DCA|OUA,|OUA|BRU|EWR|DCA|
DCA|JED,|JED|FRA|EWR|DCA|
DCA|CPH,|CPH|AMS|EWR|DCA|
DCA|YYZ,|YYZ|DCA|
DCA|DEN,|DEN|DCA|
DCA|YUL,|YUL|DCA|
DCA|NBO,|NBO|ZRH|EWR|DCA|
DCA|ICN,|ICN|YVR|ORD|DCA|
DCA|NRT,|NRT|YYZ|DCA|
DCA|YHZ,|YHZ|EWR|DCA|
DCA|YOW,|YOW|DCA|
DCA|BJM,|BJM|BRU|EWR|DCA|
DCA|COO,|COO|BRU|EWR|DCA|
DCA|DKR,|DKR|IAD|EWR|DCA|
DCA|DLA,|DLA|BRU|EWR|DCA|
DCA|KGL,|KGL|BRU|EWR|DCA|
DCA|LAD,|LAD|BRU|EWR|DCA|
DCA|ABJ,|ABJ|BRU|EWR|DCA|
DCA|AMS,|AMS|EWR|DCA|
DCA|OSL,|OSL|EWR|DCA|
DCA|VNO,|VNO|CPH|AMS|EWR|DCA|
DCA|WAW,|WAW|CPH|AMS|EWR|DCA|
DCA|YYC,|YYC|ORD|DCA|
DCA|ATL,|ATL|DCA|
DCA|MSY,|MSY|ATL|DCA|
DCA|YEG,|YEG|ORD|DCA|
DCA|YMM,|YMM|YYZ|DCA|
DCA|YQR,|YQR|ORD|DCA|
DCA|YVR,|YVR|ORD|DCA|
DCA|YWG,|YWG|YYZ|DCA|
DCA|YXE,|YXE|YYZ|DCA|
DCA|CKY,|CKY|DKR|IAD|EWR|DCA|
DCA|FIH,|FIH|DLA|BRU|EWR|DCA|
DCA|SCL,|SCL|YYZ|DCA|
DCA|LCA,|LCA|FRA|EWR|DCA|
DCA|NAP,|NAP|FRA|EWR|DCA|
DCA|VLC,|VLC|FRA|EWR|DCA|
DCA|BKK,|BKK|CGO|PEK|YYZ|DCA|
DCA|ADD,|ADD|JED|FRA|EWR|DCA|
DCA|FRA,|FRA|EWR|DCA|
DCA|IST,|IST|BHX|EWR|DCA|
DCA|EBB,|EBB|KGL|BRU|EWR|DCA|
DCA|YLW,|YLW|YYC|ORD|DCA|
DCA|YYT,|YYT|EWR|DCA|
DCA|GUA,|GUA|EWR|DCA|
DCA|EWR,|EWR|DCA|
DCA|IAD,|IAD|EWR|DCA|
DCA|IAH,|IAH|DCA|
DCA|ORD,|ORD|DCA|
DCA|SOF,|SOF|MUC|EWR|DCA|
DCA|YQB,|YQB|YUL|DCA|
DCA|YXU,|YXU|YYZ|DCA|
DCA|EZE,|EZE|GRU|EWR|DCA|
DCA|YYJ,|YYJ|YVR|ORD|DCA|
DCA|YYY,|YYY|YUL|DCA|
