DGO|BRU,|BRU|YUL|IAH|DGO|
DGO|OUA,|OUA|BRU|YUL|IAH|DGO|
DGO|JED,|JED|FRA|IAH|DGO|
DGO|CPH,|CPH|YYZ|IAH|DGO|
DGO|YYZ,|YYZ|IAH|DGO|
DGO|DEN,|DEN|IAH|DGO|
DGO|YUL,|YUL|IAH|DGO|
DGO|NBO,|NBO|ZRH|YUL|IAH|DGO|
DGO|ICN,|ICN|LAX|DGO|
DGO|NRT,|NRT|LAX|DGO|
DGO|YHZ,|YHZ|BOS|IAH|DGO|
DGO|YOW,|YOW|YYZ|IAH|DGO|
DGO|BJM,|BJM|BRU|YUL|IAH|DGO|
DGO|COO,|COO|BRU|YUL|IAH|DGO|
DGO|DKR,|DKR|IAD|IAH|DGO|
DGO|DLA,|DLA|BRU|YUL|IAH|DGO|
DGO|KGL,|KGL|BRU|YUL|IAH|DGO|
DGO|LAD,|LAD|BRU|YUL|IAH|DGO|
DGO|ABJ,|ABJ|BRU|YUL|IAH|DGO|
DGO|AMS,|AMS|IAH|DGO|
DGO|OSL,|OSL|EWR|IAH|DGO|
DGO|VNO,|VNO|CPH|YYZ|IAH|DGO|
DGO|WAW,|WAW|YYZ|IAH|DGO|
DGO|YYC,|YYC|LAX|DGO|
DGO|ATL,|ATL|IAH|DGO|
DGO|MSY,|MSY|IAH|DGO|
DGO|YEG,|YEG|LAX|DGO|
DGO|YMM,|YMM|YYC|LAX|DGO|
DGO|YQR,|YQR|DEN|IAH|DGO|
DGO|YVR,|YVR|LAX|DGO|
DGO|YWG,|YWG|ORD|IAH|DGO|
DGO|YXE,|YXE|DEN|IAH|DGO|
DGO|CKY,|CKY|DKR|IAD|IAH|DGO|
DGO|FIH,|FIH|DLA|BRU|YUL|IAH|DGO|
DGO|SCL,|SCL|EZE|IAH|DGO|
DGO|LCA,|LCA|FRA|IAH|DGO|
DGO|NAP,|NAP|FRA|IAH|DGO|
DGO|VLC,|VLC|FRA|IAH|DGO|
DGO|BKK,|BKK|ICN|LAX|DGO|
DGO|ADD,|ADD|JED|FRA|IAH|DGO|
DGO|FRA,|FRA|IAH|DGO|
DGO|IST,|IST|IAH|DGO|
DGO|EBB,|EBB|KGL|BRU|YUL|IAH|DGO|
DGO|YLW,|YLW|LAX|DGO|
DGO|YYT,|YYT|YHZ|BOS|IAH|DGO|
DGO|GUA,|GUA|IAH|DGO|
DGO|EWR,|EWR|IAH|DGO|
DGO|IAD,|IAD|IAH|DGO|
DGO|IAH,|IAH|DGO|
DGO|ORD,|ORD|IAH|DGO|
DGO|SOF,|SOF|MUC|IAH|DGO|
DGO|YQB,|YQB|YUL|IAH|DGO|
DGO|YXU,|YXU|ORD|IAH|DGO|
DGO|EZE,|EZE|IAH|DGO|
DGO|YYJ,|YYJ|SFO|LAX|DGO|
DGO|YYY,|YYY|YUL|IAH|DGO|
DGO|YQQ,|YQQ|YBL|YVR|LAX|DGO|
DGO|YYR,|YYR|YWK|YZV|YUL|IAH|DGO|
DGO|LHR,|LHR|IAH|DGO|
DGO|SFO,|SFO|LAX|DGO|
DGO|YQU,|YQU|YYC|LAX|DGO|
DGO|YZF,|YZF|YYC|LAX|DGO|
DGO|YGR,|YGR|YGP|YQB|YUL|IAH|DGO|
DGO|YGP,|YGP|YQB|YUL|IAH|DGO|
DGO|BOS,|BOS|IAH|DGO|
DGO|YDF,|YDF|YYZ|IAH|DGO|
DGO|YFC,|YFC|YUL|IAH|DGO|
DGO|YQM,|YQM|EWR|IAH|DGO|
DGO|YQX,|YQX|YHZ|BOS|IAH|DGO|
DGO|YQY,|YQY|YHZ|BOS|IAH|DGO|
