DIK|BRU,|BRU|ORD|DEN|DIK|
DIK|OUA,|OUA|BRU|ORD|DEN|DIK|
DIK|JED,|JED|FRA|DEN|DIK|
DIK|CPH,|CPH|YYZ|DEN|DIK|
DIK|YYZ,|YYZ|DEN|DIK|
DIK|DEN,|DEN|DIK|
DIK|YUL,|YUL|DEN|DIK|
DIK|NBO,|NBO|ZRH|ORD|DEN|DIK|
DIK|ICN,|ICN|YVR|DEN|DIK|
DIK|NRT,|NRT|DEN|DIK|
DIK|YHZ,|YHZ|YUL|DEN|DIK|
DIK|YOW,|YOW|YYZ|DEN|DIK|
DIK|BJM,|BJM|BRU|ORD|DEN|DIK|
DIK|COO,|COO|BRU|ORD|DEN|DIK|
DIK|DKR,|DKR|IAD|DEN|DIK|
DIK|DLA,|DLA|BRU|ORD|DEN|DIK|
DIK|KGL,|KGL|BRU|ORD|DEN|DIK|
DIK|LAD,|LAD|BRU|ORD|DEN|DIK|
DIK|ABJ,|ABJ|BRU|ORD|DEN|DIK|
DIK|AMS,|AMS|ORD|DEN|DIK|
DIK|OSL,|OSL|EWR|DEN|DIK|
DIK|VNO,|VNO|CPH|YYZ|DEN|DIK|
DIK|WAW,|WAW|YYZ|DEN|DIK|
DIK|YYC,|YYC|DEN|DIK|
DIK|ATL,|ATL|DEN|DIK|
DIK|MSY,|MSY|DEN|DIK|
DIK|YEG,|YEG|DEN|DIK|
DIK|YMM,|YMM|DEN|DIK|
DIK|YQR,|YQR|DEN|DIK|
DIK|YVR,|YVR|DEN|DIK|
DIK|YWG,|YWG|DEN|DIK|
DIK|YXE,|YXE|DEN|DIK|
DIK|CKY,|CKY|DKR|IAD|DEN|DIK|
DIK|FIH,|FIH|DLA|BRU|ORD|DEN|DIK|
DIK|SCL,|SCL|EZE|IAH|DEN|DIK|
DIK|LCA,|LCA|FRA|DEN|DIK|
DIK|NAP,|NAP|FRA|DEN|DIK|
DIK|VLC,|VLC|FRA|DEN|DIK|
DIK|BKK,|BKK|CGO|PEK|YVR|DEN|DIK|
DIK|ADD,|ADD|JED|FRA|DEN|DIK|
DIK|FRA,|FRA|DEN|DIK|
DIK|IST,|IST|FRA|DEN|DIK|
DIK|EBB,|EBB|KGL|BRU|ORD|DEN|DIK|
DIK|YLW,|YLW|YYC|DEN|DIK|
DIK|YYT,|YYT|YUL|DEN|DIK|
DIK|GUA,|GUA|IAH|DEN|DIK|
DIK|EWR,|EWR|DEN|DIK|
DIK|IAD,|IAD|DEN|DIK|
DIK|IAH,|IAH|DEN|DIK|
DIK|ORD,|ORD|DEN|DIK|
DIK|SOF,|SOF|MUC|ORD|DEN|DIK|
DIK|YQB,|YQB|YUL|DEN|DIK|
DIK|YXU,|YXU|ORD|DEN|DIK|
DIK|EZE,|EZE|IAH|DEN|DIK|
DIK|YYJ,|YYJ|YVR|DEN|DIK|
DIK|YYY,|YYY|YUL|DEN|DIK|
DIK|YQQ,|YQQ|YBL|YVR|DEN|DIK|
DIK|YYR,|YYR|YWK|YZV|YUL|DEN|DIK|
DIK|LHR,|LHR|ORD|DEN|DIK|
DIK|SFO,|SFO|DEN|DIK|
DIK|YQU,|YQU|YYC|DEN|DIK|
DIK|YZF,|YZF|YEG|DEN|DIK|
DIK|YGR,|YGR|YGP|YQB|YUL|DEN|DIK|
DIK|YGP,|YGP|YQB|YUL|DEN|DIK|
DIK|BOS,|BOS|DEN|DIK|
DIK|YDF,|YDF|YYZ|DEN|DIK|
DIK|YFC,|YFC|YUL|DEN|DIK|
DIK|YQM,|YQM|YUL|DEN|DIK|
DIK|YQX,|YQX|YHZ|YUL|DEN|DIK|
DIK|YQY,|YQY|YYZ|DEN|DIK|
DIK|YSJ,|YSJ|YUL|DEN|DIK|
DIK|YYG,|YYG|YUL|DEN|DIK|
DIK|LAX,|LAX|DEN|DIK|
DIK|DCA,|DCA|DEN|DIK|
DIK|LGA,|LGA|DEN|DIK|
DIK|YZV,|YZV|YUL|DEN|DIK|
DIK|YWL,|YWL|YVR|DEN|DIK|
DIK|AZS,|AZS|YYZ|DEN|DIK|
DIK|BDL,|BDL|DEN|DIK|
DIK|CCC,|CCC|YYZ|DEN|DIK|
DIK|CDG,|CDG|ORD|DEN|DIK|
DIK|CUN,|CUN|DEN|DIK|
DIK|CZM,|CZM|IAH|DEN|DIK|
DIK|FDF,|FDF|YUL|DEN|DIK|
DIK|FLL,|FLL|DEN|DIK|
DIK|GVA,|GVA|YUL|DEN|DIK|
DIK|HOG,|HOG|YYZ|DEN|DIK|
DIK|LAS,|LAS|DEN|DIK|
DIK|MBJ,|MBJ|IAH|DEN|DIK|
DIK|MCO,|MCO|DEN|DIK|
DIK|MUC,|MUC|ORD|DEN|DIK|
DIK|PAP,|PAP|YUL|DEN|DIK|
DIK|PTP,|PTP|YUL|DEN|DIK|
DIK|PUJ,|PUJ|ATL|DEN|DIK|
DIK|SNU,|SNU|YYZ|DEN|DIK|
DIK|VRA,|VRA|YYZ|DEN|DIK|
DIK|YBC,|YBC|YUL|DEN|DIK|
DIK|YBG,|YBG|YUL|DEN|DIK|
DIK|YTZ,|YTZ|YUL|DEN|DIK|
DIK|YUY,|YUY|YUL|DEN|DIK|
DIK|YVO,|YVO|YUL|DEN|DIK|
DIK|ZBF,|ZBF|YUL|DEN|DIK|
DIK|ZRH,|ZRH|ORD|DEN|DIK|
DIK|ZSA,|ZSA|YUL|DEN|DIK|
DIK|AKL,|AKL|LAX|DEN|DIK|
DIK|HKG,|HKG|YVR|DEN|DIK|
DIK|HND,|HND|YVR|DEN|DIK|
DIK|HNL,|HNL|DEN|DIK|
DIK|MEX,|MEX|DEN|DIK|
DIK|OGG,|OGG|DEN|DIK|
DIK|PDX,|PDX|DEN|DIK|
DIK|PEK,|PEK|YVR|DEN|DIK|
DIK|PVG,|PVG|YVR|DEN|DIK|
DIK|PVR,|PVR|DEN|DIK|
DIK|SEA,|SEA|DEN|DIK|
DIK|SYD,|SYD|LAX|DEN|DIK|
DIK|YBL,|YBL|YVR|DEN|DIK|
DIK|YCD,|YCD|YVR|DEN|DIK|
DIK|YCG,|YCG|YYC|DEN|DIK|
DIK|YKA,|YKA|YYC|DEN|DIK|
DIK|YPR,|YPR|YVR|DEN|DIK|
DIK|YQZ,|YQZ|YVR|DEN|DIK|
DIK|YXC,|YXC|YYC|DEN|DIK|
DIK|YXJ,|YXJ|YYC|DEN|DIK|
DIK|YXS,|YXS|YYC|DEN|DIK|
DIK|YXT,|YXT|YVR|DEN|DIK|
DIK|YXY,|YXY|YVR|DEN|DIK|
DIK|YYD,|YYD|YVR|DEN|DIK|
DIK|YYF,|YYF|YVR|DEN|DIK|
DIK|YZP,|YZP|YVR|DEN|DIK|
DIK|YQT,|YQT|YWG|DEN|DIK|
DIK|SJD,|SJD|DEN|DIK|
DIK|YQF,|YQF|YYC|DEN|DIK|
DIK|YQL,|YQL|YYC|DEN|DIK|
DIK|YXH,|YXH|YYC|DEN|DIK|
DIK|YWK,|YWK|YZV|YUL|DEN|DIK|
DIK|ANU,|ANU|EWR|DEN|DIK|
DIK|AUA,|AUA|ATL|DEN|DIK|
DIK|AUH,|AUH|FRA|DEN|DIK|
DIK|BCN,|BCN|YYZ|DEN|DIK|
DIK|BDA,|BDA|EWR|DEN|DIK|
DIK|BGI,|BGI|YYZ|DEN|DIK|
DIK|BNA,|BNA|DEN|DIK|
DIK|BOG,|BOG|IAH|DEN|DIK|
DIK|BWI,|BWI|DEN|DIK|
DIK|CLE,|CLE|DEN|DIK|
DIK|CLT,|CLT|MDW|DEN|DIK|
DIK|CMH,|CMH|DEN|DIK|
DIK|CVG,|CVG|DEN|DIK|
DIK|DFW,|DFW|DEN|DIK|
DIK|DTW,|DTW|DEN|DIK|
DIK|DUB,|DUB|ORD|DEN|DIK|
DIK|FCO,|FCO|YYZ|DEN|DIK|
DIK|GCM,|GCM|IAH|DEN|DIK|
DIK|GGT,|GGT|FLL|DEN|DIK|
DIK|GND,|GND|YYZ|DEN|DIK|
DIK|GRU,|GRU|IAH|DEN|DIK|
DIK|HAV,|HAV|YYZ|DEN|DIK|
DIK|IND,|IND|DEN|DIK|
DIK|JFK,|JFK|IAD|DEN|DIK|
DIK|KIN,|KIN|YYZ|DEN|DIK|
DIK|LIM,|LIM|IAH|DEN|DIK|
DIK|LIR,|LIR|IAH|DEN|DIK|
DIK|MCI,|MCI|DEN|DIK|
DIK|MDT,|MDT|ORD|DEN|DIK|
DIK|MIA,|MIA|DEN|DIK|
DIK|MKE,|MKE|DEN|DIK|
DIK|MSP,|MSP|DEN|DIK|
DIK|NAS,|NAS|ATL|DEN|DIK|
DIK|PHL,|PHL|DEN|DIK|
DIK|PHX,|PHX|DEN|DIK|
DIK|PIT,|PIT|DEN|DIK|
DIK|PLS,|PLS|YYZ|DEN|DIK|
DIK|POP,|POP|YYZ|DEN|DIK|
DIK|RDU,|RDU|DEN|DIK|
DIK|ROC,|ROC|ORD|DEN|DIK|
DIK|RSW,|RSW|DEN|DIK|
DIK|SAN,|SAN|DEN|DIK|
DIK|SJO,|SJO|IAH|DEN|DIK|
DIK|STL,|STL|DEN|DIK|
DIK|SYR,|SYR|ORD|DEN|DIK|
DIK|TLV,|TLV|IST|FRA|DEN|DIK|
DIK|TPA,|TPA|DEN|DIK|
DIK|UVF,|UVF|EWR|DEN|DIK|
DIK|VIE,|VIE|ORD|DEN|DIK|
DIK|YAM,|YAM|YYZ|DEN|DIK|
DIK|YGK,|YGK|YYZ|DEN|DIK|
DIK|YQG,|YQG|YYZ|DEN|DIK|
DIK|YSB,|YSB|YYZ|DEN|DIK|
DIK|YTS,|YTS|YYZ|DEN|DIK|
DIK|YYB,|YYB|YYZ|DEN|DIK|
DIK|YZR,|YZR|YYZ|DEN|DIK|
DIK|CAN,|CAN|YVR|DEN|DIK|
DIK|URC,|URC|PEK|YVR|DEN|DIK|
DIK|CTU,|CTU|PEK|YVR|DEN|DIK|
DIK|HGH,|HGH|DLC|ICN|YVR|DEN|DIK|
DIK|XMN,|XMN|PEK|YVR|DEN|DIK|
DIK|CGO,|CGO|PEK|YVR|DEN|DIK|
DIK|CSX,|CSX|ICN|YVR|DEN|DIK|
DIK|SHE,|SHE|ICN|YVR|DEN|DIK|
DIK|SJW,|SJW|DLC|ICN|YVR|DEN|DIK|
DIK|WUH,|WUH|ICN|YVR|DEN|DIK|
DIK|SZX,|SZX|PVG|YVR|DEN|DIK|
DIK|CKG,|CKG|PEK|YVR|DEN|DIK|
DIK|KMG,|KMG|PEK|YVR|DEN|DIK|
DIK|FOC,|FOC|PEK|YVR|DEN|DIK|
DIK|NNG,|NNG|PEK|YVR|DEN|DIK|
DIK|SWA,|SWA|PEK|YVR|DEN|DIK|
DIK|ACX,|ACX|CAN|YVR|DEN|DIK|
DIK|AQG,|AQG|CAN|YVR|DEN|DIK|
DIK|AVA,|AVA|CAN|YVR|DEN|DIK|
DIK|BFJ,|BFJ|CAN|YVR|DEN|DIK|
DIK|BHY,|BHY|CSX|ICN|YVR|DEN|DIK|
DIK|BNE,|BNE|CAN|YVR|DEN|DIK|
DIK|CGD,|CGD|PEK|YVR|DEN|DIK|
DIK|CGK,|CGK|CAN|YVR|DEN|DIK|
DIK|CGQ,|CGQ|ICN|YVR|DEN|DIK|
DIK|CIH,|CIH|PEK|YVR|DEN|DIK|
DIK|CNX,|CNX|CAN|YVR|DEN|DIK|
DIK|CZX,|CZX|SHE|ICN|YVR|DEN|DIK|
DIK|DAC,|DAC|CAN|YVR|DEN|DIK|
DIK|DAD,|DAD|CAN|YVR|DEN|DIK|
DIK|DEL,|DEL|EWR|DEN|DIK|
DIK|DIG,|DIG|KMG|PEK|YVR|DEN|DIK|
DIK|DLC,|DLC|ICN|YVR|DEN|DIK|
DIK|DPS,|DPS|SZX|PVG|YVR|DEN|DIK|
DIK|DXB,|DXB|IST|FRA|DEN|DIK|
DIK|DYG,|DYG|PEK|YVR|DEN|DIK|
DIK|FUG,|FUG|CAN|YVR|DEN|DIK|
DIK|FUK,|FUK|ICN|YVR|DEN|DIK|
DIK|HAK,|HAK|CAN|YVR|DEN|DIK|
DIK|HAN,|HAN|PEK|YVR|DEN|DIK|
DIK|HDG,|HDG|CAN|YVR|DEN|DIK|
DIK|HET,|HET|DLC|ICN|YVR|DEN|DIK|
DIK|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|DIK|
DIK|HJJ,|HJJ|CSX|ICN|YVR|DEN|DIK|
DIK|HKT,|HKT|KWE|PEK|YVR|DEN|DIK|
DIK|HRB,|HRB|ICN|YVR|DEN|DIK|
DIK|HZH,|HZH|CAN|YVR|DEN|DIK|
DIK|JIU,|JIU|CAN|YVR|DEN|DIK|
DIK|JJN,|JJN|PEK|YVR|DEN|DIK|
DIK|JNG,|JNG|CAN|YVR|DEN|DIK|
DIK|KHN,|KHN|DLC|ICN|YVR|DEN|DIK|
DIK|KIX,|KIX|SFO|DEN|DIK|
DIK|KOW,|KOW|PEK|YVR|DEN|DIK|
DIK|KTM,|KTM|CAN|YVR|DEN|DIK|
DIK|KUL,|KUL|PVG|YVR|DEN|DIK|
DIK|KWE,|KWE|PEK|YVR|DEN|DIK|
DIK|KWL,|KWL|PEK|YVR|DEN|DIK|
DIK|LHW,|LHW|CGO|PEK|YVR|DEN|DIK|
DIK|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|DIK|
DIK|LYG,|LYG|HSN|PEK|YVR|DEN|DIK|
DIK|LZH,|LZH|CAN|YVR|DEN|DIK|
DIK|MEL,|MEL|SYD|LAX|DEN|DIK|
DIK|MIG,|MIG|CSX|ICN|YVR|DEN|DIK|
DIK|MLE,|MLE|IST|FRA|DEN|DIK|
DIK|MNL,|MNL|XMN|PEK|YVR|DEN|DIK|
DIK|MXZ,|MXZ|CAN|YVR|DEN|DIK|
