DIY|BRU,|BRU|SAW|DIY|
DIY|OUA,|OUA|NIM|IST|DIY|
DIY|JED,|JED|IST|DIY|
DIY|CPH,|CPH|IST|DIY|
DIY|YYZ,|YYZ|VIE|ESB|DIY|
DIY|DEN,|DEN|FRA|ESB|DIY|
DIY|YUL,|YUL|FRA|ESB|DIY|
DIY|NBO,|NBO|IST|DIY|
DIY|ICN,|ICN|IST|DIY|
DIY|NRT,|NRT|IST|DIY|
DIY|YHZ,|YHZ|LHR|IST|DIY|
DIY|YOW,|YOW|FRA|ESB|DIY|
DIY|BJM,|BJM|BRU|SAW|DIY|
DIY|COO,|COO|BRU|SAW|DIY|
DIY|DKR,|DKR|BRU|SAW|DIY|
DIY|DLA,|DLA|IST|DIY|
DIY|KGL,|KGL|IST|DIY|
DIY|LAD,|LAD|BRU|SAW|DIY|
DIY|ABJ,|ABJ|OUA|NIM|IST|DIY|
DIY|AMS,|AMS|SAW|DIY|
DIY|OSL,|OSL|IST|DIY|
DIY|VNO,|VNO|IST|DIY|
DIY|WAW,|WAW|IST|DIY|
DIY|YYC,|YYC|FRA|ESB|DIY|
DIY|ATL,|ATL|IAD|VIE|ESB|DIY|
DIY|MSY,|MSY|IAD|VIE|ESB|DIY|
DIY|YEG,|YEG|LHR|IST|DIY|
DIY|YMM,|YMM|YEG|LHR|IST|DIY|
DIY|YQR,|YQR|YEG|LHR|IST|DIY|
DIY|YVR,|YVR|FRA|ESB|DIY|
DIY|YWG,|YWG|YUL|FRA|ESB|DIY|
DIY|YXE,|YXE|YEG|LHR|IST|DIY|
DIY|CKY,|CKY|DKR|BRU|SAW|DIY|
DIY|FIH,|FIH|IST|DIY|
DIY|SCL,|SCL|EZE|GRU|IST|DIY|
DIY|LCA,|LCA|FRA|ESB|DIY|
DIY|NAP,|NAP|IST|DIY|
DIY|VLC,|VLC|IST|DIY|
DIY|BKK,|BKK|IST|DIY|
DIY|ADD,|ADD|IST|DIY|
DIY|FRA,|FRA|ESB|DIY|
DIY|IST,|IST|DIY|
DIY|EBB,|EBB|KGL|IST|DIY|
DIY|YLW,|YLW|YYC|FRA|ESB|DIY|
DIY|YYT,|YYT|LHR|IST|DIY|
DIY|GUA,|GUA|MIA|FRA|ESB|DIY|
DIY|EWR,|EWR|FRA|ESB|DIY|
DIY|IAD,|IAD|VIE|ESB|DIY|
DIY|IAH,|IAH|YYZ|VIE|ESB|DIY|
DIY|ORD,|ORD|VIE|ESB|DIY|
DIY|SOF,|SOF|IST|DIY|
DIY|YQB,|YQB|YUL|FRA|ESB|DIY|
DIY|YXU,|YXU|YYZ|VIE|ESB|DIY|
DIY|EZE,|EZE|GRU|IST|DIY|
DIY|YYJ,|YYJ|YVR|FRA|ESB|DIY|
DIY|YYY,|YYY|YUL|FRA|ESB|DIY|
DIY|YQQ,|YQQ|YBL|YVR|FRA|ESB|DIY|
DIY|YYR,|YYR|YYT|LHR|IST|DIY|
DIY|LHR,|LHR|IST|DIY|
DIY|SFO,|SFO|FRA|ESB|DIY|
DIY|YQU,|YQU|YEG|LHR|IST|DIY|
DIY|YZF,|YZF|YEG|LHR|IST|DIY|
DIY|YGR,|YGR|YGP|YQB|YUL|FRA|ESB|DIY|
DIY|YGP,|YGP|YQB|YUL|FRA|ESB|DIY|
DIY|BOS,|BOS|FRA|ESB|DIY|
DIY|YDF,|YDF|YYT|LHR|IST|DIY|
DIY|YFC,|YFC|YHZ|LHR|IST|DIY|
DIY|YQM,|YQM|YHZ|LHR|IST|DIY|
DIY|YQX,|YQX|YYT|LHR|IST|DIY|
DIY|YQY,|YQY|YHZ|LHR|IST|DIY|
DIY|YSJ,|YSJ|YHZ|LHR|IST|DIY|
DIY|YYG,|YYG|YHZ|LHR|IST|DIY|
DIY|LAX,|LAX|IST|DIY|
DIY|DCA,|DCA|EWR|FRA|ESB|DIY|
DIY|LGA,|LGA|YHZ|LHR|IST|DIY|
DIY|YZV,|YZV|YWK|YYR|YYT|LHR|IST|DIY|
DIY|YWL,|YWL|YVR|FRA|ESB|DIY|
DIY|AZS,|AZS|YUL|FRA|ESB|DIY|
DIY|BDL,|BDL|YUL|FRA|ESB|DIY|
DIY|CCC,|CCC|YUL|FRA|ESB|DIY|
DIY|CDG,|CDG|SAW|DIY|
DIY|CUN,|CUN|YHZ|LHR|IST|DIY|
DIY|CZM,|CZM|YUL|FRA|ESB|DIY|
DIY|FDF,|FDF|YUL|FRA|ESB|DIY|
DIY|FLL,|FLL|MCO|FRA|ESB|DIY|
DIY|GVA,|GVA|IST|DIY|
DIY|HOG,|HOG|YUL|FRA|ESB|DIY|
DIY|LAS,|LAS|DEN|FRA|ESB|DIY|
DIY|MBJ,|MBJ|YHZ|LHR|IST|DIY|
DIY|MCO,|MCO|FRA|ESB|DIY|
DIY|MUC,|MUC|SAW|DIY|
DIY|PAP,|PAP|YUL|FRA|ESB|DIY|
DIY|PTP,|PTP|YUL|FRA|ESB|DIY|
DIY|PUJ,|PUJ|YHZ|LHR|IST|DIY|
DIY|SNU,|SNU|YUL|FRA|ESB|DIY|
DIY|VRA,|VRA|YUL|FRA|ESB|DIY|
DIY|YBC,|YBC|YUL|FRA|ESB|DIY|
DIY|YBG,|YBG|YUL|FRA|ESB|DIY|
DIY|YTZ,|YTZ|YUL|FRA|ESB|DIY|
DIY|YUY,|YUY|YUL|FRA|ESB|DIY|
DIY|YVO,|YVO|YUL|FRA|ESB|DIY|
DIY|ZBF,|ZBF|YUL|FRA|ESB|DIY|
DIY|ZRH,|ZRH|IST|DIY|
DIY|ZSA,|ZSA|YUL|FRA|ESB|DIY|
DIY|AKL,|AKL|BKK|IST|DIY|
DIY|HKG,|HKG|IST|DIY|
DIY|HND,|HND|YVR|FRA|ESB|DIY|
DIY|HNL,|HNL|YVR|FRA|ESB|DIY|
DIY|MEX,|MEX|IAD|VIE|ESB|DIY|
DIY|OGG,|OGG|YVR|FRA|ESB|DIY|
DIY|PDX,|PDX|SEA|FRA|ESB|DIY|
DIY|PEK,|PEK|IST|DIY|
DIY|PVG,|PVG|URC|TBS|SAW|DIY|
DIY|PVR,|PVR|ORD|VIE|ESB|DIY|
DIY|SEA,|SEA|FRA|ESB|DIY|
DIY|SYD,|SYD|BKK|IST|DIY|
DIY|YBL,|YBL|YVR|FRA|ESB|DIY|
DIY|YCD,|YCD|YVR|FRA|ESB|DIY|
DIY|YCG,|YCG|YYC|FRA|ESB|DIY|
DIY|YKA,|YKA|YYC|FRA|ESB|DIY|
DIY|YPR,|YPR|YVR|FRA|ESB|DIY|
DIY|YQZ,|YQZ|YVR|FRA|ESB|DIY|
DIY|YXC,|YXC|YYC|FRA|ESB|DIY|
DIY|YXJ,|YXJ|YYC|FRA|ESB|DIY|
DIY|YXS,|YXS|YYC|FRA|ESB|DIY|
DIY|YXT,|YXT|YVR|FRA|ESB|DIY|
DIY|YXY,|YXY|YVR|FRA|ESB|DIY|
DIY|YYD,|YYD|YVR|FRA|ESB|DIY|
