DKR|BRU,|BRU|DKR|
DKR|OUA,|OUA|BRU|DKR|
DKR|JED,|JED|IST|DKR|
DKR|CPH,|CPH|IST|DKR|
DKR|YYZ,|YYZ|IAD|DKR|
DKR|DEN,|DEN|IAD|DKR|
DKR|YUL,|YUL|IAD|DKR|
DKR|NBO,|NBO|IST|DKR|
DKR|ICN,|ICN|IST|DKR|
DKR|NRT,|NRT|IST|DKR|
DKR|YHZ,|YHZ|LGA|IAD|DKR|
DKR|YOW,|YOW|IAD|DKR|
DKR|BJM,|BJM|BRU|DKR|
DKR|COO,|COO|BRU|DKR|
DKR|DLA,|DLA|BRU|DKR|
DKR|KGL,|KGL|IST|DKR|
DKR|LAD,|LAD|BRU|DKR|
DKR|ABJ,|ABJ|BRU|DKR|
DKR|AMS,|AMS|IST|DKR|
DKR|OSL,|OSL|IST|DKR|
DKR|VNO,|VNO|IST|DKR|
DKR|WAW,|WAW|IST|DKR|
DKR|YYC,|YYC|ORD|IAD|DKR|
DKR|ATL,|ATL|IAD|DKR|
DKR|MSY,|MSY|IAD|DKR|
DKR|YEG,|YEG|ORD|IAD|DKR|
DKR|YMM,|YMM|YYZ|IAD|DKR|
DKR|YQR,|YQR|ORD|IAD|DKR|
DKR|YVR,|YVR|ORD|IAD|DKR|
DKR|YWG,|YWG|YYZ|IAD|DKR|
DKR|YXE,|YXE|ORD|IAD|DKR|
DKR|CKY,|CKY|DKR|
DKR|FIH,|FIH|IST|DKR|
DKR|SCL,|SCL|YYZ|IAD|DKR|
DKR|LCA,|LCA|FRA|IST|DKR|
DKR|NAP,|NAP|IST|DKR|
DKR|VLC,|VLC|IST|DKR|
DKR|BKK,|BKK|IST|DKR|
DKR|ADD,|ADD|IST|DKR|
DKR|FRA,|FRA|IST|DKR|
DKR|IST,|IST|DKR|
DKR|EBB,|EBB|KGL|IST|DKR|
DKR|YLW,|YLW|YYC|ORD|IAD|DKR|
DKR|YYT,|YYT|YHZ|LGA|IAD|DKR|
DKR|GUA,|GUA|IAD|DKR|
DKR|EWR,|EWR|IAD|DKR|
DKR|IAD,|IAD|DKR|
DKR|IAH,|IAH|IAD|DKR|
DKR|ORD,|ORD|IAD|DKR|
DKR|SOF,|SOF|IST|DKR|
DKR|YQB,|YQB|YUL|IAD|DKR|
DKR|YXU,|YXU|YYZ|IAD|DKR|
DKR|EZE,|EZE|GRU|IAD|DKR|
DKR|YYJ,|YYJ|YVR|ORD|IAD|DKR|
DKR|YYY,|YYY|YUL|IAD|DKR|
DKR|YQQ,|YQQ|YYC|ORD|IAD|DKR|
DKR|YYR,|YYR|YWK|YZV|YUL|IAD|DKR|
DKR|LHR,|LHR|IST|DKR|
DKR|SFO,|SFO|IAD|DKR|
DKR|YQU,|YQU|YEG|ORD|IAD|DKR|
DKR|YZF,|YZF|YEG|ORD|IAD|DKR|
DKR|YGR,|YGR|YGP|YQB|YUL|IAD|DKR|
DKR|YGP,|YGP|YQB|YUL|IAD|DKR|
DKR|BOS,|BOS|IAD|DKR|
DKR|YDF,|YDF|YHZ|LGA|IAD|DKR|
DKR|YFC,|YFC|YUL|IAD|DKR|
DKR|YQM,|YQM|EWR|IAD|DKR|
DKR|YQX,|YQX|YHZ|LGA|IAD|DKR|
DKR|YQY,|YQY|YHZ|LGA|IAD|DKR|
DKR|YSJ,|YSJ|YUL|IAD|DKR|
DKR|YYG,|YYG|YHZ|LGA|IAD|DKR|
DKR|LAX,|LAX|IAD|DKR|
DKR|DCA,|DCA|EWR|IAD|DKR|
DKR|LGA,|LGA|IAD|DKR|
DKR|YZV,|YZV|YUL|IAD|DKR|
DKR|YWL,|YWL|YVR|ORD|IAD|DKR|
DKR|AZS,|AZS|YYZ|IAD|DKR|
DKR|BDL,|BDL|IAD|DKR|
DKR|CCC,|CCC|YYZ|IAD|DKR|
DKR|CDG,|CDG|IST|DKR|
DKR|CUN,|CUN|IAD|DKR|
DKR|CZM,|CZM|IAH|IAD|DKR|
DKR|FDF,|FDF|YUL|IAD|DKR|
DKR|FLL,|FLL|IAD|DKR|
DKR|GVA,|GVA|IST|DKR|
DKR|HOG,|HOG|YYZ|IAD|DKR|
DKR|LAS,|LAS|IAD|DKR|
DKR|MBJ,|MBJ|IAD|DKR|
DKR|MCO,|MCO|IAD|DKR|
DKR|MUC,|MUC|IST|DKR|
DKR|PAP,|PAP|YUL|IAD|DKR|
DKR|PTP,|PTP|YUL|IAD|DKR|
DKR|PUJ,|PUJ|IAD|DKR|
DKR|SNU,|SNU|YYZ|IAD|DKR|
DKR|VRA,|VRA|YYZ|IAD|DKR|
DKR|YBC,|YBC|YUL|IAD|DKR|
DKR|YBG,|YBG|YUL|IAD|DKR|
DKR|YTZ,|YTZ|YUL|IAD|DKR|
DKR|YUY,|YUY|YUL|IAD|DKR|
DKR|YVO,|YVO|YUL|IAD|DKR|
DKR|ZBF,|ZBF|YUL|IAD|DKR|
DKR|ZRH,|ZRH|IST|DKR|
DKR|ZSA,|ZSA|YUL|IAD|DKR|
DKR|AKL,|AKL|LAX|IAD|DKR|
DKR|HKG,|HKG|IST|DKR|
DKR|HND,|HND|YVR|ORD|IAD|DKR|
DKR|HNL,|HNL|IAD|DKR|
DKR|MEX,|MEX|IAD|DKR|
DKR|OGG,|OGG|DEN|IAD|DKR|
DKR|PDX,|PDX|IAD|DKR|
DKR|PEK,|PEK|IST|DKR|
DKR|PVG,|PVG|IST|DKR|
DKR|PVR,|PVR|IAH|IAD|DKR|
DKR|SEA,|SEA|IAD|DKR|
DKR|SYD,|SYD|BKK|IST|DKR|
DKR|YBL,|YBL|YVR|ORD|IAD|DKR|
DKR|YCD,|YCD|YVR|ORD|IAD|DKR|
DKR|YCG,|YCG|YYC|ORD|IAD|DKR|
DKR|YKA,|YKA|YYC|ORD|IAD|DKR|
DKR|YPR,|YPR|YVR|ORD|IAD|DKR|
DKR|YQZ,|YQZ|YVR|ORD|IAD|DKR|
DKR|YXC,|YXC|YYC|ORD|IAD|DKR|
DKR|YXJ,|YXJ|YYC|ORD|IAD|DKR|
DKR|YXS,|YXS|YYC|ORD|IAD|DKR|
DKR|YXT,|YXT|YVR|ORD|IAD|DKR|
DKR|YXY,|YXY|YVR|ORD|IAD|DKR|
DKR|YYD,|YYD|YVR|ORD|IAD|DKR|
DKR|YYF,|YYF|YVR|ORD|IAD|DKR|
DKR|YZP,|YZP|YVR|ORD|IAD|DKR|
DKR|YQT,|YQT|YYZ|IAD|DKR|
DKR|SJD,|SJD|IAH|IAD|DKR|
DKR|YQF,|YQF|YYC|ORD|IAD|DKR|
