DLM|BRU,|BRU|IST|DLM|
DLM|OUA,|OUA|NIM|IST|DLM|
DLM|JED,|JED|IST|DLM|
DLM|CPH,|CPH|IST|DLM|
DLM|YYZ,|YYZ|IST|DLM|
DLM|DEN,|DEN|FRA|IST|DLM|
DLM|YUL,|YUL|FRA|IST|DLM|
DLM|NBO,|NBO|IST|DLM|
DLM|ICN,|ICN|IST|DLM|
DLM|NRT,|NRT|IST|DLM|
DLM|YHZ,|YHZ|LHR|IST|DLM|
DLM|YOW,|YOW|FRA|IST|DLM|
DLM|BJM,|BJM|BRU|IST|DLM|
DLM|COO,|COO|BRU|IST|DLM|
DLM|DKR,|DKR|BRU|IST|DLM|
DLM|DLA,|DLA|IST|DLM|
DLM|KGL,|KGL|IST|DLM|
DLM|LAD,|LAD|BRU|IST|DLM|
DLM|ABJ,|ABJ|OUA|NIM|IST|DLM|
DLM|AMS,|AMS|IST|DLM|
DLM|OSL,|OSL|IST|DLM|
DLM|VNO,|VNO|IST|DLM|
DLM|WAW,|WAW|IST|DLM|
DLM|YYC,|YYC|FRA|IST|DLM|
DLM|ATL,|ATL|FRA|IST|DLM|
DLM|MSY,|MSY|IAD|IST|DLM|
DLM|YEG,|YEG|LHR|IST|DLM|
DLM|YMM,|YMM|YEG|LHR|IST|DLM|
DLM|YQR,|YQR|YEG|LHR|IST|DLM|
DLM|YVR,|YVR|MUC|IST|DLM|
DLM|YWG,|YWG|YUL|FRA|IST|DLM|
DLM|YXE,|YXE|YEG|LHR|IST|DLM|
DLM|CKY,|CKY|DKR|BRU|IST|DLM|
DLM|FIH,|FIH|IST|DLM|
DLM|SCL,|SCL|EZE|GRU|IST|DLM|
DLM|LCA,|LCA|FRA|IST|DLM|
DLM|NAP,|NAP|IST|DLM|
DLM|VLC,|VLC|IST|DLM|
DLM|BKK,|BKK|IST|DLM|
DLM|ADD,|ADD|IST|DLM|
DLM|FRA,|FRA|IST|DLM|
DLM|IST,|IST|DLM|
DLM|EBB,|EBB|KGL|IST|DLM|
DLM|YLW,|YLW|YYC|FRA|IST|DLM|
DLM|YYT,|YYT|LHR|IST|DLM|
DLM|GUA,|GUA|MIA|ZRH|IST|DLM|
DLM|EWR,|EWR|BHX|IST|DLM|
DLM|IAD,|IAD|IST|DLM|
DLM|IAH,|IAH|IST|DLM|
DLM|ORD,|ORD|IST|DLM|
DLM|SOF,|SOF|IST|DLM|
DLM|YQB,|YQB|YUL|FRA|IST|DLM|
DLM|YXU,|YXU|YYZ|IST|DLM|
DLM|EZE,|EZE|GRU|IST|DLM|
DLM|YYJ,|YYJ|YVR|MUC|IST|DLM|
DLM|YYY,|YYY|YUL|FRA|IST|DLM|
DLM|YQQ,|YQQ|YBL|YVR|MUC|IST|DLM|
DLM|YYR,|YYR|YYT|LHR|IST|DLM|
DLM|LHR,|LHR|IST|DLM|
DLM|SFO,|SFO|MUC|IST|DLM|
DLM|YQU,|YQU|YEG|LHR|IST|DLM|
DLM|YZF,|YZF|YEG|LHR|IST|DLM|
DLM|YGR,|YGR|YGP|YQB|YUL|FRA|IST|DLM|
DLM|YGP,|YGP|YQB|YUL|FRA|IST|DLM|
DLM|BOS,|BOS|FRA|IST|DLM|
DLM|YDF,|YDF|YYT|LHR|IST|DLM|
DLM|YFC,|YFC|YHZ|LHR|IST|DLM|
DLM|YQM,|YQM|YHZ|LHR|IST|DLM|
