DMM|BRU,|BRU|IST|DMM|
DMM|OUA,|OUA|NIM|IST|DMM|
DMM|JED,|JED|IST|DMM|
DMM|CPH,|CPH|IST|DMM|
DMM|YYZ,|YYZ|IST|DMM|
DMM|DEN,|DEN|FRA|IST|DMM|
DMM|YUL,|YUL|FRA|IST|DMM|
DMM|NBO,|NBO|IST|DMM|
DMM|ICN,|ICN|IST|DMM|
DMM|NRT,|NRT|IST|DMM|
DMM|YHZ,|YHZ|LHR|IST|DMM|
DMM|YOW,|YOW|FRA|IST|DMM|
DMM|BJM,|BJM|BRU|IST|DMM|
DMM|COO,|COO|BRU|IST|DMM|
DMM|DKR,|DKR|BRU|IST|DMM|
DMM|DLA,|DLA|IST|DMM|
DMM|KGL,|KGL|IST|DMM|
DMM|LAD,|LAD|BRU|IST|DMM|
DMM|ABJ,|ABJ|OUA|NIM|IST|DMM|
DMM|AMS,|AMS|IST|DMM|
DMM|OSL,|OSL|IST|DMM|
DMM|VNO,|VNO|IST|DMM|
DMM|WAW,|WAW|IST|DMM|
DMM|YYC,|YYC|FRA|IST|DMM|
DMM|ATL,|ATL|FRA|IST|DMM|
DMM|MSY,|MSY|IAD|IST|DMM|
DMM|YEG,|YEG|LHR|IST|DMM|
DMM|YMM,|YMM|YEG|LHR|IST|DMM|
DMM|YQR,|YQR|YEG|LHR|IST|DMM|
DMM|YVR,|YVR|MUC|IST|DMM|
DMM|YWG,|YWG|YUL|FRA|IST|DMM|
DMM|YXE,|YXE|YEG|LHR|IST|DMM|
DMM|CKY,|CKY|DKR|BRU|IST|DMM|
DMM|FIH,|FIH|IST|DMM|
DMM|SCL,|SCL|EZE|GRU|IST|DMM|
DMM|LCA,|LCA|FRA|IST|DMM|
DMM|NAP,|NAP|IST|DMM|
DMM|VLC,|VLC|IST|DMM|
DMM|BKK,|BKK|IST|DMM|
DMM|ADD,|ADD|IST|DMM|
DMM|FRA,|FRA|IST|DMM|
DMM|IST,|IST|DMM|
DMM|EBB,|EBB|KGL|IST|DMM|
DMM|YLW,|YLW|YYC|FRA|IST|DMM|
DMM|YYT,|YYT|LHR|IST|DMM|
DMM|GUA,|GUA|MIA|ZRH|IST|DMM|
DMM|EWR,|EWR|BHX|IST|DMM|
DMM|IAD,|IAD|IST|DMM|
DMM|IAH,|IAH|IST|DMM|
DMM|ORD,|ORD|IST|DMM|
DMM|SOF,|SOF|IST|DMM|
DMM|YQB,|YQB|YUL|FRA|IST|DMM|
DMM|YXU,|YXU|YYZ|IST|DMM|
DMM|EZE,|EZE|GRU|IST|DMM|
DMM|YYJ,|YYJ|YVR|MUC|IST|DMM|
DMM|YYY,|YYY|YUL|FRA|IST|DMM|
DMM|YQQ,|YQQ|YBL|YVR|MUC|IST|DMM|
DMM|YYR,|YYR|YYT|LHR|IST|DMM|
DMM|LHR,|LHR|IST|DMM|
DMM|SFO,|SFO|MUC|IST|DMM|
DMM|YQU,|YQU|YEG|LHR|IST|DMM|
DMM|YZF,|YZF|YEG|LHR|IST|DMM|
DMM|YGR,|YGR|YGP|YQB|YUL|FRA|IST|DMM|
DMM|YGP,|YGP|YQB|YUL|FRA|IST|DMM|
DMM|BOS,|BOS|FRA|IST|DMM|
DMM|YDF,|YDF|YYT|LHR|IST|DMM|
DMM|YFC,|YFC|YHZ|LHR|IST|DMM|
DMM|YQM,|YQM|YHZ|LHR|IST|DMM|
DMM|YQX,|YQX|YYT|LHR|IST|DMM|
DMM|YQY,|YQY|YHZ|LHR|IST|DMM|
DMM|YSJ,|YSJ|YHZ|LHR|IST|DMM|
DMM|YYG,|YYG|YHZ|LHR|IST|DMM|
DMM|LAX,|LAX|IST|DMM|
DMM|DCA,|DCA|EWR|BHX|IST|DMM|
DMM|LGA,|LGA|YHZ|LHR|IST|DMM|
DMM|YZV,|YZV|YWK|YYR|YYT|LHR|IST|DMM|
DMM|YWL,|YWL|YVR|MUC|IST|DMM|
DMM|AZS,|AZS|YUL|FRA|IST|DMM|
DMM|BDL,|BDL|YUL|FRA|IST|DMM|
DMM|CCC,|CCC|YUL|FRA|IST|DMM|
DMM|CDG,|CDG|IST|DMM|
DMM|CUN,|CUN|YHZ|LHR|IST|DMM|
DMM|CZM,|CZM|YUL|FRA|IST|DMM|
DMM|FDF,|FDF|YUL|FRA|IST|DMM|
DMM|FLL,|FLL|MCO|FRA|IST|DMM|
DMM|GVA,|GVA|IST|DMM|
DMM|HOG,|HOG|YUL|FRA|IST|DMM|
DMM|LAS,|LAS|DEN|FRA|IST|DMM|
DMM|MBJ,|MBJ|YHZ|LHR|IST|DMM|
DMM|MCO,|MCO|FRA|IST|DMM|
DMM|MUC,|MUC|IST|DMM|
DMM|PAP,|PAP|YUL|FRA|IST|DMM|
DMM|PTP,|PTP|YUL|FRA|IST|DMM|
DMM|PUJ,|PUJ|YHZ|LHR|IST|DMM|
DMM|SNU,|SNU|YUL|FRA|IST|DMM|
DMM|VRA,|VRA|YUL|FRA|IST|DMM|
DMM|YBC,|YBC|YUL|FRA|IST|DMM|
DMM|YBG,|YBG|YUL|FRA|IST|DMM|
DMM|YTZ,|YTZ|YUL|FRA|IST|DMM|
DMM|YUY,|YUY|YUL|FRA|IST|DMM|
DMM|YVO,|YVO|YUL|FRA|IST|DMM|
DMM|ZBF,|ZBF|YUL|FRA|IST|DMM|
DMM|ZRH,|ZRH|IST|DMM|
DMM|ZSA,|ZSA|YUL|FRA|IST|DMM|
DMM|AKL,|AKL|BKK|IST|DMM|
DMM|HKG,|HKG|IST|DMM|
DMM|HND,|HND|YVR|MUC|IST|DMM|
DMM|HNL,|HNL|YVR|MUC|IST|DMM|
DMM|MEX,|MEX|IAD|IST|DMM|
DMM|OGG,|OGG|YVR|MUC|IST|DMM|
DMM|PDX,|PDX|SEA|FRA|IST|DMM|
DMM|PEK,|PEK|IST|DMM|
DMM|PVG,|PVG|IST|DMM|
DMM|PVR,|PVR|ORD|IST|DMM|
DMM|SEA,|SEA|FRA|IST|DMM|
DMM|SYD,|SYD|BKK|IST|DMM|
DMM|YBL,|YBL|YVR|MUC|IST|DMM|
DMM|YCD,|YCD|YVR|MUC|IST|DMM|
DMM|YCG,|YCG|YYC|FRA|IST|DMM|
DMM|YKA,|YKA|YYC|FRA|IST|DMM|
DMM|YPR,|YPR|YVR|MUC|IST|DMM|
DMM|YQZ,|YQZ|YVR|MUC|IST|DMM|
DMM|YXC,|YXC|YYC|FRA|IST|DMM|
DMM|YXJ,|YXJ|YYC|FRA|IST|DMM|
DMM|YXS,|YXS|YYC|FRA|IST|DMM|
DMM|YXT,|YXT|YVR|MUC|IST|DMM|
DMM|YXY,|YXY|YVR|MUC|IST|DMM|
DMM|YYD,|YYD|YVR|MUC|IST|DMM|
DMM|YYF,|YYF|YVR|MUC|IST|DMM|
DMM|YZP,|YZP|YVR|MUC|IST|DMM|
DMM|YQT,|YQT|YYZ|IST|DMM|
DMM|SJD,|SJD|ORD|IST|DMM|
DMM|YQF,|YQF|YYC|FRA|IST|DMM|
DMM|YQL,|YQL|YYC|FRA|IST|DMM|
DMM|YXH,|YXH|YYC|FRA|IST|DMM|
DMM|YWK,|YWK|YYR|YYT|LHR|IST|DMM|
DMM|ANU,|ANU|EWR|BHX|IST|DMM|
DMM|AUA,|AUA|EWR|BHX|IST|DMM|
DMM|AUH,|AUH|IST|DMM|
DMM|BCN,|BCN|IST|DMM|
DMM|BDA,|BDA|EWR|BHX|IST|DMM|
DMM|BGI,|BGI|YYZ|IST|DMM|
DMM|BNA,|BNA|YYZ|IST|DMM|
DMM|BOG,|BOG|MIA|ZRH|IST|DMM|
DMM|BWI,|BWI|EWR|BHX|IST|DMM|
DMM|CLE,|CLE|YYZ|IST|DMM|
DMM|CLT,|CLT|EWR|BHX|IST|DMM|
DMM|CMH,|CMH|YYZ|IST|DMM|
DMM|CVG,|CVG|YYZ|IST|DMM|
DMM|DFW,|DFW|ORD|IST|DMM|
DMM|DTW,|DTW|FRA|IST|DMM|
DMM|DUB,|DUB|IST|DMM|
DMM|FCO,|FCO|IST|DMM|
DMM|GCM,|GCM|EWR|BHX|IST|DMM|
DMM|GGT,|GGT|FLL|MCO|FRA|IST|DMM|
DMM|GND,|GND|YYZ|IST|DMM|
DMM|GRU,|GRU|IST|DMM|
DMM|HAV,|HAV|YYZ|IST|DMM|
DMM|IND,|IND|YYZ|IST|DMM|
DMM|JFK,|JFK|IST|DMM|
DMM|KIN,|KIN|YYZ|IST|DMM|
