DNH|BRU,|BRU|IST|URC|DNH|
DNH|OUA,|OUA|NIM|IST|URC|DNH|
DNH|JED,|JED|IST|URC|DNH|
DNH|CPH,|CPH|IST|URC|DNH|
DNH|YYZ,|YYZ|FRA|TSE|URC|DNH|
DNH|DEN,|DEN|YVR|PEK|XIY|DNH|
DNH|YUL,|YUL|FRA|TSE|URC|DNH|
DNH|NBO,|NBO|IST|URC|DNH|
DNH|ICN,|ICN|DLC|XIY|DNH|
DNH|NRT,|NRT|DLC|XIY|DNH|
DNH|YHZ,|YHZ|LHR|IST|URC|DNH|
DNH|YOW,|YOW|FRA|TSE|URC|DNH|
DNH|BJM,|BJM|BRU|IST|URC|DNH|
DNH|COO,|COO|BRU|IST|URC|DNH|
DNH|DKR,|DKR|BRU|IST|URC|DNH|
DNH|DLA,|DLA|IST|URC|DNH|
DNH|KGL,|KGL|IST|URC|DNH|
DNH|LAD,|LAD|BRU|IST|URC|DNH|
DNH|ABJ,|ABJ|OUA|NIM|IST|URC|DNH|
DNH|AMS,|AMS|IST|URC|DNH|
DNH|OSL,|OSL|IST|URC|DNH|
DNH|VNO,|VNO|IST|URC|DNH|
DNH|WAW,|WAW|IST|URC|DNH|
DNH|YYC,|YYC|YVR|PEK|XIY|DNH|
DNH|ATL,|ATL|ORD|PEK|XIY|DNH|
DNH|MSY,|MSY|ORD|PEK|XIY|DNH|
DNH|YEG,|YEG|YVR|PEK|XIY|DNH|
DNH|YMM,|YMM|YVR|PEK|XIY|DNH|
DNH|YQR,|YQR|YVR|PEK|XIY|DNH|
DNH|YVR,|YVR|PEK|XIY|DNH|
DNH|YWG,|YWG|YVR|PEK|XIY|DNH|
DNH|YXE,|YXE|YVR|PEK|XIY|DNH|
DNH|CKY,|CKY|DKR|BRU|IST|URC|DNH|
DNH|FIH,|FIH|IST|URC|DNH|
DNH|SCL,|SCL|EZE|GRU|IST|URC|DNH|
DNH|LCA,|LCA|FRA|TSE|URC|DNH|
DNH|NAP,|NAP|IST|URC|DNH|
DNH|VLC,|VLC|FRA|TSE|URC|DNH|
DNH|BKK,|BKK|NNG|KWE|XIY|DNH|
DNH|ADD,|ADD|IST|URC|DNH|
DNH|FRA,|FRA|TSE|URC|DNH|
DNH|IST,|IST|URC|DNH|
DNH|EBB,|EBB|KGL|IST|URC|DNH|
DNH|YLW,|YLW|YVR|PEK|XIY|DNH|
DNH|YYT,|YYT|LHR|IST|URC|DNH|
DNH|GUA,|GUA|IAH|PEK|XIY|DNH|
DNH|EWR,|EWR|FRA|TSE|URC|DNH|
DNH|IAD,|IAD|FRA|TSE|URC|DNH|
DNH|IAH,|IAH|PEK|XIY|DNH|
DNH|ORD,|ORD|PEK|XIY|DNH|
DNH|SOF,|SOF|IST|URC|DNH|
DNH|YQB,|YQB|YUL|FRA|TSE|URC|DNH|
DNH|YXU,|YXU|YYZ|FRA|TSE|URC|DNH|
DNH|EZE,|EZE|GRU|IST|URC|DNH|
DNH|YYJ,|YYJ|YVR|PEK|XIY|DNH|
DNH|YYY,|YYY|YUL|FRA|TSE|URC|DNH|
DNH|YQQ,|YQQ|YBL|YVR|PEK|XIY|DNH|
DNH|YYR,|YYR|YYT|LHR|IST|URC|DNH|
DNH|LHR,|LHR|IST|URC|DNH|
DNH|SFO,|SFO|PEK|XIY|DNH|
DNH|YQU,|YQU|YEG|YVR|PEK|XIY|DNH|
DNH|YZF,|YZF|YEG|YVR|PEK|XIY|DNH|
DNH|YGR,|YGR|YGP|YQB|YUL|FRA|TSE|URC|DNH|
DNH|YGP,|YGP|YQB|YUL|FRA|TSE|URC|DNH|
DNH|BOS,|BOS|FRA|TSE|URC|DNH|
DNH|YDF,|YDF|YYT|LHR|IST|URC|DNH|
DNH|YFC,|YFC|YHZ|LHR|IST|URC|DNH|
DNH|YQM,|YQM|YHZ|LHR|IST|URC|DNH|
DNH|YQX,|YQX|YYT|LHR|IST|URC|DNH|
DNH|YQY,|YQY|YHZ|LHR|IST|URC|DNH|
DNH|YSJ,|YSJ|YHZ|LHR|IST|URC|DNH|
DNH|YYG,|YYG|YHZ|LHR|IST|URC|DNH|
DNH|LAX,|LAX|PEK|XIY|DNH|
DNH|DCA,|DCA|EWR|FRA|TSE|URC|DNH|
DNH|LGA,|LGA|YUL|FRA|TSE|URC|DNH|
DNH|YZV,|YZV|YUL|FRA|TSE|URC|DNH|
DNH|YWL,|YWL|YVR|PEK|XIY|DNH|
DNH|AZS,|AZS|YUL|FRA|TSE|URC|DNH|
DNH|BDL,|BDL|YUL|FRA|TSE|URC|DNH|
DNH|CCC,|CCC|YUL|FRA|TSE|URC|DNH|
DNH|CDG,|CDG|IST|URC|DNH|
DNH|CUN,|CUN|IAH|PEK|XIY|DNH|
DNH|CZM,|CZM|IAH|PEK|XIY|DNH|
DNH|FDF,|FDF|YUL|FRA|TSE|URC|DNH|
DNH|FLL,|FLL|MCO|FRA|TSE|URC|DNH|
DNH|GVA,|GVA|IST|URC|DNH|
DNH|HOG,|HOG|YUL|FRA|TSE|URC|DNH|
DNH|LAS,|LAS|SEA|PEK|XIY|DNH|
DNH|MBJ,|MBJ|EWR|FRA|TSE|URC|DNH|
DNH|MCO,|MCO|FRA|TSE|URC|DNH|
DNH|MUC,|MUC|IST|URC|DNH|
DNH|PAP,|PAP|YUL|FRA|TSE|URC|DNH|
DNH|PTP,|PTP|YUL|FRA|TSE|URC|DNH|
DNH|PUJ,|PUJ|EWR|FRA|TSE|URC|DNH|
DNH|SNU,|SNU|YUL|FRA|TSE|URC|DNH|
DNH|VRA,|VRA|YUL|FRA|TSE|URC|DNH|
DNH|YBC,|YBC|YUL|FRA|TSE|URC|DNH|
DNH|YBG,|YBG|YUL|FRA|TSE|URC|DNH|
DNH|YTZ,|YTZ|YUL|FRA|TSE|URC|DNH|
DNH|YUY,|YUY|YUL|FRA|TSE|URC|DNH|
DNH|YVO,|YVO|YUL|FRA|TSE|URC|DNH|
DNH|ZBF,|ZBF|YUL|FRA|TSE|URC|DNH|
DNH|ZRH,|ZRH|IST|URC|DNH|
DNH|ZSA,|ZSA|YUL|FRA|TSE|URC|DNH|
DNH|AKL,|AKL|CAN|XIY|DNH|
DNH|HKG,|HKG|CAN|XIY|DNH|
DNH|HND,|HND|HNL|PEK|XIY|DNH|
DNH|HNL,|HNL|PEK|XIY|DNH|
DNH|MEX,|MEX|YVR|PEK|XIY|DNH|
DNH|OGG,|OGG|HNL|PEK|XIY|DNH|
DNH|PDX,|PDX|SEA|PEK|XIY|DNH|
DNH|PEK,|PEK|XIY|DNH|
DNH|PVG,|PVG|XIY|DNH|
DNH|PVR,|PVR|SFO|PEK|XIY|DNH|
DNH|SEA,|SEA|PEK|XIY|DNH|
DNH|SYD,|SYD|CAN|XIY|DNH|
DNH|YBL,|YBL|YVR|PEK|XIY|DNH|
DNH|YCD,|YCD|YVR|PEK|XIY|DNH|
DNH|YCG,|YCG|YVR|PEK|XIY|DNH|
DNH|YKA,|YKA|YVR|PEK|XIY|DNH|
DNH|YPR,|YPR|YVR|PEK|XIY|DNH|
DNH|YQZ,|YQZ|YVR|PEK|XIY|DNH|
DNH|YXC,|YXC|YVR|PEK|XIY|DNH|
DNH|YXJ,|YXJ|YVR|PEK|XIY|DNH|
DNH|YXS,|YXS|YVR|PEK|XIY|DNH|
DNH|YXT,|YXT|YVR|PEK|XIY|DNH|
DNH|YXY,|YXY|YVR|PEK|XIY|DNH|
DNH|YYD,|YYD|YVR|PEK|XIY|DNH|
DNH|YYF,|YYF|YVR|PEK|XIY|DNH|
DNH|YZP,|YZP|YVR|PEK|XIY|DNH|
DNH|YQT,|YQT|YWG|YVR|PEK|XIY|DNH|
DNH|SJD,|SJD|SFO|PEK|XIY|DNH|
DNH|YQF,|YQF|YYC|YVR|PEK|XIY|DNH|
DNH|YQL,|YQL|YYC|YVR|PEK|XIY|DNH|
DNH|YXH,|YXH|YYC|YVR|PEK|XIY|DNH|
DNH|YWK,|YWK|YYR|YYT|LHR|IST|URC|DNH|
DNH|ANU,|ANU|EWR|FRA|TSE|URC|DNH|
DNH|AUA,|AUA|EWR|FRA|TSE|URC|DNH|
DNH|AUH,|AUH|IST|URC|DNH|
DNH|BCN,|BCN|IST|URC|DNH|
DNH|BDA,|BDA|EWR|FRA|TSE|URC|DNH|
DNH|BGI,|BGI|YYZ|FRA|TSE|URC|DNH|
DNH|BNA,|BNA|ORD|PEK|XIY|DNH|
DNH|BOG,|BOG|JFK|FRA|TSE|URC|DNH|
DNH|BWI,|BWI|EWR|FRA|TSE|URC|DNH|
DNH|CLE,|CLE|YYZ|FRA|TSE|URC|DNH|
DNH|CLT,|CLT|EWR|FRA|TSE|URC|DNH|
DNH|CMH,|CMH|YYZ|FRA|TSE|URC|DNH|
DNH|CVG,|CVG|ORD|PEK|XIY|DNH|
DNH|DFW,|DFW|YVR|PEK|XIY|DNH|
DNH|DTW,|DTW|PEK|XIY|DNH|
DNH|DUB,|DUB|IST|URC|DNH|
DNH|FCO,|FCO|IST|URC|DNH|
DNH|GCM,|GCM|EWR|FRA|TSE|URC|DNH|
DNH|GGT,|GGT|FLL|MCO|FRA|TSE|URC|DNH|
DNH|GND,|GND|YYZ|FRA|TSE|URC|DNH|
DNH|GRU,|GRU|IST|URC|DNH|
DNH|HAV,|HAV|YYZ|FRA|TSE|URC|DNH|
DNH|IND,|IND|ORD|PEK|XIY|DNH|
DNH|JFK,|JFK|FRA|TSE|URC|DNH|
DNH|KIN,|KIN|YYZ|FRA|TSE|URC|DNH|
DNH|LIM,|LIM|MIA|FRA|TSE|URC|DNH|
DNH|LIR,|LIR|EWR|FRA|TSE|URC|DNH|
DNH|MCI,|MCI|DEN|YVR|PEK|XIY|DNH|
DNH|MDT,|MDT|IAD|FRA|TSE|URC|DNH|
DNH|MIA,|MIA|FRA|TSE|URC|DNH|
DNH|MKE,|MKE|ORD|PEK|XIY|DNH|
DNH|MSP,|MSP|ORD|PEK|XIY|DNH|
DNH|NAS,|NAS|EWR|FRA|TSE|URC|DNH|
DNH|PHL,|PHL|IAD|FRA|TSE|URC|DNH|
DNH|PHX,|PHX|SEA|PEK|XIY|DNH|
DNH|PIT,|PIT|YYZ|FRA|TSE|URC|DNH|
DNH|PLS,|PLS|EWR|FRA|TSE|URC|DNH|
DNH|POP,|POP|EWR|FRA|TSE|URC|DNH|
DNH|RDU,|RDU|EWR|FRA|TSE|URC|DNH|
DNH|ROC,|ROC|YYZ|FRA|TSE|URC|DNH|
DNH|RSW,|RSW|MCO|FRA|TSE|URC|DNH|
DNH|SAN,|SAN|LAX|PEK|XIY|DNH|
DNH|SJO,|SJO|EWR|FRA|TSE|URC|DNH|
DNH|STL,|STL|ORD|PEK|XIY|DNH|
DNH|SYR,|SYR|EWR|FRA|TSE|URC|DNH|
DNH|TLV,|TLV|SAW|TBS|URC|DNH|
DNH|TPA,|TPA|EWR|FRA|TSE|URC|DNH|
DNH|UVF,|UVF|EWR|FRA|TSE|URC|DNH|
DNH|VIE,|VIE|IST|URC|DNH|
