DOK|BRU,|BRU|IST|DOK|
DOK|OUA,|OUA|NIM|IST|DOK|
DOK|JED,|JED|IST|DOK|
DOK|CPH,|CPH|IST|DOK|
DOK|YYZ,|YYZ|IST|DOK|
DOK|DEN,|DEN|FRA|IST|DOK|
DOK|YUL,|YUL|FRA|IST|DOK|
DOK|NBO,|NBO|IST|DOK|
DOK|ICN,|ICN|IST|DOK|
DOK|NRT,|NRT|IST|DOK|
DOK|YHZ,|YHZ|LHR|IST|DOK|
DOK|YOW,|YOW|FRA|IST|DOK|
DOK|BJM,|BJM|BRU|IST|DOK|
DOK|COO,|COO|BRU|IST|DOK|
DOK|DKR,|DKR|BRU|IST|DOK|
DOK|DLA,|DLA|IST|DOK|
DOK|KGL,|KGL|IST|DOK|
DOK|LAD,|LAD|BRU|IST|DOK|
DOK|ABJ,|ABJ|OUA|NIM|IST|DOK|
DOK|AMS,|AMS|IST|DOK|
DOK|OSL,|OSL|IST|DOK|
DOK|VNO,|VNO|IST|DOK|
DOK|WAW,|WAW|IST|DOK|
DOK|YYC,|YYC|FRA|IST|DOK|
DOK|ATL,|ATL|FRA|IST|DOK|
DOK|MSY,|MSY|IAD|IST|DOK|
DOK|YEG,|YEG|LHR|IST|DOK|
DOK|YMM,|YMM|YEG|LHR|IST|DOK|
DOK|YQR,|YQR|YEG|LHR|IST|DOK|
DOK|YVR,|YVR|MUC|IST|DOK|
DOK|YWG,|YWG|YUL|FRA|IST|DOK|
DOK|YXE,|YXE|YEG|LHR|IST|DOK|
DOK|CKY,|CKY|DKR|BRU|IST|DOK|
DOK|FIH,|FIH|IST|DOK|
DOK|SCL,|SCL|EZE|GRU|IST|DOK|
DOK|LCA,|LCA|FRA|IST|DOK|
DOK|NAP,|NAP|IST|DOK|
DOK|VLC,|VLC|IST|DOK|
DOK|BKK,|BKK|IST|DOK|
DOK|ADD,|ADD|IST|DOK|
DOK|FRA,|FRA|IST|DOK|
DOK|IST,|IST|DOK|
DOK|EBB,|EBB|KGL|IST|DOK|
