DSM|BRU,|BRU|ORD|DSM|
DSM|OUA,|OUA|BRU|ORD|DSM|
DSM|JED,|JED|FRA|ORD|DSM|
DSM|CPH,|CPH|YYZ|ORD|DSM|
DSM|YYZ,|YYZ|ORD|DSM|
DSM|DEN,|DEN|DSM|
DSM|YUL,|YUL|ORD|DSM|
DSM|NBO,|NBO|ZRH|ORD|DSM|
DSM|ICN,|ICN|YVR|DEN|DSM|
DSM|NRT,|NRT|DEN|DSM|
DSM|YHZ,|YHZ|ORD|DSM|
DSM|YOW,|YOW|ORD|DSM|
DSM|BJM,|BJM|BRU|ORD|DSM|
DSM|COO,|COO|BRU|ORD|DSM|
DSM|DKR,|DKR|IAD|MDW|DSM|
DSM|DLA,|DLA|BRU|ORD|DSM|
DSM|KGL,|KGL|BRU|ORD|DSM|
DSM|LAD,|LAD|BRU|ORD|DSM|
DSM|ABJ,|ABJ|BRU|ORD|DSM|
DSM|AMS,|AMS|ORD|DSM|
DSM|OSL,|OSL|EWR|DSM|
DSM|VNO,|VNO|CPH|YYZ|ORD|DSM|
DSM|WAW,|WAW|YYZ|ORD|DSM|
DSM|YYC,|YYC|DEN|DSM|
DSM|ATL,|ATL|MDW|DSM|
DSM|MSY,|MSY|IAH|DSM|
DSM|YEG,|YEG|DEN|DSM|
DSM|YMM,|YMM|DEN|DSM|
DSM|YQR,|YQR|ORD|DSM|
DSM|YVR,|YVR|DEN|DSM|
DSM|YWG,|YWG|ORD|DSM|
DSM|YXE,|YXE|ORD|DSM|
DSM|CKY,|CKY|DKR|IAD|MDW|DSM|
DSM|FIH,|FIH|DLA|BRU|ORD|DSM|
DSM|SCL,|SCL|YYZ|ORD|DSM|
DSM|LCA,|LCA|FRA|ORD|DSM|
DSM|NAP,|NAP|FRA|ORD|DSM|
DSM|VLC,|VLC|FRA|ORD|DSM|
DSM|BKK,|BKK|CGO|PEK|ORD|DSM|
DSM|ADD,|ADD|IST|ORD|DSM|
DSM|FRA,|FRA|ORD|DSM|
DSM|IST,|IST|ORD|DSM|
DSM|EBB,|EBB|KGL|BRU|ORD|DSM|
DSM|YLW,|YLW|YYC|DEN|DSM|
DSM|YYT,|YYT|YOW|ORD|DSM|
DSM|GUA,|GUA|IAH|DSM|
DSM|EWR,|EWR|DSM|
DSM|IAD,|IAD|MDW|DSM|
DSM|IAH,|IAH|DSM|
DSM|ORD,|ORD|DSM|
DSM|SOF,|SOF|MUC|ORD|DSM|
DSM|YQB,|YQB|ORD|DSM|
DSM|YXU,|YXU|ORD|DSM|
DSM|EZE,|EZE|IAH|DSM|
DSM|YYJ,|YYJ|YVR|DEN|DSM|
DSM|YYY,|YYY|YUL|ORD|DSM|
DSM|YQQ,|YQQ|YBL|YVR|DEN|DSM|
DSM|YYR,|YYR|YWK|YZV|YQB|ORD|DSM|
DSM|LHR,|LHR|ORD|DSM|
DSM|SFO,|SFO|DEN|DSM|
DSM|YQU,|YQU|YYC|DEN|DSM|
DSM|YZF,|YZF|YEG|DEN|DSM|
DSM|YGR,|YGR|YGP|YQB|ORD|DSM|
DSM|YGP,|YGP|YQB|ORD|DSM|
DSM|BOS,|BOS|ORD|DSM|
DSM|YDF,|YDF|YYZ|ORD|DSM|
DSM|YFC,|YFC|YYZ|ORD|DSM|
