DSN|BRU,|BRU|IST|URC|CGO|DSN|
DSN|OUA,|OUA|NIM|IST|URC|CGO|DSN|
DSN|JED,|JED|IST|URC|CGO|DSN|
DSN|CPH,|CPH|AMS|PEK|CGO|DSN|
DSN|YYZ,|YYZ|PEK|CGO|DSN|
DSN|DEN,|DEN|YVR|PEK|CGO|DSN|
DSN|YUL,|YUL|YYZ|PEK|CGO|DSN|
DSN|NBO,|NBO|BKK|CGO|DSN|
DSN|ICN,|ICN|CGO|DSN|
DSN|NRT,|NRT|ICN|CGO|DSN|
DSN|YHZ,|YHZ|YYZ|PEK|CGO|DSN|
DSN|YOW,|YOW|YYZ|PEK|CGO|DSN|
DSN|BJM,|BJM|BRU|IST|URC|CGO|DSN|
DSN|COO,|COO|BRU|IST|URC|CGO|DSN|
DSN|DKR,|DKR|BRU|IST|URC|CGO|DSN|
DSN|DLA,|DLA|IST|URC|CGO|DSN|
DSN|KGL,|KGL|IST|URC|CGO|DSN|
DSN|LAD,|LAD|BRU|IST|URC|CGO|DSN|
DSN|ABJ,|ABJ|OUA|NIM|IST|URC|CGO|DSN|
DSN|AMS,|AMS|PEK|CGO|DSN|
DSN|OSL,|OSL|CPH|AMS|PEK|CGO|DSN|
DSN|VNO,|VNO|IST|URC|CGO|DSN|
DSN|WAW,|WAW|IST|URC|CGO|DSN|
DSN|YYC,|YYC|YVR|PEK|CGO|DSN|
DSN|ATL,|ATL|ORD|PEK|CGO|DSN|
DSN|MSY,|MSY|ORD|PEK|CGO|DSN|
DSN|YEG,|YEG|YVR|PEK|CGO|DSN|
DSN|YMM,|YMM|YVR|PEK|CGO|DSN|
DSN|YQR,|YQR|YVR|PEK|CGO|DSN|
DSN|YVR,|YVR|PEK|CGO|DSN|
DSN|YWG,|YWG|YVR|PEK|CGO|DSN|
DSN|YXE,|YXE|YVR|PEK|CGO|DSN|
DSN|CKY,|CKY|DKR|BRU|IST|URC|CGO|DSN|
DSN|FIH,|FIH|IST|URC|CGO|DSN|
DSN|SCL,|SCL|YYZ|PEK|CGO|DSN|
DSN|LCA,|LCA|FRA|TSE|URC|CGO|DSN|
DSN|NAP,|NAP|IST|URC|CGO|DSN|
DSN|VLC,|VLC|FRA|TSE|URC|CGO|DSN|
DSN|BKK,|BKK|CGO|DSN|
DSN|ADD,|ADD|IST|URC|CGO|DSN|
DSN|FRA,|FRA|TSE|URC|CGO|DSN|
DSN|IST,|IST|URC|CGO|DSN|
DSN|EBB,|EBB|KGL|IST|URC|CGO|DSN|
DSN|YLW,|YLW|YVR|PEK|CGO|DSN|
DSN|YYT,|YYT|YYZ|PEK|CGO|DSN|
DSN|GUA,|GUA|IAH|PEK|CGO|DSN|
DSN|EWR,|EWR|PEK|CGO|DSN|
DSN|IAD,|IAD|PEK|CGO|DSN|
DSN|IAH,|IAH|PEK|CGO|DSN|
DSN|ORD,|ORD|PEK|CGO|DSN|
DSN|SOF,|SOF|IST|URC|CGO|DSN|
DSN|YQB,|YQB|YYZ|PEK|CGO|DSN|
DSN|YXU,|YXU|YYZ|PEK|CGO|DSN|
DSN|EZE,|EZE|GRU|IST|URC|CGO|DSN|
DSN|YYJ,|YYJ|YVR|PEK|CGO|DSN|
DSN|YYY,|YYY|YUL|YYZ|PEK|CGO|DSN|
DSN|YQQ,|YQQ|YBL|YVR|PEK|CGO|DSN|
DSN|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|CGO|DSN|
DSN|LHR,|LHR|IST|URC|CGO|DSN|
DSN|SFO,|SFO|PEK|CGO|DSN|
DSN|YQU,|YQU|YEG|YVR|PEK|CGO|DSN|
DSN|YZF,|YZF|YEG|YVR|PEK|CGO|DSN|
DSN|YGR,|YGR|YGP|YQB|YYZ|PEK|CGO|DSN|
DSN|YGP,|YGP|YQB|YYZ|PEK|CGO|DSN|
DSN|BOS,|BOS|YYZ|PEK|CGO|DSN|
DSN|YDF,|YDF|YYZ|PEK|CGO|DSN|
DSN|YFC,|YFC|YYZ|PEK|CGO|DSN|
DSN|YQM,|YQM|YYZ|PEK|CGO|DSN|
DSN|YQX,|YQX|YHZ|YYZ|PEK|CGO|DSN|
DSN|YQY,|YQY|YYZ|PEK|CGO|DSN|
DSN|YSJ,|YSJ|YYZ|PEK|CGO|DSN|
DSN|YYG,|YYG|YYZ|PEK|CGO|DSN|
DSN|LAX,|LAX|PEK|CGO|DSN|
DSN|DCA,|DCA|YYZ|PEK|CGO|DSN|
DSN|LGA,|LGA|YYZ|PEK|CGO|DSN|
DSN|YZV,|YZV|YQB|YYZ|PEK|CGO|DSN|
DSN|YWL,|YWL|YVR|PEK|CGO|DSN|
DSN|AZS,|AZS|YYZ|PEK|CGO|DSN|
DSN|BDL,|BDL|YYZ|PEK|CGO|DSN|
DSN|CCC,|CCC|YYZ|PEK|CGO|DSN|
DSN|CDG,|CDG|IST|URC|CGO|DSN|
DSN|CUN,|CUN|IAH|PEK|CGO|DSN|
DSN|CZM,|CZM|IAH|PEK|CGO|DSN|
DSN|FDF,|FDF|YUL|YYZ|PEK|CGO|DSN|
DSN|FLL,|FLL|ORD|PEK|CGO|DSN|
DSN|GVA,|GVA|IST|URC|CGO|DSN|
DSN|HOG,|HOG|YYZ|PEK|CGO|DSN|
DSN|LAS,|LAS|SEA|PEK|CGO|DSN|
DSN|MBJ,|MBJ|ATL|ORD|PEK|CGO|DSN|
DSN|MCO,|MCO|ORD|PEK|CGO|DSN|
DSN|MUC,|MUC|IST|URC|CGO|DSN|
DSN|PAP,|PAP|YUL|YYZ|PEK|CGO|DSN|
DSN|PTP,|PTP|YUL|YYZ|PEK|CGO|DSN|
DSN|PUJ,|PUJ|EWR|PEK|CGO|DSN|
DSN|SNU,|SNU|YYZ|PEK|CGO|DSN|
DSN|VRA,|VRA|YYZ|PEK|CGO|DSN|
DSN|YBC,|YBC|YUL|YYZ|PEK|CGO|DSN|
DSN|YBG,|YBG|YUL|YYZ|PEK|CGO|DSN|
DSN|YTZ,|YTZ|YUL|YYZ|PEK|CGO|DSN|
DSN|YUY,|YUY|YUL|YYZ|PEK|CGO|DSN|
DSN|YVO,|YVO|YUL|YYZ|PEK|CGO|DSN|
DSN|ZBF,|ZBF|YUL|YYZ|PEK|CGO|DSN|
DSN|ZRH,|ZRH|IST|URC|CGO|DSN|
DSN|ZSA,|ZSA|YUL|YYZ|PEK|CGO|DSN|
DSN|AKL,|AKL|CAN|CGO|DSN|
DSN|HKG,|HKG|CGO|DSN|
DSN|HND,|HND|HNL|NRT|ICN|CGO|DSN|
DSN|HNL,|HNL|NRT|ICN|CGO|DSN|
DSN|MEX,|MEX|YVR|PEK|CGO|DSN|
DSN|OGG,|OGG|HNL|NRT|ICN|CGO|DSN|
DSN|PDX,|PDX|SEA|PEK|CGO|DSN|
DSN|PEK,|PEK|CGO|DSN|
DSN|PVG,|PVG|CGO|DSN|
DSN|PVR,|PVR|SFO|PEK|CGO|DSN|
DSN|SEA,|SEA|PEK|CGO|DSN|
DSN|SYD,|SYD|CAN|CGO|DSN|
DSN|YBL,|YBL|YVR|PEK|CGO|DSN|
DSN|YCD,|YCD|YVR|PEK|CGO|DSN|
DSN|YCG,|YCG|YVR|PEK|CGO|DSN|
DSN|YKA,|YKA|YVR|PEK|CGO|DSN|
DSN|YPR,|YPR|YVR|PEK|CGO|DSN|
DSN|YQZ,|YQZ|YVR|PEK|CGO|DSN|
DSN|YXC,|YXC|YVR|PEK|CGO|DSN|
DSN|YXJ,|YXJ|YVR|PEK|CGO|DSN|
DSN|YXS,|YXS|YVR|PEK|CGO|DSN|
DSN|YXT,|YXT|YVR|PEK|CGO|DSN|
DSN|YXY,|YXY|YVR|PEK|CGO|DSN|
DSN|YYD,|YYD|YVR|PEK|CGO|DSN|
DSN|YYF,|YYF|YVR|PEK|CGO|DSN|
DSN|YZP,|YZP|YVR|PEK|CGO|DSN|
DSN|YQT,|YQT|YWG|YVR|PEK|CGO|DSN|
DSN|SJD,|SJD|SFO|PEK|CGO|DSN|
DSN|YQF,|YQF|YYC|YVR|PEK|CGO|DSN|
DSN|YQL,|YQL|YYC|YVR|PEK|CGO|DSN|
DSN|YXH,|YXH|YYC|YVR|PEK|CGO|DSN|
DSN|YWK,|YWK|YZV|YQB|YYZ|PEK|CGO|DSN|
DSN|ANU,|ANU|EWR|PEK|CGO|DSN|
DSN|AUA,|AUA|EWR|PEK|CGO|DSN|
DSN|AUH,|AUH|IST|URC|CGO|DSN|
DSN|BCN,|BCN|IST|URC|CGO|DSN|
DSN|BDA,|BDA|EWR|PEK|CGO|DSN|
DSN|BGI,|BGI|YYZ|PEK|CGO|DSN|
DSN|BNA,|BNA|ORD|PEK|CGO|DSN|
DSN|BOG,|BOG|MIA|ORD|PEK|CGO|DSN|
DSN|BWI,|BWI|YYZ|PEK|CGO|DSN|
DSN|CLE,|CLE|YYZ|PEK|CGO|DSN|
DSN|CLT,|CLT|YYZ|PEK|CGO|DSN|
DSN|CMH,|CMH|ORD|PEK|CGO|DSN|
DSN|CVG,|CVG|ORD|PEK|CGO|DSN|
DSN|DFW,|DFW|YVR|PEK|CGO|DSN|
DSN|DTW,|DTW|PEK|CGO|DSN|
DSN|DUB,|DUB|IST|URC|CGO|DSN|
DSN|FCO,|FCO|IST|URC|CGO|DSN|
DSN|GCM,|GCM|YYZ|PEK|CGO|DSN|
DSN|GGT,|GGT|YYZ|PEK|CGO|DSN|
DSN|GND,|GND|YYZ|PEK|CGO|DSN|
DSN|GRU,|GRU|IST|URC|CGO|DSN|
DSN|HAV,|HAV|YYZ|PEK|CGO|DSN|
DSN|IND,|IND|ORD|PEK|CGO|DSN|
DSN|JFK,|JFK|PEK|CGO|DSN|
DSN|KIN,|KIN|YYZ|PEK|CGO|DSN|
DSN|LIM,|LIM|IAH|PEK|CGO|DSN|
DSN|LIR,|LIR|IAH|PEK|CGO|DSN|
DSN|MCI,|MCI|DEN|YVR|PEK|CGO|DSN|
DSN|MDT,|MDT|YYZ|PEK|CGO|DSN|
DSN|MIA,|MIA|ORD|PEK|CGO|DSN|
