DTW|BRU,|BRU|YUL|YYZ|DTW|
DTW|OUA,|OUA|BRU|YUL|YYZ|DTW|
DTW|JED,|JED|FRA|DTW|
DTW|CPH,|CPH|YYZ|DTW|
DTW|YYZ,|YYZ|DTW|
DTW|DEN,|DEN|DTW|
DTW|YUL,|YUL|YYZ|DTW|
DTW|NBO,|NBO|ZRH|YYZ|DTW|
DTW|ICN,|ICN|YVR|ORD|DTW|
DTW|NRT,|NRT|ORD|DTW|
DTW|YHZ,|YHZ|YYZ|DTW|
DTW|YOW,|YOW|YYZ|DTW|
DTW|BJM,|BJM|BRU|YUL|YYZ|DTW|
DTW|COO,|COO|BRU|YUL|YYZ|DTW|
DTW|DKR,|DKR|IAD|DTW|
DTW|DLA,|DLA|BRU|YUL|YYZ|DTW|
DTW|KGL,|KGL|BRU|YUL|YYZ|DTW|
DTW|LAD,|LAD|BRU|YUL|YYZ|DTW|
DTW|ABJ,|ABJ|BRU|YUL|YYZ|DTW|
DTW|AMS,|AMS|EWR|DTW|
DTW|OSL,|OSL|EWR|DTW|
DTW|VNO,|VNO|CPH|YYZ|DTW|
DTW|WAW,|WAW|YYZ|DTW|
DTW|YYC,|YYC|ORD|DTW|
DTW|ATL,|ATL|DTW|
DTW|MSY,|MSY|BNA|DTW|
DTW|YEG,|YEG|ORD|DTW|
DTW|YMM,|YMM|YYZ|DTW|
DTW|YQR,|YQR|ORD|DTW|
DTW|YVR,|YVR|ORD|DTW|
DTW|YWG,|YWG|ORD|DTW|
DTW|YXE,|YXE|ORD|DTW|
DTW|CKY,|CKY|DKR|IAD|DTW|
DTW|FIH,|FIH|DLA|BRU|YUL|YYZ|DTW|
DTW|SCL,|SCL|YYZ|DTW|
DTW|LCA,|LCA|FRA|DTW|
DTW|NAP,|NAP|FRA|DTW|
DTW|VLC,|VLC|FRA|DTW|
DTW|BKK,|BKK|CGO|PEK|DTW|
DTW|ADD,|ADD|JED|FRA|DTW|
DTW|FRA,|FRA|DTW|
DTW|IST,|IST|FRA|DTW|
DTW|EBB,|EBB|KGL|BRU|YUL|YYZ|DTW|
DTW|YLW,|YLW|YYC|ORD|DTW|
DTW|YYT,|YYT|YYZ|DTW|
DTW|GUA,|GUA|IAH|DTW|
DTW|EWR,|EWR|DTW|
DTW|IAD,|IAD|DTW|
DTW|IAH,|IAH|DTW|
DTW|ORD,|ORD|DTW|
DTW|SOF,|SOF|MUC|YYZ|DTW|
DTW|YQB,|YQB|YYZ|DTW|
DTW|YXU,|YXU|YYZ|DTW|
DTW|EZE,|EZE|IAH|DTW|
DTW|YYJ,|YYJ|YVR|ORD|DTW|
DTW|YYY,|YYY|YUL|YYZ|DTW|
DTW|YQQ,|YQQ|YYC|ORD|DTW|
DTW|YYR,|YYR|YWK|YZV|YQB|YYZ|DTW|
DTW|LHR,|LHR|YYZ|DTW|
DTW|SFO,|SFO|ORD|DTW|
DTW|YQU,|YQU|YEG|ORD|DTW|
DTW|YZF,|YZF|YEG|ORD|DTW|
DTW|YGR,|YGR|YGP|YQB|YYZ|DTW|
DTW|YGP,|YGP|YQB|YYZ|DTW|
DTW|BOS,|BOS|YYZ|DTW|
DTW|YDF,|YDF|YYZ|DTW|
DTW|YFC,|YFC|YYZ|DTW|
DTW|YQM,|YQM|YYZ|DTW|
DTW|YQX,|YQX|YHZ|YYZ|DTW|
DTW|YQY,|YQY|YYZ|DTW|
DTW|YSJ,|YSJ|YYZ|DTW|
DTW|YYG,|YYG|YYZ|DTW|
DTW|LAX,|LAX|MDW|DTW|
DTW|DCA,|DCA|YYZ|DTW|
DTW|LGA,|LGA|YYZ|DTW|
DTW|YZV,|YZV|YQB|YYZ|DTW|
DTW|YWL,|YWL|YVR|ORD|DTW|
DTW|AZS,|AZS|YYZ|DTW|
DTW|BDL,|BDL|YYZ|DTW|
DTW|CCC,|CCC|YYZ|DTW|
DTW|CDG,|CDG|YYZ|DTW|
DTW|CUN,|CUN|ATL|DTW|
DTW|CZM,|CZM|IAH|DTW|
DTW|FDF,|FDF|YUL|YYZ|DTW|
DTW|FLL,|FLL|ATL|DTW|
DTW|GVA,|GVA|YUL|YYZ|DTW|
DTW|HOG,|HOG|YYZ|DTW|
DTW|LAS,|LAS|DTW|
DTW|MBJ,|MBJ|ATL|DTW|
DTW|MCO,|MCO|ATL|DTW|
DTW|MUC,|MUC|YYZ|DTW|
DTW|PAP,|PAP|YUL|YYZ|DTW|
DTW|PTP,|PTP|YUL|YYZ|DTW|
DTW|PUJ,|PUJ|IAD|DTW|
DTW|SNU,|SNU|YYZ|DTW|
DTW|VRA,|VRA|YYZ|DTW|
DTW|YBC,|YBC|YUL|YYZ|DTW|
DTW|YBG,|YBG|YUL|YYZ|DTW|
DTW|YTZ,|YTZ|YUL|YYZ|DTW|
DTW|YUY,|YUY|YUL|YYZ|DTW|
