DUS|BRU,|BRU|IST|DUS|
DUS|OUA,|OUA|NIM|IST|DUS|
DUS|JED,|JED|IST|DUS|
DUS|CPH,|CPH|IST|DUS|
DUS|YYZ,|YYZ|EWR|DUS|
DUS|DEN,|DEN|ORD|DUS|
DUS|YUL,|YUL|EWR|DUS|
DUS|NBO,|NBO|IST|DUS|
DUS|ICN,|ICN|IST|DUS|
DUS|NRT,|NRT|IST|DUS|
DUS|YHZ,|YHZ|EWR|DUS|
DUS|YOW,|YOW|EWR|DUS|
DUS|BJM,|BJM|BRU|IST|DUS|
DUS|COO,|COO|BRU|IST|DUS|
DUS|DKR,|DKR|BRU|IST|DUS|
DUS|DLA,|DLA|IST|DUS|
DUS|KGL,|KGL|IST|DUS|
DUS|LAD,|LAD|BRU|IST|DUS|
DUS|ABJ,|ABJ|OUA|NIM|IST|DUS|
DUS|AMS,|AMS|IST|DUS|
DUS|OSL,|OSL|IST|DUS|
DUS|VNO,|VNO|IST|DUS|
DUS|WAW,|WAW|IST|DUS|
DUS|YYC,|YYC|ORD|DUS|
DUS|ATL,|ATL|EWR|DUS|
DUS|MSY,|MSY|EWR|DUS|
DUS|YEG,|YEG|ORD|DUS|
DUS|YMM,|YMM|YYZ|EWR|DUS|
DUS|YQR,|YQR|ORD|DUS|
DUS|YVR,|YVR|ORD|DUS|
DUS|YWG,|YWG|ORD|DUS|
DUS|YXE,|YXE|ORD|DUS|
DUS|CKY,|CKY|DKR|BRU|IST|DUS|
DUS|FIH,|FIH|IST|DUS|
DUS|SCL,|SCL|YYZ|EWR|DUS|
DUS|LCA,|LCA|FRA|IST|DUS|
DUS|NAP,|NAP|IST|DUS|
DUS|VLC,|VLC|IST|DUS|
DUS|BKK,|BKK|IST|DUS|
DUS|ADD,|ADD|IST|DUS|
DUS|FRA,|FRA|IST|DUS|
DUS|IST,|IST|DUS|
DUS|EBB,|EBB|KGL|IST|DUS|
DUS|YLW,|YLW|YYC|ORD|DUS|
DUS|YYT,|YYT|EWR|DUS|
DUS|GUA,|GUA|EWR|DUS|
DUS|EWR,|EWR|DUS|
DUS|IAD,|IAD|EWR|DUS|
DUS|IAH,|IAH|ORD|DUS|
DUS|ORD,|ORD|DUS|
DUS|SOF,|SOF|IST|DUS|
DUS|YQB,|YQB|EWR|DUS|
DUS|YXU,|YXU|YYZ|EWR|DUS|
DUS|EZE,|EZE|GRU|IST|DUS|
DUS|YYJ,|YYJ|YVR|ORD|DUS|
DUS|YYY,|YYY|YUL|EWR|DUS|
DUS|YQQ,|YQQ|YYC|ORD|DUS|
DUS|YYR,|YYR|YHZ|EWR|DUS|
DUS|LHR,|LHR|IST|DUS|
DUS|SFO,|SFO|ORD|DUS|
DUS|YQU,|YQU|YEG|ORD|DUS|
DUS|YZF,|YZF|YEG|ORD|DUS|
DUS|YGR,|YGR|YGP|YQB|EWR|DUS|
DUS|YGP,|YGP|YQB|EWR|DUS|
DUS|BOS,|BOS|EWR|DUS|
DUS|YDF,|YDF|YHZ|EWR|DUS|
DUS|YFC,|YFC|YUL|EWR|DUS|
DUS|YQM,|YQM|EWR|DUS|
